row,index,mr_shape,hr_shape,mae_total,rmse_total,max_abs_diff,mae_ua,mae_va,rmse_ua,rmse_va,paired_rank_rmse,paired_rank_mae,paired_rmse,paired_mae,best_wrong_rmse,best_wrong_mae,paired_beats_wrong_rmse_gap,paired_beats_wrong_mae_gap,candidate_count
0,0,"(100, 100, 2)","(500, 500, 2)",4.507376537674989,5.5884563388379425,22.10384727478027,4.945342997225929,4.069410078124049,6.210611030806657,4.887739674554963,1,3,5.5884563388379425,4.507376537674989,5.66124518391231,4.4410915296794204,0.07278884507436789,-0.06628500799556836,168
1,1,"(100, 100, 2)","(500, 500, 2)",4.741619327033998,5.870629984729741,23.17578681945801,5.387568187683004,4.095670466384991,6.722516795133196,4.871997616416491,1,3,5.870629984729741,4.741619327033998,5.9114535257542,4.694456388201984,0.04082354102445862,-0.047162938832014056,168
2,2,"(100, 100, 2)","(500, 500, 2)",4.993209167848197,6.157072516225457,23.476970062255862,5.879756201037167,4.106662134659228,7.25611102315954,4.813308296764335,1,2,6.157072516225457,4.993209167848197,6.1580419196671885,4.967499780903349,0.0009694034417311315,-0.0257093869448477,168
3,3,"(100, 100, 2)","(500, 500, 2)",5.246787762400634,6.43587129698207,24.268616104125975,6.4496080222476735,4.043967502553593,7.804717752331309,4.682655177255725,2,1,6.43587129698207,5.246787762400634,6.391172960372804,5.259925502200196,-0.04469833660926614,0.013137739799562453,168
4,4,"(100, 100, 2)","(500, 500, 2)",5.502995354207499,6.703682632785498,23.0016943359375,7.0699194209548,3.936071287460198,8.335570274606667,4.516302678000398,3,1,6.703682632785498,5.502995354207499,6.587753678943135,5.541656209931058,-0.11592895384236357,0.03866085572355882,168
5,5,"(100, 100, 2)","(500, 500, 2)",5.751854903885446,6.955734356699342,23.13402442932129,7.632624834532419,3.8710849732384727,8.76961529954478,4.456268436699627,4,3,6.955734356699342,5.751854903885446,6.70107300031569,5.717182594803665,-0.25466135638365195,-0.034672309081781094,168
6,6,"(100, 100, 2)","(500, 500, 2)",5.940406271431221,7.169628429026169,23.726088485717774,8.077934215664742,3.8028783271977016,9.133940434755491,4.402076300444955,5,3,7.169628429026169,5.940406271431221,6.8040646299905365,5.896767303658892,-0.3655637990356322,-0.04363896777232856,168
7,7,"(100, 100, 2)","(500, 500, 2)",6.083280647565231,7.331862172806314,24.15379257202149,8.508453715793754,3.658107579336707,9.468498510462709,4.2261024359830355,5,2,7.331862172806314,6.083280647565231,6.988186514401427,6.052503178560627,-0.34367565840488723,-0.030777469004603653,168
8,8,"(100, 100, 2)","(500, 500, 2)",6.2173280855073125,7.510938169206016,23.855919799804685,8.94547973118954,3.4891764398250866,9.808900747916496,4.076009136495504,6,2,7.510938169206016,6.2173280855073125,7.172588555593079,6.1787260945678515,-0.3383496136129365,-0.03860199093946104,168
9,9,"(100, 100, 2)","(500, 500, 2)",6.336178941426412,7.690404399175908,22.043796157836915,9.318754820291293,3.35360306256153,10.121343905502224,3.9803312917747555,6,2,7.690404399175908,6.336178941426412,7.301605047187487,6.3087559504049455,-0.3887993519884212,-0.02742299102146628,168
10,10,"(100, 100, 2)","(500, 500, 2)",6.442971921600403,7.876148943447658,21.03211380004883,9.606459490091886,3.2794843531089173,10.409475752924996,3.9636168972303474,7,2,7.876148943447658,6.442971921600403,7.424420505656374,6.431843995602158,-0.45172843779128424,-0.011127925998245303,168
11,11,"(100, 100, 2)","(500, 500, 2)",6.526187969915562,8.037293895685302,20.290293235778808,9.771948001954264,3.280427937876858,10.62715383953863,4.032342694020409,8,2,8.037293895685302,6.526187969915562,7.549727107304774,6.524586762581146,-0.48756678838052814,-0.0016012073344162658,168
12,12,"(100, 100, 2)","(500, 500, 2)",6.587406575245752,8.194755446804121,19.598270339965822,9.874810677139337,3.3000024733521687,10.831897608003473,4.120440252640526,9,1,8.194755446804121,6.587406575245752,7.7127854925264,6.623974975142771,-0.48196995427772116,0.036568399897018544,168
13,13,"(100, 100, 2)","(500, 500, 2)",6.654305025236277,8.376068840204757,20.082214279174806,9.936607016389916,3.372003034082637,11.049966214960243,4.267939207619447,10,1,8.376068840204757,6.654305025236277,7.8466351967223815,6.707709453271944,-0.5294336434823759,0.05340442803566692,168
14,14,"(100, 100, 2)","(500, 500, 2)",6.647156621208095,8.47971220199734,20.676863098144533,9.853103057901759,3.4412101845144294,11.173792917409228,4.354008486011544,11,1,8.47971220199734,6.647156621208095,7.92316282179036,6.649971685321911,-0.556549380206981,0.00281506411381649,168
15,15,"(100, 100, 2)","(500, 500, 2)",6.5379752239153,8.506215810519471,21.74923637390137,9.652666348240688,3.423284099589911,11.230625031304022,4.310971611656749,11,3,8.506215810519471,6.5379752239153,7.99462712160986,6.458148148371366,-0.5115886889096108,-0.07982707554393365,168
16,16,"(100, 100, 2)","(500, 500, 2)",6.499873501092472,8.567467490050271,22.97115409851074,9.463450236991562,3.536296765193384,11.282352227912368,4.417185369831947,14,4,8.567467490050271,6.499873501092472,8.028920884654854,6.275487313196851,-0.5385466053954175,-0.2243861878956217,168
17,17,"(100, 100, 2)","(500, 500, 2)",6.526676689896391,8.66570307267079,23.43511184692383,9.313649875431208,3.739703504361573,11.33757172877986,4.652771946072967,19,5,8.66570307267079,6.526676689896391,8.012315509583924,6.162489190272085,-0.6533875630868664,-0.36418749962430574,168
18,18,"(100, 100, 2)","(500, 500, 2)",6.638998883625655,8.798716482846777,23.023845520019528,9.199581087570754,4.078416679680559,11.3824535562581,5.027382473083428,23,16,8.798716482846777,6.638998883625655,7.960572847778723,6.054255817822264,-0.8381436350680538,-0.5847430658033916,168
19,19,"(100, 100, 2)","(500, 500, 2)",6.7519407047082876,8.912559162746199,23.607315902709953,9.064169677608286,4.4397117318082895,11.396204991157225,5.384601513429342,31,22,8.912559162746199,6.7519407047082876,7.8559613930935415,5.930851822540896,-1.0565977696526572,-0.8210888821673912,168
20,20,"(100, 100, 2)","(500, 500, 2)",6.81220473690979,8.971870258267206,24.143474502563475,8.840163088822289,4.784246384997288,11.340638607658489,5.690239699067609,35,25,8.971870258267206,6.81220473690979,7.583711859785509,5.785839953635226,-1.3881583984816972,-1.0263647832745635,168
21,21,"(100, 100, 2)","(500, 500, 2)",6.878426066787566,9.016448872719899,24.003867950439453,8.57246034704401,5.18439178653112,11.24336671363398,6.01493187754369,44,27,9.016448872719899,6.878426066787566,7.336391578936788,5.690230684769503,-1.6800572937831104,-1.1881953820180629,168
22,22,"(100, 100, 2)","(500, 500, 2)",7.13815556360401,9.188072378394185,24.88579612731933,8.309890578358065,5.966420548849953,11.0637835141229,6.814252887429603,49,38,9.188072378394185,7.13815556360401,7.3123760833054146,5.81943363577759,-1.8756962950887708,-1.3187219278264202,168
23,23,"(100, 100, 2)","(500, 500, 2)",7.395055133170189,9.361390394166861,24.56827453613281,8.012808456040352,6.777301810300028,10.806001949043289,7.648632694885526,51,42,9.361390394166861,7.395055133170189,7.410636086104122,6.054777306665369,-1.9507543080627388,-1.3402778265048196,168
24,24,"(100, 100, 2)","(500, 500, 2)",7.601217281840547,9.477743204148643,24.38156471252442,7.70194779049606,7.500486773185036,10.474431492584747,8.36310453089763,46,35,9.477743204148643,7.601217281840547,7.593898439190947,6.350745058840938,-1.8838447649576961,-1.2504722229996084,168
25,25,"(100, 100, 2)","(500, 500, 2)",7.770362334900277,9.521437980812271,24.052936935424803,7.460407045307528,8.080317624493025,10.11641752124951,8.88671249566817,37,31,9.521437980812271,7.770362334900277,7.802428576124793,6.6548374255560905,-1.719009404687478,-1.1155249093441864,168
26,26,"(100, 100, 2)","(500, 500, 2)",7.842922761827416,9.48594175822581,25.501287155151367,7.130292063806024,8.55555345984881,9.683516852836227,9.284163044762897,22,27,9.48594175822581,7.842922761827416,7.98765202821037,6.845493233403479,-1.4982897300154399,-0.997429528423937,168
27,27,"(100, 100, 2)","(500, 500, 2)",7.832119059996077,9.372383447726929,26.934541473388666,6.711963132093305,8.952274987898846,9.128571732884996,9.610011503636427,16,17,9.372383447726929,7.832119059996077,8.172015012602351,6.981610883437589,-1.2003684351245774,-0.8505081765584883,168
28,28,"(100, 100, 2)","(500, 500, 2)",7.818973532372306,9.228090002888829,25.817248382568366,6.387432949853182,9.25051411489143,8.545044067952269,9.86395012556264,14,14,9.228090002888829,7.818973532372306,8.387264588660498,7.258961096808425,-0.8408254142283305,-0.5600124355638814,168
29,29,"(100, 100, 2)","(500, 500, 2)",7.891279554724539,9.05334377899794,24.8307553100586,6.345094309228608,9.437464800220472,8.05834961137252,9.949325037525599,11,15,9.05334377899794,7.891279554724539,8.446319451522664,7.298795769719151,-0.6070243274752762,-0.5924837850053883,168
30,30,"(100, 100, 2)","(500, 500, 2)",7.906543200376739,8.832492966029507,21.933364257812503,6.27484675202069,9.538239648732787,7.54116787820811,9.957743269566839,7,14,8.832492966029507,7.906543200376739,8.317625646460378,7.356361341694742,-0.5148673195691291,-0.5501818586819969,168
31,31,"(100, 100, 2)","(500, 500, 2)",7.890627683426065,8.690571544149618,21.311524848937985,6.228224677679992,9.553030689172138,7.245185372390715,9.927706504911482,6,10,8.690571544149618,7.890627683426065,8.386225133318336,7.541809757055811,-0.30434641083128255,-0.34881792637025466,168
32,32,"(100, 100, 2)","(500, 500, 2)",7.886882083098323,8.617795859675102,20.962222328186044,6.266509426692444,9.507254739504203,7.132124760342604,9.882591125862417,4,6,8.617795859675102,7.886882083098323,8.510701391512141,7.7676540922507815,-0.10709446816296087,-0.11922799084754132,168
33,33,"(100, 100, 2)","(500, 500, 2)",7.898136005488457,8.585824367793698,20.408627548217773,6.399031789518277,9.397240221458636,7.180858692129126,9.791222017341537,2,3,8.585824367793698,7.898136005488457,8.579019394069837,7.876415853289942,-0.006804973723861352,-0.02172015219851442,168
34,34,"(100, 100, 2)","(500, 500, 2)",7.936575945708997,8.604852103567374,20.077194976806645,6.602704636191196,9.270447255226799,7.342033625583362,9.704715435773423,1,1,8.604852103567374,7.936575945708997,8.611019884873757,7.937998510865534,0.006167781306382736,0.001422565156537381,168
35,35,"(100, 100, 2)","(500, 500, 2)",7.982420665097546,8.649054475882322,19.353716201782227,6.821347746045097,9.143493584149997,7.521814921516489,9.645443843598489,1,2,8.649054475882322,7.982420665097546,8.650700098030162,7.98046759139428,0.0016456221478406974,-0.0019530737032660284,168
36,36,"(100, 100, 2)","(500, 500, 2)",7.997575572938912,8.6804187087719,18.335603561401367,7.034031812135505,8.961119333742317,7.712620868559279,9.550644860796487,1,1,8.6804187087719,7.997575572938912,8.693333035651019,7.999467859922016,0.012914326879119642,0.0018922869831046185,168
37,37,"(100, 100, 2)","(500, 500, 2)",7.951171008396428,8.68065019858138,17.917281769812107,7.214236662206404,8.688105354586453,7.916793135899993,9.38252429699112,2,3,8.68065019858138,7.951171008396428,8.661902180923244,7.946017465093112,-0.018748017658136718,-0.005153543303316077,168
38,38,"(100, 100, 2)","(500, 500, 2)",7.645858562640712,8.473042778090814,18.613486595153805,7.286362729948298,8.005354395333125,8.04463915569859,8.88080450709928,1,2,8.473042778090814,7.645858562640712,8.47489375386518,7.642644253797805,0.0018509757743654376,-0.0032143088429075206,168
39,39,"(100, 100, 2)","(500, 500, 2)",7.275339460752147,8.205148047729155,17.02837816238403,7.07324838499618,7.477430536508112,7.941270124189504,8.460800067662772,1,1,8.205148047729155,7.275339460752147,8.245994209955155,7.315652971000368,0.040846162225999905,0.04031351024822083,168
40,40,"(100, 100, 2)","(500, 500, 2)",7.001262636346682,7.956798001957789,16.844260101318355,6.865138934052114,7.137386338641247,7.774658525038987,8.134860398738109,1,2,7.956798001957789,7.001262636346682,7.980721013817553,6.995107711618845,0.023923011859764642,-0.006154924727836963,168
41,41,"(100, 100, 2)","(500, 500, 2)",6.711179414454155,7.684697873667111,16.758485107421876,6.573164798518407,6.8491940303899055,7.519631257855238,7.846292663734517,1,3,7.684697873667111,6.711179414454155,7.687678728390767,6.68517792061201,0.002980854723656279,-0.026001493842144896,168
42,42,"(100, 100, 2)","(500, 500, 2)",6.425181874151694,7.421255611609752,17.15005836486816,6.22941721753396,6.6209465307694275,7.223061112594485,7.614292998658757,2,4,7.421255611609752,6.425181874151694,7.400127182415725,6.3874386933640075,-0.02112842919402702,-0.0377431807876869,168
43,43,"(100, 100, 2)","(500, 500, 2)",6.1411333616253145,7.166495462827821,16.854142990112308,5.887206668502232,6.3950600547484,6.937874991654304,7.388044737116937,3,5,7.166495462827821,6.1411333616253145,7.124988074033388,6.104783904926096,-0.04150738879443239,-0.03634945669921841,168
44,44,"(100, 100, 2)","(500, 500, 2)",5.808813922700233,6.87545877952795,17.708326187133785,5.523315819222658,6.09431202617781,6.6522947798389955,7.091603557736628,4,6,6.87545877952795,5.808813922700233,6.798734456296221,5.779595284179574,-0.07672432323172895,-0.029218638520659646,168
45,45,"(100, 100, 2)","(500, 500, 2)",5.5703490919839185,6.668421465325672,18.50182304382324,5.251964276803614,5.888733907164223,6.431654164953757,6.897065635534095,6,8,6.668421465325672,5.5703490919839185,6.485307969442278,5.448786216735595,-0.18311349588339354,-0.12156287524832354,168
46,46,"(100, 100, 2)","(500, 500, 2)",5.619218672129424,6.690997187330205,18.7352921295166,5.275776459114945,5.962660885143905,6.388667249770619,6.980244801826777,7,11,6.690997187330205,5.619218672129424,6.300706253931786,5.28186709972233,-0.39029093339841925,-0.3373515724070941,168
47,47,"(100, 100, 2)","(500, 500, 2)",5.546328638771879,6.607649358854763,18.921948013305666,5.261067860466963,5.831589417076797,6.324266199193282,6.879368949321507,9,12,6.607649358854763,5.546328638771879,6.085105476836423,5.078082282682061,-0.5225438820183399,-0.4682463560898178,168
48,48,"(100, 100, 2)","(500, 500, 2)",5.381430295783929,6.420997711027196,18.147649116516114,5.195993743437705,5.566866848130152,6.207863003427163,6.627281504562278,10,13,6.420997711027196,5.381430295783929,5.801570811222668,4.829095020254547,-0.6194268998045285,-0.5523352755293818,168
49,49,"(100, 100, 2)","(500, 500, 2)",5.175985029202503,6.186092647361599,17.096636314392093,5.097819728025445,5.254150330379563,6.062310657122234,6.307445915743129,11,14,6.186092647361599,5.175985029202503,5.482018676601687,4.54312163100671,-0.7040739707599126,-0.6328633981957932,168
50,50,"(100, 100, 2)","(500, 500, 2)",4.965314662632675,5.940147379835889,15.569824523925783,4.968212160184028,4.9624171650813205,5.886606217432966,5.9932102440363195,13,15,5.940147379835889,4.965314662632675,5.150619788796175,4.246441831125004,-0.7895275910397137,-0.7188728315076709,168
51,51,"(100, 100, 2)","(500, 500, 2)",4.755207247485895,5.695498776105053,14.75063705444336,4.801017872954877,4.709396622016916,5.69020401022047,5.700788624330774,14,16,5.695498776105053,4.755207247485895,4.831279398602152,3.97074609183197,-0.8642193775029012,-0.7844611556539252,168
52,52,"(100, 100, 2)","(500, 500, 2)",4.549702455927336,5.4474365976902375,15.043011169433596,4.62571480587442,4.473690105980252,5.471474475508831,5.423292176857646,15,17,5.4474365976902375,4.549702455927336,4.52247747173663,3.714406248039345,-0.9249591259536079,-0.8352962078879909,168
53,53,"(100, 100, 2)","(500, 500, 2)",4.377370445182412,5.226810116172447,15.123934860229493,4.494893603508285,4.259847286856538,5.277726268309597,5.175393068921443,15,18,5.226810116172447,4.377370445182412,4.251359721583025,3.49548981341583,-0.975450394589422,-0.8818806317665819,168
54,54,"(100, 100, 2)","(500, 500, 2)",4.235789615171004,5.04768241892275,15.758494644165042,4.376520068671087,4.095059161670921,5.101244885176022,4.993545456493726,16,19,5.04768241892275,4.235789615171004,4.0310791434191415,3.329557233743059,-1.0166032755036083,-0.9062323814279454,168
55,55,"(100, 100, 2)","(500, 500, 2)",4.113882689720739,4.912476112103771,16.342100830078124,4.2544626783950665,3.9733027010464097,4.949752348549743,4.874914849718575,17,20,4.912476112103771,4.113882689720739,3.8611138774114577,3.207492913052305,-1.0513622346923137,-0.9063897766684335,168
56,56,"(100, 100, 2)","(500, 500, 2)",3.9990922819605417,4.806946530019154,16.524589080810543,4.118967141999102,3.8792174219219824,4.8284151233817,4.785381623363518,18,17,4.806946530019154,3.9990922819605417,3.7319161576058355,3.116082058738334,-1.0750303724133183,-0.8830102232222075,168
57,57,"(100, 100, 2)","(500, 500, 2)",3.8957327991626145,4.721025430887481,16.671536903381348,3.9784886165368176,3.812976981788412,4.731646725318835,4.710380186880057,19,18,4.721025430887481,3.8957327991626145,3.6411996456293902,3.050519093589751,-1.079825785258091,-0.8452137055728635,168
58,58,"(100, 100, 2)","(500, 500, 2)",3.8200990657676774,4.66523881016424,16.901363449096678,3.8893577876829992,3.750840343852355,4.699551554052864,4.630671819782162,20,17,4.66523881016424,3.8200990657676774,3.5993591855341687,3.019935704352545,-1.0658796246300715,-0.8001633614151324,168
59,59,"(100, 100, 2)","(500, 500, 2)",3.824164075137979,4.677654440750979,17.02506687164307,3.915543642540928,3.7327845077350283,4.763302261456369,4.590408881587713,21,20,4.677654440750979,3.824164075137979,3.6219320494374037,3.01950607697371,-1.0557223913135756,-0.8046579981642692,168
60,60,"(100, 100, 2)","(500, 500, 2)",3.9020617273122182,4.754663795108754,16.183150291442875,4.039062532253067,3.765060922371369,4.916482463537665,4.587140263253628,22,25,4.754663795108754,3.9020617273122182,3.701426105257353,3.0766716411668553,-1.0532376898514006,-0.8253900861453629,168
61,61,"(100, 100, 2)","(500, 500, 2)",4.038724986225901,4.896873804224717,14.915823554992674,4.232821480092739,3.8446284923590635,5.154333259257346,4.625104837894819,26,31,4.896873804224717,4.038724986225901,3.8552925059117262,3.2121395312774736,-1.041581298312991,-0.8265854549484275,168
62,62,"(100, 100, 2)","(500, 500, 2)",3.952069672250447,4.750542978924586,15.06842788696289,4.125450753563455,3.7786885909374397,4.979412342718479,4.5100742688344075,19,21,4.750542978924586,3.952069672250447,3.8861540015656657,3.2416862521394143,-0.8643889773589204,-0.7103834201110328,168
63,63,"(100, 100, 2)","(500, 500, 2)",3.748259846005959,4.531623717548949,14.996060638427736,3.8811451662848637,3.6153745257270553,4.661066027742401,4.398373622139208,10,11,4.531623717548949,3.748259846005959,3.8837047726716905,3.1950788430583414,-0.6479189448772584,-0.5531810029476176,168
64,64,"(100, 100, 2)","(500, 500, 2)",3.9037577891779,4.62653596910555,13.41066993713379,4.0882902997818,3.7192252785739996,4.757083550754402,4.492196148655661,12,16,4.62653596910555,3.9037577891779,4.152399206811405,3.45194259292934,-0.4741367622941448,-0.4518151962485599,168
65,65,"(100, 100, 2)","(500, 500, 2)",4.25964319133019,4.925455586184764,12.993976092338563,4.497833790558179,4.021452592102202,5.080770329654287,4.765081145191766,15,22,4.925455586184764,4.25964319133019,4.332175321212234,3.4438892048320215,-0.5932802649725302,-0.8157539864981689,168
66,66,"(100, 100, 2)","(500, 500, 2)",4.6052005293665035,5.246577011167692,12.539235649108887,4.861557740279593,4.348843318453415,5.408319979479103,5.079686571806746,18,26,5.246577011167692,4.6052005293665035,4.203426407597948,3.337744022486932,-1.0431506035697442,-1.2674565068795713,168
67,67,"(100, 100, 2)","(500, 500, 2)",4.891407939274128,5.540023357009172,13.304525661468503,5.159414592012551,4.623401286535704,5.6892972937084565,5.386614325920874,23,30,5.540023357009172,4.891407939274128,4.09243981955704,3.28054870048022,-1.4475835374521324,-1.6108592387939078,168
68,68,"(100, 100, 2)","(500, 500, 2)",5.16230556130082,5.839453257581886,13.946187934875494,5.490763429987228,4.8338476926144125,6.014598569263106,5.658889709614917,29,39,5.839453257581886,5.16230556130082,4.017536765817713,3.22409729975798,-1.8219164917641733,-1.9382082615428398,168
69,69,"(100, 100, 2)","(500, 500, 2)",5.685209593435327,6.392268481796203,14.937471523284913,6.147726003350098,5.222693183520557,6.675881807938331,6.095473301817368,46,57,6.392268481796203,5.685209593435327,3.8123741999058134,3.055708400807744,-2.57989428189039,-2.629501192627583,168
70,70,"(100, 100, 2)","(500, 500, 2)",6.2097767737413525,6.911244485131192,18.116497840881348,6.624997675124195,5.79455587235851,7.148650127326097,6.665388362548217,67,78,6.911244485131192,6.2097767737413525,3.679044154571734,2.9711239273927936,-3.232200330559458,-3.238652846348559,168
71,71,"(100, 100, 2)","(500, 500, 2)",6.4794795401966,7.163455231747087,19.13120178222656,6.667918315992414,6.291040764400785,7.167799001656004,7.1591088262680165,81,95,7.163455231747087,6.4794795401966,3.6735751551954317,2.953420886678661,-3.4898800765516556,-3.526058653517939,168
72,72,"(100, 100, 2)","(500, 500, 2)",6.556732501398929,7.243506312603462,19.594624404907222,6.477923184724227,6.635541818073632,6.956599895410558,7.519473738010276,87,99,7.243506312603462,6.556732501398929,3.7590713688525508,2.9987384692477894,-3.4844349437509115,-3.5579940321511394,168
73,73,"(100, 100, 2)","(500, 500, 2)",6.544388890915543,7.250679859813391,20.327423095703118,6.235118646239417,6.8536591355916725,6.697910332327201,7.764194358664111,84,98,7.250679859813391,6.544388890915543,3.9012396708439234,3.0944816247491795,-3.3494401889694676,-3.4499072661663632,168
74,74,"(100, 100, 2)","(500, 500, 2)",6.471314624109448,7.1960030918812,19.71163307189942,5.999744273163494,6.942884975055401,6.447019077587743,7.874062865506425,77,95,7.1960030918812,6.471314624109448,4.0782273467764965,3.2255417672803754,-3.1177757451047032,-3.2457728568290727,168
75,75,"(100, 100, 2)","(500, 500, 2)",6.384439425526007,7.128283408487187,18.236623249053956,5.8103012556138545,6.958577595438159,6.254400617817382,7.906157196468647,67,90,7.128283408487187,6.384439425526007,4.236350240788631,3.3595812656419723,-2.8919331676985562,-3.0248581598840345,168
76,76,"(100, 100, 2)","(500, 500, 2)",6.2989314870059845,7.058408057940699,16.84219133377075,5.66973055212983,6.928132421882139,6.1175102783964155,7.887858810762183,62,80,7.058408057940699,6.2989314870059845,4.374412488084253,3.4785017454619984,-2.683995569856446,-2.820429741543986,168
77,77,"(100, 100, 2)","(500, 500, 2)",6.19627274281391,6.96323768613555,16.380188980102538,5.5473433954597375,6.845202090168083,6.009812690003194,7.800994140384499,56,75,6.96323768613555,6.19627274281391,4.486475762888054,3.5771985646969857,-2.476761923247496,-2.6190741781169247,168
78,78,"(100, 100, 2)","(500, 500, 2)",6.1086160844364725,6.87228839067965,16.20196872711182,5.474541469962039,6.7426906989109066,5.950554013092788,7.684243774543197,55,70,6.87228839067965,6.1086160844364725,4.587157453872293,3.6644034387439524,-2.2851309368073567,-2.44421264569252,168
79,79,"(100, 100, 2)","(500, 500, 2)",6.030327417835539,6.792519153333278,15.426983299255372,5.4347263200937155,6.625928515577361,5.92347941548564,7.562342528021113,49,67,6.792519153333278,6.030327417835539,4.680104323124838,3.7368007916198374,-2.11241483020844,-2.293526626215702,168
80,80,"(100, 100, 2)","(500, 500, 2)",5.955352894402972,6.708058908481122,14.843686485290526,5.4323773645366265,6.478328424269316,5.933944172547929,7.401649491592422,47,65,6.708058908481122,5.955352894402972,4.7556924487972445,3.7985490161074615,-1.9523664596838772,-2.15680387829551,168
81,81,"(100, 100, 2)","(500, 500, 2)",5.883538970637975,6.620513608401247,16.1063130569458,5.467388691019555,6.299689250256394,5.984428007420061,7.200626521495095,42,61,6.620513608401247,5.883538970637975,4.813112035129985,3.8479151462604104,-1.8074015732712612,-2.0356238243775646,168
82,82,"(100, 100, 2)","(500, 500, 2)",5.803591395812405,6.5228641083407,16.219383659362798,5.541426963077411,6.065755828547399,6.06556581325017,6.950138395520585,39,60,6.5228641083407,5.803591395812405,4.861810197816777,3.8915773147672184,-1.6610539105239228,-1.9120140810451867,168
83,83,"(100, 100, 2)","(500, 500, 2)",5.756966880891855,6.450217411117327,16.098549346923825,5.671380845102329,5.842552916681381,6.199674711237131,6.691385714200686,37,58,6.450217411117327,5.756966880891855,4.888630505330661,3.9264041521151056,-1.5615869057866663,-1.8305627287767492,168
84,84,"(100, 100, 2)","(500, 500, 2)",5.7393373591336045,6.406055836294854,16.178086166381835,5.854432172439438,5.62424254582777,6.3820889143562045,6.429933424593628,35,57,6.406055836294854,5.7393373591336045,4.898884987459825,3.9387637853700275,-1.5071708488350293,-1.800573573763577,168
85,85,"(100, 100, 2)","(500, 500, 2)",5.754051859081542,6.395764937171515,17.045574226379394,6.068246108592942,5.439857609570145,6.583335536559265,6.202524605044388,35,57,6.395764937171515,5.754051859081542,4.891034501430212,3.9355253664701784,-1.504730435741303,-1.818526492611364,168
86,86,"(100, 100, 2)","(500, 500, 2)",5.536870138487079,6.1303594370849614,15.500848884582517,5.985325669271742,5.088414607702417,6.430585607381423,5.814652388737628,30,52,6.1303594370849614,5.536870138487079,4.926285993056958,3.983327801301491,-1.2040734440280039,-1.553542337185588,168
87,87,"(100, 100, 2)","(500, 500, 2)",5.162200703682443,5.782376708239087,14.665139102935791,5.70176272720693,4.622638680157956,6.147200467799726,5.392929371005581,15,37,5.782376708239087,5.162200703682443,4.860596468568509,3.8229781431892844,-0.9217802396705785,-1.339222560493159,168
88,88,"(100, 100, 2)","(500, 500, 2)",4.928045876196873,5.5934194865430715,13.516764068603518,5.622137690814526,4.2339540615792215,6.084354372375708,5.055028682038522,12,19,5.5934194865430715,4.928045876196873,4.732261709711401,3.7309034390315734,-0.8611577768316705,-1.1971424371652999,168
89,89,"(100, 100, 2)","(500, 500, 2)",4.930377449846209,5.601960115211249,13.348510475158697,5.796139303802024,4.064615595890396,6.230830254073612,4.892920253770361,12,18,5.601960115211249,4.930377449846209,4.685700780980862,3.697405932820206,-0.9162593342303866,-1.2329715170260034,168
90,90,"(100, 100, 2)","(500, 500, 2)",4.991889941460348,5.672318172300349,13.500527076721191,6.038623404301176,3.9451564786195186,6.441419219424347,4.781056926585186,15,20,5.672318172300349,4.991889941460348,4.661572345607526,3.6769610746218735,-1.0107458266928226,-1.3149288668384749,168
91,91,"(100, 100, 2)","(500, 500, 2)",5.071334806557249,5.783340455186171,13.468420219421382,6.3188172936593,3.823852319455197,6.702209956090739,4.687689766362973,16,21,5.783340455186171,5.071334806557249,4.658283743117393,3.6668155581677353,-1.125056712068778,-1.4045192483895135,168
92,92,"(100, 100, 2)","(500, 500, 2)",5.221939912818919,6.0103736050636645,13.94800334930419,6.7167052576385675,3.727174567999271,7.095318436353307,4.68034593076589,19,23,6.0103736050636645,5.221939912818919,4.7025915480710765,3.7120171744343153,-1.307782056992588,-1.5099227383846037,168
93,93,"(100, 100, 2)","(500, 500, 2)",5.565883299025263,6.414863402602179,14.59577072143555,7.360608556718912,3.771158041331613,7.698986053038216,4.798599660652325,23,35,6.414863402602179,5.565883299025263,4.8691103801189595,3.8969878200171295,-1.5457530224832192,-1.6688954790081332,168
