row,index,mr_shape,hr_shape,mae_total,rmse_total,max_abs_diff,mae_ua,mae_va,rmse_ua,rmse_va,paired_rank_rmse,paired_rank_mae,paired_rmse,paired_mae,best_wrong_rmse,best_wrong_mae,paired_beats_wrong_rmse_gap,paired_beats_wrong_mae_gap,candidate_count
0,0,"(100, 100, 2)","(500, 500, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.8660322209794856,0.6829530656233864,0.8660322209794856,0.6829530656233864,168
1,1,"(100, 100, 2)","(500, 500, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.8660322209794856,0.6829530656233864,0.8660322209794856,0.6829530656233864,168
2,2,"(100, 100, 2)","(500, 500, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.8789795400411198,0.6896107942066501,0.8789795400411198,0.6896107942066501,168
3,3,"(100, 100, 2)","(500, 500, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.932528096661031,0.7224640293086478,0.932528096661031,0.7224640293086478,168
4,4,"(100, 100, 2)","(500, 500, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,1.0389238879418472,0.7722405968198062,1.0389238879418472,0.7722405968198062,168
5,5,"(100, 100, 2)","(500, 500, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,1.5483051885341292,0.9454913594613641,1.5483051885341292,0.9454913594613641,168
6,6,"(100, 100, 2)","(500, 500, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,1.731217003609123,1.0891271441759833,1.731217003609123,1.0891271441759833,168
7,7,"(100, 100, 2)","(500, 500, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,1.5384430278794199,1.0392740622496337,1.5384430278794199,1.0392740622496337,168
8,8,"(100, 100, 2)","(500, 500, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,1.4921555063973748,1.0201839826418948,1.4921555063973748,1.0201839826418948,168
9,9,"(100, 100, 2)","(500, 500, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,1.4574540699577054,0.9751463093172393,1.4574540699577054,0.9751463093172393,168
10,10,"(100, 100, 2)","(500, 500, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,1.4574540699577054,0.9751463093172393,1.4574540699577054,0.9751463093172393,168
11,11,"(100, 100, 2)","(500, 500, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,1.564413626401317,1.0004256875114979,1.564413626401317,1.0004256875114979,168
12,12,"(100, 100, 2)","(500, 500, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,1.733698340694397,1.0259617539756305,1.733698340694397,1.0259617539756305,168
13,13,"(100, 100, 2)","(500, 500, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,1.7903403330782732,1.0381299112409164,1.7903403330782732,1.0381299112409164,168
14,14,"(100, 100, 2)","(500, 500, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,1.9365183054478745,1.1278358330050366,1.9365183054478745,1.1278358330050366,168
15,15,"(100, 100, 2)","(500, 500, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,1.8094781034666252,1.1054288604465574,1.8094781034666252,1.1054288604465574,168
16,16,"(100, 100, 2)","(500, 500, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,1.625863952378491,1.051813576427395,1.625863952378491,1.051813576427395,168
17,17,"(100, 100, 2)","(500, 500, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,1.559738686067917,1.0238558631987436,1.559738686067917,1.0238558631987436,168
18,18,"(100, 100, 2)","(500, 500, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,1.559738686067917,1.0238558631987436,1.559738686067917,1.0238558631987436,168
19,19,"(100, 100, 2)","(500, 500, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,1.6049739213113687,1.0316982916377937,1.6049739213113687,1.0316982916377937,168
20,20,"(100, 100, 2)","(500, 500, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,1.6569497521842047,1.0562038056890872,1.6569497521842047,1.0562038056890872,168
