title,authors,year,url,bucket
A spatial downscaling approach for WindSat satellite sea surface wind based on generative adversarial networks and dual learning scheme,"J Liu, Y Sun, K Ren, Y Zhao, K Deng, L Wang - Remote Sensing, 2022",2022,https://www.mdpi.com/2072-4292/14/3/769,A
Spatio-temporal downscaling of climate data using convolutional and error-predicting neural networks,"A Serifi , T Günther , N Ban",2021,https://www.frontiersin.org/journals/climate/articles/10.3389/fclim.2021.656479/full,A
Spatial Downscaling of Satellite Sea Surface Wind with Soft-Sharing Multi-Task Learning,"Y Yue, J Liu, Y Sun, K Ren, K Deng, K Deng - Remote Sensing, 2025",2025,https://www.mdpi.com/2072-4292/17/4/587,A
Enhanced wind field spatial downscaling method using UNET architecture and dual cross-attention mechanism,"J Liu, C Shi, L Ge, R Tie , X Chen, T Zhou, X Gu… - Remote Sensing, 2024",2024,https://www.mdpi.com/2072-4292/16/11/1867,A
… between analog ensemble and convolutional neural network empirical-statistical downscaling techniques for reconstructing high-resolution near-surface wind,"CM Rozoff , S Alessandrini",2022,https://www.mdpi.com/1996-1073/15/5/1718,A
Exploring super-resolution spatial downscaling of several meteorological variables and potential applications for photovoltaic power,"A Damiani , NN Ishizaki , H Sasaki, S Feron … - Scientific Reports, 2024",2024,https://www.nature.com/articles/s41598-024-57759-8,A
A spatial downscaling approach for enhanced accuracy in high wind speed estimation using hybrid attention transformer,"J Liu, C Shi, L Ge, R Tie , T Zhou, X Chen, X Gu… - Journal of …, 2025",2025,https://link.springer.com/article/10.1007/s13351-025-4105-6,A
Downscaling Neural Network for Coastal Simulations,"ZS Liu , M Büttner , M Scarborough, E Valseth … - arXiv preprint arXiv …, 2024",2024,https://arxiv.org/abs/2408.16553,A
MACHINE LEARNING-BASED DOWNSCALING OF CLIMATE MODELS USING REMOTE SENSING AND GIS DATA FOR HIGH-RESOLUTION ATMOSPHERIC …,"SH Abbas, WA Soomro, S Ali",2026,https://www.thesesjournal.com/index.php/1/article/view/1999,A
A new statistical downscaling approach for short‐term forecasting of summer air temperatures through a fusion of deep learning and spatial interpolation,"D Cho , J Im , S Jung",2024,https://rmets.onlinelibrary.wiley.com/doi/abs/10.1002/qj.4643,A
