title,authors,year,url
Merge tree geodesics and barycenters with path mappings,"F Wetzels , M Pont , J Tierny … - IEEE Transactions on …, 2023",2023,https://ieeexplore.ieee.org/abstract/document/10296528/
Robust Representation and Estimation of Barycenters and Modes of Probability Measures on Metric Spaces,"W Mio , T Needham",2025,https://arxiv.org/abs/2505.09609
Principal geodesic analysis of merge trees (and persistence diagrams),"M Pont , J Vidal, J Tierny",2022,https://ieeexplore.ieee.org/abstract/document/9920234/
Temporal merge tree maps: A topology-based static visualization for temporal scalar data,"W Köpp , T Weinkauf",2022,https://ieeexplore.ieee.org/abstract/document/9903344/
Wasserstein auto-encoders of merge trees (and persistence diagrams),"M Pont , J Tierny",2023,https://ieeexplore.ieee.org/abstract/document/10330140/
Sketching merge trees for scientific visualization,"M Li , S Palande , L Yan , B Wang",2023,https://ieeexplore.ieee.org/abstract/document/10363123/
Categorizing Merge Tree Edit Distances by Stability using Minimal Vertex Perturbation,"F Wetzels , C Garth",2025,https://arxiv.org/abs/2508.02352
Intrinsic interleaving distance for merge trees,"E Gasparovic , E Munch , S Oudot , K Turner , B Wang… - La Matematica, 2025",2025,https://link.springer.com/article/10.1007/s44007-024-00143-9
Geometry-aware merge tree comparisons for time-varying data with interleaving distances,"L Yan , TB Masood , F Rasheed , I Hotz … - IEEE Transactions on …, 2022",2022,https://ieeexplore.ieee.org/abstract/document/9744472/
Fast comparative analysis of merge trees using locality sensitive hashing,"W Lyu, R Sridharamurthy , JM Phillips … - IEEE Transactions on …, 2024",2024,https://ieeexplore.ieee.org/abstract/document/10679654/
Functional data representation with merge trees,"M Pegoraro , P Secchi",2026,https://www.tandfonline.com/doi/abs/10.1080/10618600.2026.2654769
"From Trees to Barcodes and Back Again: A Combinatorial, Probabilistic and Geometric Study of a Topological Inverse Problem",AE Garin,2022,https://infoscience.epfl.ch/entities/publication/16358fe5-358f-49fc-ad4d-75fab85f2c1e
A deformation-based edit distance for merge trees,"F Wetzels , C Garth",2022,https://ieeexplore.ieee.org/abstract/document/9975820/
Branch Decomposition-Independent Edit Distances for Merge Trees Supplementary Material,"F Wetzels , H Leitte , C Garth",2022,https://diglib.eg.org/server/api/core/bitstreams/733284af-c5bf-4708-a88a-a4b144b5f2d4/content
Branch Decomposition‐Independent Edit Distances for Merge Trees,"F Wetzels , H Leitte , C Garth",2022,https://onlinelibrary.wiley.com/doi/abs/10.1111/cgf.14547
Accelerating computation of stable merge tree edit distances using parameterized heuristics,"F Wetzels , H Leitte , C Garth",2025,https://ieeexplore.ieee.org/abstract/document/10988931/
Taming horizontal instability in merge trees: On the computation of a comprehensive deformation-based edit distance,"F Wetzels , M Anders , C Garth",2023,https://ieeexplore.ieee.org/abstract/document/10363141/
A Comparative Study of Different Edit Distance-Based Methods for Feature Tracking using Merge Trees on Time-Varying Scalar Fields,"S Le Thanh , T Weinkauf",2025,https://ieeexplore.ieee.org/abstract/document/11298874/
Multi-field visualisation via trait-induced merge trees,"J Jankowai, TB Masood , I Hotz",2023,https://ieeexplore.ieee.org/abstract/document/10363146/
"Stable, Discriminative Distances on Reeb Graphs and Merge Trees",B Bollen,2022,https://search.proquest.com/openview/0468b48ab7c21f95e9ee535b5102bf07/1?pq-origsite=gscholar&cbl=18750&diss=y
Distributed hierarchical contour trees,"HA Carr , O Rübel , GH Weber",2022,https://ieeexplore.ieee.org/abstract/document/9966394/
Exploring Electron Density Evolution using Merge Tree Mappings.,"F Wetzels , TB Masood , NH List , I Hotz … - EuroVis (Short Papers), 2024",2024,https://diglib.eg.org/server/api/core/bitstreams/969194cd-5162-42bf-981d-a791966e2bd1/content
Cycles Communities from the Perspective of Dendrograms and Gradient Sampling,S Dakurah,2025,https://arxiv.org/abs/2512.12974
Locally Correct Interleavings between Merge Trees,"T Beurskens, T Ophelders , B Speckmann… - arXiv preprint arXiv …, 2025",2025,https://arxiv.org/abs/2512.16474
ParkView: Visualizing Monotone Interleavings,"T Beurskens, S Van Den Broek … - 2025 IEEE 18th …, 2025",2025,https://ieeexplore.ieee.org/abstract/document/11021019/
Topological Federated Clustering via Gravitational Potential Fields Under Local Differential Privacy,"Y Long , J Zhang, X Chen, A Brintrup",2026,https://ojs.aaai.org/index.php/AAAI/article/view/39582
Visualizing loss functions as topological landscape profiles,"C Geniesse , J Chen , T Xie , G Shi , Y Yang … - arXiv preprint arXiv …, 2024",2024,https://arxiv.org/abs/2411.12136
Efficient Heuristic Algorithms for Interleaving Distance between Merge Trees,"EF Touli , TB Masood",2025,https://ieeexplore.ieee.org/abstract/document/11298766/
Analyse en Géodésiques Principales d'Arbres de Fusion (et de Diagrammes de Persistance),"M Pont , J Vidal, J Tierny",N/A,https://journee-visu.github.io/2023/submissions/Pont_et_al.pdf
A Hands-on TTK Tutorial for Absolute Beginners,"C Garth , RGC Maack , M Pont , J Tierny",2023,https://hal.science/hal-04155033/
Multi-scale Cycle Tracking in Dynamic Planar Graphs,"F Rasheed , A Naseer , E Nilsson… - … Data Analysis and …, 2024",2024,https://ieeexplore.ieee.org/abstract/document/10747662/
Tracking Low-Level Cloud Systems with Topology,"M Li , D Chatterjee, F Glassmeier… - 2025 IEEE Workshop …, 2025",2025,https://ieeexplore.ieee.org/abstract/document/11298805/
ALSM: An Attribute-Aware LSM-Tree Based Key-Value Store to Reduce I/O Amplification,"Z Shen , D Yu, Q Wei , K Zhang, Z Zhang… - … Conference on Meta …, 2024",2024,https://ieeexplore.ieee.org/abstract/document/11062760/
"The DOPE Distance is SIC: A Stable, Informative, and Computable Metric on Time Series And Ordered Merge Trees","CJ Tralie , Z Schlamowitz, J Arbelo, AI Delgado… - arXiv preprint arXiv …, 2022",2022,https://arxiv.org/abs/2212.01648
Flexible and probabilistic topology tracking with partial optimal transport,"M Li , X Yan , L Yan , T Needham … - IEEE Transactions on …, 2025",2025,https://ieeexplore.ieee.org/abstract/document/10965933/
Agglomerative Hierarchical Clustering-based Analysis of Charging Station Load Patterns,"J Wu, W Zhao, Z Zhang, C Nie - 2024 6th Asia Energy and …, 2024",2024,https://ieeexplore.ieee.org/abstract/document/10544548/
Hands-On TTK Tutorial: Solving Practical Problems in Small Groups,"J Lukasczyk, C Garth , M Will , M Pont , J Tierny",2025,https://hal.science/hal-05360486/
A general framework for augmenting lossy compressors with topological guarantees,"N Gorski , X Liang , H Guo , L Yan … - IEEE Transactions on …, 2025",2025,https://ieeexplore.ieee.org/abstract/document/10989781/
U-Net Without Training: A Hierarchical Moment-Based Autoencoder,P Boulanger,2026,https://www.researchgate.net/profile/Pierre-Boulanger-4/publication/402800625_U-Net_Without_Training_A_Hierarchical_Moment-Based_Autoencoder/links/69bc20da5ba285703c8a75c3/U-Net-Without-Training-A-Hierarchical-Moment-Based-Autoencoder.pdf
Fast agglomerative clustering using approximate traveling salesman solutions,"S Sieranoja , P Fränti",2025,https://link.springer.com/article/10.1186/s40537-024-01053-x
Segmentation of shopping mall customers using clustering,"D Deepa , A Sivasangari , R Vignesh , N Priyanka … - Data Intelligence and …, 2022",2022,https://link.springer.com/chapter/10.1007/978-981-19-6004-8_48
Reconstructing Bounded Treelength Graphs with Linearithmic Shortest Path Distance Queries,"C Kaudan , A Nayyeri",2026,https://arxiv.org/abs/2603.10432
On the best way to cluster NCI-60 molecules,"S Hernández-Hernández, PJ Ballester",2023,https://www.mdpi.com/2218-273X/13/3/498
In-Database Time Series Clustering,"Y Su , KY Liang, S Song",2025,https://dl.acm.org/doi/abs/10.1145/3709696
Spfresh: Incremental in-place update for billion-scale vector search,"Y Xu, H Liang, J Li , S Xu , Q Chen , Q Zhang … - Proceedings of the 29th …, 2023",2023,https://dl.acm.org/doi/abs/10.1145/3600006.3613166
BiScale-GTR: Fragment-Aware Graph Transformers for Multi-Scale Molecular Representation Learning,"Y Yang , O Daescu - arXiv preprint arXiv:2604.06336, 2026",2026,https://arxiv.org/abs/2604.06336
Democratizing cheminformatics: interpretable chemical grouping using an automated KNIME workflow,"JT Moreira-Filho , D Ranganath , M Conway… - Journal of …, 2024",2024,https://link.springer.com/article/10.1186/s13321-024-00894-1
"DPU, 122 DRAM, 2, 25, 41 DRAM latency, 60 DULO, 107 dynamic memory allocation, 180",ORC Apache,N/A,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/DD5C74E6D65347EB3128C9692AF7113E/9781009123310ind_279-284.pdf/index.pdf
Lagrangian Simulation Volume-Based Contour Tree Simplification,"D Dilys, H Carr , S Boeing",2025,https://ieeexplore.ieee.org/abstract/document/11298740/
Jacobi set simplification for tracking topological features in time-varying scalar fields,"D Meduri, M Sharma , V Natarajan",2024,https://link.springer.com/article/10.1007/s00371-024-03484-2
Topological Representations for Data Analysis: Use Cases on Instabilities and Turbulences,"F Vivodtzev , F Nauleau, A Casner … - EPJ Web of …, 2024",2024,https://www.epj-conferences.org/articles/epjconf/abs/2024/12/epjconf_snamc2024_03008/epjconf_snamc2024_03008.html
"Quantum Clustering, kNN-Based Clustering, and Hierarchical Clustering on a Sample Dataset","M Uysal, A Uysal",N/A,"http://files.farmclin.com/testarticle/1772795698860-39.%20Quantum%20Clustering,%20kNN%20(2026%20issue).pdf"
A unified machine learning framework for basketball team roster construction: NBA and WNBA,"Y Ke, R Bian , R Chandra",2024,https://www.sciencedirect.com/science/article/pii/S1568494624000723
ARCADE: A Real-Time Data System for Hybrid and Continuous Query Processing across Diverse Data Modalities,"J Yang , S Mo , J Shi , Z Yu , K Shi, X Ding … - arXiv preprint arXiv …, 2025",2025,https://arxiv.org/abs/2509.19757
