title,authors,year,url
Computing a stable distance on merge trees,"B Bollen, P Tennakoon… - IEEE Transactions on …, 2022",2022,https://ieeexplore.ieee.org/abstract/document/9912347/
A Comparative Study of Different Edit Distance -Based Methods for Feature Tracking using Merge Trees on Time-Varying Scalar Fields,"S Le Thanh , T Weinkauf",2025,https://ieeexplore.ieee.org/abstract/document/11298874/
Temporal merge tree maps: A topology-based static visualization for temporal scalar data,"W Köpp , T Weinkauf",2022,https://ieeexplore.ieee.org/abstract/document/9903344/
Merge tree geodesics and barycenters with path mappings,"F Wetzels , M Pont , J Tierny … - IEEE Transactions on …, 2023",2023,https://ieeexplore.ieee.org/abstract/document/10296528/
Branch Decomposition‐Independent Edit Distances for Merge Trees,"F Wetzels , H Leitte , C Garth",2022,https://onlinelibrary.wiley.com/doi/abs/10.1111/cgf.14547
Fast comparative analysis of merge trees using locality sensitive hashing,"W Lyu, R Sridharamurthy , JM Phillips … - IEEE Transactions on …, 2024",2024,https://ieeexplore.ieee.org/abstract/document/10679654/
Categorizing Merge Tree Edit Distances by Stability using Minimal Vertex Perturbation,"F Wetzels , C Garth",2025,https://arxiv.org/abs/2508.02352
Accelerating computation of stable merge tree edit distances using parameterized heuristics,"F Wetzels , H Leitte , C Garth",2025,https://ieeexplore.ieee.org/abstract/document/10988931/
Geometry-aware merge tree comparisons for time-varying data with interleaving distances,"L Yan , TB Masood , F Rasheed , I Hotz … - IEEE Transactions on …, 2022",2022,https://ieeexplore.ieee.org/abstract/document/9744472/
Taming horizontal instability in merge trees: On the computation of a comprehensive deformation-based edit distance,"F Wetzels , M Anders , C Garth",2023,https://ieeexplore.ieee.org/abstract/document/10363141/
A Distance for Geometric Graphs via the Labeled Merge Tree Interleaving Distance,"EW Chambers , E Munch , S Percival … - arXiv preprint arXiv …, 2024",2024,https://arxiv.org/abs/2407.09442
Sketching merge trees for scientific visualization,"M Li , S Palande , L Yan , B Wang",2023,https://ieeexplore.ieee.org/abstract/document/10363123/
A deformation-based edit distance for merge trees,"F Wetzels , C Garth",2022,https://ieeexplore.ieee.org/abstract/document/9975820/
Multi- field visualisation via trait-induced merge trees,"J Jankowai, TB Masood , I Hotz",2023,https://ieeexplore.ieee.org/abstract/document/10363146/
Principal geodesic analysis of merge trees (and persistence diagrams),"M Pont , J Vidal, J Tierny",2022,https://ieeexplore.ieee.org/abstract/document/9920234/
"Stable, Discriminative Distances on Reeb Graphs and Merge Trees",B Bollen,2022,https://search.proquest.com/openview/0468b48ab7c21f95e9ee535b5102bf07/1?pq-origsite=gscholar&cbl=18750&diss=y
