title,authors,year,url
Merge tree geodesics and barycenters with path mappings,"F Wetzels , M Pont , J Tierny … - IEEE Transactions on …, 2023",2023,https://ieeexplore.ieee.org/abstract/document/10296528/
Principal geodesic analysis of merge trees (and persistence diagrams),"M Pont , J Vidal, J Tierny",2022,https://ieeexplore.ieee.org/abstract/document/9920234/
Data analysis with merge trees,M Pegoraro,2023,https://amsdottorato.unibo.it/id/eprint/10634/
Computing a stable distance on merge trees,"B Bollen, P Tennakoon… - IEEE Transactions on …, 2022",2022,https://ieeexplore.ieee.org/abstract/document/9912347/
Decorated merge trees for persistent topology,"J Curry , H Hang , W Mio , T Needham … - Journal of Applied and …, 2022",2022,https://link.springer.com/article/10.1007/s41468-022-00089-3
Geometry-aware merge tree comparisons for time-varying data with interleaving distances,"L Yan , TB Masood , F Rasheed , I Hotz … - IEEE Transactions on …, 2022",2022,https://ieeexplore.ieee.org/abstract/document/9744472/
Temporal merge tree maps: A topology-based static visualization for temporal scalar data,"W Köpp , T Weinkauf",2022,https://ieeexplore.ieee.org/abstract/document/9903344/
A deformation-based edit distance for merge trees,"F Wetzels , C Garth",2022,https://ieeexplore.ieee.org/abstract/document/9975820/
Accelerating computation of stable merge tree edit distances using parameterized heuristics,"F Wetzels , H Leitte , C Garth",2025,https://ieeexplore.ieee.org/abstract/document/10988931/
Analyse en Géodésiques Principales d'Arbres de Fusion (et de Diagrammes de Persistance),"M Pont , J Vidal, J Tierny",N/A,https://journee-visu.github.io/2023/submissions/Pont_et_al.pdf
"Discrete merge trees, horizon visibility graphs, and topological divergences",C Stephen,2023,https://pureportal.coventry.ac.uk/files/111435024/main-library-version_1_.pdf
Intrinsic interleaving distance for merge trees,"E Gasparovic , E Munch , S Oudot , K Turner , B Wang… - La Matematica, 2025",2025,https://link.springer.com/article/10.1007/s44007-024-00143-9
Sketching merge trees for scientific visualization,"M Li , S Palande , L Yan , B Wang",2023,https://ieeexplore.ieee.org/abstract/document/10363123/
Functional data representation with merge trees,"M Pegoraro , P Secchi",2026,https://www.tandfonline.com/doi/abs/10.1080/10618600.2026.2654769
Branch Decomposition‐Independent Edit Distances for Merge Trees,"F Wetzels , H Leitte , C Garth",2022,https://onlinelibrary.wiley.com/doi/abs/10.1111/cgf.14547
Categorizing Merge Tree Edit Distances by Stability using Minimal Vertex Perturbation,"F Wetzels , C Garth",2025,https://arxiv.org/abs/2508.02352
A Comparative Study of Different Edit Distance-Based Methods for Feature Tracking using Merge Trees on Time-Varying Scalar Fields,"S Le Thanh , T Weinkauf",2025,https://ieeexplore.ieee.org/abstract/document/11298874/
Taming horizontal instability in merge trees: On the computation of a comprehensive deformation-based edit distance,"F Wetzels , M Anders , C Garth",2023,https://ieeexplore.ieee.org/abstract/document/10363141/
Wasserstein auto-encoders of merge trees (and persistence diagrams),"M Pont , J Tierny",2023,https://ieeexplore.ieee.org/abstract/document/10330140/
Fast comparative analysis of merge trees using locality sensitive hashing,"W Lyu, R Sridharamurthy , JM Phillips … - IEEE Transactions on …, 2024",2024,https://ieeexplore.ieee.org/abstract/document/10679654/
Rapid and precise topological comparison with merge tree neural networks,"Y Qin , BT Fasy , C Wenk … - IEEE transactions on …, 2024",2024,https://ieeexplore.ieee.org/abstract/document/10684303/
Intrinsic Bottleneck Distance for Merge Trees,"D Beers , G Grindstaff",2025,https://arxiv.org/abs/2509.02755
Branch Decomposition-Independent Edit Distances for Merge Trees Supplementary Material,"F Wetzels , H Leitte , C Garth",2022,https://diglib.eg.org/server/api/core/bitstreams/733284af-c5bf-4708-a88a-a4b144b5f2d4/content
Combinatorial topological models for phylogenetic networks and the mergegram invariant,"P Dłotko , JF Senge , A Stefanou",2023,https://arxiv.org/abs/2305.04860
Towards Computing Average Merge Tree Based on the Interleaving Distance,"EF Touli , I Hotz , TB Masood",2026,https://arxiv.org/abs/2603.00783
Efficient Heuristic Algorithms for Interleaving Distance between Merge Trees,"EF Touli , TB Masood",2025,https://ieeexplore.ieee.org/abstract/document/11298766/
Locally Correct Interleavings between Merge Trees,"T Beurskens, T Ophelders , B Speckmann… - arXiv preprint arXiv …, 2025",2025,https://arxiv.org/abs/2512.16474
"From Trees to Barcodes and Back Again: A Combinatorial, Probabilistic and Geometric Study of a Topological Inverse Problem",AE Garin,2022,https://infoscience.epfl.ch/entities/publication/16358fe5-358f-49fc-ad4d-75fab85f2c1e
"Stable, Discriminative Distances on Reeb Graphs and Merge Trees",B Bollen,2022,https://search.proquest.com/openview/0468b48ab7c21f95e9ee535b5102bf07/1?pq-origsite=gscholar&cbl=18750&diss=y
Robust Representation and Estimation of Barycenters and Modes of Probability Measures on Metric Spaces,"W Mio , T Needham",2025,https://arxiv.org/abs/2505.09609
