title,authors,year,url,bucket
Super-resolution of turbulent velocity and scalar fields using different scalar distributions,"A Shamooni, OT Stein, A Kronenburg",2025,https://arxiv.org/abs/2503.08834,B
Fluorescence microscopy with nanometer resolution: nanoscale resolution in far-field fluorescence microscopy,"SJ Sahl, A Schönle, SW Hell",2019,https://link.springer.com/chapter/10.1007/978-3-030-00069-1_22,B
Using physics-informed enhanced super-resolution generative adversarial networks for subfilter modeling in turbulent reactive flows,"M Bode, M Gauding, Z Lian, D Denker",2021,https://www.sciencedirect.com/science/article/pii/S1540748920300481,B
Using physics-informed super-resolution generative adversarial networks for subgrid modeling in turbulent reactive flows,"M Bode, M Gauding, Z Lian, D Denker",2019,https://arxiv.org/abs/1911.11380,B
Super-resolution of turbulent reacting flows on complex meshes using graph neural networks,"P Dash, K Aditya, CE Frouzakis, M Bode",2026,https://arxiv.org/abs/2603.01080,B
SSR-TVD: Spatial super-resolution for time-varying data analysis and visualization,"J Han, C Wang",2020,https://ieeexplore.ieee.org/abstract/document/9229162/,B
Multimodal super-resolution for fast image-based simulation of crystal plasticity,"D Mesbah, H Proudhon, L Gélébart",2025,https://www.sciencedirect.com/science/article/pii/S0045782525004827,B
Rotationally equivariant super-resolution of velocity fields in two-dimensional flows using convolutional neural networks,"Y Yasuda, R Onishi",2023,https://pubs.aip.org/aip/aml/article/1/2/026107/2882270,B
Physics-Consistent Diffusion for Efficient Fluid Super-Resolution via Multiscale Residual Correction,"Z Li, S Dong, C Yi, J Gao, Z Lai, Z Liu, W Wang",2026,https://arxiv.org/abs/2603.00149,B
TSR-TVD: Temporal super-resolution for time-varying data analysis and visualization,"J Han, C Wang",2019,https://ieeexplore.ieee.org/abstract/document/8802285/,B
Compressive neural representations of volumetric scalar fields,"Y Lu, K Jiang, JA Levine, M Berger",2021,https://onlinelibrary.wiley.com/doi/abs/10.1111/cgf.14295,B
Super-resolution imaging system developed from vector superoscillatory field illumination,"R Qi, G Gbur",2023,https://opg.optica.org/abstract.cfm?uri=ol-48-16-4284,B
Super-resolution flow-field reconstruction in rotating detonation combustors,"X Wang, H Wen, B Wang",2024,https://www.sciencedirect.com/science/article/pii/S1270963823006363,B
Applying physics-informed enhanced super-resolution generative adversarial networks to finite-rate-chemistry flows and predicting lean premixed gas turbine …,M Bode,2022,https://arxiv.org/abs/2210.16219,B
Computational and Experimental Methods for Super-Resolution Imaging in Lensfree Microscopy,MT Baker,2022,https://search.proquest.com/openview/26c06fd48482a18614979250fb1f3067/1?pq-origsite=gscholar&cbl=18750&diss=y,B
Super-sampling by learning-based super-resolution,"P Du, J Zhang, J Long",2020,https://www.inderscienceonline.com/doi/abs/10.1504/IJCSE.2020.105731,B
Riemannian Diffusion Models for High Fidelity Image Super Resolution using Curvature Guided Langevin Dynamics,"X Zhang, K Zhang, J Wu",NA,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=6552427,B
Point singularity array with metasurfaces,"SWD Lim, JS Park, D Kazakov, CM Spägele",2023,https://www.nature.com/articles/s41467-023-39072-6,B
Fight ill-posedness with ill-posedness: Single-shot variational depth super-resolution from shading,"B Haefner, Y Quéau, T Möllenhoff",2018,http://openaccess.thecvf.com/content_cvpr_2018/html/Haefner_Fight_Ill-Posedness_With_CVPR_2018_paper.html,B
Photometric depth super-resolution,"B Haefner, S Peng, A Verma, Y Quéau",2019,https://ieeexplore.ieee.org/abstract/document/8738841/,B
Increasing the geometrical and interpretation quality of unmanned aerial vehicle photogrammetry products using super-resolution algorithms,P Burdziakowski,2020,https://www.mdpi.com/2072-4292/12/5/810,B
Efficient 3D Surface Super-resolution via Normal-based Multimodal Restoration,"M Wang, Y Liu, W Xie, B Shi",2025,https://ieeexplore.ieee.org/abstract/document/11192222/,B
Analysis of an unsteady quasi-capillary channel flow with time-resolved PIV and RBF-based super-resolution,"M Ratz, D Fiorini, A Simonini, C Cierpka",2023,https://link.springer.com/article/10.1007/s11998-022-00664-4,B
CASCADE: Cross-scale Advective Super-resolution with Climate Assimilation and Downscaling Evolution,A Kovalenko,2026,https://arxiv.org/abs/2603.00109,B
CDBGrad-BlindSR: Collaborative Dual-Branch Network via Gradient Guidance for Efficient Blind Super Resolution,"H Yang, S Fu, K Liu, X Yang",2025,https://ieeexplore.ieee.org/abstract/document/11018875/,B
BPS2025-Epidermal differentiation as revealed by multiphoton microscopy with fluorescence lifetime imaging—methodological insights,"C Qian, M Malak, H Chen, J James, S Nair",2025,https://www.cell.com/biophysj/abstract/S0006-3495(24)02539-6,B
Separation estimation of two freely rotating dipole emitters near the quantum limit,"S Liu, S Pani, SA Khan, FE Becerra, KA Lidke",2026,https://link.aps.org/doi/10.1103/nwrq-4fqv,B
Gram-hd: 3d-consistent image generation at high resolution with generative radiance manifolds,"J Xiang, J Yang, Y Deng",2023,http://openaccess.thecvf.com/content/ICCV2023/html/Xiang_GRAM-HD_3D-Consistent_Image_Generation_at_High_Resolution_with_Generative_Radiance_ICCV_2023_paper.html,B
Scalar field prediction on meshes using interpolated multiresolution convolutional neural networks,"K Ferguson, A Gillman, J Hardin",2024,https://asmedigitalcollection.asme.org/appliedmechanics/article-abstract/91/10/101002/1201208,B
Investigation of the generalization capability of a generative adversarial network for large eddy simulation of turbulent premixed reacting flows,"L Nista, CDK Schumann, T Grenga, A Attili",2023,https://www.sciencedirect.com/science/article/pii/S1540748922002851,B
BPS2026–Efficient imaging fluorescence fluctuation spectroscopy analysis through vision transformers,"T Wohland, SR Sim, Z Wang, S Zhou",2026,https://www.cell.com/biophysj/abstract/S0006-3495(25)01764-3,B
BPS2026–Transcriptional activation and RNA regulatory kinetics in living cells studied by 3D orbital tracking fluorescence cross-correlation spectroscopy,"CJ Nisha, J Roberts, E Hayden, ML Ferguson",2026,https://www.cell.com/biophysj/abstract/S0006-3495(25)01765-5,B
BPS2026–Separation estimation of two freely rotating dipole emitters near the quantum limit,"S Liu, S Pani, SA Khan, FE Becerra, KA Lidke",2026,https://www.cell.com/biophysj/abstract/S0006-3495(25)01766-7,B
Fast neural representations for direct volume rendering,"S Weiss, P Hermüller",2022,https://onlinelibrary.wiley.com/doi/abs/10.1111/cgf.14578,B
Entropy-based super-resolution imaging in waveguide-based TIRF microscopy—an experimental and numerical study,"C Lu, M Talebi Khoshmehr, MS Feiz, MM Dashtabi",2025,https://opg.optica.org/abstract.cfm?uri=oe-33-14-29295,B
GMT: A deep learning approach to generalized multivariate translation for scientific data analysis and visualization,"S Yao, J Han, C Wang",2023,https://www.sciencedirect.com/science/article/pii/S0097849323000390,B
BPS2026–Molecular-scale dissection of bacterial protein interactions with 3D expansion-PALM,"C Caldini, S Del Duca, A Vassallo, G Semenzato",2026,https://www.cell.com/biophysj/abstract/S0006-3495(25)01767-9,B
Spatio-temporal downscaling of climate data using convolutional and error-predicting neural networks,"A Serifi, T Günther, N Ban",2021,https://www.frontiersin.org/journals/climate/articles/10.3389/fclim.2021.656479/full,B
Deep learning at scale for subgrid modeling in turbulent flows: regression and reconstruction,"M Bode, M Gauding, K Kleinheinz, H Pitsch",2019,https://link.springer.com/chapter/10.1007/978-3-030-34356-9_41,B
Single-photon super-resolved spectroscopy from spatial-mode demultiplexing,"L Santamaria, F Sgobba, D Pallotti, C Lupo",2025,https://opg.optica.org/abstract.cfm?uri=prj-13-4-865,B
HyperFLINT: Hypernetwork‐based Flow Estimation and Temporal Interpolation for Scientific Ensemble Visualization,"H Gadirov, Q Wu, D Bauer, KL Ma",2025,https://onlinelibrary.wiley.com/doi/abs/10.1111/cgf.70134,B
Point singularity array with metasurfaces for blue-detuned atomic traps,"SWD Lim, JS Park, D Kazakov",2023,https://www.spiedigitallibrary.org/conference-proceedings-of-spie/PC12649/PC126490U/Point-singularity-array-with-metasurfaces-for-blue-detuned-atomic-traps/10.1117/12.2676740.short,B
Theoretical analysis of diffraction imaging in Fourier ptychography microscopy,"S Zhang, Y Hu, Y Wang, X Cheng",2019,https://www.spiedigitallibrary.org/conference-proceedings-of-spie/10990/109900A/Theoretical-analysis-of-diffraction-imaging-in-Fourier-ptychography-microscopy/10.1117/12.2519587.short,B
