title,authors,year,url,bucket
Deep hierarchical super resolution for scientific data,"SW Wurster, H Guo, HW Shen",2022,https://ieeexplore.ieee.org/abstract/document/9920542/,B
DL4SciVis: A state-of-the-art survey on deep learning for scientific visualization,"C Wang, J Han",2022,https://ieeexplore.ieee.org/abstract/document/9760126/,B
Stsrnet: Deep joint space–time super-resolution for vector field visualization,"Y An, HW Shen, G Shan, G Li",2021,https://ieeexplore.ieee.org/abstract/document/9488227/,B
Psrflow: Probabilistic super resolution with flow-based models for scientific data,"J Shen, HW Shen",2023,https://ieeexplore.ieee.org/abstract/document/10309865/,B
Machine Learning for Scientific Visualization: Ensemble Data Analysis,H Gadirov,2025,https://arxiv.org/abs/2511.23290,B
STSR-INR: Spatiotemporal super-resolution for multivariate time-varying volumetric data via implicit neural representation,"K Tang, C Wang",2024,https://www.sciencedirect.com/science/article/pii/S0097849324000013,B
A study of data augmentation for learning-driven scientific visualization,"J Han, H Zheng, J Tao",2025,https://ieeexplore.ieee.org/abstract/document/11077756/,B
Scalar2Vec: Translating scalar fields to vector fields via deep learning,"P Gu, J Han, DZ Chen, C Wang",2022,https://par.nsf.gov/biblio/10337493,B
FFEINR: Flow feature-enhanced implicit neural representation for spatio-temporal super-resolution,"C Jiao, C Bi, L Yang",2023,https://arxiv.org/abs/2308.12508,B
TSR-TVD: Temporal super-resolution for time-varying data analysis and visualization,"J Han, C Wang",2019,https://ieeexplore.ieee.org/abstract/document/8802285/,B
Integration-Aware Vector Field Super Resolution.,"S Sahoo, M Berger",2021,https://diglib.eg.org/server/api/core/bitstreams/057b367e-e573-4efb-8d45-0218261f4d2d/content,B
GMT: A deep learning approach to generalized multivariate translation for scientific data analysis and visualization,"S Yao, J Han, C Wang",2023,https://www.sciencedirect.com/science/article/pii/S0097849323000390,B
CD-TVD: Contrastive diffusion for 3D super-resolution with scarce high-resolution time-varying data,"C Bi, X Gao, J Deng, G Li, J Han",2025,https://ieeexplore.ieee.org/abstract/document/11298315/,B
Hyperinr: A fast and predictive hypernetwork for implicit neural representations via knowledge distillation,"Q Wu, D Bauer, Y Chen, KL Ma",2023,https://arxiv.org/abs/2304.04188,B
Coordnet: Data generation and visualization generation for time-varying volumes via a coordinate-based neural network,"J Han, C Wang",2022,https://ieeexplore.ieee.org/abstract/document/9852325/,B
Pix2pixssr: Spatial Super-Resolution Generation of the Time-Varying Volume Data for in Situ Visualization,"J Chen, K Ye",NA,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4164572,B
NeRVI: Compressive neural representation of visualization images for communicating volume visualization results,"P Gu, DZ Chen, C Wang",2023,https://www.sciencedirect.com/science/article/pii/S0097849323001930,B
Self‐attention residual network‐based spatial super‐resolution synthesis for time‐varying volumetric data,"J Ma, Y Ye, J Chen",2024,https://ietresearch.onlinelibrary.wiley.com/doi/abs/10.1049/ipr2.13050,B
HyperFLINT: Hypernetwork‐based Flow Estimation and Temporal Interpolation for Scientific Ensemble Visualization,"H Gadirov, Q Wu, D Bauer, KL Ma",2025,https://onlinelibrary.wiley.com/doi/abs/10.1111/cgf.70134,B
Compressive Modeling and Visualization of Multivariate Scientific Data using Implicit Neural Representation,"AK Dwivedi, S Saklani, S Dutta",2025,https://arxiv.org/abs/2510.15535,B
AMGSRN++: Improved Adaptive SRN for Scientific Visualization,"SW Wurster, HW Shen",2025,https://ieeexplore.ieee.org/abstract/document/11021073/,B
ESRGAN-based visualization for large-scale volume data: C. Jiao et al.,"C Jiao, C Bi, L Yang, Z Wang, Z Xia, K Ono",2023,https://link.springer.com/article/10.1007/s12650-022-00891-2,B
Pix2PixSSR: Spatial super‐resolution synthesis and visualization for time‐varying volumetric data,"J Ma, J Chen",2024,https://ietresearch.onlinelibrary.wiley.com/doi/abs/10.1049/ipr2.12933,B
Flint: Learning-based flow estimation and temporal interpolation for scientific ensemble visualization,"H Gadirov, JBTM Roerdink",2025,https://ieeexplore.ieee.org/abstract/document/10965516/,B
Uncertainty-informed volume visualization using implicit neural representation,"S Saklani, C Goel, S Bansal, Z Wang",2024,https://ieeexplore.ieee.org/abstract/document/10750137/,B
ViSNeRF: Efficient multidimensional neural radiance field representation for visualization synthesis of dynamic volumetric scenes,"S Yao, Y Lu, C Wang",2025,https://ieeexplore.ieee.org/abstract/document/11021069/,B
Accelerated probabilistic marching cubes by deep learning for time-varying scalar ensembles,"M Han, TM Athawale, D Pugmire",2022,https://ieeexplore.ieee.org/abstract/document/9973217/,B
Deep learning-based upscaling for in situ volume visualization,"S Weiss, J Han, C Wang, R Westermann",2022,https://link.springer.com/chapter/10.1007/978-3-030-81627-8_15,B
VisIVO interactive high performance visualization,"E Sciacca, N Tuccari, U Arshad, F Pitari",2026,https://www.sciencedirect.com/science/article/pii/S2213133726000119,B
AI for Scientific Visualization,"CR Johnson, HW Shen",2023,https://www.worldscientific.com/doi/abs/10.1142/9789811265679_0029,B
Uncertainty-aware deep neural representations for visual analysis of vector field data,"A Kumar, S Garg, S Dutta",2024,https://ieeexplore.ieee.org/abstract/document/10669790/,B
Idlat: An importance-driven latent generation method for scientific data,"J Shen, H Li, J Xu, A Biswas",2022,https://ieeexplore.ieee.org/abstract/document/9904483/,B
EatGAN: An Edge-Attention Guided Generative Adversarial Network for Single Image Super-Resolution,"P Rao, T Zeng",2025,https://arxiv.org/abs/2509.14550,B
UnrealVis: A Testing Laboratory of Optimization Techniques in Unreal Engine for Scientific Visualization,"M Filosa, A Nardocci, T Catarci, M Angelini",2026,https://arxiv.org/abs/2604.02980,B
Neonatal white matter damage analysis using dti super-resolution and multi-modality image registration,"Y Wang, Y Zhang, C Ma, R Wang, Z Guo",2024,https://www.worldscientific.com/doi/abs/10.1142/S0129065724500011,B
Image Quality Assessment Framework for Airfoil Simulation: A Comparative Analysis and Fine-Tuning of Perceptual Metrics,SK Nunemunthala,2025,https://repositorio-aberto.up.pt/bitstream/10216/169486/2/741734.pdf,B
Reconstructing higher-resolution four-dimensional time-varying volumetric data,"J Ma, J Chen",2023,https://www.tandfonline.com/doi/abs/10.1080/09540091.2023.2289837,B
Efficient Neural Representation of Volumetric Data using Coordinate‐Based Networks.,"S Devkota, S Pattanaik",2023,https://onlinelibrary.wiley.com/doi/abs/10.1111/cgf.14955,B
