title,authors,year,url,bucket
Deep learning method for the super-resolution reconstruction of small-scale motions in large-eddy simulation,"Q Zhao, G Jin, Z Zhou",2022,https://pubs.aip.org/aip/adv/article/12/12/125304/2820155,B
Super-resolution simulation for real-time prediction of urban micrometeorology,"R Onishi, D Sugiyama, K Matsuda",2019,https://www.jstage.jst.go.jp/article/sola/15/0/15_2019-032/_article/-char/ja/,B
Super-resolution reconstruction of scalar fields from the pyrolysis of pulverised biomass using deep learning,"A Shamooni, R Cheng, T Zirwes, OT Stein",2025,https://www.sciencedirect.com/science/article/pii/S1540748925001968,B
Influence of adversarial training on super-resolution turbulence reconstruction,"L Nista, H Pitsch, CDK Schumann, M Bode, T Grenga",2024,https://journals.aps.org/prfluids/abstract/10.1103/PhysRevFluids.9.064601,B
Super-resolution of turbulent reacting flows on complex meshes using graph neural networks,"P Dash, K Aditya, CE Frouzakis, M Bode",2026,https://arxiv.org/abs/2603.01080,B
Dynamic deep learning based super-resolution for the shallow water equations,"M Witte, FR Lapolli, P Freese, S Götschel",2025,https://iopscience.iop.org/article/10.1088/2632-2153/ada19f/meta,B
AI super-resolution: Application to turbulence and combustion,M Bode,2023,https://link.springer.com/chapter/10.1007/978-3-031-16248-0_10,B
STSR-INR: Spatiotemporal super-resolution for multivariate time-varying volumetric data via implicit neural representation,"K Tang, C Wang",2024,https://www.sciencedirect.com/science/article/pii/S0097849324000013,B
SIMR-NO: A Spectrally-Informed Multi-Resolution Neural Operator for Turbulent Flow Super-Resolution,"M Abid, O San",2026,https://arxiv.org/abs/2603.28073,B
Applying physics-informed enhanced super-resolution generative adversarial networks to large-eddy simulations of ECN Spray C,M Bode,2022,https://www.sae.org/gsdownload/?prodCd=2022-01-0503,B
Using physics-informed enhanced super-resolution generative adversarial networks to reconstruct mixture fraction statistics of turbulent jet flows,"M Gauding, M Bode",2021,https://link.springer.com/chapter/10.1007/978-3-030-90539-2_9,B
TSR-TVD: Temporal super-resolution for time-varying data analysis and visualization,"J Han, C Wang",2019,https://ieeexplore.ieee.org/abstract/document/8802285/,B
Super-resolution wavefront reconstruction,"S Oberti, C Correia, T Fusco, B Neichel",2022,https://www.aanda.org/articles/aa/abs/2022/11/aa43954-22/aa43954-22.html,B
FFEINR: Flow feature-enhanced implicit neural representation for spatio-temporal super-resolution,"C Jiao, C Bi, L Yang",2023,https://arxiv.org/abs/2308.12508,B
Data-driven subgrid-scale modeling for turbulent hydrogen flames using physics-informed super-resolution,L BRUNACCIONI,2024,https://www.politesi.polimi.it/handle/10589/243106,B
Physics field super-resolution reconstruction via enhanced diffusion model and fourier neural operator,"Y Guo, J Song, X Cao, C Zhao, H Leng",2025,https://www.sciencedirect.com/science/article/pii/S2095034925000364,B
