title,authors,year,url,bucket
Three-dimensional spatiotemporal wind field reconstruction based on physics-informed deep learning,"J Zhang , X Zhao - Applied Energy, 2021",2021,https://www.sciencedirect.com/science/article/pii/S0306261921007911,A
Physics-inspired and data-driven two-stage deep learning approach for wind field reconstruction with experimental validation,"Y Liu, R Wang, Y Gu , C Li, G Wang - Energy, 2024",2024,https://www.sciencedirect.com/science/article/pii/S036054422401003X,A
High-resolution wind field reconstruction enhanced by turbulence scheme optimization and deep learning,"K Wang, Q Wang , K Yang, K Luo , Z Zhang, N Dong… - Physics of …, 2026",2026,https://pubs.aip.org/aip/pof/article/38/1/015151/3377776,A
Prediction of wind fields in mountains at multiple elevations using deep learning models,"H Gao , G Hu , D Zhang , W Jiang , H Ren, W Chen",2024,https://www.sciencedirect.com/science/article/pii/S0306261923014630,A
Wind field reconstruction from lidar measurements at high-frequency using machine learning,"C Stock-Williams , P Mazoyer … - Journal of Physics …, 2018",2018,https://iopscience.iop.org/article/10.1088/1742-6596/1102/1/012003/meta,A
Meshless surface wind speed field reconstruction based on machine learning,"N Liu, Z Yan, X Tong , J Jiang, H Li, J Xia , X Lou… - … in Atmospheric Sciences, 2022",2022,https://link.springer.com/article/10.1007/s00376-022-1343-8,A
Reconstruction of missing wind data based on limited wind pressure measurements and machine learning,"JX Huang, QS Li , XL Han - Physics of Fluids, 2024",2024,https://pubs.aip.org/aip/pof/article-abstract/36/7/076620/3304119,A
Reconstructing fine-scale 3D wind fields with terrain-informed machine learning,"C Lin , R Tie , S Yi, D Liu, X Zhong , Z Hu , H Li",2026,https://www.nature.com/articles/s41467-026-70562-5,A
… : Reconstruction and prediction of typhoon high-resolution turbulent fields based on meteorological numerical forecast scale wind fields and deep learning …,"H Ren, H Liu, C Zhang, X Sun, J Yang, S Ke - Journal of Wind Engineering …, 2024",2024,https://www.sciencedirect.com/science/article/pii/S0167610524002484,A
Physics-Informed Deep Learning for 3D Wind Field Retrieval of Open-Ocean Typhoons,"X Zhang, T Zhang, S Ke, H He , R Zhang , Y Miao… - Remote Sensing, 2025",2025,https://www.mdpi.com/2072-4292/17/23/3825,A
Reconstruction of tropical cyclone boundary layer wind field using physics-informed machine learning,"F Hu , Q Li",2024,https://pubs.aip.org/aip/pof/article/36/11/116608/3321000,A
Fast reconstruction of a wind field based on numerical simulation and machine learning,"C LI, H GAO, Y LIU - Journal of Tsinghua University (Science and …, 2023",2023,https://www.sciopen.com/article/10.16511/j.cnki.qhdxxb.2023.22.014,A
Realistic tropical cyclone wind and pressure fields can be reconstructed from sparse data using deep learning,"R Eusebi , GA Vecchi , CY Lai , M Tong",2024,https://www.nature.com/articles/s43247-023-01144-2,A
Machine learning –based hurricane wind reconstruction,"Q Yang , CY Lee , MK Tippett , DR Chavas … - Weather and …, 2022",2022,https://journals.ametsoc.org/view/journals/wefo/37/4/WAF-D-21-0077.1.xml,A
Super-resolution reconstruction of wind fields with a swin-transformer-based deep learning framework,"L Tang , C Li , Z Zhao, Y Xiao, S Chen - Physics of Fluids, 2024",2024,https://pubs.aip.org/aip/pof/article/36/12/125110/3323044,A
Spatiotemporal wind field prediction based on physics-informed deep learning and LIDAR measurements,"J Zhang , X Zhao - Applied Energy, 2021",2021,https://www.sciencedirect.com/science/article/pii/S0306261921001732,A
A data-physics driven deep learning method for retrieving submesoscale wind speed fields in far-sea typhoons,"C Zhang, S Ke, L Zhao, G Huang , H Ren… - Journal of Wind …, 2026",2026,https://www.sciencedirect.com/science/article/pii/S0167610526000607,A
Wind field reconstruction using dimension-reduction of CFD data with experimental validation,"L Qin , S Liu, T Long , MA Shahzad , HI Schlaberg… - Energy, 2018",2018,https://www.sciencedirect.com/science/article/pii/S036054421830375X,A
Methodologies for wind field reconstruction in the U-SPACE: a review,E Bucchignani,2023,https://www.mdpi.com/2073-4433/14/11/1684,A
The Deep Wind Method: Physics-Informed Wind Field Reconstruction with Mass Consistency,"DA Cervantes Cabrera… - Wind Energy Science …, 2025",2025,https://wes.copernicus.org/preprints/wes-2025-160/,A
