title,authors,year,url,bucket
Super - resolution reconstruction of wind fields with a swin-transformer-based deep learning framework,"L Tang , C Li , Z Zhao, Y Xiao, S Chen - Physics of Fluids, 2024",2024,https://pubs.aip.org/aip/pof/article/36/12/125110/3323044,A
Passive-tracer modelling at super - resolution with Weather Research and Forecasting–Advanced Research WRF ( WRF -ARW) to assess mass-balance schemes,"S Fathi , M Gordon , Y Chen",2023,https://gmd.copernicus.org/articles/16/5069/2023/,A
Accelerating regional weather forecasting by super - resolution and data-driven methods,"A Mikhaylov, F Meshchaninov , V Ivanov… - Journal of Inverse …, 2024",2024,https://www.degruyterbrill.com/document/doi/10.1515/jiip-2023-0078/html,A
A novel framework for temporal super - resolution of wind in urban energy applications,"L Tang , C Li , Z Zhao, L Chen, M Zhang - Renewable Energy, 2025",2025,https://www.sciencedirect.com/science/article/pii/S0960148125020002,A
High-resolution wind field reconstruction enhanced by turbulence scheme optimization and deep learning,"K Wang, Q Wang , K Yang, K Luo , Z Zhang, N Dong… - Physics of …, 2026",2026,https://pubs.aip.org/aip/pof/article/38/1/015151/3377776,A
Super - resolution for renewable energy resource data with wind from reanalysis data and application to Ukraine,"BN Benton , G Buster , P Pinchuk , A Glaws , RN King … - Energies, 2025",2025,https://www.mdpi.com/1996-1073/18/14/3769,A
Wind resource data for southeast Asia using a hybrid numerical weather prediction with machine learning super resolution approach,"D Rosencrans , B Benton , G Buster , A Glaws , R King …",2023,https://docs.nrel.gov/docs/fy23osti/85481.pdf,A
A 3D super - resolution of wind fields via physics-informed pixel-wise self-attention generative adversarial network,"T Kurihana , K Yeo , D Szwarcman , B Elmegreen… - arXiv preprint arXiv …, 2023",2023,https://arxiv.org/abs/2312.13212,A
"Super - Resolution for Renewable Energy Resource Data with Wind from Reanalysis Data and Application to Ukraine. Energies 2025, 18, 3769","BN Benton , G Buster , P Pinchuk , A Glaws , RN King…",2025,https://www.researchgate.net/profile/Brandon_Benton/publication/382654740_Super_Resolution_for_Renewable_Energy_Resource_Data_With_Wind_From_Reanalysis_Data_Sup3rWind_and_Application_to_Ukraine/links/687cf7ce4f72461c714f8012/Super-Resolution-for-Renewable-Energy-Resource-Data-With-Wind-From-Reanalysis-Data-Sup3rWind-and-Application-to-Ukraine.pdf,A
A high-precision prediction method for coarse grids based on deep learning and the Weather Research and Forecasting model: J. He et al.,"J He, X Liu, H Wang, D Zhu, Z Liu - Theoretical and Applied Climatology, 2024",2024,https://link.springer.com/article/10.1007/s00704-023-04592-0,A
Passive Tracer Modelling at Super - Resolution with WRF -ARW to Assess Mass-Balance Schemes,"S Fathi , M Gordon , Y Chen",2022,https://egusphere.copernicus.org/preprints/2022/egusphere-2022-1125/,A
Deep learning approaches for high-resolution wind data enhancement around a nuclear power plant,"D Lee, J Park, ES Kim",2026,https://www.sciencedirect.com/science/article/pii/S1738573326000744,A
A rapid downscaling approach for meteorological wind fields using diffusion models and attention mechanisms,"X Wang, Y Li, Y Zuo, J Zhu, J Zhuo, X Li, L Liu… - Journal of Wind …, 2025",2025,https://www.sciencedirect.com/science/article/pii/S0167610525002119,A
A novel residual-pyramid-attention super resolution model for mesoscale meteorological forecasting spatial downscaling,"L Zhang, Q Wang , K Luo , X Ming… - International Journal of …, 2024",2024,https://www.tandfonline.com/doi/abs/10.1080/15435075.2024.2381691,A
Composite Classifier-Free Guidance for Multi-Modal Conditioning in Wind Dynamics Super - Resolution,"J Schnell , A Makkar , G Gani, AS Ashok, D Lo … - arXiv preprint arXiv …, 2025",2025,https://arxiv.org/abs/2512.13729,A
