sample_idx,delta_ssim,delta_mt,delta_pd,winner_ssim,winner_mt,winner_pd
0,0.08788798620533089,4.696573257446289,-1.84396352412017,cnn,cnn,gan
1,0.09409544758709187,7.300331115722656,-2.223774349776093,cnn,cnn,gan
2,0.06442190906153866,3.448397159576416,-2.242198478061649,cnn,cnn,gan
3,0.06989645644371223,4.959354877471924,-1.4806979857800258,cnn,cnn,gan
4,0.08002109644090227,3.17252254486084,-1.900219978291588,cnn,cnn,gan
5,0.07971802263857564,0.7779016494750977,-4.515014821826373,cnn,cnn,gan
6,0.09526586383242708,-0.13336706161499023,-4.0238919902617525,cnn,gan,gan
7,0.09851242796992554,1.441418170928955,-6.715905208801953,cnn,cnn,gan
8,0.06015236343286523,-1.4545478820800781,-6.35296897375575,cnn,gan,gan
9,0.05113279559871359,0.5232677459716797,-5.174419222321482,cnn,cnn,gan
10,0.045120022119861325,0.7892866134643555,-4.986953818566491,cnn,cnn,gan
11,0.04352041403926121,1.9210023880004883,-3.7174578913149823,cnn,cnn,gan
12,0.024958441031090572,-0.7026548385620117,-5.883909078911028,cnn,gan,gan
13,0.04585468526322617,1.3284177780151367,-4.949986654047841,cnn,cnn,gan
14,0.048359935282972555,0.4289054870605469,-6.6186547936222055,cnn,cnn,gan
15,0.09192105451153582,0.769874095916748,-7.1743463043269,cnn,cnn,gan
16,0.11067687600382492,-0.2089829444885254,-6.43147564886435,cnn,gan,gan
17,0.15449413504044823,-0.44097423553466797,-3.7822890574889776,cnn,gan,gan
18,0.17047726392317625,-0.7042150497436523,-1.7846641580542837,cnn,gan,gan
19,0.1683609477591107,-1.4850749969482422,-1.9774057392824496,cnn,gan,gan
20,0.17728323055323952,-0.5649247169494629,-3.7129210916888518,cnn,gan,gan
21,0.1305937115647096,2.6894378662109375,-5.568341285858754,cnn,cnn,gan
22,0.07218253794301349,0.2651815414428711,-5.89238054059355,cnn,cnn,gan
23,0.05386804786564575,1.5902013778686523,-5.332379081429529,cnn,cnn,gan
24,0.0531507651592914,4.848442554473877,-6.104082332594537,cnn,cnn,gan
25,0.0267183634431003,-0.8701009750366211,-6.460623784854704,cnn,gan,gan
