method,key,pd_distance,mt_distance,error,source_dir
cnn,cnn_s0_speed_p160_x0_y0,30.803790711467215,7.4365081787109375,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s100_speed_p160_x0_y0,36.718313311494306,12.226722717285156,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s101_speed_p160_x0_y0,35.951245738898734,12.674586296081543,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s102_speed_p160_x0_y0,34.15580103494121,10.271135330200195,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s103_speed_p160_x0_y0,35.159461063196254,11.071194648742676,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s104_speed_p160_x0_y0,35.18632119915297,13.296687126159668,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s105_speed_p160_x0_y0,36.37858293690307,13.770055770874023,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s106_speed_p160_x0_y0,37.02202114129641,13.011298179626465,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s107_speed_p160_x0_y0,37.492103735944546,13.247636795043945,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s108_speed_p160_x0_y0,35.91648141314297,14.35383415222168,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s109_speed_p160_x0_y0,35.275557246291065,15.214360237121582,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s10_speed_p160_x0_y0,36.239495430814294,8.46780776977539,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s110_speed_p160_x0_y0,35.625101862189204,13.815155982971191,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s111_speed_p160_x0_y0,33.74244687650233,14.776040077209473,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s112_speed_p160_x0_y0,33.07792657827439,10.652641296386719,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s113_speed_p160_x0_y0,30.403231393855748,10.468160629272461,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s114_speed_p160_x0_y0,30.146223916651287,9.326315879821777,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s115_speed_p160_x0_y0,29.840914946550186,8.4431791305542,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s116_speed_p160_x0_y0,30.739825234031546,10.808460235595703,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s117_speed_p160_x0_y0,34.297013327703105,11.412581443786621,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s118_speed_p160_x0_y0,39.57073903887771,10.767620086669922,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s119_speed_p160_x0_y0,40.588904196518314,12.658984184265137,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s11_speed_p160_x0_y0,35.09062003144281,15.690364837646484,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s120_speed_p160_x0_y0,40.8737060920996,13.103515625,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s121_speed_p160_x0_y0,42.707387104237576,13.544977188110352,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s122_speed_p160_x0_y0,43.89000299694416,12.73664379119873,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s123_speed_p160_x0_y0,44.53211515599249,12.742769241333008,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s124_speed_p160_x0_y0,44.57438839751205,12.947576522827148,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s125_speed_p160_x0_y0,42.76952978383624,14.168416023254395,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s126_speed_p160_x0_y0,42.32249394536492,13.411787033081055,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s127_speed_p160_x0_y0,43.63067560309489,13.094024658203125,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s128_speed_p160_x0_y0,42.5672385706163,10.688158988952637,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s129_speed_p160_x0_y0,41.27747190721476,8.484464645385742,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s12_speed_p160_x0_y0,34.674502319200926,10.539043426513672,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s130_speed_p160_x0_y0,40.47014842622414,7.681793689727783,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s131_speed_p160_x0_y0,41.417161891370576,7.694051742553711,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s132_speed_p160_x0_y0,41.98480648510864,6.974740028381348,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s133_speed_p160_x0_y0,41.675055721459756,6.249068260192871,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s134_speed_p160_x0_y0,38.14020405715272,5.851230621337891,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s135_speed_p160_x0_y0,34.0500103389288,4.850003242492676,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s136_speed_p160_x0_y0,32.705642910761,5.322648525238037,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s137_speed_p160_x0_y0,31.450244531919147,6.202611923217773,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s138_speed_p160_x0_y0,31.542281133999335,6.55118465423584,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s139_speed_p160_x0_y0,30.103016225177374,7.796177864074707,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s13_speed_p160_x0_y0,33.00321817599736,10.169170379638672,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s140_speed_p160_x0_y0,31.194285837084532,8.54101276397705,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s141_speed_p160_x0_y0,35.64582804781322,6.2118239402771,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s142_speed_p160_x0_y0,39.40201570520756,7.050217151641846,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s143_speed_p160_x0_y0,35.405181134671736,6.156033039093018,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s144_speed_p160_x0_y0,33.276548889443305,5.705910682678223,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s145_speed_p160_x0_y0,32.435718487070446,6.1010212898254395,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s146_speed_p160_x0_y0,34.375638021404306,6.629636287689209,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s147_speed_p160_x0_y0,34.62247541443747,6.244802951812744,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s148_speed_p160_x0_y0,33.483799630764125,5.778331279754639,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s149_speed_p160_x0_y0,32.64329194740052,7.873934268951416,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s14_speed_p160_x0_y0,31.593353128115396,11.57498550415039,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s150_speed_p160_x0_y0,30.70249950977709,5.6295599937438965,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s151_speed_p160_x0_y0,29.776702604996938,6.56955623626709,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s152_speed_p160_x0_y0,28.55705310545637,7.303607940673828,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s153_speed_p160_x0_y0,27.272026101955646,9.722848892211914,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s154_speed_p160_x0_y0,25.6476226030454,11.71461296081543,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s155_speed_p160_x0_y0,25.591091598786083,11.29028034210205,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s156_speed_p160_x0_y0,27.64469011932638,8.228219032287598,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s157_speed_p160_x0_y0,30.330327532167043,7.096986293792725,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s158_speed_p160_x0_y0,32.5077510897309,6.292686939239502,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s159_speed_p160_x0_y0,30.417815633556412,8.4534273147583,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s15_speed_p160_x0_y0,29.670195156734362,13.215593338012695,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s160_speed_p160_x0_y0,28.548307407906815,8.535894393920898,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s161_speed_p160_x0_y0,27.0836083489381,9.79428482055664,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s162_speed_p160_x0_y0,26.716682661824084,5.3899617195129395,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s163_speed_p160_x0_y0,27.85110760233586,6.036508560180664,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s164_speed_p160_x0_y0,29.936231594018913,5.357566833496094,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s165_speed_p160_x0_y0,31.75828742588738,6.0691375732421875,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s166_speed_p160_x0_y0,32.033350354858115,8.542560577392578,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s167_speed_p160_x0_y0,30.990816539487366,6.6002302169799805,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s16_speed_p160_x0_y0,29.099635790001344,8.009733200073242,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s17_speed_p160_x0_y0,29.59123991079067,9.471738815307617,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
