method,key,sample_idx,ssim,pd_distance,mt_distance
cnn,cnn_s0_speed_p160_x0_y0,0,0.38740059372405444,30.803790711467215,7.4365081787109375
cnn,cnn_s1_speed_p160_x0_y0,1,0.34984482055031785,30.88530950464529,6.860682964324951
cnn,cnn_s2_speed_p160_x0_y0,2,0.33797692051556255,31.856382022083032,8.620122909545898
cnn,cnn_s3_speed_p160_x0_y0,3,0.3484826268778685,30.93754351082033,10.553919792175293
cnn,cnn_s4_speed_p160_x0_y0,4,0.3532655112980327,32.1412292333553,10.472469329833984
cnn,cnn_s5_speed_p160_x0_y0,5,0.39156267563780417,33.0510752405221,8.72776985168457
cnn,cnn_s6_speed_p160_x0_y0,6,0.46928110583261035,34.23249658361452,6.879649639129639
cnn,cnn_s7_speed_p160_x0_y0,7,0.46715599436705735,34.49768767426166,10.272831916809082
cnn,cnn_s8_speed_p160_x0_y0,8,0.45517350350817504,35.53191307563801,8.75827407836914
cnn,cnn_s9_speed_p160_x0_y0,9,0.44780370610843606,34.70855200692721,9.8829927444458
cnn,cnn_s10_speed_p160_x0_y0,10,0.43038026952623915,36.239495430814294,8.46780776977539
cnn,cnn_s11_speed_p160_x0_y0,11,0.3572043208081488,35.09062003144281,15.690364837646484
cnn,cnn_s12_speed_p160_x0_y0,12,0.36317104003678297,34.674502319200926,10.539043426513672
cnn,cnn_s13_speed_p160_x0_y0,13,0.3869612995832208,33.00321817599736,10.169170379638672
cnn,cnn_s14_speed_p160_x0_y0,14,0.3854651234588234,31.593353128115396,11.57498550415039
cnn,cnn_s15_speed_p160_x0_y0,15,0.43383570847532593,29.670195156734362,13.215593338012695
cnn,cnn_s16_speed_p160_x0_y0,16,0.4906600511724969,29.099635790001344,8.009733200073242
cnn,cnn_s17_speed_p160_x0_y0,17,0.4712629009150031,29.59123991079067,9.471738815307617
cnn,cnn_s18_speed_p160_x0_y0,18,0.4882374237110632,29.55404894084316,6.463656902313232
cnn,cnn_s19_speed_p160_x0_y0,19,0.48005777960599116,29.53904375574995,6.699333190917969
cnn,cnn_s20_speed_p160_x0_y0,20,0.4570812756821569,29.208674890638672,6.3805928230285645
cnn,cnn_s21_speed_p160_x0_y0,21,0.39732053971942977,32.49874392437702,7.4864301681518555
cnn,cnn_s22_speed_p160_x0_y0,22,0.3425747934685291,33.63354711485799,6.720229625701904
cnn,cnn_s23_speed_p160_x0_y0,23,0.3403869895927307,36.70738205754702,8.176045417785645
cnn,cnn_s24_speed_p160_x0_y0,24,0.281359134413511,40.02659990203833,9.798386573791504
cnn,cnn_s25_speed_p160_x0_y0,25,0.23047014371510444,43.6753145221982,14.690879821777344
cnn,cnn_s26_speed_p160_x0_y0,26,0.2100958601563711,46.494795947919556,16.670108795166016
cnn,cnn_s27_speed_p160_x0_y0,27,0.19224542034644065,48.311627543490935,14.89694595336914
cnn,cnn_s28_speed_p160_x0_y0,28,0.1828279439401837,50.04964806409335,15.381921768188477
cnn,cnn_s29_speed_p160_x0_y0,29,0.20384787222357859,50.67545070043154,19.336769104003906
cnn,cnn_s30_speed_p160_x0_y0,30,0.19614170256741784,49.16680339204763,18.372318267822266
cnn,cnn_s31_speed_p160_x0_y0,31,0.20478503988757057,49.274969018550514,19.593469619750977
cnn,cnn_s32_speed_p160_x0_y0,32,0.20593635602015598,48.17088295842235,17.52699851989746
cnn,cnn_s33_speed_p160_x0_y0,33,0.21672228730040807,47.69797552755851,16.21259307861328
cnn,cnn_s34_speed_p160_x0_y0,34,0.24351085891612434,47.387047031321764,16.532649993896484
cnn,cnn_s35_speed_p160_x0_y0,35,0.2467761016958067,47.042266473445466,14.310142517089844
cnn,cnn_s36_speed_p160_x0_y0,36,0.2587116401499863,47.265916896827854,11.788187026977539
cnn,cnn_s37_speed_p160_x0_y0,37,0.29464889899372854,45.16197612276775,9.65693187713623
cnn,cnn_s38_speed_p160_x0_y0,38,0.3656440176067613,39.64403780910529,8.446245193481445
cnn,cnn_s39_speed_p160_x0_y0,39,0.41277400075387366,33.179727789530716,7.849330902099609
cnn,cnn_s40_speed_p160_x0_y0,40,0.4618004428342165,29.64021495935845,10.7018461227417
cnn,cnn_s41_speed_p160_x0_y0,41,0.4653005209577589,26.25504179936483,8.27641487121582
cnn,cnn_s42_speed_p160_x0_y0,42,0.4410657803260012,24.440980716557213,7.769034385681152
cnn,cnn_s43_speed_p160_x0_y0,43,0.431609977584651,21.850473710399644,6.9782609939575195
