key,method,pd_distance,mt_distance,error
gan_s0_speed_p160_x0_y0,gan,27.0071009905408,14.280324935913086,
gan_s100_speed_p160_x0_y0,gan,43.522693434336205,22.321170806884766,
gan_s101_speed_p160_x0_y0,gan,44.111844947653864,25.500688552856445,
gan_s102_speed_p160_x0_y0,gan,42.36142569077711,19.106307983398438,
gan_s103_speed_p160_x0_y0,gan,42.253325690693345,26.03277015686035,
gan_s104_speed_p160_x0_y0,gan,43.36242191915131,28.729467391967773,
gan_s105_speed_p160_x0_y0,gan,44.57262548403541,32.60515213012695,
gan_s106_speed_p160_x0_y0,gan,46.227371060295916,29.934009552001953,
gan_s107_speed_p160_x0_y0,gan,46.88604736135386,36.82601547241211,
gan_s108_speed_p160_x0_y0,gan,45.869857725290366,26.773040771484375,
gan_s109_speed_p160_x0_y0,gan,45.17536936546084,27.08778953552246,
gan_s10_speed_p160_x0_y0,gan,43.03561146689716,12.987634658813477,
gan_s110_speed_p160_x0_y0,gan,45.56280619040239,22.53459930419922,
gan_s111_speed_p160_x0_y0,gan,44.157580847467365,23.96986198425293,
gan_s112_speed_p160_x0_y0,gan,42.64787321607083,25.070964813232422,
gan_s113_speed_p160_x0_y0,gan,41.150971311067885,21.650415420532227,
gan_s114_speed_p160_x0_y0,gan,41.05634132807197,25.271860122680664,
gan_s115_speed_p160_x0_y0,gan,37.92908798719012,24.592771530151367,
gan_s116_speed_p160_x0_y0,gan,38.60029035246177,26.82721710205078,
gan_s117_speed_p160_x0_y0,gan,41.42427572442155,27.561817169189453,
gan_s118_speed_p160_x0_y0,gan,48.68307015133337,17.779321670532227,
gan_s119_speed_p160_x0_y0,gan,51.04889294667888,22.794519424438477,
gan_s11_speed_p160_x0_y0,gan,41.61476887859988,21.606603622436523,
gan_s120_speed_p160_x0_y0,gan,52.96464569197264,23.133533477783203,
gan_s121_speed_p160_x0_y0,gan,56.00330953735708,17.00333595275879,
gan_s122_speed_p160_x0_y0,gan,55.44475625357292,19.023876190185547,
gan_s123_speed_p160_x0_y0,gan,57.425775403547476,17.73328971862793,
gan_s124_speed_p160_x0_y0,gan,56.30406194054453,16.069547653198242,
gan_s125_speed_p160_x0_y0,gan,55.641712072546795,22.919063568115234,
gan_s126_speed_p160_x0_y0,gan,55.17227329939686,23.49710464477539,
gan_s127_speed_p160_x0_y0,gan,55.68830479099336,22.916614532470703,
gan_s128_speed_p160_x0_y0,gan,53.831668494494,14.582504272460938,
gan_s129_speed_p160_x0_y0,gan,50.80231558116441,12.972807884216309,
gan_s12_speed_p160_x0_y0,gan,39.06903700148138,16.96802520751953,
gan_s130_speed_p160_x0_y0,gan,48.28042352998889,11.860077857971191,
gan_s131_speed_p160_x0_y0,gan,49.273101920957906,12.96844482421875,
gan_s132_speed_p160_x0_y0,gan,49.17343429409419,11.651865005493164,
gan_s133_speed_p160_x0_y0,gan,49.008053688582066,13.08337116241455,
gan_s134_speed_p160_x0_y0,gan,44.17327033699762,10.262408256530762,
gan_s135_speed_p160_x0_y0,gan,38.34527890481694,7.911960601806641,
gan_s136_speed_p160_x0_y0,gan,37.14128000821346,11.5948486328125,
gan_s137_speed_p160_x0_y0,gan,36.432009647981914,15.833357810974121,
gan_s138_speed_p160_x0_y0,gan,38.45249941000494,10.978084564208984,
gan_s139_speed_p160_x0_y0,gan,36.84949207528189,10.506048202514648,
gan_s13_speed_p160_x0_y0,gan,38.61251382393233,18.11391258239746,
gan_s140_speed_p160_x0_y0,gan,37.363726948364864,10.835103034973145,
gan_s141_speed_p160_x0_y0,gan,41.68614974079844,10.602864265441895,
gan_s142_speed_p160_x0_y0,gan,45.15030890006861,14.40521240234375,
gan_s143_speed_p160_x0_y0,gan,38.989559391965955,14.70413589477539,
gan_s144_speed_p160_x0_y0,gan,32.364465724411815,10.54987621307373,
gan_s145_speed_p160_x0_y0,gan,28.38088706462505,6.635426044464111,
gan_s146_speed_p160_x0_y0,gan,32.54080764064974,6.808055400848389,
gan_s147_speed_p160_x0_y0,gan,35.24566854312165,7.207036018371582,
gan_s148_speed_p160_x0_y0,gan,32.61066214871119,7.178394317626953,
gan_s149_speed_p160_x0_y0,gan,29.25411420622577,6.971123218536377,
gan_s14_speed_p160_x0_y0,gan,38.458271611625854,15.844478607177734,
gan_s150_speed_p160_x0_y0,gan,27.40760963077116,6.215047836303711,
gan_s151_speed_p160_x0_y0,gan,26.851760063483958,7.3913445472717285,
gan_s152_speed_p160_x0_y0,gan,23.951979406768373,8.895024299621582,
gan_s153_speed_p160_x0_y0,gan,23.758364185693697,11.470466613769531,
gan_s154_speed_p160_x0_y0,gan,23.601380159979183,16.77909278869629,
gan_s155_speed_p160_x0_y0,gan,24.899895958950275,11.81227970123291,
gan_s156_speed_p160_x0_y0,gan,28.61377067972815,10.591784477233887,
gan_s157_speed_p160_x0_y0,gan,32.045693902953886,8.590669631958008,
gan_s158_speed_p160_x0_y0,gan,32.052759316640916,8.610394477844238,
