sample_idx,psnr_cnn,psnr_gan,ssim_cnn,ssim_gan,abs_delta_psnr,abs_delta_ssim,mt_cnn,mt_gan,pd_cnn,pd_gan,delta_mt_cnn_minus_gan,delta_pd_cnn_minus_gan,winner_mt,winner_pd,cnn_lr_mae,gan_lr_mae,cnn_lr_mse,gan_lr_mse,cnn_lr_psnr,gan_lr_psnr,winner_lr_mae,winner_lr_mse,winner_lr_psnr,winner_lr_group,cnn_err_abs_max,gan_err_abs_max,winner_extreme_abs_max,cnn_exceed_err_q90,gan_exceed_err_q90,winner_exceed_q90,cnn_exceed_err_q95,gan_exceed_err_q95,winner_exceed_q95,cnn_tail_mae,gan_tail_mae,winner_tail_mae,winner_extreme_group,cnn_wpd_rmse,gan_wpd_rmse,winner_wpd_rmse,cnn_wpd_mae,gan_wpd_mae,winner_wpd_mae,cnn_psd_log_l2,gan_psd_log_l2,winner_psd_log_l2,cnn_grad_mae,gan_grad_mae,winner_grad_mae,winner_physics_group,agree_mt_winner_lr_mae,agree_mt_winner_lr_mse,agree_mt_winner_lr_psnr,agree_mt_winner_lr_group,agree_mt_winner_extreme_abs_max,agree_mt_winner_extreme_group,agree_mt_winner_tail_mae,agree_mt_winner_physics_group,topology_gap_abs,agreement_score,metric,threshold,top_case_group
165,18.829824383784267,18.796558773266824,0.39130312188591976,0.3366264402358044,0.03326561051744292,0.054676681650115355,6.0691375732421875,17.23923683166504,31.75828742588738,31.387598684096837,-11.170099258422852,0.3706887417905449,cnn,gan,0.37785054954481057,0.5154179007302168,0.3209803685466323,0.5122487805371986,33.301040689258954,31.271016071044926,cnn,cnn,cnn,cnn,1.9249793068857066,16.006104743547965,cnn,0.07913599999999998,0.08827199999999999,cnn,0.046035999999999994,0.05266799999999999,cnn,7.482462086863882,7.116668598004642,gan,cnn,658.7352174574103,757.5369246958767,cnn,337.12249497374995,344.3404159973583,cnn,0.548563420722014,0.6382251714846859,cnn,0.2561963406107582,0.310628116575131,cnn,cnn,1,1,1,1,1,1,0,1,11.170099258422852,1.0,psnr,0.05,strongest_topology_gap
164,19.078997239644963,19.02962405850952,0.4280196940730591,0.36159807075913336,0.049373181135443645,0.06642162331392576,5.357566833496094,16.521671295166016,29.936231594018913,29.553162727620826,-11.164104461669922,0.38306886639808724,cnn,gan,0.337700537272297,0.4684251304009177,0.259012222743606,0.42849147011150723,32.9936028638329,30.807383642948547,cnn,cnn,cnn,cnn,0.9548746349940274,15.033610940980584,cnn,0.15042399999999997,0.157936,cnn,0.15989599999999998,0.16405199999999998,cnn,6.547069760378591,6.241807441172088,gan,cnn,622.8400957411694,677.9948311159771,cnn,342.13177059624826,349.0758544005997,cnn,0.6171313518690699,0.736260820187019,cnn,0.21347394281548054,0.26418402540258556,cnn,cnn,1,1,1,1,1,1,0,1,11.164104461669922,1.0,psnr,0.05,strongest_topology_gap
162,18.95367952643998,18.92525615675187,0.45052963486543,0.40709862453488466,0.028423369688109545,0.04343101033054536,5.3899617195129395,9.449442863464355,26.716682661824084,25.78459220670323,-4.059481143951416,0.9320904551208535,cnn,gan,0.3247813290420694,0.4578641379312876,0.2198644799597885,0.38913575680816276,32.03024776976239,29.550787109074886,cnn,cnn,cnn,cnn,2.569560384956606,7.3981308521074425,cnn,0.21647199999999997,0.21790400000000001,cnn,0.22442,0.22526400000000002,cnn,6.335155903515237,6.010177362046702,gan,cnn,848.2548611890279,847.8198902930966,gan,495.954883549286,496.3495754291773,cnn,0.9771586816196739,0.6151277304088661,gan,0.18033908279462302,0.2309124008721004,cnn,na,1,1,1,1,1,1,0,na,4.059481143951416,1.0,psnr,0.05,strongest_topology_gap
163,18.877781299189046,18.860583337822135,0.4706845818304765,0.40147493258394334,0.017197961366910874,0.06920964924653317,6.036508560180664,8.11703872680664,27.85110760233586,27.943387993180643,-2.0805301666259766,-0.09228039084478468,cnn,cnn,0.3253433188798557,0.46713780988621856,0.22561364138387865,0.4166607727007087,31.851662489978704,29.187489891305006,cnn,cnn,cnn,cnn,2.6417682353213046,4.149501877856771,cnn,0.181648,0.188236,cnn,0.21034400000000003,0.21548,cnn,6.103561080102622,5.799978387293543,gan,cnn,717.0436474846579,723.3107430970905,cnn,408.3825591346976,411.7362593337697,cnn,0.7537496426504877,0.6772962766537745,gan,0.19346114010053184,0.2438795419512797,cnn,cnn,1,1,1,1,1,1,0,1,2.0805301666259766,1.0,psnr,0.05,strongest_topology_gap
39,14.816664831432139,14.767767388946705,0.41277400075387366,0.3677751556990169,0.04889744248543337,0.04499884505485674,7.849330902099609,8.733672142028809,33.179727789530716,34.56305424195426,-0.8843412399291992,-1.383326452423546,cnn,cnn,0.34292928090460667,0.47336559997962996,0.2826452981125904,0.4368209186673965,31.125317021779598,29.234700395431503,cnn,cnn,cnn,cnn,5.398434719958775,2.499240751213879,gan,0.09714,0.09670000000000001,gan,0.048728,0.048384,gan,10.33852636127132,10.188398743509678,gan,gan,2338.5444306837517,2331.9174503506024,gan,1669.7001602561252,1664.7505840405772,gan,1.3358182490862407,0.8212624508630879,gan,0.3684013845447292,0.3756733303115424,cnn,gan,1,1,1,1,0,0,0,0,0.8843412399291992,0.3333333333333333,psnr,0.05,strongest_topology_gap
161,18.815777174377235,18.777083997408916,0.45882926937714036,0.4197630851388346,0.03869317696831942,0.03906618423830577,9.79428482055664,9.049348831176758,27.0836083489381,26.24749650150785,0.7449359893798828,0.8361118474302494,gan,gan,0.31682161946894954,0.43999975504903177,0.2158093186015934,0.3557628047230811,30.445861442958563,28.27495797496511,cnn,cnn,cnn,cnn,5.6058810257441625,5.672392207970443,cnn,0.239916,0.243252,cnn,0.216428,0.21976800000000002,cnn,6.88082845281743,6.574963616795393,gan,cnn,1001.7693609508219,990.6548436314052,gan,595.9983105131317,593.7712238906017,gan,1.11608320104939,0.504832297067348,gan,0.18107857507766079,0.2309292887124226,cnn,gan,0,0,0,0,0,0,1,1,0.7449359893798828,0.3333333333333333,psnr,0.05,strongest_topology_gap
165,18.829824383784267,18.796558773266824,0.39130312188591976,0.3366264402358044,0.03326561051744292,0.054676681650115355,6.0691375732421875,17.23923683166504,31.75828742588738,31.387598684096837,-11.170099258422852,0.3706887417905449,cnn,gan,0.37785054954481057,0.5154179007302168,0.3209803685466323,0.5122487805371986,33.301040689258954,31.271016071044926,cnn,cnn,cnn,cnn,1.9249793068857066,16.006104743547965,cnn,0.07913599999999998,0.08827199999999999,cnn,0.046035999999999994,0.05266799999999999,cnn,7.482462086863882,7.116668598004642,gan,cnn,658.7352174574103,757.5369246958767,cnn,337.12249497374995,344.3404159973583,cnn,0.548563420722014,0.6382251714846859,cnn,0.2561963406107582,0.310628116575131,cnn,cnn,1,1,1,1,1,1,0,1,11.170099258422852,1.0,psnr,0.05,highest_agreement
164,19.078997239644963,19.02962405850952,0.4280196940730591,0.36159807075913336,0.049373181135443645,0.06642162331392576,5.357566833496094,16.521671295166016,29.936231594018913,29.553162727620826,-11.164104461669922,0.38306886639808724,cnn,gan,0.337700537272297,0.4684251304009177,0.259012222743606,0.42849147011150723,32.9936028638329,30.807383642948547,cnn,cnn,cnn,cnn,0.9548746349940274,15.033610940980584,cnn,0.15042399999999997,0.157936,cnn,0.15989599999999998,0.16405199999999998,cnn,6.547069760378591,6.241807441172088,gan,cnn,622.8400957411694,677.9948311159771,cnn,342.13177059624826,349.0758544005997,cnn,0.6171313518690699,0.736260820187019,cnn,0.21347394281548054,0.26418402540258556,cnn,cnn,1,1,1,1,1,1,0,1,11.164104461669922,1.0,psnr,0.05,highest_agreement
162,18.95367952643998,18.92525615675187,0.45052963486543,0.40709862453488466,0.028423369688109545,0.04343101033054536,5.3899617195129395,9.449442863464355,26.716682661824084,25.78459220670323,-4.059481143951416,0.9320904551208535,cnn,gan,0.3247813290420694,0.4578641379312876,0.2198644799597885,0.38913575680816276,32.03024776976239,29.550787109074886,cnn,cnn,cnn,cnn,2.569560384956606,7.3981308521074425,cnn,0.21647199999999997,0.21790400000000001,cnn,0.22442,0.22526400000000002,cnn,6.335155903515237,6.010177362046702,gan,cnn,848.2548611890279,847.8198902930966,gan,495.954883549286,496.3495754291773,cnn,0.9771586816196739,0.6151277304088661,gan,0.18033908279462302,0.2309124008721004,cnn,na,1,1,1,1,1,1,0,na,4.059481143951416,1.0,psnr,0.05,highest_agreement
163,18.877781299189046,18.860583337822135,0.4706845818304765,0.40147493258394334,0.017197961366910874,0.06920964924653317,6.036508560180664,8.11703872680664,27.85110760233586,27.943387993180643,-2.0805301666259766,-0.09228039084478468,cnn,cnn,0.3253433188798557,0.46713780988621856,0.22561364138387865,0.4166607727007087,31.851662489978704,29.187489891305006,cnn,cnn,cnn,cnn,2.6417682353213046,4.149501877856771,cnn,0.181648,0.188236,cnn,0.21034400000000003,0.21548,cnn,6.103561080102622,5.799978387293543,gan,cnn,717.0436474846579,723.3107430970905,cnn,408.3825591346976,411.7362593337697,cnn,0.7537496426504877,0.6772962766537745,gan,0.19346114010053184,0.2438795419512797,cnn,cnn,1,1,1,1,1,1,0,1,2.0805301666259766,1.0,psnr,0.05,highest_agreement
