method,dataset,sample,label,n_pd0,n_pd1,n_critical_points,max_persistence,mean_persistence,mt_nodes,mt_arcs,mt_branches,mt_max_pers
GAN,GT,s0,GAN_GT,11,5,16,9.942932,4.971466,11502,5751,1917,9.942932
GAN,GT,s1,GAN_GT,10,5,15,7.794426,3.897213,12436,6218,2072,7.794426
GAN,GT,s2,GAN_GT,12,6,18,21.790215,10.895107,13184,6592,2197,21.790215
GAN,GT,s3,GAN_GT,14,7,21,16.867584,8.433792,13378,6689,2229,16.867584
GAN,GT,s4,GAN_GT,12,6,18,18.243965,9.121983,13872,6936,2312,18.243965
GAN,SR,s0,GAN_SR,11,5,16,11.980568,5.990284,19258,9629,3209,11.980568
GAN,SR,s1,GAN_SR,10,5,15,7.847231,3.9236155,21040,10520,3506,7.847231
GAN,SR,s2,GAN_SR,12,6,18,21.363314,10.681657,19494,9747,3249,21.363314
GAN,SR,s3,GAN_SR,16,8,24,26.012568,13.006284,16624,8312,2770,26.012568
GAN,SR,s4,GAN_SR,12,6,18,23.052408,11.526204,22054,11027,3675,23.052408
