method,key,sample_idx,psnr,pd_distance,mt_distance
cnn,cnn_s0_speed_p160_x0_y0,0,16.795101577106887,30.803790711467215,7.4365081787109375
cnn,cnn_s1_speed_p160_x0_y0,1,16.762376248015862,30.88530950464529,6.860682964324951
cnn,cnn_s2_speed_p160_x0_y0,2,16.325587716001714,31.856382022083032,8.620122909545898
cnn,cnn_s3_speed_p160_x0_y0,3,16.187382124339855,30.93754351082033,10.553919792175293
cnn,cnn_s4_speed_p160_x0_y0,4,15.531989682338267,32.1412292333553,10.472469329833984
cnn,cnn_s5_speed_p160_x0_y0,5,15.40359427220756,33.0510752405221,8.72776985168457
cnn,cnn_s6_speed_p160_x0_y0,6,15.255035479217856,34.23249658361452,6.879649639129639
cnn,cnn_s7_speed_p160_x0_y0,7,14.621173362979086,34.49768767426166,10.272831916809082
cnn,cnn_s8_speed_p160_x0_y0,8,14.555997147595054,35.53191307563801,8.75827407836914
cnn,cnn_s9_speed_p160_x0_y0,9,14.191028335678418,34.70855200692721,9.8829927444458
cnn,cnn_s10_speed_p160_x0_y0,10,14.185660370301648,36.239495430814294,8.46780776977539
cnn,cnn_s11_speed_p160_x0_y0,11,13.844848417159483,35.09062003144281,15.690364837646484
cnn,cnn_s12_speed_p160_x0_y0,12,13.2270213924417,34.674502319200926,10.539043426513672
cnn,cnn_s13_speed_p160_x0_y0,13,11.85168274682717,33.00321817599736,10.169170379638672
cnn,cnn_s14_speed_p160_x0_y0,14,11.861211668455034,31.593353128115396,11.57498550415039
cnn,cnn_s15_speed_p160_x0_y0,15,11.983032974255227,29.670195156734362,13.215593338012695
cnn,cnn_s16_speed_p160_x0_y0,16,12.120956474532576,29.099635790001344,8.009733200073242
cnn,cnn_s17_speed_p160_x0_y0,17,11.890543010126112,29.59123991079067,9.471738815307617
cnn,cnn_s18_speed_p160_x0_y0,18,11.98521862057908,29.55404894084316,6.463656902313232
cnn,cnn_s19_speed_p160_x0_y0,19,11.90021558727458,29.53904375574995,6.699333190917969
cnn,cnn_s20_speed_p160_x0_y0,20,11.880498323325348,29.208674890638672,6.3805928230285645
cnn,cnn_s21_speed_p160_x0_y0,21,12.816712466039256,32.49874392437702,7.4864301681518555
cnn,cnn_s22_speed_p160_x0_y0,22,13.271220994649848,33.63354711485799,6.720229625701904
cnn,cnn_s23_speed_p160_x0_y0,23,13.682431116408953,36.70738205754702,8.176045417785645
cnn,cnn_s24_speed_p160_x0_y0,24,14.042028973994526,40.02659990203833,9.798386573791504
gan,gan_s0_speed_p160_x0_y0,0,16.63540492660454,27.0071009905408,14.280324935913086
gan,gan_s1_speed_p160_x0_y0,1,16.60019671888178,27.76007731208354,12.978429794311523
gan,gan_s2_speed_p160_x0_y0,2,16.142385696970333,29.521783271831712,20.582368850708008
gan,gan_s3_speed_p160_x0_y0,3,15.982246880614397,30.333096698210074,15.906573295593262
gan,gan_s4_speed_p160_x0_y0,4,15.279473870823566,34.495908083416204,25.423465728759766
gan,gan_s5_speed_p160_x0_y0,5,15.154309368932562,37.788089419181674,15.969419479370117
gan,gan_s6_speed_p160_x0_y0,6,15.006218692366598,40.513298415414795,14.44342041015625
gan,gan_s7_speed_p160_x0_y0,7,14.341465553459663,42.88535204111022,23.979467391967773
gan,gan_s8_speed_p160_x0_y0,8,14.267807548448868,45.06864118880168,18.99154281616211
gan,gan_s9_speed_p160_x0_y0,9,13.919395095865099,41.72518685031415,16.328258514404297
gan,gan_s10_speed_p160_x0_y0,10,13.900042044030602,43.03561146689716,12.987634658813477
gan,gan_s11_speed_p160_x0_y0,11,13.557201576556633,41.61476887859988,21.606603622436523
gan,gan_s12_speed_p160_x0_y0,12,12.943740018227576,39.06903700148138,16.96802520751953
gan,gan_s13_speed_p160_x0_y0,13,11.573620178628637,38.61251382393233,18.11391258239746
gan,gan_s14_speed_p160_x0_y0,14,11.604368623985042,38.458271611625854,15.844478607177734
gan,gan_s15_speed_p160_x0_y0,15,11.746308158587926,36.75140799454055,15.863845825195312
gan,gan_s16_speed_p160_x0_y0,16,11.911568472328977,37.43079384587334,13.078662872314453
gan,gan_s17_speed_p160_x0_y0,17,11.688583539511619,37.90377886210898,12.974454879760742
gan,gan_s18_speed_p160_x0_y0,18,11.779826269853992,39.013865627400655,14.845152854919434
gan,gan_s19_speed_p160_x0_y0,19,11.692913569640172,40.482377584982224,12.929351806640625
gan,gan_s20_speed_p160_x0_y0,20,11.674565153580158,39.672926190157405,14.964215278625488
gan,gan_s21_speed_p160_x0_y0,21,12.587488293861899,42.27371070531597,12.76113510131836
gan,gan_s22_speed_p160_x0_y0,22,13.038927831250493,38.89499913226495,7.886898994445801
gan,gan_s23_speed_p160_x0_y0,23,13.476093829620211,31.160138614802932,6.634105682373047
gan,gan_s24_speed_p160_x0_y0,24,13.847336163290258,35.39916734128288,8.685693740844727
