sample_idx,method_a,method_b,delta_sample_idx,delta_psnr,delta_wpd_bias,delta_wpd_mae,delta_wpd_rmse,delta_wpd_w1,delta_psd_log_l2,delta_psd_slope_gt,delta_psd_slope_sr,delta_psd_slope_delta,delta_psd_slope_abs_delta,delta_grad_mae,delta_grad_w1,delta_grad_kurtosis_gt,delta_grad_kurtosis_sr,delta_grad_kurtosis_delta,delta_grad_kurtosis_abs_delta,delta_exceed_frac_gt_t5,delta_exceed_frac_sr_t5,delta_exceed_frac_delta_t5,delta_exceed_frac_abs_delta_t5,delta_exceed_frac_gt_t10,delta_exceed_frac_sr_t10,delta_exceed_frac_delta_t10,delta_exceed_frac_abs_delta_t10,delta_exceed_frac_gt_t15,delta_exceed_frac_sr_t15,delta_exceed_frac_delta_t15,delta_exceed_frac_abs_delta_t15,delta_exceed_frac_gt_p90,delta_exceed_frac_sr_p90,delta_exceed_frac_delta_p90,delta_exceed_frac_abs_delta_p90,delta_exceed_frac_gt_p95,delta_exceed_frac_sr_p95,delta_exceed_frac_delta_p95,delta_exceed_frac_abs_delta_p95,delta_exceed_frac_gt_p99,delta_exceed_frac_sr_p99,delta_exceed_frac_delta_p99,delta_exceed_frac_abs_delta_p99,delta_pd_distance,delta_mt_distance
0,cnn,gan,0.0,0.15969665050234738,-79.01058853923455,-38.7561625917391,-212.25860576174773,-2.013657929325632,0.36103845225988207,0.0,0.47605894978871044,0.47605894978871044,-0.47605894978871044,-0.04751795667056152,0.1468433305089729,0.0,0.23314730915622306,0.23314730915622306,-0.23314730915622306,0.0,-0.011643999999999988,-0.011643999999999988,0.011643999999999988,0.0,-0.011147999999999991,-0.011147999999999991,0.011147999999999991,0.0,-0.0075840000000000005,-0.0075840000000000005,0.0032000000000000015,0.0,-0.00902,-0.00902,0.00902,0.0,-0.007775999999999998,-0.007775999999999998,0.00619200000000001,0.0,-0.004620000000000001,-0.004620000000000001,-0.004620000000000001,3.796689720926416,-6.843816757202148
1,cnn,gan,0.0,0.16217952913407885,-95.51896706709917,-42.94025223327526,-285.27774064685605,-16.508494853578554,0.20015690526591423,0.0,0.5418045689985536,0.5418045689985536,-0.5418045689985536,-0.052777446625009106,0.13708847445524175,0.0,-2.6969119719519945,-2.6969119719519945,-2.6969119719519945,0.0,-0.008608000000000005,-0.008608000000000005,0.008608000000000005,0.0,-0.015195999999999987,-0.015195999999999987,0.015195999999999987,0.0,-0.0077040000000000025,-0.0077040000000000025,0.0017119999999999913,0.0,-0.009360000000000007,-0.009360000000000007,0.009360000000000007,0.0,-0.007656000000000003,-0.007656000000000003,0.003720000000000008,0.0,-0.0045000000000000005,-0.0045000000000000005,-0.0045000000000000005,3.12523219256175,-6.117746829986572
2,cnn,gan,0.0,0.18320201903138056,-111.28341292026306,-48.31268587052284,-368.5425301563098,-24.144813051460062,0.04577889179140826,0.0,0.6896298735238691,0.6896298735238691,-0.6896298735238691,-0.05665878957216958,0.12771117029197546,0.0,-2.425165631080663,-2.425165631080663,-2.425165631080663,0.0,-0.006379999999999997,-0.006379999999999997,0.006379999999999997,0.0,-0.018827999999999984,-0.018827999999999984,0.018827999999999984,0.0,-0.009283999999999994,-0.009283999999999994,-0.0034439999999999957,0.0,-0.010824,-0.010824,0.010824,0.0,-0.008735999999999994,-0.008735999999999994,-0.008735999999999994,0.0,-0.0037680000000000005,-0.0037680000000000005,-0.0037680000000000005,2.3345987502513204,-11.96224594116211
3,cnn,gan,0.0,0.20513524372545788,-145.85200218164908,-78.37138300600327,-407.3966191426066,-65.20848561525372,-0.2109721409074824,0.0,0.3675146128674742,0.3675146128674742,-0.3675146128674742,-0.06242561033638622,0.12076380979864315,0.0,2.629017621731702,2.629017621731702,2.629017621731702,0.0,-0.006511999999999962,-0.006511999999999962,0.006511999999999962,0.0,-0.016951999999999995,-0.016951999999999995,0.016951999999999995,0.0,-0.009824,-0.009824,-0.009824,0.0,-0.010504,-0.010504,0.009559999999999999,0.0,-0.009883999999999997,-0.009883999999999997,-0.009883999999999997,0.0,-0.006224,-0.006224000000000002,-0.006224000000000002,0.6044468126102558,-5.352653503417969
4,cnn,gan,0.0,0.2525158115147015,-191.7991262986843,-123.83826192640652,-618.5892545925892,-112.34603991906442,-0.43448480689677815,0.0,0.0722885434917584,0.0722885434917584,-0.0722885434917584,-0.07912177170205087,0.06570015326414586,0.0,0.6624333724418463,0.6624333724418463,0.6624333724418463,0.0,-0.010676000000000019,-0.010676000000000019,0.010676000000000019,0.0,-0.020572000000000007,-0.020572000000000007,0.020572000000000007,0.0,-0.010692000000000007,-0.010692000000000007,-0.010692000000000007,0.0,-0.012244000000000005,-0.012244000000000005,-0.012244000000000005,0.0,-0.009264000000000008,-0.009264000000000008,-0.009264000000000008,0.0,-0.008920000000000004,-0.008920000000000004,-0.008920000000000004,-2.354678850060907,-14.950996398925781
5,cnn,gan,0.0,0.2492849032749902,-241.2856748235883,-179.69326792611037,-676.7334374996053,-177.10918062841097,-0.3856610622388821,0.0,-0.08924068193150236,-0.08924068193150236,0.08924068193150236,-0.08356984905253262,0.054052421985853624,0.0,3.4638599440972726,3.4638599440972726,3.4638599440972726,0.0,-0.012724000000000013,-0.012724000000000013,0.012724000000000013,0.0,-0.017067999999999972,-0.017067999999999972,0.017067999999999972,0.0,-0.011347999999999997,-0.011347999999999997,-0.011347999999999997,0.0,-0.012160000000000004,-0.012160000000000004,-0.012160000000000004,0.0,-0.009667999999999996,-0.009667999999999996,-0.009667999999999996,0.0,-0.00732,-0.00732,-0.00732,-4.737014178659571,-7.241649627685547
6,cnn,gan,0.0,0.24881678685125763,-274.0419449118549,-211.53143287291573,-738.7856143224876,-222.92895799513485,-0.3886603892584626,0.0,-0.12494873030677278,-0.12494873030677267,0.12494873030677267,-0.09243628091683359,-0.012865075944606258,0.0,2.712475463943715,2.712475463943715,2.712475463943715,0.0,-0.015143999999999935,-0.015143999999999935,0.015143999999999935,0.0,-0.014839999999999964,-0.014839999999999964,0.014839999999999964,0.0,-0.015960000000000002,-0.015960000000000002,-0.015960000000000002,0.0,-0.017404000000000003,-0.017404000000000003,-0.017404000000000003,0.0,-0.012759999999999994,-0.012759999999999994,-0.012759999999999994,0.0,-0.01092,-0.01092,-0.01092,-6.280801831800275,-7.563770771026611
7,cnn,gan,0.0,0.2797078095194223,-342.01801728061355,-283.85178571243546,-814.0190065589745,-291.8015147030144,-0.4303683478601855,0.0,-0.026359372823296257,-0.026359372823296257,0.026359372823296257,-0.1139493488690681,-0.07821425132176944,0.0,1.57915974076084,1.57915974076084,1.57915974076084,0.0,-0.016876000000000002,-0.016876000000000002,0.016876000000000002,0.0,-0.01872400000000002,-0.01872400000000002,0.01872400000000002,0.0,-0.02618799999999999,-0.02618799999999999,-0.02618799999999999,0.0,-0.025604000000000016,-0.025604000000000016,-0.025604000000000016,0.0,-0.024596000000000007,-0.024596000000000007,-0.024596000000000007,0.0,-0.010952000000000003,-0.010952000000000003,-0.010952000000000003,-8.387664366848554,-13.706635475158691
8,cnn,gan,0.0,0.288189599146186,-375.8538558468533,-318.994116569329,-837.1173519408239,-333.1473702201629,-0.4091310654490743,0.0,0.03556887707006773,0.03556887707006773,-0.03556887707006773,-0.12283643753296902,-0.13418433434987187,0.0,4.043749542219693,4.043749542219693,3.264936950240802,0.0,-0.01701599999999992,-0.01701599999999992,0.01701599999999992,0.0,-0.014544000000000001,-0.014544000000000001,0.014544000000000001,0.0,-0.027280000000000026,-0.027280000000000026,-0.027280000000000026,0.0,-0.027247999999999994,-0.027247999999999994,-0.027247999999999994,0.0,-0.031728000000000006,-0.031728000000000034,-0.031728000000000034,0.0,-0.016591999999999996,-0.016591999999999996,-0.016591999999999996,-9.536728113163669,-10.233268737792969
9,cnn,gan,0.0,0.27163323981332255,-383.9363814944527,-337.8705208444594,-801.3635358352176,-344.6883402401975,-0.4061248189007558,0.0,0.018674877460564288,0.018674877460564288,-0.018674877460564288,-0.13650567108932654,-0.16965681477030134,0.0,5.673052182461795,5.673052182461795,5.673052182461795,0.0,-0.01641999999999999,-0.01641999999999999,0.01641999999999999,0.0,-0.017027999999999988,-0.017027999999999988,0.017027999999999988,0.0,-0.021828000000000014,-0.021828000000000014,-0.021828000000000014,0.0,-0.02310000000000001,-0.02310000000000001,-0.02310000000000001,0.0,-0.03242800000000001,-0.03242800000000001,-0.03242800000000001,0.0,-0.025644,-0.025643999999999986,-0.025643999999999986,-7.016634843386939,-6.445265769958496
