=== CONFIG ===
rows=50 methods=['cnn', 'gan']
physics_columns=35

=== GLOBAL correlations (physics vs PSNR/PD/MT) ===
wpd_bias :: PSNR: pearson=-0.6627 CI[-0.7912,-0.5154] spearman=-0.7623 CI[-0.9011,-0.5141]
wpd_bias :: PD: pearson=0.1146 CI[-0.2603,0.3980] spearman=0.0008 CI[-0.3435,0.3348]
wpd_bias :: MT: pearson=-0.2584 CI[-0.4748,-0.0564] spearman=-0.2477 CI[-0.4948,0.0501]
wpd_mae :: PSNR: pearson=-0.6552 CI[-0.7892,-0.5060] spearman=-0.7662 CI[-0.9139,-0.5163]
wpd_mae :: PD: pearson=0.1201 CI[-0.2640,0.4070] spearman=0.0092 CI[-0.3347,0.3498]
wpd_mae :: MT: pearson=-0.2598 CI[-0.4746,-0.0573] spearman=-0.2238 CI[-0.4769,0.0761]
wpd_rmse :: PSNR: pearson=-0.6010 CI[-0.7562,-0.4364] spearman=-0.7662 CI[-0.9139,-0.5163]
wpd_rmse :: PD: pearson=0.2018 CI[-0.1862,0.4740] spearman=0.0092 CI[-0.3347,0.3498]
wpd_rmse :: MT: pearson=-0.2680 CI[-0.4803,-0.0730] spearman=-0.2238 CI[-0.4769,0.0761]
wpd_w1 :: PSNR: pearson=-0.6303 CI[-0.7662,-0.4797] spearman=-0.7677 CI[-0.9139,-0.5178]
wpd_w1 :: PD: pearson=0.1236 CI[-0.2575,0.4036] spearman=0.0085 CI[-0.3348,0.3455]
wpd_w1 :: MT: pearson=-0.2772 CI[-0.4874,-0.0800] spearman=-0.2285 CI[-0.4841,0.0724]
psd_log_l2 :: PSNR: pearson=-0.6599 CI[-0.7871,-0.5061] spearman=-0.7023 CI[-0.8020,-0.5252]
psd_log_l2 :: PD: pearson=-0.4700 CI[-0.6415,-0.2539] spearman=-0.4815 CI[-0.7028,-0.1801]
psd_log_l2 :: MT: pearson=-0.0659 CI[-0.3134,0.1873] spearman=-0.1231 CI[-0.4253,0.2163]
psd_slope_delta :: PSNR: pearson=0.2771 CI[-0.0542,0.5258] spearman=0.1592 CI[-0.1679,0.4658]
psd_slope_delta :: PD: pearson=-0.0108 CI[-0.2702,0.2250] spearman=-0.1092 CI[-0.3778,0.1477]
psd_slope_delta :: MT: pearson=-0.2901 CI[-0.4941,-0.0821] spearman=-0.3392 CI[-0.5207,-0.0836]
psd_slope_abs_delta :: PSNR: pearson=-0.2771 CI[-0.5258,0.0542] spearman=-0.1592 CI[-0.4658,0.1679]
psd_slope_abs_delta :: PD: pearson=0.0108 CI[-0.2250,0.2702] spearman=0.1092 CI[-0.1477,0.3778]
psd_slope_abs_delta :: MT: pearson=0.2901 CI[0.0821,0.4941] spearman=0.3392 CI[0.0836,0.5207]
grad_mae :: PSNR: pearson=0.5195 CI[0.3364,0.6806] spearman=0.4638 CI[0.1996,0.6639]
grad_mae :: PD: pearson=0.8306 CI[0.7386,0.8931] spearman=0.7731 CI[0.5852,0.8843]
grad_mae :: MT: pearson=0.2874 CI[0.0619,0.5020] spearman=0.3108 CI[0.0074,0.5809]
grad_w1 :: PSNR: pearson=0.9096 CI[0.8499,0.9513] spearman=0.8992 CI[0.7958,0.9520]
grad_w1 :: PD: pearson=0.3130 CI[0.0408,0.5268] spearman=0.4100 CI[0.0566,0.6701]
grad_w1 :: MT: pearson=-0.0892 CI[-0.3239,0.1910] spearman=0.0446 CI[-0.2673,0.3510]
grad_kurtosis_delta :: PSNR: pearson=0.3333 CI[0.1871,0.5203] spearman=0.4469 CI[0.2258,0.5967]
grad_kurtosis_delta :: PD: pearson=-0.1850 CI[-0.5063,0.4120] spearman=0.2877 CI[-0.0680,0.6273]
grad_kurtosis_delta :: MT: pearson=0.3391 CI[0.1453,0.5655] spearman=0.5015 CI[0.2440,0.6866]
grad_kurtosis_abs_delta :: PSNR: pearson=0.0092 CI[-0.2136,0.2356] spearman=0.0592 CI[-0.2705,0.4049]
grad_kurtosis_abs_delta :: PD: pearson=0.6736 CI[0.3694,0.8185] spearman=0.4862 CI[0.2063,0.6979]
grad_kurtosis_abs_delta :: MT: pearson=-0.0592 CI[-0.3115,0.1214] spearman=-0.1431 CI[-0.4229,0.1558]
exceed_frac_gt_t5 :: PSNR: pearson=-0.6413 CI[-0.7678,-0.4319] spearman=-0.4177 CI[-0.6756,-0.0839]
exceed_frac_gt_t5 :: PD: pearson=0.5392 CI[0.4080,0.6447] spearman=0.6862 CI[0.4651,0.8222]
exceed_frac_gt_t5 :: MT: pearson=0.2747 CI[0.0416,0.4435] spearman=0.2731 CI[0.0075,0.4878]
exceed_frac_sr_t5 :: PSNR: pearson=-0.8716 CI[-0.9125,-0.8150] spearman=-0.7369 CI[-0.8674,-0.4937]
exceed_frac_sr_t5 :: PD: pearson=0.1086 CI[-0.1423,0.3287] spearman=0.0246 CI[-0.2927,0.3110]
exceed_frac_sr_t5 :: MT: pearson=0.0381 CI[-0.2268,0.2652] spearman=-0.3231 CI[-0.5468,-0.0425]
