sample_idx,psnr_cnn,psnr_gan,ssim_cnn,ssim_gan,abs_delta_psnr,abs_delta_ssim,mt_cnn,mt_gan,pd_cnn,pd_gan,delta_mt_cnn_minus_gan,delta_pd_cnn_minus_gan,winner_mt,winner_pd,cnn_lr_mae,gan_lr_mae,cnn_lr_mse,gan_lr_mse,cnn_lr_psnr,gan_lr_psnr,winner_lr_mae,winner_lr_mse,winner_lr_psnr,winner_lr_group,cnn_err_abs_max,gan_err_abs_max,winner_extreme_abs_max,cnn_exceed_err_q90,gan_exceed_err_q90,winner_exceed_q90,cnn_exceed_err_q95,gan_exceed_err_q95,winner_exceed_q95,cnn_tail_mae,gan_tail_mae,winner_tail_mae,winner_extreme_group,cnn_wpd_rmse,gan_wpd_rmse,winner_wpd_rmse,cnn_wpd_mae,gan_wpd_mae,winner_wpd_mae,cnn_psd_log_l2,gan_psd_log_l2,winner_psd_log_l2,cnn_grad_mae,gan_grad_mae,winner_grad_mae,winner_physics_group,agree_mt_winner_lr_mae,agree_mt_winner_lr_mse,agree_mt_winner_lr_psnr,agree_mt_winner_lr_group,agree_mt_winner_extreme_abs_max,agree_mt_winner_extreme_group,agree_mt_winner_tail_mae,agree_mt_winner_physics_group,topology_gap_abs,agreement_score,metric,threshold,top_case_group
2,16.325587716001714,16.142385696970333,0.33797692051556255,0.31025403759712333,0.18320201903138056,0.027722882918439218,8.620122909545898,20.582368850708008,31.856382022083032,29.521783271831712,-11.96224594116211,2.3345987502513204,cnn,gan,0.5181370130355505,0.6512805525297288,0.7139197547903506,0.9796677513871693,30.852812711112122,29.478518583296644,cnn,cnn,cnn,cnn,6.347786049992845,19.46621808093435,cnn,0.02333600000000001,0.01251200000000001,gan,0.00013200000000000017,0.008867999999999994,cnn,4.13715523357703,4.069170350054321,gan,tie,1435.435548221455,1803.9780783777649,cnn,728.7857135922824,777.0983994628052,cnn,0.7342136774294346,0.6884347856380263,gan,0.3933487378948074,0.450007527466977,cnn,cnn,1,1,1,1,1,na,0,1,11.96224594116211,1.0,ssim,0.03,strongest_topology_gap
26,15.113623071003978,14.9222219431126,0.2100958601563711,0.20343403106965358,0.1914011278913783,0.00666182908671753,16.670108795166016,9.144110679626465,46.494795947919556,46.5841045001402,7.525998115539551,-0.08930855222064338,gan,cnn,0.7040381297246314,0.8322750883540926,0.9624852808352105,1.1989363397647557,33.46137439084422,32.50735411841794,cnn,cnn,cnn,cnn,9.782084880318543,17.293036917700448,cnn,0.242316,0.25142,cnn,0.279944,0.288228,cnn,12.904644680871478,13.472906096153254,cnn,cnn,15316.238760221398,16417.014366126015,cnn,8825.327538601736,9488.787184652785,cnn,0.9345724810222233,1.0013919720413609,cnn,0.5493026551349334,0.5640277450953792,cnn,cnn,0,0,0,0,0,0,0,0,7.525998115539551,0.0,ssim,0.03,strongest_topology_gap
30,16.42309854258925,16.270212496951036,0.19614170256741784,0.16853744636972218,0.1528860456382155,0.02760425619769566,18.372318267822266,11.98703384399414,49.16680339204763,48.950649005951355,6.385284423828125,0.21615438609627802,gan,gan,0.595617366505695,0.7008950994401175,0.7706802219888014,0.9071821075413793,34.89220865180761,34.184006029927914,cnn,cnn,cnn,cnn,17.410662579815266,26.904798467111668,cnn,0.025847999999999982,0.03891999999999998,cnn,0.056908,0.065792,cnn,15.921268352357366,16.214343726970817,cnn,cnn,11130.90280205148,11775.068407865981,cnn,4266.022216382993,4475.097545499313,cnn,1.223360014231088,1.1640101277584831,gan,0.558672892734588,0.5740297765282332,cnn,cnn,0,0,0,0,0,0,0,0,6.385284423828125,0.0,ssim,0.03,strongest_topology_gap
31,16.26763986033206,16.142516199199804,0.20478503988757057,0.18751787249164534,0.1251236611322568,0.017267167395925237,19.593469619750977,13.419205665588379,49.274969018550514,49.18106553774604,6.174263954162598,0.09390348080447097,gan,gan,0.5263076138038812,0.6626183160815979,0.5715412353524222,0.8049285610335645,35.831462721869094,34.344365037683005,cnn,cnn,cnn,cnn,18.466055213059917,23.492618969259993,cnn,0.025212000000000012,0.015128000000000003,gan,0.01653199999999999,0.02366399999999999,cnn,15.129040026885345,15.167863112830133,cnn,cnn,8190.423032261853,8650.646556606078,cnn,3082.654210538078,3209.453086997932,cnn,1.2386947406172855,1.1564475944776968,gan,0.5488260977310574,0.5581996589488811,cnn,cnn,0,0,0,0,0,0,0,0,6.174263954162598,0.0,ssim,0.03,strongest_topology_gap
27,15.500323611328408,15.327538454079225,0.19224542034644065,0.17904261200500282,0.17278515724918364,0.013202808341437833,14.89694595336914,9.983192443847656,48.311627543490935,48.33644684742574,4.913753509521484,-0.024819303934805248,gan,cnn,0.6970144789388425,0.829184545618566,0.998336998160955,1.2217248110679597,33.488261770730205,32.61129949628637,cnn,cnn,cnn,cnn,12.271431625425627,20.32263847142122,cnn,0.20036,0.20603200000000002,cnn,0.23708800000000002,0.244064,cnn,14.75936030984878,15.392691300788867,cnn,cnn,15356.212080585912,16406.71125830188,cnn,8184.00704523252,8761.197268193917,cnn,1.0012532686474633,1.0285600324802404,cnn,0.5769992380138473,0.5902453783523663,cnn,cnn,0,0,0,0,0,0,0,0,4.913753509521484,0.0,ssim,0.03,strongest_topology_gap
32,16.29860669669558,16.19601579520662,0.20593635602015598,0.1775671553271752,0.10259090148895922,0.028369200692980767,17.52699851989746,13.050602912902832,48.17088295842235,47.607752525051076,4.476395606994629,0.5631304333712706,gan,gan,0.48407435725065934,0.6283498611762232,0.5149938201655151,0.7804343450378952,35.9113397074719,34.10599614964584,cnn,cnn,cnn,cnn,16.247638873471615,29.66388650449661,cnn,0.070316,0.06115600000000001,gan,0.024776000000000003,0.018044000000000004,gan,14.143166292155655,14.062841597078952,gan,gan,5455.856516696656,5968.736008549573,cnn,2142.7755007202645,2204.1265481387873,cnn,1.1920758562527276,1.109534289176213,gan,0.5302115956186593,0.5486702324735337,cnn,cnn,0,0,0,0,0,1,1,0,4.476395606994629,0.3333333333333333,ssim,0.03,strongest_topology_gap
33,16.178003196110865,16.10161754887457,0.21672228730040807,0.1901750492247034,0.07638564723629315,0.026547238075704666,16.21259307861328,11.835304260253906,47.69797552755851,45.93531237875061,4.377288818359375,1.7626631488079028,gan,gan,0.43490340610131123,0.5829624024600804,0.41324944927136475,0.6338175543971207,35.92445120511724,34.066931406123324,cnn,cnn,cnn,cnn,10.87331308278759,17.392881376868814,cnn,0.093672,0.0888,gan,0.045156,0.042104,gan,13.320494172910978,13.101765492181816,gan,gan,2919.7683266526606,3185.5944533007414,cnn,1674.0629975362547,1689.3244293742234,cnn,1.0392051951781398,0.794129972680634,gan,0.5113526512511307,0.5049294319879952,gan,na,0,0,0,0,0,1,1,na,4.377288818359375,0.5,ssim,0.03,strongest_topology_gap
28,15.524886198855533,15.34773011245894,0.1828279439401837,0.1655852532145298,0.17715608639659308,0.017242690725653903,15.381921768188477,11.040020942687988,50.04964806409335,50.632201123289626,4.341900825500488,-0.5825530591962789,gan,cnn,0.666533326806394,0.7796414266676198,0.9441758579272531,1.1176186455110513,34.67173862704578,33.93933115653782,cnn,cnn,cnn,cnn,13.497265856931307,20.433739337190232,cnn,0.151668,0.157896,cnn,0.18319200000000002,0.190764,cnn,15.91134910920167,16.602732123210473,cnn,cnn,14320.439900539657,15425.200540283635,cnn,6844.364203804865,7358.899369681954,cnn,1.0664114738424773,1.0628535606546923,gan,0.5655448410823923,0.5784069669431346,cnn,cnn,0,0,0,0,0,0,0,0,4.341900825500488,0.0,ssim,0.03,strongest_topology_gap
35,15.704492939855058,15.642556661584472,0.2467761016958067,0.2207040736023138,0.06193627827058634,0.026072028093492877,14.310142517089844,10.822689056396484,47.042266473445466,47.8109572328202,3.4874534606933594,-0.768690759374735,gan,cnn,0.40150782662950807,0.5345378780242508,0.3588882795139645,0.5448112126532161,30.69256872733431,28.879701110881683,cnn,cnn,cnn,cnn,7.623755103643521,3.689740536635071,gan,0.097052,0.09582,gan,0.047804,0.046676,gan,12.33291474492073,11.957908333600713,gan,gan,2282.0484058986685,2268.695617347873,gan,1716.7064819792272,1703.0662936337903,gan,1.151116129780694,0.6144663800295644,gan,0.5185281093135845,0.49368321826268063,gan,gan,0,0,0,0,1,1,1,1,3.4874534606933594,0.6666666666666666,ssim,0.03,strongest_topology_gap
25,14.472765262970498,14.28981145602613,0.23047014371510444,0.20480249471031725,0.18295380694436858,0.025667649004787185,14.690879821777344,13.322566032409668,43.6753145221982,41.294392199777576,1.3683137893676758,2.3809223224206235,gan,gan,0.7096690976408947,0.8579698164687823,0.961223543473586,1.2614711477913823,32.97365535937299,31.7931261363729,cnn,cnn,cnn,cnn,8.184944624745611,9.30626976381204,cnn,0.295412,0.30524799999999996,cnn,0.325492,0.338444,cnn,11.373216664598026,11.87102563795609,cnn,cnn,14919.44249958989,15917.559244547338,cnn,9113.43517249626,9787.666005981906,cnn,0.8975906382988386,0.993311068611271,cnn,0.5041367659632104,0.5467587285593024,cnn,cnn,0,0,0,0,0,0,0,0,1.3683137893676758,0.0,ssim,0.03,strongest_topology_gap
