method,sample_idx,psnr,ssim,speed_mae,speed_rmse,wpd_bias,wpd_mae,wpd_rmse,wpd_w1,psd_log_l2,psd_slope_delta,grad_mae,grad_w1,grad_kurtosis_delta,exceed_err_5ms,exceed_err_10ms,exceed_err_15ms,exceed_err_20ms,exceed_err_p90,exceed_err_p95,exceed_err_p99,exceed_frac_abs_delta_t5,exceed_frac_abs_delta_t10,exceed_frac_abs_delta_t15,exceed_frac_abs_delta_p90,exceed_frac_abs_delta_p95,exceed_frac_abs_delta_p99
cnn,0,31.44863091961014,0.7646568812519983,0.7135303425852014,1.2833997245918416,2.0348953399637826,135.72750470165775,386.6928871702167,7.458232584690752,0.7521767010610768,-0.4593106190395648,0.35707416951186594,0.14188089210899746,-3.71405257613867,-0.0032079999999999886,-0.003712000000000021,0.0010360000000000022,0.0008439999999999997,-0.0019559999999999994,0.0015399999999999997,0.0001399999999999995,0.003208,0.003712,0.001036,0.0019,0.001556,0.00014
gan,0,30.56886683196192,0.7017781385361177,0.8243024058937365,1.357006961354354,-14.65706401479411,142.6336473053037,389.1574199193138,20.514640420379795,0.5570560251323817,-0.05839071341421764,0.3674814157891237,0.06734089176309455,-2.6359346171401192,-0.0050800000000000844,0.005307999999999979,-0.0047719999999999985,-0.0005120000000000003,-0.00958400000000001,-0.006048000000000005,-0.0015399999999999997,0.00508,0.005308,0.004772,0.009528,0.006032,0.00154
bicubic,0,32.89623042762501,0.7814996157376983,0.5844702830730621,1.1114961920490714,-32.385230657826014,111.62046643812923,323.8309477087703,37.22131440232632,1.6337716377096965,0.8067056076014052,0.3696329117427562,0.3275420070577391,-7.385351240139112,0.0028479999999999617,0.0004720000000000002,-0.011432000000000001,-0.002704,-0.010720000000000007,-0.011800000000000005,-0.004844,0.002848,0.000472,0.011432,0.010664,0.011784,0.004844
cnn,1,31.69229976608246,0.7699031405742831,0.7305252098655866,1.3012579803411233,-6.154572809598528,149.33859867274893,413.6986589318849,9.523416662774629,0.7807964412103063,-0.38489029256803775,0.365122821373616,0.15998756825210728,-3.727962438467216,0.0018759999999999888,-0.00015599999999998948,-0.0011919999999999986,-0.000732,-0.003392000000000006,-0.0013360000000000039,-0.0009239999999999995,0.001876,0.000156,0.001192,0.003332,0.001316,0.000924
gan,1,30.732489092006617,0.7063256307080448,0.8487158808245842,1.4022488824419754,-18.519495913323848,161.19997262452583,446.0366280258561,23.530447670294574,0.556264380675009,-0.055236068305543284,0.3811750065568441,0.06529310671377667,-2.276064014350297,-0.006167999999999951,-0.00037599999999998746,-0.0062399999999999956,-0.0015079999999999998,-0.009916000000000008,-0.0066840000000000024,-0.0015840000000000003,0.006168,0.000376,0.00624,0.009856,0.006664,0.001584
bicubic,1,32.94324194087536,0.7880819266378777,0.6054227852900201,1.1531681275954517,-35.46411013276195,126.89539645121626,365.42236112369767,40.53802087326654,1.5929388159101392,0.8507961589295197,0.38221443781596043,0.3389403225658325,-6.327047444806963,0.006956000000000073,0.0015359999999999818,-0.011443999999999996,-0.0034159999999999998,-0.01032000000000001,-0.011612000000000004,-0.004024,0.006956,0.001536,0.011444,0.01026,0.011592,0.004024
cnn,2,31.54699072539859,0.7694029679759581,0.7463980424827302,1.3226826197639652,-8.400685606270288,166.01242370349885,445.6368459144029,12.009406986221004,0.7674156218639099,-0.32827547705800963,0.37335805477379874,0.16992993857334754,-3.457304043941864,0.00016799999999994597,0.0006360000000000254,-0.00136,-0.0013080000000000001,-0.0017320000000000113,-0.0013120000000000007,-0.00132,0.000168,0.000636,0.00136,0.001724,0.001292,0.001308
gan,2,30.61802751429424,0.7067319924131203,0.8645103281116543,1.421596118465049,-26.512956001513732,175.5133104707453,457.89687748653307,30.31463783963524,0.5578159052739673,-0.0466890062075791,0.3867739779970362,0.07102056965224678,-4.016448589512731,-0.005952000000000068,-0.0010359999999999814,-0.008292,-0.002236,-0.011363999999999999,-0.007428000000000004,-0.0022440000000000003,0.005952,0.001036,0.008292,0.011356,0.007408,0.002232
bicubic,2,32.70268356891039,0.7839651578503948,0.6274134477303474,1.1852885510790305,-38.232861221895135,142.39105186499225,402.79602667810315,44.008657741920175,1.5529098299545374,0.8707965048742552,0.39443118041989195,0.3505120423886836,-6.775057748299208,0.00873999999999997,0.0014840000000000408,-0.011099999999999999,-0.004516,-0.010924000000000003,-0.010588,-0.004528,0.00874,0.001484,0.0111,0.010916,0.010568,0.004516
cnn,3,31.5904468469398,0.7685374530933455,0.7623127542741533,1.3511166741736627,-13.539974996681854,181.64399169381318,477.607948398465,16.28874188753911,0.7936817174407381,-0.30431522731099037,0.38173743666645943,0.18302102901570663,-3.0507590999037504,0.00037599999999993194,0.0011079999999999979,-0.0026439999999999936,-0.0018519999999999995,-0.0026440000000000075,-0.0030039999999999997,-0.0017400000000000002,0.000376,0.001108,0.002644,0.002616,0.002996,0.001736
gan,3,30.614279698242967,0.7036834782154608,0.895766175131464,1.4721053276260891,-29.973342244797983,198.6520525822494,519.5914977101237,35.79744123640174,0.5602997800065114,-0.05611101812788721,0.3989180145547985,0.06886266396582044,-2.124976446448695,-0.0048759999999999915,-0.0009520000000000084,-0.00884399999999999,-0.0028839999999999994,-0.009928000000000006,-0.007464000000000005,-0.00232,0.004876,0.000952,0.008844,0.0099,0.007456,0.002316
bicubic,3,32.653789686420275,0.780523666777185,0.6491349878855956,1.2197461125028686,-41.24668377175311,157.64238339369837,436.8547579453681,47.947765097977936,1.5654724261168163,0.8778663211288174,0.4052358179486343,0.3594672276679545,-6.5105271182795,0.009120000000000017,0.0024440000000000017,-0.010975999999999993,-0.005596,-0.009524000000000005,-0.011068000000000001,-0.005056000000000001,0.00912,0.002444,0.010976,0.009496,0.01106,0.005052
cnn,4,31.168547352281415,0.7631080124360489,0.7778909736642537,1.36022425864858,-16.58410223308352,191.24092770777332,487.1453507522179,20.436892008740006,0.7987752515972008,-0.3376274111993709,0.3920347216306909,0.18725240635725657,-2.9199319974082307,-0.00026799999999993496,0.0014680000000000248,-0.003379999999999994,-0.0016160000000000011,-0.005544000000000007,-0.0041120000000000045,-0.00136,0.000268,0.001468,0.00338,0.005532,0.0041,0.001352
gan,4,30.17390370514747,0.691457111544268,0.9201294951863239,1.4897003295792601,-34.46197977663313,212.01382769156217,527.3848294137042,37.956565585632724,0.5629391406020667,-0.010875863193915869,0.41031573627191736,0.07460440784103269,-3.8755841790614554,-0.009391999999999956,-0.0044319999999999915,-0.008611999999999995,-0.002524,-0.01056,-0.007272000000000001,-0.0019120000000000005,0.009392,0.004432,0.008612,0.010548,0.00726,0.001904
bicubic,4,32.12680591450466,0.7724471191142729,0.6706500479838141,1.2434097119414724,-42.8523115915293,168.30444393679588,448.052410713288,51.001955411699164,1.5912470400026133,0.8721776874262401,0.41621602109463657,0.36783755477172747,-7.130189831472864,0.007295999999999969,0.0021560000000000468,-0.009831999999999994,-0.00634,-0.009240000000000012,-0.010952000000000003,-0.00554,0.007296,0.002156,0.009832,0.009228,0.01094,0.005532
cnn,5,31.066356029873372,0.7559077585550986,0.8049618240813593,1.403960497381796,-18.29647591675912,202.86185215581654,498.6516551586652,21.63858075873903,0.8638438776807488,-0.39805051065003205,0.40084965022376245,0.1942701817225615,-2.6167644544235316,-0.0020520000000000538,0.00044800000000000395,-0.006924,-0.0015400000000000014,-0.007680000000000006,-0.005352000000000003,-0.001340000000000001,0.002052,0.000448,0.006924,0.007652,0.00532,0.001328
gan,5,30.304625478466637,0.6879016897258585,0.927037052402149,1.4966689763324574,-34.52885027477531,218.91296634658624,515.8726905851538,35.88484681542095,0.5848814744746679,-0.08917952880641522,0.4148898891982404,0.07866338792677945,-4.5770448209582355,-0.009912000000000032,-0.0008039999999999714,-0.009852,-0.003084,-0.010419999999999999,-0.008508000000000002,-0.002576,0.009912,0.000804,0.009852,0.010392,0.008476,0.002564
bicubic,5,32.18057297517968,0.7727528517597931,0.6811590550170329,1.253313423141686,-42.25099327888276,172.7521953439458,443.4729680605622,52.25646405488895,1.7036398495934113,0.8241728519626834,0.41983161009779946,0.37006967052084877,-7.910455510522178,0.008499999999999952,0.0005479999999999929,-0.010104000000000002,-0.006668000000000001,-0.010160000000000002,-0.011392,-0.0059240000000000004,0.0085,0.000548,0.010104,0.010132,0.01136,0.005912
cnn,6,31.33876240129087,0.7540320174601041,0.803404266785222,1.3757651079640687,-23.67155970529118,200.00879565965107,473.5275188596316,27.16878625103299,0.9040340289727666,-0.38928698240646487,0.3975062725174918,0.19936101988821425,-2.300994618602669,-0.0030839999999999756,0.0016079999999999983,-0.007164000000000004,-0.0025280000000000007,-0.00766,-0.007400000000000004,-0.0022720000000000006,0.003084,0.001608,0.007164,0.007612,0.007396,0.002272
gan,6,30.267567264037822,0.6837034048178214,0.9481606326403665,1.5178274392546036,-32.137098493433164,225.3980383929244,510.30352146457915,33.47262347824461,0.5636926778518584,-0.11141034573401676,0.416806374265241,0.06722489976624589,-5.053408067202975,-0.011324,0.00011200000000000099,-0.007791999999999993,-0.003328000000000001,-0.00848800000000001,-0.009192000000000006,-0.0030560000000000006,0.011324,0.000112,0.007792,0.00844,0.009188,0.003056
bicubic,6,32.38474588449645,0.7763074329072175,0.6724632575930279,1.229361729400529,-39.900256622952874,168.896188080577,422.74476718512904,50.73042072904932,1.7817454980351612,0.7465962183662906,0.41470663381006856,0.3666789252923623,-7.12493571767031,0.010160000000000058,0.0018279999999999963,-0.008791999999999994,-0.005328,-0.008760000000000004,-0.011468000000000006,-0.004992,0.01016,0.001828,0.008792,0.008712,0.011464,0.004992
cnn,7,31.130746079426213,0.746003139660471,0.7817043901418461,1.3280051336563639,-29.61268408567898,188.4882083795455,432.3823439230389,36.87557385558142,1.0048106725836932,-0.40729479827823933,0.39094158124414563,0.22313542713346982,-3.304822203709442,0.0029000000000000137,0.0040160000000000196,-0.009071999999999997,-0.0033959999999999997,-0.009420000000000012,-0.007640000000000001,-0.003528,0.0029,0.004016,0.009072,0.009416,0.007628,0.003528
gan,7,30.005288126553875,0.6646106337154073,0.9444905633122774,1.4891714485331127,-32.26918995778823,221.78397624083618,484.4830130723413,38.72327506928618,0.5931370468219536,-0.10724486627286733,0.4095720239951377,0.07129465895060022,-4.503949882194176,-0.00651999999999997,0.0049200000000000355,-0.010148000000000004,-0.0035120000000000004,-0.010160000000000002,-0.008872000000000005,-0.0036120000000000006,0.00652,0.004916,0.010148,0.010156,0.00886,0.003612
bicubic,7,32.11967545015291,0.7681678231724789,0.6619566834277948,1.1954375973346396,-36.794870629898526,161.3631367353699,389.6481355091506,47.04599633015279,1.8599744167347878,0.7149076972473218,0.40978525877777966,0.3640043292416747,-7.767068532445268,0.010608000000000062,-0.003056000000000003,-0.010228000000000001,-0.004892,-0.009828000000000003,-0.009808000000000004,-0.004956,0.010608,0.003056,0.010228,0.009824,0.009796,0.004956
cnn,8,31.360491209352674,0.7462499807457471,0.779824597475374,1.307552450142519,-27.801417135040136,183.92240067616748,404.5825008300027,32.206499914710875,1.0379632173712166,-0.4230369657266815,0.38899178180769256,0.22966301415182047,-2.1653963057018757,0.0042920000000000735,-0.00036399999999997545,-0.012244000000000005,-0.0025319999999999995,-0.01223600000000001,-0.009792000000000002,-0.003112,0.004292,0.000364,0.012244,0.012228,0.0097,0.003108
gan,8,30.405238441002368,0.6738132753573693,0.9186089267568074,1.436833890967764,-29.774151626114673,214.08720008929424,450.9848208314701,35.52754609978451,0.6147698005088238,-0.10893499869256917,0.4007881598446069,0.07466408814876797,-4.961782774886899,-0.006371999999999933,0.003736000000000017,-0.011387999999999995,-0.0023799999999999993,-0.011412000000000005,-0.009832,-0.003092,0.006372,0.003736,0.011388,0.011404,0.00974,0.003088
bicubic,8,32.54522315699791,0.7707453594939794,0.6505850180155502,1.154319591159351,-33.03130953089761,153.31798331035895,357.98191386987645,42.57052265861128,1.917116210861458,0.6921657663032414,0.4065224141437023,0.3614160274636954,-7.333782944036345,0.015176000000000078,-0.0042280000000000095,-0.008592000000000002,-0.0033159999999999995,-0.008596000000000006,-0.008988000000000003,-0.003836,0.015176,0.004228,0.008592,0.008588,0.008896,0.003832
cnn,9,31.371026408537652,0.7379146712579279,0.7707979566349067,1.273000449335229,-25.384757186659048,176.55970837912628,367.17225060686144,30.11662081317707,1.0336161796015035,-0.47857700077445386,0.3796610425240004,0.2167801025730161,-2.6306813928188717,0.0045039999999999525,-0.003924000000000039,-0.010396000000000002,-0.001968,-0.011807999999999999,-0.011324,-0.003288,0.004504,0.003924,0.010396,0.011804,0.01132,0.003288
gan,9,30.265537172001572,0.6591089409218281,0.9196361846558333,1.4262155163690862,-20.55903231409032,210.96207708906638,415.9697722585465,24.515140253169083,0.5808467716232573,-0.134580867822927,0.39398853464369327,0.05209447595295632,-4.448680020745286,-0.0026960000000000317,0.00033600000000000296,-0.008043999999999996,-0.0016840000000000002,-0.009660000000000002,-0.008168000000000002,-0.003404,0.002696,0.000336,0.008044,0.009656,0.008164,0.003404
bicubic,9,32.606906863400454,0.7640429607868433,0.6401701834171518,1.1178150055408076,-29.367213682911753,145.24288865104768,322.96339789507755,36.966446651987646,1.9926877161563563,0.6552434274320125,0.39531320813483023,0.3520965710421007,-7.40276234932227,0.015035999999999938,-0.0045119999999999605,-0.008592000000000002,-0.0028640000000000002,-0.00898800000000001,-0.008548,-0.0036160000000000003,0.015036,0.004512,0.008592,0.008984,0.008544,0.003616
cnn,10,31.81692232992054,0.7385155279525889,0.7562148914286455,1.2222951545185718,-24.400868081456007,170.43088576125325,340.3854016430036,32.86435152100452,1.0816190960228962,-0.4999814171158006,0.36870187989129716,0.21842352310442403,-1.1465758068301746,0.0035359999999999836,-0.0037760000000000016,-0.009464,-0.001532,-0.011436000000000002,-0.010868000000000003,-0.0037,0.003536,0.003776,0.009464,0.011432,0.01082,0.003668
gan,10,30.53056327000849,0.6558933209463575,0.9177111933678406,1.409902127157923,-15.324901831408017,209.77896923281372,396.2034637243248,23.29566233569363,0.5644593955306361,-0.1628886610481164,0.39237525682574886,0.040902521579713934,-4.190672964498615,0.0013279999999999959,0.0020480000000000498,-0.007152000000000006,-0.0009359999999999998,-0.0068120000000000125,-0.008376000000000001,-0.003632,0.001328,0.002048,0.007152,0.006808,0.008328,0.0036
bicubic,10,32.98163724909816,0.7614411376243218,0.6328521895683082,1.084375901981239,-26.66378405279947,139.06806804233943,297.2628839476899,32.55367609997649,2.0828188148023927,0.5680460894691057,0.3883086335744616,0.34390256435425215,-7.890622373340264,0.012855999999999979,-0.005340000000000011,-0.008856000000000003,-0.002784,-0.008832000000000007,-0.007776000000000005,-0.00362,0.012856,0.00534,0.008856,0.008828,0.007728,0.003588
