key,method,mt_distance
cnn_s0_speed_p160_x0_y0,cnn,5.051645278930664
cnn_s100_speed_p160_x0_y0,cnn,5.912055015563965
cnn_s101_speed_p160_x0_y0,cnn,5.357294082641602
cnn_s102_speed_p160_x0_y0,cnn,5.164434909820557
cnn_s103_speed_p160_x0_y0,cnn,5.102769374847412
cnn_s104_speed_p160_x0_y0,cnn,4.829194068908691
cnn_s105_speed_p160_x0_y0,cnn,5.33697509765625
cnn_s106_speed_p160_x0_y0,cnn,5.767349720001221
cnn_s107_speed_p160_x0_y0,cnn,5.574344635009766
cnn_s108_speed_p160_x0_y0,cnn,5.6898322105407715
cnn_s109_speed_p160_x0_y0,cnn,5.088190078735352
cnn_s10_speed_p160_x0_y0,cnn,6.634506702423096
cnn_s110_speed_p160_x0_y0,cnn,5.806641101837158
cnn_s111_speed_p160_x0_y0,cnn,5.513612270355225
cnn_s112_speed_p160_x0_y0,cnn,5.637857913970947
cnn_s113_speed_p160_x0_y0,cnn,5.502909183502197
cnn_s114_speed_p160_x0_y0,cnn,5.123978614807129
cnn_s115_speed_p160_x0_y0,cnn,4.689971923828125
cnn_s116_speed_p160_x0_y0,cnn,5.35050630569458
cnn_s117_speed_p160_x0_y0,cnn,5.260716915130615
cnn_s118_speed_p160_x0_y0,cnn,6.84329080581665
cnn_s119_speed_p160_x0_y0,cnn,5.218785285949707
cnn_s11_speed_p160_x0_y0,cnn,5.910721302032471
cnn_s120_speed_p160_x0_y0,cnn,4.889072418212891
cnn_s121_speed_p160_x0_y0,cnn,5.373913288116455
cnn_s122_speed_p160_x0_y0,cnn,5.264456272125244
cnn_s123_speed_p160_x0_y0,cnn,6.196282386779785
cnn_s124_speed_p160_x0_y0,cnn,6.166434288024902
cnn_s125_speed_p160_x0_y0,cnn,5.748098373413086
cnn_s126_speed_p160_x0_y0,cnn,4.992148399353027
cnn_s127_speed_p160_x0_y0,cnn,5.114649772644043
cnn_s128_speed_p160_x0_y0,cnn,5.476268768310547
cnn_s129_speed_p160_x0_y0,cnn,5.373117923736572
cnn_s12_speed_p160_x0_y0,cnn,6.61636209487915
cnn_s130_speed_p160_x0_y0,cnn,5.609683513641357
cnn_s131_speed_p160_x0_y0,cnn,6.2030792236328125
cnn_s132_speed_p160_x0_y0,cnn,6.331444263458252
cnn_s133_speed_p160_x0_y0,cnn,6.299666404724121
cnn_s134_speed_p160_x0_y0,cnn,7.141453742980957
cnn_s135_speed_p160_x0_y0,cnn,6.298990726470947
cnn_s136_speed_p160_x0_y0,cnn,6.232182025909424
cnn_s137_speed_p160_x0_y0,cnn,5.208233833312988
cnn_s138_speed_p160_x0_y0,cnn,5.562473773956299
cnn_s139_speed_p160_x0_y0,cnn,5.6482439041137695
cnn_s13_speed_p160_x0_y0,cnn,6.0738348960876465
cnn_s140_speed_p160_x0_y0,cnn,5.719569206237793
cnn_s141_speed_p160_x0_y0,cnn,6.186624050140381
cnn_s142_speed_p160_x0_y0,cnn,7.186554908752441
cnn_s143_speed_p160_x0_y0,cnn,5.864097595214844
cnn_s144_speed_p160_x0_y0,cnn,5.560759544372559
cnn_s145_speed_p160_x0_y0,cnn,5.902344226837158
cnn_s146_speed_p160_x0_y0,cnn,5.959416389465332
cnn_s147_speed_p160_x0_y0,cnn,5.6108717918396
cnn_s148_speed_p160_x0_y0,cnn,5.0148024559021
cnn_s149_speed_p160_x0_y0,cnn,5.752551078796387
cnn_s14_speed_p160_x0_y0,cnn,5.448930263519287
cnn_s150_speed_p160_x0_y0,cnn,5.291886329650879
cnn_s151_speed_p160_x0_y0,cnn,5.580901145935059
cnn_s152_speed_p160_x0_y0,cnn,5.931854248046875
cnn_s153_speed_p160_x0_y0,cnn,6.290019989013672
cnn_s154_speed_p160_x0_y0,cnn,5.889771461486816
cnn_s155_speed_p160_x0_y0,cnn,6.413660526275635
cnn_s156_speed_p160_x0_y0,cnn,5.162914276123047
cnn_s157_speed_p160_x0_y0,cnn,4.567626476287842
cnn_s158_speed_p160_x0_y0,cnn,5.708489894866943
cnn_s159_speed_p160_x0_y0,cnn,5.012121677398682
cnn_s15_speed_p160_x0_y0,cnn,5.097294807434082
cnn_s160_speed_p160_x0_y0,cnn,5.1832075119018555
cnn_s161_speed_p160_x0_y0,cnn,5.7158894538879395
cnn_s162_speed_p160_x0_y0,cnn,4.5405659675598145
cnn_s163_speed_p160_x0_y0,cnn,5.698920726776123
cnn_s164_speed_p160_x0_y0,cnn,5.2430009841918945
cnn_s165_speed_p160_x0_y0,cnn,5.059387683868408
cnn_s166_speed_p160_x0_y0,cnn,6.106489181518555
cnn_s167_speed_p160_x0_y0,cnn,5.800627708435059
cnn_s16_speed_p160_x0_y0,cnn,5.464188098907471
cnn_s17_speed_p160_x0_y0,cnn,5.2896833419799805
cnn_s18_speed_p160_x0_y0,cnn,6.258571624755859
cnn_s19_speed_p160_x0_y0,cnn,6.927988529205322
cnn_s1_speed_p160_x0_y0,cnn,4.678010940551758
cnn_s20_speed_p160_x0_y0,cnn,6.254051208496094
cnn_s21_speed_p160_x0_y0,cnn,8.127616882324219
cnn_s22_speed_p160_x0_y0,cnn,8.081520080566406
cnn_s23_speed_p160_x0_y0,cnn,6.907674789428711
cnn_s24_speed_p160_x0_y0,cnn,7.21915864944458
cnn_s25_speed_p160_x0_y0,cnn,11.371563911437988
cnn_s26_speed_p160_x0_y0,cnn,7.043282985687256
cnn_s27_speed_p160_x0_y0,cnn,6.4783101081848145
cnn_s28_speed_p160_x0_y0,cnn,7.210402011871338
cnn_s29_speed_p160_x0_y0,cnn,6.963974952697754
cnn_s2_speed_p160_x0_y0,cnn,4.894824504852295
cnn_s30_speed_p160_x0_y0,cnn,8.127463340759277
cnn_s31_speed_p160_x0_y0,cnn,6.818642616271973
cnn_s32_speed_p160_x0_y0,cnn,7.461033821105957
cnn_s33_speed_p160_x0_y0,cnn,6.76971960067749
cnn_s34_speed_p160_x0_y0,cnn,6.323113918304443
cnn_s35_speed_p160_x0_y0,cnn,6.2719197273254395
cnn_s36_speed_p160_x0_y0,cnn,6.097905158996582
cnn_s37_speed_p160_x0_y0,cnn,6.489102840423584
cnn_s38_speed_p160_x0_y0,cnn,6.054014682769775
cnn_s39_speed_p160_x0_y0,cnn,5.873856067657471
cnn_s3_speed_p160_x0_y0,cnn,4.794641017913818
cnn_s40_speed_p160_x0_y0,cnn,5.6310811042785645
cnn_s41_speed_p160_x0_y0,cnn,5.389686584472656
cnn_s42_speed_p160_x0_y0,cnn,5.757840156555176
cnn_s43_speed_p160_x0_y0,cnn,5.7682366371154785
cnn_s44_speed_p160_x0_y0,cnn,6.20600700378418
cnn_s45_speed_p160_x0_y0,cnn,6.566225528717041
cnn_s46_speed_p160_x0_y0,cnn,6.243154048919678
cnn_s47_speed_p160_x0_y0,cnn,6.789880752563477
cnn_s48_speed_p160_x0_y0,cnn,7.081502437591553
cnn_s49_speed_p160_x0_y0,cnn,6.3195295333862305
cnn_s4_speed_p160_x0_y0,cnn,4.892229080200195
cnn_s50_speed_p160_x0_y0,cnn,6.3856120109558105
cnn_s51_speed_p160_x0_y0,cnn,5.902731418609619
cnn_s52_speed_p160_x0_y0,cnn,5.69123649597168
cnn_s53_speed_p160_x0_y0,cnn,5.261850833892822
cnn_s54_speed_p160_x0_y0,cnn,5.500187397003174
cnn_s55_speed_p160_x0_y0,cnn,5.2683796882629395
cnn_s56_speed_p160_x0_y0,cnn,5.488292217254639
cnn_s57_speed_p160_x0_y0,cnn,5.463809013366699
cnn_s58_speed_p160_x0_y0,cnn,6.08959436416626
cnn_s59_speed_p160_x0_y0,cnn,5.546851634979248
cnn_s5_speed_p160_x0_y0,cnn,5.628478050231934
cnn_s60_speed_p160_x0_y0,cnn,5.321651458740234
cnn_s61_speed_p160_x0_y0,cnn,5.346891403198242
cnn_s62_speed_p160_x0_y0,cnn,6.720277786254883
cnn_s63_speed_p160_x0_y0,cnn,7.660599708557129
cnn_s64_speed_p160_x0_y0,cnn,5.944510459899902
cnn_s65_speed_p160_x0_y0,cnn,5.820770263671875
cnn_s66_speed_p160_x0_y0,cnn,5.701828956604004
cnn_s67_speed_p160_x0_y0,cnn,5.030301094055176
cnn_s68_speed_p160_x0_y0,cnn,6.074338436126709
cnn_s69_speed_p160_x0_y0,cnn,5.17050838470459
cnn_s6_speed_p160_x0_y0,cnn,6.144000053405762
cnn_s70_speed_p160_x0_y0,cnn,5.396136283874512
cnn_s71_speed_p160_x0_y0,cnn,5.1588335037231445
cnn_s72_speed_p160_x0_y0,cnn,4.796044826507568
cnn_s73_speed_p160_x0_y0,cnn,4.9851861000061035
cnn_s74_speed_p160_x0_y0,cnn,4.782100200653076
cnn_s75_speed_p160_x0_y0,cnn,5.201173305511475
cnn_s76_speed_p160_x0_y0,cnn,5.207019329071045
cnn_s77_speed_p160_x0_y0,cnn,6.132026672363281
cnn_s78_speed_p160_x0_y0,cnn,5.8028388023376465
cnn_s79_speed_p160_x0_y0,cnn,6.856454849243164
cnn_s7_speed_p160_x0_y0,cnn,5.672351837158203
cnn_s80_speed_p160_x0_y0,cnn,6.982686519622803
cnn_s81_speed_p160_x0_y0,cnn,6.426537990570068
cnn_s82_speed_p160_x0_y0,cnn,7.1840739250183105
cnn_s83_speed_p160_x0_y0,cnn,6.560110569000244
cnn_s84_speed_p160_x0_y0,cnn,5.271510124206543
cnn_s85_speed_p160_x0_y0,cnn,5.609640121459961
cnn_s86_speed_p160_x0_y0,cnn,5.25334358215332
cnn_s87_speed_p160_x0_y0,cnn,6.509652614593506
cnn_s88_speed_p160_x0_y0,cnn,6.411813259124756
cnn_s89_speed_p160_x0_y0,cnn,6.017302513122559
cnn_s8_speed_p160_x0_y0,cnn,7.50956392288208
cnn_s90_speed_p160_x0_y0,cnn,5.257880687713623
cnn_s91_speed_p160_x0_y0,cnn,5.508337497711182
cnn_s92_speed_p160_x0_y0,cnn,5.735818386077881
cnn_s93_speed_p160_x0_y0,cnn,6.506997585296631
cnn_s94_speed_p160_x0_y0,cnn,5.102908611297607
cnn_s95_speed_p160_x0_y0,cnn,5.015480041503906
cnn_s96_speed_p160_x0_y0,cnn,5.121858596801758
cnn_s97_speed_p160_x0_y0,cnn,5.011539936065674
cnn_s98_speed_p160_x0_y0,cnn,4.942448139190674
cnn_s99_speed_p160_x0_y0,cnn,5.342334747314453
cnn_s9_speed_p160_x0_y0,cnn,5.768454551696777
