key,method,pd_distance
cnn_s0_speed_p160_x0_y0,cnn,24.384505325565424
cnn_s100_speed_p160_x0_y0,cnn,31.181555022619012
cnn_s101_speed_p160_x0_y0,cnn,30.40796712150836
cnn_s102_speed_p160_x0_y0,cnn,29.254680859214627
cnn_s103_speed_p160_x0_y0,cnn,29.507549938987374
cnn_s104_speed_p160_x0_y0,cnn,29.173745320955113
cnn_s105_speed_p160_x0_y0,cnn,29.338582011466166
cnn_s106_speed_p160_x0_y0,cnn,30.092821360744658
cnn_s107_speed_p160_x0_y0,cnn,29.64376642955138
cnn_s108_speed_p160_x0_y0,cnn,28.940126674621943
cnn_s109_speed_p160_x0_y0,cnn,28.97319829057234
cnn_s10_speed_p160_x0_y0,cnn,29.696969860459554
cnn_s110_speed_p160_x0_y0,cnn,29.504241915198808
cnn_s111_speed_p160_x0_y0,cnn,28.17742348677506
cnn_s112_speed_p160_x0_y0,cnn,27.49742127818127
cnn_s113_speed_p160_x0_y0,cnn,26.010710160777133
cnn_s114_speed_p160_x0_y0,cnn,24.541486090961616
cnn_s115_speed_p160_x0_y0,cnn,25.270960377659716
cnn_s116_speed_p160_x0_y0,cnn,25.095451409249726
cnn_s117_speed_p160_x0_y0,cnn,27.14897424086504
cnn_s118_speed_p160_x0_y0,cnn,27.925806328570985
cnn_s119_speed_p160_x0_y0,cnn,27.187847892928154
cnn_s11_speed_p160_x0_y0,cnn,28.68732565326105
cnn_s120_speed_p160_x0_y0,cnn,28.146732976702577
cnn_s121_speed_p160_x0_y0,cnn,29.135888828595842
cnn_s122_speed_p160_x0_y0,cnn,28.017758663142306
cnn_s123_speed_p160_x0_y0,cnn,29.152924001075785
cnn_s124_speed_p160_x0_y0,cnn,28.184626374879375
cnn_s125_speed_p160_x0_y0,cnn,28.43981263564626
cnn_s126_speed_p160_x0_y0,cnn,28.023492407781937
cnn_s127_speed_p160_x0_y0,cnn,30.000730217921266
cnn_s128_speed_p160_x0_y0,cnn,28.391923421353447
cnn_s129_speed_p160_x0_y0,cnn,29.465245102227872
cnn_s12_speed_p160_x0_y0,cnn,30.104522332856273
cnn_s130_speed_p160_x0_y0,cnn,30.27324308013254
cnn_s131_speed_p160_x0_y0,cnn,33.0539968727652
cnn_s132_speed_p160_x0_y0,cnn,33.926806040190684
cnn_s133_speed_p160_x0_y0,cnn,34.52507377701583
cnn_s134_speed_p160_x0_y0,cnn,32.518921837890055
cnn_s135_speed_p160_x0_y0,cnn,29.944179549584543
cnn_s136_speed_p160_x0_y0,cnn,27.83279512215704
cnn_s137_speed_p160_x0_y0,cnn,26.69652879915387
cnn_s138_speed_p160_x0_y0,cnn,26.265900126493325
cnn_s139_speed_p160_x0_y0,cnn,25.72843674372112
cnn_s13_speed_p160_x0_y0,cnn,29.273674668484478
cnn_s140_speed_p160_x0_y0,cnn,26.928885115678263
cnn_s141_speed_p160_x0_y0,cnn,30.122683212798776
cnn_s142_speed_p160_x0_y0,cnn,31.864668972443802
