key,method,pd_distance,mt_distance,error
cnn_s0_speed_p160_x0_y0,cnn,24.384505325565424,5.051645278930664,
cnn_s100_speed_p160_x0_y0,cnn,31.181555022619012,5.912055015563965,
cnn_s101_speed_p160_x0_y0,cnn,30.40796712150836,5.357294082641602,
cnn_s102_speed_p160_x0_y0,cnn,29.254680859214627,5.164434909820557,
cnn_s103_speed_p160_x0_y0,cnn,29.507549938987374,5.102769374847412,
cnn_s104_speed_p160_x0_y0,cnn,29.173745320955113,4.829194068908691,
cnn_s105_speed_p160_x0_y0,cnn,29.338582011466166,5.33697509765625,
cnn_s106_speed_p160_x0_y0,cnn,30.092821360744658,5.767349720001221,
cnn_s107_speed_p160_x0_y0,cnn,29.64376642955138,5.574344635009766,
cnn_s108_speed_p160_x0_y0,cnn,28.940126674621943,5.6898322105407715,
cnn_s109_speed_p160_x0_y0,cnn,28.97319829057234,5.088190078735352,
cnn_s10_speed_p160_x0_y0,cnn,29.696969860459554,6.634506702423096,
cnn_s110_speed_p160_x0_y0,cnn,29.504241915198808,5.806641101837158,
cnn_s111_speed_p160_x0_y0,cnn,28.17742348677506,5.513612270355225,
cnn_s112_speed_p160_x0_y0,cnn,27.49742127818127,5.637857913970947,
cnn_s113_speed_p160_x0_y0,cnn,26.010710160777133,5.502909183502197,
cnn_s114_speed_p160_x0_y0,cnn,24.541486090961616,5.123978614807129,
cnn_s115_speed_p160_x0_y0,cnn,25.270960377659716,4.689971923828125,
cnn_s116_speed_p160_x0_y0,cnn,25.095451409249726,5.35050630569458,
cnn_s117_speed_p160_x0_y0,cnn,27.14897424086504,5.260716915130615,
cnn_s118_speed_p160_x0_y0,cnn,27.925806328570985,6.84329080581665,
cnn_s119_speed_p160_x0_y0,cnn,27.187847892928154,5.218785285949707,
cnn_s11_speed_p160_x0_y0,cnn,28.68732565326105,5.910721302032471,
cnn_s120_speed_p160_x0_y0,cnn,28.146732976702577,4.889072418212891,
cnn_s121_speed_p160_x0_y0,cnn,29.135888828595842,5.373913288116455,
cnn_s122_speed_p160_x0_y0,cnn,28.017758663142306,5.264456272125244,
cnn_s123_speed_p160_x0_y0,cnn,29.152924001075785,6.196282386779785,
cnn_s124_speed_p160_x0_y0,cnn,28.184626374879375,6.166434288024902,
cnn_s125_speed_p160_x0_y0,cnn,28.43981263564626,5.748098373413086,
cnn_s126_speed_p160_x0_y0,cnn,28.023492407781937,4.992148399353027,
cnn_s127_speed_p160_x0_y0,cnn,30.000730217921266,5.114649772644043,
cnn_s128_speed_p160_x0_y0,cnn,28.391923421353447,5.476268768310547,
cnn_s129_speed_p160_x0_y0,cnn,29.465245102227872,5.373117923736572,
cnn_s12_speed_p160_x0_y0,cnn,30.104522332856273,6.61636209487915,
cnn_s130_speed_p160_x0_y0,cnn,30.27324308013254,5.609683513641357,
cnn_s131_speed_p160_x0_y0,cnn,33.0539968727652,6.2030792236328125,
cnn_s132_speed_p160_x0_y0,cnn,33.926806040190684,6.331444263458252,
cnn_s133_speed_p160_x0_y0,cnn,34.52507377701583,6.299666404724121,
cnn_s134_speed_p160_x0_y0,cnn,32.518921837890055,7.141453742980957,
cnn_s135_speed_p160_x0_y0,cnn,29.944179549584543,6.298990726470947,
cnn_s136_speed_p160_x0_y0,cnn,27.83279512215704,6.232182025909424,
cnn_s137_speed_p160_x0_y0,cnn,26.69652879915387,5.208233833312988,
cnn_s138_speed_p160_x0_y0,cnn,26.265900126493325,5.562473773956299,
cnn_s139_speed_p160_x0_y0,cnn,25.72843674372112,5.6482439041137695,
cnn_s13_speed_p160_x0_y0,cnn,29.273674668484478,6.0738348960876465,
cnn_s140_speed_p160_x0_y0,cnn,26.928885115678263,5.719569206237793,
cnn_s141_speed_p160_x0_y0,cnn,30.122683212798776,6.186624050140381,
cnn_s142_speed_p160_x0_y0,cnn,31.864668972443802,7.186554908752441,
cnn_s143_speed_p160_x0_y0,cnn,31.729557469133276,5.864097595214844,
cnn_s144_speed_p160_x0_y0,cnn,31.838603860361527,5.560759544372559,
cnn_s145_speed_p160_x0_y0,cnn,30.39245353837724,5.902344226837158,
cnn_s146_speed_p160_x0_y0,cnn,29.28670842660694,5.959416389465332,
cnn_s147_speed_p160_x0_y0,cnn,26.585106339400784,5.6108717918396,
cnn_s148_speed_p160_x0_y0,cnn,26.258461074996504,5.0148024559021,
cnn_s149_speed_p160_x0_y0,cnn,25.194205211404583,5.752551078796387,
cnn_s14_speed_p160_x0_y0,cnn,28.13047371417262,5.448930263519287,
cnn_s150_speed_p160_x0_y0,cnn,24.128591365700505,5.291886329650879,
cnn_s151_speed_p160_x0_y0,cnn,24.240085612250784,5.580901145935059,
cnn_s152_speed_p160_x0_y0,cnn,24.594151699851988,5.931854248046875,
cnn_s153_speed_p160_x0_y0,cnn,25.168802860244767,6.290019989013672,
cnn_s154_speed_p160_x0_y0,cnn,25.31020070022765,5.889771461486816,
cnn_s155_speed_p160_x0_y0,cnn,26.088776073112513,6.413660526275635,
cnn_s156_speed_p160_x0_y0,cnn,25.16401321091786,5.162914276123047,
cnn_s157_speed_p160_x0_y0,cnn,25.57399551509901,4.567626476287842,
cnn_s158_speed_p160_x0_y0,cnn,27.076784963721764,5.708489894866943,
cnn_s159_speed_p160_x0_y0,cnn,24.310343375521082,5.012121677398682,
cnn_s15_speed_p160_x0_y0,cnn,26.322356943691645,5.097294807434082,
cnn_s160_speed_p160_x0_y0,cnn,21.188537318324133,5.1832075119018555,
cnn_s161_speed_p160_x0_y0,cnn,19.540402210515502,5.7158894538879395,
cnn_s162_speed_p160_x0_y0,cnn,18.27105324592802,4.5405659675598145,
cnn_s163_speed_p160_x0_y0,cnn,19.37037318892002,5.698920726776123,
cnn_s164_speed_p160_x0_y0,cnn,21.46365087746109,5.2430009841918945,
cnn_s165_speed_p160_x0_y0,cnn,22.937888715207535,5.059387683868408,
cnn_s166_speed_p160_x0_y0,cnn,23.890736675966988,6.106489181518555,
cnn_s167_speed_p160_x0_y0,cnn,23.479887971191566,5.800627708435059,
cnn_s16_speed_p160_x0_y0,cnn,23.755960973590362,5.464188098907471,
cnn_s17_speed_p160_x0_y0,cnn,20.900376556174706,5.2896833419799805,
cnn_s18_speed_p160_x0_y0,cnn,20.394905033940507,6.258571624755859,
cnn_s19_speed_p160_x0_y0,cnn,21.064082150885508,6.927988529205322,
cnn_s1_speed_p160_x0_y0,cnn,24.612518312283534,4.678010940551758,
cnn_s20_speed_p160_x0_y0,cnn,21.97923655969375,6.254051208496094,
cnn_s21_speed_p160_x0_y0,cnn,27.30086406645334,8.127616882324219,
cnn_s22_speed_p160_x0_y0,cnn,32.693467082501115,8.081520080566406,
cnn_s23_speed_p160_x0_y0,cnn,34.476953302920876,6.907674789428711,
cnn_s24_speed_p160_x0_y0,cnn,35.75728371567695,7.21915864944458,
cnn_s25_speed_p160_x0_y0,cnn,36.58411526021696,11.371563911437988,
cnn_s26_speed_p160_x0_y0,cnn,35.02599363200026,7.043282985687256,
cnn_s27_speed_p160_x0_y0,cnn,36.89696946573002,6.4783101081848145,
cnn_s28_speed_p160_x0_y0,cnn,38.33189346230645,7.210402011871338,
cnn_s29_speed_p160_x0_y0,cnn,38.84347398326436,6.963974952697754,
cnn_s2_speed_p160_x0_y0,cnn,25.200926367648954,4.894824504852295,
cnn_s30_speed_p160_x0_y0,cnn,39.94080457344863,8.127463340759277,
cnn_s31_speed_p160_x0_y0,cnn,39.104318483733294,6.818642616271973,
cnn_s32_speed_p160_x0_y0,cnn,38.55925876668554,7.461033821105957,
cnn_s33_speed_p160_x0_y0,cnn,38.39305861348763,6.76971960067749,
cnn_s34_speed_p160_x0_y0,cnn,37.356416104450325,6.323113918304443,
cnn_s35_speed_p160_x0_y0,cnn,35.95264003005777,6.2719197273254395,
cnn_s36_speed_p160_x0_y0,cnn,35.61901723291445,6.097905158996582,
cnn_s37_speed_p160_x0_y0,cnn,33.456602216246914,6.489102840423584,
cnn_s38_speed_p160_x0_y0,cnn,29.159912858159764,6.054014682769775,
cnn_s39_speed_p160_x0_y0,cnn,25.24426875811477,5.873856067657471,
cnn_s3_speed_p160_x0_y0,cnn,24.87627415927669,4.794641017913818,
cnn_s40_speed_p160_x0_y0,cnn,24.281572165890662,5.6310811042785645,
cnn_s41_speed_p160_x0_y0,cnn,23.457166445963043,5.389686584472656,
cnn_s42_speed_p160_x0_y0,cnn,21.63035540369367,5.757840156555176,
cnn_s43_speed_p160_x0_y0,cnn,20.76816702008209,5.7682366371154785,
cnn_s44_speed_p160_x0_y0,cnn,19.781150575177055,6.20600700378418,
cnn_s45_speed_p160_x0_y0,cnn,20.528037851461004,6.566225528717041,
cnn_s46_speed_p160_x0_y0,cnn,20.678325640697178,6.243154048919678,
cnn_s47_speed_p160_x0_y0,cnn,22.201753073772625,6.789880752563477,
cnn_s48_speed_p160_x0_y0,cnn,22.832495463547907,7.081502437591553,
cnn_s49_speed_p160_x0_y0,cnn,22.105793975200847,6.3195295333862305,
cnn_s4_speed_p160_x0_y0,cnn,24.810879874900778,4.892229080200195,
cnn_s50_speed_p160_x0_y0,cnn,21.30877833114525,6.3856120109558105,
cnn_s51_speed_p160_x0_y0,cnn,21.75849079768097,5.902731418609619,
cnn_s52_speed_p160_x0_y0,cnn,21.81632996072092,5.69123649597168,
cnn_s53_speed_p160_x0_y0,cnn,21.92458068590406,5.261850833892822,
cnn_s54_speed_p160_x0_y0,cnn,22.97915159360149,5.500187397003174,
cnn_s55_speed_p160_x0_y0,cnn,23.57536347476084,5.2683796882629395,
cnn_s56_speed_p160_x0_y0,cnn,24.24948793523431,5.488292217254639,
cnn_s57_speed_p160_x0_y0,cnn,24.937493176964292,5.463809013366699,
cnn_s58_speed_p160_x0_y0,cnn,25.56121844001433,6.08959436416626,
cnn_s59_speed_p160_x0_y0,cnn,25.864386079507888,5.546851634979248,
cnn_s5_speed_p160_x0_y0,cnn,27.01852197077857,5.628478050231934,
cnn_s60_speed_p160_x0_y0,cnn,25.964725332360167,5.321651458740234,
cnn_s61_speed_p160_x0_y0,cnn,25.73100039673249,5.346891403198242,
cnn_s62_speed_p160_x0_y0,cnn,27.46350343812835,6.720277786254883,
cnn_s63_speed_p160_x0_y0,cnn,28.524583670890912,7.660599708557129,
cnn_s64_speed_p160_x0_y0,cnn,24.7100597287657,5.944510459899902,
cnn_s65_speed_p160_x0_y0,cnn,22.148883751156426,5.820770263671875,
cnn_s66_speed_p160_x0_y0,cnn,20.981857591368968,5.701828956604004,
cnn_s67_speed_p160_x0_y0,cnn,20.679919922717943,5.030301094055176,
cnn_s68_speed_p160_x0_y0,cnn,21.77134223692748,6.074338436126709,
cnn_s69_speed_p160_x0_y0,cnn,24.168055816700438,5.17050838470459,
cnn_s6_speed_p160_x0_y0,cnn,28.068979766562435,6.144000053405762,
cnn_s70_speed_p160_x0_y0,cnn,24.673819113934496,5.396136283874512,
cnn_s71_speed_p160_x0_y0,cnn,25.505047306429027,5.1588335037231445,
cnn_s72_speed_p160_x0_y0,cnn,26.514111621573456,4.796044826507568,
cnn_s73_speed_p160_x0_y0,cnn,27.001473804134946,4.9851861000061035,
cnn_s74_speed_p160_x0_y0,cnn,28.28963162272453,4.782100200653076,
cnn_s75_speed_p160_x0_y0,cnn,29.367383683723347,5.201173305511475,
cnn_s76_speed_p160_x0_y0,cnn,30.056769521251926,5.207019329071045,
cnn_s77_speed_p160_x0_y0,cnn,29.944664675564518,6.132026672363281,
cnn_s78_speed_p160_x0_y0,cnn,30.300511724579902,5.8028388023376465,
cnn_s79_speed_p160_x0_y0,cnn,30.148051358309164,6.856454849243164,
cnn_s7_speed_p160_x0_y0,cnn,29.26973016135952,5.672351837158203,
cnn_s80_speed_p160_x0_y0,cnn,30.086252753371088,6.982686519622803,
cnn_s81_speed_p160_x0_y0,cnn,29.68907403762892,6.426537990570068,
cnn_s82_speed_p160_x0_y0,cnn,28.90089773637945,7.1840739250183105,
cnn_s83_speed_p160_x0_y0,cnn,28.194313716720707,6.560110569000244,
cnn_s84_speed_p160_x0_y0,cnn,29.14514380262554,5.271510124206543,
cnn_s85_speed_p160_x0_y0,cnn,28.72250736297703,5.609640121459961,
cnn_s86_speed_p160_x0_y0,cnn,29.195361276159034,5.25334358215332,
cnn_s87_speed_p160_x0_y0,cnn,29.611902358359767,6.509652614593506,
cnn_s88_speed_p160_x0_y0,cnn,26.37509421416108,6.411813259124756,
cnn_s89_speed_p160_x0_y0,cnn,24.29846982632471,6.017302513122559,
cnn_s8_speed_p160_x0_y0,cnn,29.63505050414828,7.50956392288208,
cnn_s90_speed_p160_x0_y0,cnn,22.206834090995343,5.257880687713623,
cnn_s91_speed_p160_x0_y0,cnn,22.30942508877806,5.508337497711182,
cnn_s92_speed_p160_x0_y0,cnn,22.07932597419188,5.735818386077881,
cnn_s93_speed_p160_x0_y0,cnn,24.402894658345392,6.506997585296631,
cnn_s94_speed_p160_x0_y0,cnn,24.570031527820365,5.102908611297607,
cnn_s95_speed_p160_x0_y0,cnn,26.879696075655563,5.015480041503906,
cnn_s96_speed_p160_x0_y0,cnn,28.904715116511554,5.121858596801758,
cnn_s97_speed_p160_x0_y0,cnn,30.15308546680866,5.011539936065674,
cnn_s98_speed_p160_x0_y0,cnn,31.264551411001506,4.942448139190674,
cnn_s99_speed_p160_x0_y0,cnn,30.940933752807226,5.342334747314453,
cnn_s9_speed_p160_x0_y0,cnn,28.65602837253281,5.768454551696777,
