method,key,pd_distance,mt_distance,error,source_dir
cnn,cnn_s0_speed_p160_x0_y0,24.384505325565424,5.051645278930664,,/home/adadhwal/PhIRE/ttk_runs_fixed/cnn/phase_c_final
cnn,cnn_s100_speed_p160_x0_y0,31.181555022619012,5.912055015563965,,/home/adadhwal/PhIRE/ttk_runs_fixed/cnn/phase_c_final
cnn,cnn_s101_speed_p160_x0_y0,30.40796712150836,5.357294082641602,,/home/adadhwal/PhIRE/ttk_runs_fixed/cnn/phase_c_final
cnn,cnn_s102_speed_p160_x0_y0,29.254680859214627,5.164434909820557,,/home/adadhwal/PhIRE/ttk_runs_fixed/cnn/phase_c_final
cnn,cnn_s103_speed_p160_x0_y0,29.507549938987374,5.102769374847412,,/home/adadhwal/PhIRE/ttk_runs_fixed/cnn/phase_c_final
cnn,cnn_s104_speed_p160_x0_y0,29.173745320955113,4.829194068908691,,/home/adadhwal/PhIRE/ttk_runs_fixed/cnn/phase_c_final
cnn,cnn_s105_speed_p160_x0_y0,29.338582011466166,5.33697509765625,,/home/adadhwal/PhIRE/ttk_runs_fixed/cnn/phase_c_final
cnn,cnn_s106_speed_p160_x0_y0,30.092821360744658,5.767349720001221,,/home/adadhwal/PhIRE/ttk_runs_fixed/cnn/phase_c_final
cnn,cnn_s107_speed_p160_x0_y0,29.64376642955138,5.574344635009766,,/home/adadhwal/PhIRE/ttk_runs_fixed/cnn/phase_c_final
cnn,cnn_s108_speed_p160_x0_y0,28.940126674621943,5.6898322105407715,,/home/adadhwal/PhIRE/ttk_runs_fixed/cnn/phase_c_final
cnn,cnn_s109_speed_p160_x0_y0,28.97319829057234,5.088190078735352,,/home/adadhwal/PhIRE/ttk_runs_fixed/cnn/phase_c_final
cnn,cnn_s10_speed_p160_x0_y0,29.696969860459554,6.634506702423096,,/home/adadhwal/PhIRE/ttk_runs_fixed/cnn/phase_c_final
cnn,cnn_s110_speed_p160_x0_y0,29.504241915198808,5.806641101837158,,/home/adadhwal/PhIRE/ttk_runs_fixed/cnn/phase_c_final
cnn,cnn_s111_speed_p160_x0_y0,28.17742348677506,5.513612270355225,,/home/adadhwal/PhIRE/ttk_runs_fixed/cnn/phase_c_final
cnn,cnn_s112_speed_p160_x0_y0,27.49742127818127,5.637857913970947,,/home/adadhwal/PhIRE/ttk_runs_fixed/cnn/phase_c_final
cnn,cnn_s113_speed_p160_x0_y0,26.010710160777133,5.502909183502197,,/home/adadhwal/PhIRE/ttk_runs_fixed/cnn/phase_c_final
cnn,cnn_s114_speed_p160_x0_y0,24.541486090961616,5.123978614807129,,/home/adadhwal/PhIRE/ttk_runs_fixed/cnn/phase_c_final
cnn,cnn_s115_speed_p160_x0_y0,25.270960377659716,4.689971923828125,,/home/adadhwal/PhIRE/ttk_runs_fixed/cnn/phase_c_final
cnn,cnn_s116_speed_p160_x0_y0,25.095451409249726,5.35050630569458,,/home/adadhwal/PhIRE/ttk_runs_fixed/cnn/phase_c_final
cnn,cnn_s117_speed_p160_x0_y0,27.14897424086504,5.260716915130615,,/home/adadhwal/PhIRE/ttk_runs_fixed/cnn/phase_c_final
cnn,cnn_s118_speed_p160_x0_y0,27.925806328570985,6.84329080581665,,/home/adadhwal/PhIRE/ttk_runs_fixed/cnn/phase_c_final
cnn,cnn_s119_speed_p160_x0_y0,27.187847892928154,5.218785285949707,,/home/adadhwal/PhIRE/ttk_runs_fixed/cnn/phase_c_final
cnn,cnn_s11_speed_p160_x0_y0,28.68732565326105,5.910721302032471,,/home/adadhwal/PhIRE/ttk_runs_fixed/cnn/phase_c_final
cnn,cnn_s120_speed_p160_x0_y0,28.146732976702577,4.889072418212891,,/home/adadhwal/PhIRE/ttk_runs_fixed/cnn/phase_c_final
cnn,cnn_s121_speed_p160_x0_y0,29.135888828595842,5.373913288116455,,/home/adadhwal/PhIRE/ttk_runs_fixed/cnn/phase_c_final
cnn,cnn_s122_speed_p160_x0_y0,28.017758663142306,5.264456272125244,,/home/adadhwal/PhIRE/ttk_runs_fixed/cnn/phase_c_final
cnn,cnn_s123_speed_p160_x0_y0,29.152924001075785,6.196282386779785,,/home/adadhwal/PhIRE/ttk_runs_fixed/cnn/phase_c_final
cnn,cnn_s124_speed_p160_x0_y0,28.184626374879375,6.166434288024902,,/home/adadhwal/PhIRE/ttk_runs_fixed/cnn/phase_c_final
cnn,cnn_s125_speed_p160_x0_y0,28.43981263564626,5.748098373413086,,/home/adadhwal/PhIRE/ttk_runs_fixed/cnn/phase_c_final
cnn,cnn_s126_speed_p160_x0_y0,28.023492407781937,4.992148399353027,,/home/adadhwal/PhIRE/ttk_runs_fixed/cnn/phase_c_final
cnn,cnn_s127_speed_p160_x0_y0,30.000730217921266,5.114649772644043,,/home/adadhwal/PhIRE/ttk_runs_fixed/cnn/phase_c_final
