method,key,sample_idx,psnr,pd_distance,mt_distance
cnn,cnn_s0_speed_p160_x0_y0,0,31.44863091961014,24.384505325565424,5.051645278930664
cnn,cnn_s1_speed_p160_x0_y0,1,31.692299766082456,24.612518312283534,4.678010940551758
cnn,cnn_s2_speed_p160_x0_y0,2,31.54699072539859,25.200926367648954,4.894824504852295
cnn,cnn_s3_speed_p160_x0_y0,3,31.5904468469398,24.87627415927669,4.794641017913818
cnn,cnn_s4_speed_p160_x0_y0,4,31.16854735228141,24.810879874900778,4.892229080200195
cnn,cnn_s5_speed_p160_x0_y0,5,31.066356029873372,27.01852197077857,5.628478050231934
cnn,cnn_s6_speed_p160_x0_y0,6,31.338762401290875,28.068979766562435,6.144000053405762
cnn,cnn_s7_speed_p160_x0_y0,7,31.13074607942621,29.26973016135952,5.672351837158203
cnn,cnn_s8_speed_p160_x0_y0,8,31.360491209352674,29.63505050414828,7.50956392288208
cnn,cnn_s9_speed_p160_x0_y0,9,31.371026408537652,28.65602837253281,5.768454551696777
cnn,cnn_s10_speed_p160_x0_y0,10,31.816922329920537,29.696969860459554,6.634506702423096
cnn,cnn_s11_speed_p160_x0_y0,11,31.748350858788758,28.68732565326105,5.910721302032471
cnn,cnn_s12_speed_p160_x0_y0,12,31.323965112591917,30.104522332856273,6.61636209487915
cnn,cnn_s13_speed_p160_x0_y0,13,30.30311362025517,29.273674668484478,6.0738348960876465
cnn,cnn_s14_speed_p160_x0_y0,14,30.774024198494217,28.13047371417262,5.448930263519287
cnn,cnn_s15_speed_p160_x0_y0,15,31.45612699358063,26.322356943691645,5.097294807434082
cnn,cnn_s16_speed_p160_x0_y0,16,32.17583877075084,23.755960973590362,5.464188098907471
cnn,cnn_s17_speed_p160_x0_y0,17,32.48824852842643,20.900376556174706,5.2896833419799805
cnn,cnn_s18_speed_p160_x0_y0,18,32.601424065834784,20.394905033940507,6.258571624755859
cnn,cnn_s19_speed_p160_x0_y0,19,32.55938103077696,21.064082150885508,6.927988529205322
cnn,cnn_s20_speed_p160_x0_y0,20,32.38863856878173,21.97923655969375,6.254051208496094
cnn,cnn_s21_speed_p160_x0_y0,21,32.618885861105625,27.30086406645334,8.127616882324219
cnn,cnn_s22_speed_p160_x0_y0,22,32.48546940467395,32.693467082501115,8.081520080566406
cnn,cnn_s23_speed_p160_x0_y0,23,32.75249271676132,34.476953302920876,6.907674789428711
cnn,cnn_s24_speed_p160_x0_y0,24,32.59554856905365,35.75728371567695,7.21915864944458
cnn,cnn_s25_speed_p160_x0_y0,25,32.551973374121204,36.58411526021696,11.371563911437988
cnn,cnn_s26_speed_p160_x0_y0,26,32.65715000253616,35.02599363200026,7.043282985687256
cnn,cnn_s27_speed_p160_x0_y0,27,32.43554725561233,36.89696946573002,6.4783101081848145
cnn,cnn_s28_speed_p160_x0_y0,28,32.39861919012853,38.33189346230645,7.210402011871338
cnn,cnn_s29_speed_p160_x0_y0,29,32.77239492835451,38.84347398326436,6.963974952697754
cnn,cnn_s30_speed_p160_x0_y0,30,33.05434940011379,39.94080457344863,8.127463340759277
cnn,cnn_s31_speed_p160_x0_y0,31,32.90329769043908,39.104318483733294,6.818642616271973
cnn,cnn_s32_speed_p160_x0_y0,32,33.02557990556471,38.55925876668554,7.461033821105957
cnn,cnn_s33_speed_p160_x0_y0,33,33.13841166027277,38.39305861348763,6.76971960067749
cnn,cnn_s34_speed_p160_x0_y0,34,33.07202844590628,37.356416104450325,6.323113918304443
cnn,cnn_s35_speed_p160_x0_y0,35,32.523540173374215,35.95264003005777,6.2719197273254395
cnn,cnn_s36_speed_p160_x0_y0,36,32.35360131617927,35.61901723291445,6.097905158996582
cnn,cnn_s37_speed_p160_x0_y0,37,32.02805100916796,33.456602216246914,6.489102840423584
cnn,cnn_s38_speed_p160_x0_y0,38,33.0443468252459,29.159912858159764,6.054014682769775
cnn,cnn_s39_speed_p160_x0_y0,39,34.02502286412913,25.24426875811477,5.873856067657471
cnn,cnn_s40_speed_p160_x0_y0,40,35.03479823672828,24.281572165890662,5.6310811042785645
cnn,cnn_s41_speed_p160_x0_y0,41,35.123201360290615,23.457166445963043,5.389686584472656
cnn,cnn_s42_speed_p160_x0_y0,42,35.78106395799033,21.63035540369367,5.757840156555176
cnn,cnn_s43_speed_p160_x0_y0,43,35.86371418802151,20.76816702008209,5.7682366371154785
cnn,cnn_s44_speed_p160_x0_y0,44,35.00022423545573,19.781150575177055,6.20600700378418
cnn,cnn_s45_speed_p160_x0_y0,45,33.717983670503976,20.528037851461004,6.566225528717041
cnn,cnn_s46_speed_p160_x0_y0,46,32.82306749424016,20.678325640697178,6.243154048919678
cnn,cnn_s47_speed_p160_x0_y0,47,32.73629912923383,22.201753073772625,6.789880752563477
cnn,cnn_s48_speed_p160_x0_y0,48,32.30837445145338,22.832495463547907,7.081502437591553
cnn,cnn_s49_speed_p160_x0_y0,49,32.31195072001539,22.105793975200847,6.3195295333862305
cnn,cnn_s50_speed_p160_x0_y0,50,32.34835071339406,21.30877833114525,6.3856120109558105
cnn,cnn_s51_speed_p160_x0_y0,51,32.19523413297044,21.75849079768097,5.902731418609619
cnn,cnn_s52_speed_p160_x0_y0,52,32.64266815515036,21.81632996072092,5.69123649597168
cnn,cnn_s53_speed_p160_x0_y0,53,32.75022479746413,21.92458068590406,5.261850833892822
cnn,cnn_s54_speed_p160_x0_y0,54,32.73704365727693,22.97915159360149,5.500187397003174
cnn,cnn_s55_speed_p160_x0_y0,55,32.47536524369654,23.57536347476084,5.2683796882629395
cnn,cnn_s56_speed_p160_x0_y0,56,32.1469587572324,24.24948793523431,5.488292217254639
cnn,cnn_s57_speed_p160_x0_y0,57,31.508336739053256,24.937493176964292,5.463809013366699
cnn,cnn_s58_speed_p160_x0_y0,58,31.000612350408023,25.56121844001433,6.08959436416626
cnn,cnn_s59_speed_p160_x0_y0,59,31.015823877761488,25.864386079507888,5.546851634979248
cnn,cnn_s60_speed_p160_x0_y0,60,30.762772407467036,25.964725332360167,5.321651458740234
cnn,cnn_s61_speed_p160_x0_y0,61,29.865895259214497,25.73100039673249,5.346891403198242
cnn,cnn_s62_speed_p160_x0_y0,62,29.90288153651064,27.46350343812835,6.720277786254883
cnn,cnn_s63_speed_p160_x0_y0,63,29.91647802819626,28.524583670890912,7.660599708557129
cnn,cnn_s64_speed_p160_x0_y0,64,30.639132288513327,24.7100597287657,5.944510459899902
cnn,cnn_s65_speed_p160_x0_y0,65,31.070880312451152,22.148883751156426,5.820770263671875
cnn,cnn_s66_speed_p160_x0_y0,66,31.07904826800279,20.981857591368968,5.701828956604004
cnn,cnn_s67_speed_p160_x0_y0,67,30.98174498675131,20.679919922717943,5.030301094055176
cnn,cnn_s68_speed_p160_x0_y0,68,30.753726650709346,21.77134223692748,6.074338436126709
cnn,cnn_s69_speed_p160_x0_y0,69,29.625455010483247,24.168055816700438,5.17050838470459
cnn,cnn_s70_speed_p160_x0_y0,70,29.860974696694193,24.673819113934496,5.396136283874512
cnn,cnn_s71_speed_p160_x0_y0,71,29.930840678863813,25.505047306429027,5.1588335037231445
cnn,cnn_s72_speed_p160_x0_y0,72,29.74213458071725,26.514111621573456,4.796044826507568
cnn,cnn_s73_speed_p160_x0_y0,73,29.629070989186935,27.001473804134946,4.9851861000061035
cnn,cnn_s74_speed_p160_x0_y0,74,29.691811883380907,28.28963162272453,4.782100200653076
cnn,cnn_s75_speed_p160_x0_y0,75,29.430160323912798,29.367383683723347,5.201173305511475
cnn,cnn_s76_speed_p160_x0_y0,76,29.256090612424952,30.056769521251926,5.207019329071045
cnn,cnn_s77_speed_p160_x0_y0,77,28.72430550824469,29.944664675564518,6.132026672363281
cnn,cnn_s78_speed_p160_x0_y0,78,28.640865894640942,30.300511724579902,5.8028388023376465
cnn,cnn_s79_speed_p160_x0_y0,79,28.823263975711814,30.148051358309164,6.856454849243164
cnn,cnn_s80_speed_p160_x0_y0,80,28.706704637409167,30.086252753371088,6.982686519622803
cnn,cnn_s81_speed_p160_x0_y0,81,28.786938746813185,29.68907403762892,6.426537990570068
cnn,cnn_s82_speed_p160_x0_y0,82,28.734901854062677,28.90089773637945,7.1840739250183105
cnn,cnn_s83_speed_p160_x0_y0,83,28.708711875208273,28.194313716720707,6.560110569000244
cnn,cnn_s84_speed_p160_x0_y0,84,28.890062292366217,29.14514380262554,5.271510124206543
cnn,cnn_s85_speed_p160_x0_y0,85,28.91655199571094,28.72250736297703,5.609640121459961
cnn,cnn_s86_speed_p160_x0_y0,86,28.758114755850507,29.195361276159034,5.25334358215332
cnn,cnn_s87_speed_p160_x0_y0,87,29.493467523476575,29.611902358359767,6.509652614593506
cnn,cnn_s88_speed_p160_x0_y0,88,29.552571478217452,26.37509421416108,6.411813259124756
cnn,cnn_s89_speed_p160_x0_y0,89,29.334538103760796,24.29846982632471,6.017302513122559
cnn,cnn_s90_speed_p160_x0_y0,90,29.917500740440193,22.206834090995343,5.257880687713623
cnn,cnn_s91_speed_p160_x0_y0,91,30.77064198739431,22.30942508877806,5.508337497711182
cnn,cnn_s92_speed_p160_x0_y0,92,31.013298851774596,22.07932597419188,5.735818386077881
cnn,cnn_s93_speed_p160_x0_y0,93,30.295336526922462,24.402894658345392,6.506997585296631
cnn,cnn_s94_speed_p160_x0_y0,94,29.83549976954275,24.570031527820365,5.102908611297607
cnn,cnn_s95_speed_p160_x0_y0,95,29.14655288301489,26.879696075655563,5.015480041503906
cnn,cnn_s96_speed_p160_x0_y0,96,28.82738778031187,28.904715116511554,5.121858596801758
cnn,cnn_s97_speed_p160_x0_y0,97,28.651894194812353,30.15308546680866,5.011539936065674
cnn,cnn_s98_speed_p160_x0_y0,98,28.544514144829375,31.264551411001506,4.942448139190674
cnn,cnn_s99_speed_p160_x0_y0,99,28.658204393550893,30.940933752807226,5.342334747314453
cnn,cnn_s100_speed_p160_x0_y0,100,28.590513384063794,31.181555022619012,5.912055015563965
cnn,cnn_s101_speed_p160_x0_y0,101,27.993038961045272,30.40796712150836,5.357294082641602
cnn,cnn_s102_speed_p160_x0_y0,102,28.291081132346047,29.254680859214627,5.164434909820557
cnn,cnn_s103_speed_p160_x0_y0,103,28.24977328579452,29.507549938987374,5.102769374847412
cnn,cnn_s104_speed_p160_x0_y0,104,28.244665117236966,29.173745320955113,4.829194068908691
cnn,cnn_s105_speed_p160_x0_y0,105,28.705358550909303,29.338582011466166,5.33697509765625
cnn,cnn_s106_speed_p160_x0_y0,106,29.215031902459533,30.092821360744658,5.767349720001221
cnn,cnn_s107_speed_p160_x0_y0,107,28.940019095289955,29.64376642955138,5.574344635009766
cnn,cnn_s108_speed_p160_x0_y0,108,29.994517076582536,28.940126674621943,5.6898322105407715
cnn,cnn_s109_speed_p160_x0_y0,109,29.340460131888747,28.97319829057234,5.088190078735352
cnn,cnn_s110_speed_p160_x0_y0,110,30.037522383683083,29.504241915198808,5.806641101837158
cnn,cnn_s111_speed_p160_x0_y0,111,30.90363327801762,28.17742348677506,5.513612270355225
cnn,cnn_s112_speed_p160_x0_y0,112,30.45015130750225,27.49742127818127,5.637857913970947
cnn,cnn_s113_speed_p160_x0_y0,113,30.187587966342992,26.010710160777133,5.502909183502197
cnn,cnn_s114_speed_p160_x0_y0,114,30.46024322256102,24.541486090961616,5.123978614807129
cnn,cnn_s115_speed_p160_x0_y0,115,31.108482310211272,25.270960377659716,4.689971923828125
cnn,cnn_s116_speed_p160_x0_y0,116,30.59615191508248,25.095451409249726,5.35050630569458
cnn,cnn_s117_speed_p160_x0_y0,117,30.50148317030197,27.14897424086504,5.260716915130615
cnn,cnn_s118_speed_p160_x0_y0,118,30.425345206995495,27.925806328570985,6.84329080581665
cnn,cnn_s119_speed_p160_x0_y0,119,30.43036359868084,27.187847892928154,5.218785285949707
cnn,cnn_s120_speed_p160_x0_y0,120,29.872554228604738,28.146732976702577,4.889072418212891
cnn,cnn_s121_speed_p160_x0_y0,121,29.255150816114046,29.135888828595842,5.373913288116455
cnn,cnn_s122_speed_p160_x0_y0,122,29.475967731375373,28.017758663142306,5.264456272125244
cnn,cnn_s123_speed_p160_x0_y0,123,29.902756672682617,29.152924001075785,6.196282386779785
cnn,cnn_s124_speed_p160_x0_y0,124,30.321227856363244,28.184626374879375,6.166434288024902
cnn,cnn_s125_speed_p160_x0_y0,125,30.051277592730706,28.43981263564626,5.748098373413086
cnn,cnn_s126_speed_p160_x0_y0,126,30.6097903547661,28.023492407781937,4.992148399353027
