method,sample_idx,psnr,wpd_bias,wpd_mae,wpd_rmse,wpd_w1,psd_log_l2,psd_slope_gt,psd_slope_sr,psd_slope_delta,psd_slope_abs_delta,grad_mae,grad_w1,grad_kurtosis_gt,grad_kurtosis_sr,grad_kurtosis_delta,grad_kurtosis_abs_delta,exceed_frac_gt_t5,exceed_frac_sr_t5,exceed_frac_delta_t5,exceed_frac_abs_delta_t5,exceed_frac_gt_t10,exceed_frac_sr_t10,exceed_frac_delta_t10,exceed_frac_abs_delta_t10,exceed_frac_gt_t15,exceed_frac_sr_t15,exceed_frac_delta_t15,exceed_frac_abs_delta_t15,exceed_frac_gt_p90,exceed_frac_sr_p90,exceed_frac_delta_p90,exceed_frac_abs_delta_p90,exceed_frac_gt_p95,exceed_frac_sr_p95,exceed_frac_delta_p95,exceed_frac_abs_delta_p95,exceed_frac_gt_p99,exceed_frac_sr_p99,exceed_frac_delta_p99,exceed_frac_abs_delta_p99,key,pd_distance,mt_distance,ssim
cnn,0,31.44863091961014,3.322278106063319,221.5959260435228,631.3353259921904,12.176706260719543,0.5255543702425648,2.6422928096341036,1.3967357260618805,-1.2455570835722232,1.2455570835722232,0.35707416951186594,0.14188089210899743,22.02973963265129,18.315687056488517,-3.7140525761627714,3.7140525761627714,0.606616,0.603408,-0.0032079999999999886,0.0032079999999999886,0.220788,0.217076,-0.003712000000000021,0.003712000000000021,0.036864,0.0379,0.0010360000000000022,0.0010360000000000022,0.1,0.098044,-0.0019559999999999994,0.0019559999999999994,0.05,0.05154,0.0015399999999999997,0.0015399999999999997,0.01,0.01014,0.0001399999999999995,0.0001399999999999995,cnn_s0_speed_p160_x0_y0,24.384505325565424,5.051645278930664,0.6335844954540828
cnn,1,31.692299766082456,-10.048282138120044,243.81812028203902,675.4263819296079,15.54843536779524,0.5512168481123898,2.7129186069163524,1.3163688441197248,-1.3965497627966277,1.3965497627966277,0.365122821373616,0.15998756825210722,21.59752764304492,17.86956520454517,-3.7279624384997483,3.7279624384997483,0.630292,0.632168,0.0018759999999999888,0.0018759999999999888,0.2575,0.257344,-0.00015599999999998948,0.00015599999999998948,0.046844,0.045652,-0.0011919999999999986,0.0011919999999999986,0.1,0.096608,-0.003392000000000006,0.003392000000000006,0.05,0.048664,-0.0013360000000000039,0.0013360000000000039,0.01,0.009076,-0.0009239999999999995,0.0009239999999999995,cnn_s1_speed_p160_x0_y0,24.612518312283534,4.678010940551758,0.6378450016412086
cnn,2,31.54699072539859,-13.715405071461689,271.04069176081435,727.5703606765762,19.60719507954446,0.543724831697504,2.7598653808089275,1.3892645713010285,-1.370600809507899,1.370600809507899,0.37335805477379874,0.1699299385733475,20.27101350618725,16.81370946221437,-3.4573040439728793,3.4573040439728793,0.659104,0.659272,0.00016799999999994597,0.00016799999999994597,0.29094,0.291576,0.0006360000000000254,0.0006360000000000254,0.058684,0.057324,-0.00136,0.00136,0.1,0.098268,-0.0017320000000000113,0.0017320000000000113,0.05,0.048688,-0.0013120000000000007,0.0013120000000000007,0.01,0.00868,-0.00132,0.00132,cnn_s2_speed_p160_x0_y0,25.200926367648954,4.894824504852295,0.6223940258968236
cnn,3,31.5904468469398,-22.106081627235685,296.56161909193986,779.768079017902,26.5938643061863,0.5686630178775349,2.8148813567348094,1.3974667508403935,-1.417414605894416,1.417414605894416,0.38173743666645943,0.18302102901570666,20.3035498291027,17.252790729164012,-3.0507590999386878,3.0507590999386878,0.6922,0.692576,0.00037599999999993194,0.00037599999999993194,0.323652,0.32476,0.0011079999999999979,0.0011079999999999979,0.071708,0.069064,-0.0026439999999999936,0.0026439999999999936,0.1,0.097356,-0.0026440000000000075,0.0026440000000000075,0.05,0.046996,-0.0030039999999999997,0.0030039999999999997,0.01,0.00826,-0.0017400000000000002,0.0017400000000000002,cnn_s3_speed_p160_x0_y0,24.87627415927669,4.794641017913818,0.6252808362395419
cnn,4,31.16854735228141,-27.076085278503694,312.23008605350753,795.3393481668863,33.36635429998364,0.5436400529361233,2.7681666845347146,1.5045558011279265,-1.263610883406788,1.263610883406788,0.3920347216306909,0.18725240635725657,19.823823685874085,16.903891688434346,-2.9199319974397397,2.9199319974397397,0.735992,0.735724,-0.00026799999999993496,0.00026799999999993496,0.362432,0.3639,0.0014680000000000248,0.0014680000000000248,0.08138,0.078,-0.003379999999999994,0.003379999999999994,0.1,0.094456,-0.005544000000000007,0.005544000000000007,0.05,0.045888,-0.0041120000000000045,0.0041120000000000045,0.01,0.00864,-0.00136,0.00136,cnn_s4_speed_p160_x0_y0,24.810879874900778,4.892229080200195,0.6188264630640096
cnn,5,31.066356029873372,-29.871797415116948,331.20302392786385,814.1251512794533,35.32829511630865,0.5583519999584546,2.752955266017228,1.5278230879395032,-1.2251321780777247,1.2251321780777247,0.40084965022376245,0.19427018172256152,19.919202973031233,17.302438518572455,-2.616764454458778,2.616764454458778,0.790428,0.788376,-0.0020520000000000538,0.0020520000000000538,0.398252,0.3987,0.00044800000000000395,0.00044800000000000395,0.087164,0.08024,-0.006924,0.006924,0.1,0.09232,-0.007680000000000006,0.007680000000000006,0.05,0.044648,-0.005352000000000003,0.005352000000000003,0.01,0.00866,-0.001340000000000001,0.001340000000000001,cnn_s5_speed_p160_x0_y0,27.01852197077857,5.628478050231934,0.5860435401093661
cnn,6,31.338762401290875,-38.64744441680193,326.5449725055528,773.1061532402149,44.35720204250285,0.5657284148063008,2.708055286320496,1.4861530035330344,-1.2219022827874617,1.2219022827874617,0.3975062725174918,0.19936101988821434,19.21963214301053,16.91863752435772,-2.3009946186528083,2.3009946186528083,0.829016,0.825932,-0.0030839999999999756,0.0030839999999999756,0.434664,0.436272,0.0016079999999999983,0.0016079999999999983,0.090252,0.083088,-0.007164000000000004,0.007164000000000004,0.1,0.09234,-0.00766,0.00766,0.05,0.0426,-0.007400000000000004,0.007400000000000004,0.01,0.007728,-0.0022720000000000006,0.0022720000000000006,cnn_s6_speed_p160_x0_y0,28.068979766562435,6.144000053405762,0.6104470927526627
cnn,7,31.13074607942621,-48.34723932355751,307.73585041558454,705.9303574253695,60.2050185397248,0.6147404703544644,2.6863219912181293,1.4668043917099103,-1.219517599508219,1.219517599508219,0.39094158124414563,0.2231354271334698,19.40674891989679,16.101926716115504,-3.304822203781285,3.304822203781285,0.86922,0.87212,0.0029000000000000137,0.0029000000000000137,0.460136,0.464152,0.0040160000000000196,0.0040160000000000196,0.095252,0.08618,-0.009071999999999997,0.009071999999999997,0.1,0.09058,-0.009420000000000012,0.009420000000000012,0.05,0.04236,-0.007640000000000001,0.007640000000000001,0.01,0.006472,-0.003528,0.003528,cnn_s7_speed_p160_x0_y0,29.26973016135952,5.672351837158203,0.5788093320390605
cnn,8,31.360491209352674,-45.390068791902266,300.281470491702,660.5428584979636,52.582040677078965,0.6523686836173482,2.681394427062346,1.5541795013461386,-1.1272149257162074,1.1272149257162074,0.38899178180769256,0.2296630141518205,19.72492902925247,17.55953272345065,-2.165396305801817,2.165396305801817,0.900284,0.904576,0.0042920000000000735,0.0042920000000000735,0.493224,0.49286,-0.00036399999999997545,0.00036399999999997545,0.099704,0.08746,-0.012244000000000005,0.012244000000000005,0.1,0.087764,-0.01223600000000001,0.01223600000000001,0.05,0.040208,-0.009792000000000002,0.009792000000000002,0.01,0.006888,-0.003112,0.003112,cnn_s8_speed_p160_x0_y0,29.63505050414828,7.50956392288208,0.5424755769298811
cnn,9,31.371026408537652,-41.44450152923926,288.2607483740837,599.4648989499779,49.16999316437071,0.681537462074852,2.6240306047279827,1.5165907552593705,-1.1074398494686122,1.1074398494686122,0.3796610425240004,0.21678010257301614,18.89682228236527,16.266140889454316,-2.6306813929109545,2.6306813929109545,0.92978,0.934284,0.0045039999999999525,0.0045039999999999525,0.53286,0.528936,-0.003924000000000039,0.003924000000000039,0.107044,0.096648,-0.010396000000000002,0.010396000000000002,0.1,0.088192,-0.011807999999999999,0.011807999999999999,0.05,0.038676,-0.011324,0.011324,0.01,0.006712,-0.003288,0.003288,cnn_s9_speed_p160_x0_y0,28.65602837253281,5.768454551696777,0.5305875142485871
cnn,10,31.816922329920537,-39.83815196972408,278.2545073653114,555.7312679885772,53.656084115925694,0.7568204214551575,2.5408636514117626,1.494805354806124,-1.0460582966056386,1.0460582966056386,0.36870187989129716,0.218423523104424,19.156872458932394,18.010296651981957,-1.1465758069504375,1.1465758069504375,0.945176,0.948712,0.0035359999999999836,0.0035359999999999836,0.556484,0.552708,-0.0037760000000000016,0.0037760000000000016,0.116736,0.107272,-0.009464,0.009464,0.1,0.088564,-0.011436000000000002,0.011436000000000002,0.05,0.039132,-0.010868000000000003,0.010868000000000003,0.01,0.0063,-0.0037,0.0037,cnn_s10_speed_p160_x0_y0,29.696969860459554,6.634506702423096,0.5321626280645544
cnn,11,31.748350858788758,-43.37986882611018,270.27078472056496,507.8111337650393,49.50182970113581,0.80191130157697,2.352269965977851,1.4710416693649184,-0.8812282966129328,0.8812282966129328,0.3677900042283905,0.21796784228540447,18.284984904522606,17.177324130865657,-1.1076607736569493,1.1076607736569493,0.946068,0.9499,0.0038319999999999466,0.0038319999999999466,0.582608,0.576908,-0.005700000000000038,0.005700000000000038,0.132712,0.126,-0.006711999999999996,0.006711999999999996,0.1,0.088852,-0.011148000000000005,0.011148000000000005,0.05,0.040804,-0.009196000000000003,0.009196000000000003,0.01,0.00368,-0.00632,0.00632,cnn_s11_speed_p160_x0_y0,28.68732565326105,5.910721302032471,0.485865417911638
cnn,12,31.323965112591917,-42.03415437463163,264.69706065698887,477.7448860366581,46.361014311737414,0.9539183791233589,2.2636711597595545,1.445843938804531,-0.8178272209550235,0.8178272209550235,0.3713575429796618,0.23368142016855964,17.398512855685922,17.529897966732445,0.13138511104652295,0.13138511104652295,0.928128,0.931308,0.0031800000000000717,0.0031800000000000717,0.61038,0.602384,-0.007996000000000003,0.007996000000000003,0.156016,0.14916,-0.006856000000000001,0.006856000000000001,0.1,0.091016,-0.008984000000000006,0.008984000000000006,0.05,0.041348,-0.008652,0.008652,0.01,0.00238,-0.00762,0.00762,cnn_s12_speed_p160_x0_y0,30.104522332856273,6.61636209487915,0.5071715707128571
cnn,13,30.30311362025517,-47.12697045536749,259.1313827539367,441.0120585542027,49.121724804084465,1.0259421321154742,2.2584046099765724,1.4686725188930594,-0.789732091083513,0.789732091083513,0.36418067431277734,0.24152600358516008,16.310437927162244,16.277126452618443,-0.03331147454380101,0.03331147454380101,0.911432,0.915812,0.0043799999999999395,0.0043799999999999395,0.639384,0.631524,-0.007859999999999978,0.007859999999999978,0.18406,0.178988,-0.005071999999999993,0.005071999999999993,0.1,0.091564,-0.008435999999999999,0.008435999999999999,0.05,0.042844,-0.007156000000000003,0.007156000000000003,0.01,0.002104,-0.007896,0.007896,cnn_s13_speed_p160_x0_y0,29.273674668484478,6.0738348960876465,0.5119176084848193
cnn,14,30.774024198494217,-52.92315375912609,245.9792581293314,410.4816441061438,53.95170315300297,1.059358536154577,2.2153010832986104,1.2895024769039516,-0.9257986063946588,0.9257986063946588,0.35026225920743626,0.24674524774793408,16.013966649561837,15.896450737188234,-0.11751591237360337,0.11751591237360337,0.890516,0.893456,0.0029400000000000537,0.0029400000000000537,0.624644,0.611052,-0.013591999999999937,0.013591999999999937,0.217792,0.21218,-0.005612000000000006,0.005612000000000006,0.1,0.093036,-0.006964000000000012,0.006964000000000012,0.05,0.04488,-0.0051199999999999996,0.0051199999999999996,0.01,0.00278,-0.007220000000000001,0.007220000000000001,cnn_s14_speed_p160_x0_y0,28.13047371417262,5.448930263519287,0.5264626109673549
