sample_idx,method_a,method_b,delta_sample_idx,delta_psnr,delta_wpd_bias,delta_wpd_mae,delta_wpd_rmse,delta_wpd_w1,delta_psd_log_l2,delta_psd_slope_gt,delta_psd_slope_sr,delta_psd_slope_delta,delta_psd_slope_abs_delta,delta_grad_mae,delta_grad_w1,delta_grad_kurtosis_gt,delta_grad_kurtosis_sr,delta_grad_kurtosis_delta,delta_grad_kurtosis_abs_delta,delta_exceed_frac_gt_t5,delta_exceed_frac_sr_t5,delta_exceed_frac_delta_t5,delta_exceed_frac_abs_delta_t5,delta_exceed_frac_gt_t10,delta_exceed_frac_sr_t10,delta_exceed_frac_delta_t10,delta_exceed_frac_abs_delta_t10,delta_exceed_frac_gt_t15,delta_exceed_frac_sr_t15,delta_exceed_frac_delta_t15,delta_exceed_frac_abs_delta_t15,delta_exceed_frac_gt_p90,delta_exceed_frac_sr_p90,delta_exceed_frac_delta_p90,delta_exceed_frac_abs_delta_p90,delta_exceed_frac_gt_p95,delta_exceed_frac_sr_p95,delta_exceed_frac_delta_p95,delta_exceed_frac_abs_delta_p95,delta_exceed_frac_gt_p99,delta_exceed_frac_sr_p99,delta_exceed_frac_delta_p99,delta_exceed_frac_abs_delta_p99,delta_pd_distance,delta_mt_distance,delta_ssim
0,cnn,gan,0.0,0.8797640876482191,27.25217853838023,-11.275334863095395,-4.023726937301376,-21.31658422153309,-0.03358273683498969,0.0,0.45117837630105617,0.45117837630105617,-0.45117837630105617,-0.010407246277257753,0.07454000034590288,0.0,-1.078117958997268,-1.078117958997268,1.078117958997268,0.0,0.0018720000000000958,0.0018720000000000958,-0.0018720000000000958,0.0,-0.00902,-0.00902,-0.0015959999999999586,0.0,0.005808000000000001,0.005808000000000001,-0.0037359999999999963,0.0,0.00762800000000001,0.00762800000000001,-0.00762800000000001,0.0,0.0075880000000000045,0.0075880000000000045,-0.004508000000000005,0.0,0.0016799999999999992,0.0016799999999999992,-0.0014000000000000002,1.84396352412017,-4.696573257446289,0.08788798620533089
1,cnn,gan,0.0,0.9598106740758396,20.18762955710256,-19.365508492697046,-52.796684235054954,-22.868622053093656,-0.02610037563458556,0.0,0.3876536159977241,0.38765361599772397,-0.38765361599772397,-0.016052185183228096,0.09469446153833058,0.0,-1.4518984241247495,-1.4518984241247495,1.4518984241247495,0.0,0.00804399999999994,0.00804399999999994,-0.0042919999999999625,0.0,0.00021999999999999797,0.00021999999999999797,-0.00021999999999999797,0.0,0.005047999999999997,0.005047999999999997,-0.005047999999999997,0.0,0.006524000000000002,0.006524000000000002,-0.006524000000000002,0.0,0.005347999999999999,0.005347999999999999,-0.005347999999999999,0.0,0.0006600000000000009,0.0006600000000000009,-0.0006600000000000009,2.223774349776093,-7.300331115722656,0.09409544758709187
2,cnn,gan,0.0,0.928963211104346,29.571053706519905,-15.511651864892144,-20.016378076947035,-29.886091189247544,-0.05434235628997863,0.0,0.43794217557417825,0.43794217557417836,-0.43794217557417836,-0.01341592322323748,0.09890936892110071,0.0,0.5591445455591746,0.5591445455591746,-0.5591445455591746,0.0,0.006120000000000014,0.006120000000000014,-0.005784000000000122,0.0,0.0016720000000000068,0.0016720000000000068,-0.00039999999999995595,0.0,0.006932000000000001,0.006932000000000001,-0.006932000000000001,0.0,0.009631999999999988,0.009631999999999988,-0.009631999999999988,0.0,0.006116000000000003,0.006116000000000003,-0.006116000000000003,0.0,0.0009240000000000003,0.0009240000000000003,-0.0009240000000000003,2.242198478061649,-3.448397159576416,0.06442190906153866
3,cnn,gan,0.0,0.9761671486968346,26.829987343863056,-27.76826267499797,-68.54457030474896,-31.8509377124287,-0.045937248106549755,0.0,0.45239729097070724,0.45239729097070724,-0.45239729097070724,-0.017180577888339044,0.1141583650498862,0.0,-0.9257826534671167,-0.9257826534671167,0.9257826534671167,0.0,0.005251999999999923,0.005251999999999923,-0.0045000000000000595,0.0,0.0020600000000000063,0.0020600000000000063,0.00015599999999998948,0.0,0.006199999999999997,0.006199999999999997,-0.006199999999999997,0.0,0.007283999999999999,0.007283999999999999,-0.007283999999999999,0.0,0.004460000000000006,0.004460000000000006,-0.004460000000000006,0.0,0.0005799999999999998,0.0005799999999999998,-0.0005799999999999998,1.4806979857800258,-4.959354877471924,0.06989645644371223
4,cnn,gan,0.0,0.9946436471339481,29.188371499672837,-33.9149387490429,-65.69710801875306,-28.603548696967707,-0.08757092565099844,0.0,0.5836490975847837,0.5836490975847837,-0.5836490975847837,-0.018281014641226445,0.1126479985162239,0.0,0.9556521816402732,0.9556521816402732,-0.9556521816402732,0.0,0.009124000000000021,0.009124000000000021,-0.009124000000000021,0.0,0.005900000000000016,0.005900000000000016,-0.0029639999999999667,0.0,0.0052320000000000005,0.0052320000000000005,-0.0052320000000000005,0.0,0.005015999999999993,0.005015999999999993,-0.005015999999999993,0.0,0.003159999999999996,0.003159999999999996,-0.003159999999999996,0.0,0.0005520000000000004,0.0005520000000000004,-0.0005520000000000004,1.900219978291588,-3.17252254486084,0.08002109644090227
5,cnn,gan,0.0,0.7617305514067318,26.501835686557012,-26.205900719623855,-28.115976206511846,-23.259209888460198,-0.06657879688391422,0.0,0.6323005105172232,0.6323005105172232,-0.6323005105172232,-0.014040238974477925,0.11560679379578206,0.0,1.960280366519818,1.960280366519818,-1.960280366519818,0.0,0.007859999999999978,0.007859999999999978,-0.007859999999999978,0.0,0.0012519999999999754,0.0012519999999999754,-0.00035599999999996745,0.0,0.002928,0.002928,-0.002928,0.0,0.0027399999999999924,0.0027399999999999924,-0.0027399999999999924,0.0,0.003155999999999999,0.003155999999999999,-0.003155999999999999,0.0,0.0012359999999999993,0.0012359999999999993,-0.0012359999999999993,4.515014821826373,-0.7779016494750977,0.07971802263857564
6,cnn,gan,0.0,1.0711951372530493,13.821287817374653,-41.451824870650285,-60.04245323256714,-10.291979146467881,-0.06840355775282692,0.0,0.5596143693417681,0.5596143693417681,-0.5596143693417681,-0.019300101747749154,0.1321361201219684,0.0,2.752413448568328,2.752413448568328,-2.752413448568328,0.0,0.008240000000000025,0.008240000000000025,-0.008240000000000025,0.0,0.0014959999999999973,0.0014959999999999973,0.0014959999999999973,0.0,0.0006279999999999897,0.0006279999999999897,-0.0006279999999999897,0.0,0.0008280000000000093,0.0008280000000000093,-0.0008280000000000093,0.0,0.001792000000000002,0.001792000000000002,-0.001792000000000002,0.0,0.000784,0.000784,-0.000784,4.0238919902617525,0.13336706161499023,0.09526586383242708
7,cnn,gan,0.0,1.1254579528723383,4.337152444259999,-54.36043732455613,-85.06231697845294,-3.016655042783242,-0.039385528403861,0.0,0.5729418036775092,0.5729418036775094,-0.5729418036775094,-0.01863044275099207,0.1518407681828696,0.0,1.199127678442789,1.199127678442789,-1.199127678442789,0.0,0.009419999999999984,0.009419999999999984,-0.0036199999999999566,0.0,-0.0009040000000000159,-0.0009040000000000159,-0.0009040000000000159,0.0,0.0010760000000000075,0.0010760000000000075,-0.0010760000000000075,0.0,0.0007399999999999907,0.0007399999999999907,-0.0007399999999999907,0.0,0.001232000000000004,0.001232000000000004,-0.001232000000000004,0.0,8.400000000000074e-05,8.400000000000074e-05,-8.400000000000074e-05,6.715905208801953,-1.441418170928955,0.09851242796992554
8,cnn,gan,0.0,0.9552527683503129,3.22079100583597,-49.24865210306399,-75.75888979831393,-5.422116220528437,-0.021546102935841804,0.0,0.6864210562355272,0.6864210562355273,-0.6864210562355273,-0.011796378036914357,0.15499892600305254,0.0,2.796386469115749,2.796386469115749,-2.796386469115749,0.0,0.010664000000000007,0.010664000000000007,-0.0020799999999998597,0.0,-0.0040999999999999925,-0.0040999999999999925,-0.0033720000000000416,0.0,-0.0008560000000000095,-0.0008560000000000095,0.0008560000000000095,0.0,-0.0008240000000000053,-0.0008240000000000053,0.0008240000000000053,0.0,3.999999999999837e-05,3.999999999999837e-05,-3.999999999999837e-05,0.0,-2.0000000000000052e-05,-2.0000000000000052e-05,2.0000000000000052e-05,6.35296897375575,1.4545478820800781,0.06015236343286523
9,cnn,gan,0.0,1.10548923653608,-7.8787344858264845,-56.16713258765719,-79.66942310479192,9.14527438368647,0.004774132700386402,0.0,0.638776066781147,0.6387760667811468,-0.6387760667811468,-0.014327492119692864,0.16468562662005987,0.0,1.8179986278553706,1.8179986278553706,-1.8179986278553706,0.0,0.007199999999999984,0.007199999999999984,0.0018079999999999208,0.0,-0.0042600000000000415,-0.0042600000000000415,0.0035880000000000356,0.0,-0.002352000000000007,-0.002352000000000007,0.002352000000000007,0.0,-0.002147999999999997,-0.002147999999999997,0.002147999999999997,0.0,-0.003155999999999999,-0.003155999999999999,0.003155999999999999,0.0,0.00011599999999999978,0.00011599999999999978,-0.00011599999999999978,5.174419222321482,-0.5232677459716797,0.05113279559871359
