sample_idx,group_name,threshold_label,threshold_name,threshold_type,threshold_value,gt_count,bicubic_count,cnn_count,gan_count,bicubic_abs_error,cnn_abs_error,gan_abs_error,winner
6,all_mt_gan,p90,90th pct,percentile,14.716026,259,54,155,341,205,104,82,gan
6,all_mt_gan,p95,95th pct,percentile,16.891998,224,50,153,240,174,71,16,gan
6,all_mt_gan,p99,99th pct,percentile,20.215492,132,22,87,106,110,45,26,gan
6,all_mt_gan,t10,10,fixed,10.0,257,54,116,363,203,141,106,gan
6,all_mt_gan,t15,15,fixed,15.0,258,56,146,303,202,112,45,gan
6,all_mt_gan,t5,5,fixed,5.0,159,11,28,165,148,131,6,gan
8,all_mt_gan,p90,90th pct,percentile,14.993744,279,50,143,366,229,136,87,gan
8,all_mt_gan,p95,95th pct,percentile,16.406754,230,40,122,279,190,108,49,gan
8,all_mt_gan,p99,99th pct,percentile,19.623405,123,21,72,101,102,51,22,gan
8,all_mt_gan,t10,10,fixed,10.0,339,71,130,403,268,209,64,gan
8,all_mt_gan,t15,15,fixed,15.0,277,50,147,366,227,130,89,gan
8,all_mt_gan,t5,5,fixed,5.0,54,6,20,127,48,34,73,cnn
12,all_mt_gan,p90,90th pct,percentile,15.900452,218,40,98,481,178,120,263,cnn
12,all_mt_gan,p95,95th pct,percentile,17.117828,133,21,76,326,112,57,193,cnn
12,all_mt_gan,p99,99th pct,percentile,18.570511,108,14,33,252,94,75,144,cnn
12,all_mt_gan,t10,10,fixed,10.0,350,75,166,394,275,184,44,gan
12,all_mt_gan,t15,15,fixed,15.0,262,54,120,540,208,142,278,cnn
12,all_mt_gan,t5,5,fixed,5.0,58,6,21,52,52,37,6,gan
16,all_mt_gan,p90,90th pct,percentile,17.957092,145,17,16,406,128,129,261,bicubic
16,all_mt_gan,p95,95th pct,percentile,19.452499,27,4,9,207,23,18,180,cnn
16,all_mt_gan,p99,99th pct,percentile,21.546066,9,3,2,115,6,7,106,bicubic
16,all_mt_gan,t10,10,fixed,10.0,294,59,138,351,235,156,57,gan
16,all_mt_gan,t15,15,fixed,15.0,139,17,39,373,122,100,234,cnn
16,all_mt_gan,t5,5,fixed,5.0,119,16,38,145,103,81,26,gan
17,all_mt_gan,p90,90th pct,percentile,18.488113,105,12,9,266,93,96,161,bicubic
17,all_mt_gan,p95,95th pct,percentile,19.977417,24,6,8,221,18,16,197,cnn
17,all_mt_gan,p99,99th pct,percentile,21.744438,20,5,10,198,15,10,178,cnn
17,all_mt_gan,t10,10,fixed,10.0,292,57,131,384,235,161,92,gan
17,all_mt_gan,t15,15,fixed,15.0,121,15,21,267,106,100,146,cnn
17,all_mt_gan,t5,5,fixed,5.0,114,21,42,113,93,72,1,gan
18,all_mt_gan,p90,90th pct,percentile,18.842125,108,15,11,420,93,97,312,bicubic
18,all_mt_gan,p95,95th pct,percentile,20.255135,23,6,11,257,17,12,234,cnn
18,all_mt_gan,p99,99th pct,percentile,21.848198,37,13,28,165,24,9,128,cnn
18,all_mt_gan,t10,10,fixed,10.0,337,67,131,423,270,206,86,gan
18,all_mt_gan,t15,15,fixed,15.0,83,9,12,227,74,71,144,cnn
18,all_mt_gan,t5,5,fixed,5.0,99,13,22,136,86,77,37,gan
19,all_mt_gan,p90,90th pct,percentile,19.083221,142,27,24,516,115,118,374,bicubic
