key,method,pd_distance
gan_s0_speed_p160_x0_y0,gan,22.540541801445254
gan_s100_speed_p160_x0_y0,gan,20.891681214618057
gan_s101_speed_p160_x0_y0,gan,20.937383941054357
gan_s102_speed_p160_x0_y0,gan,20.257793175726828
gan_s103_speed_p160_x0_y0,gan,20.69051451494371
gan_s104_speed_p160_x0_y0,gan,20.12992358587829
gan_s105_speed_p160_x0_y0,gan,19.283104237304943
gan_s106_speed_p160_x0_y0,gan,20.00547041151677
gan_s107_speed_p160_x0_y0,gan,20.682183399063746
gan_s108_speed_p160_x0_y0,gan,21.1993064034262
gan_s109_speed_p160_x0_y0,gan,20.853111383838083
gan_s10_speed_p160_x0_y0,gan,24.710016041893063
gan_s110_speed_p160_x0_y0,gan,19.600364202728887
gan_s111_speed_p160_x0_y0,gan,18.815230764049467
gan_s112_speed_p160_x0_y0,gan,19.372446559915602
gan_s113_speed_p160_x0_y0,gan,18.415536047943895
gan_s114_speed_p160_x0_y0,gan,16.84887862793787
gan_s115_speed_p160_x0_y0,gan,17.25298248796687
gan_s116_speed_p160_x0_y0,gan,17.129081493158413
gan_s117_speed_p160_x0_y0,gan,18.592743212240446
gan_s118_speed_p160_x0_y0,gan,19.893975298384717
gan_s119_speed_p160_x0_y0,gan,20.557132674744736
gan_s11_speed_p160_x0_y0,gan,24.969867761946066
gan_s120_speed_p160_x0_y0,gan,21.528863701574615
gan_s121_speed_p160_x0_y0,gan,21.37188887795256
gan_s122_speed_p160_x0_y0,gan,22.491589595860475
gan_s123_speed_p160_x0_y0,gan,22.17220391892049
gan_s124_speed_p160_x0_y0,gan,22.119830159019614
gan_s125_speed_p160_x0_y0,gan,21.313574573250694
gan_s126_speed_p160_x0_y0,gan,22.88972837862729
gan_s127_speed_p160_x0_y0,gan,24.85609607980766
gan_s128_speed_p160_x0_y0,gan,23.315252316365218
gan_s129_speed_p160_x0_y0,gan,24.209883048645104
gan_s12_speed_p160_x0_y0,gan,24.220613253945245
gan_s130_speed_p160_x0_y0,gan,23.783031491875988
gan_s131_speed_p160_x0_y0,gan,25.23355611194131
gan_s132_speed_p160_x0_y0,gan,25.90821112354989
gan_s133_speed_p160_x0_y0,gan,25.596877045000497
gan_s134_speed_p160_x0_y0,gan,23.04058254540847
gan_s135_speed_p160_x0_y0,gan,20.502693507156053
gan_s136_speed_p160_x0_y0,gan,19.71188765946126
gan_s137_speed_p160_x0_y0,gan,18.35521341147029
