sample_idx,bicubic_afc_l1_a1,bicubic_afc_l1_a5,bicubic_afc_l1_a10,bicubic_afc_l1_a25,bicubic_afc_l1_a50,bicubic_afc_l1_a100,cnn_afc_l1_a1,cnn_afc_l1_a5,cnn_afc_l1_a10,cnn_afc_l1_a25,cnn_afc_l1_a50,cnn_afc_l1_a100,gan_afc_l1_a1,gan_afc_l1_a5,gan_afc_l1_a10,gan_afc_l1_a25,gan_afc_l1_a50,gan_afc_l1_a100,gt_sz_n_components,bicubic_sz_n_components,bicubic_sz_n_components_mae,cnn_sz_n_components,cnn_sz_n_components_mae,gan_sz_n_components,gan_sz_n_components_mae,gt_sz_largest_area,bicubic_sz_largest_area,bicubic_sz_largest_area_mae,cnn_sz_largest_area,cnn_sz_largest_area_mae,gan_sz_largest_area,gan_sz_largest_area_mae,gt_sz_largest_area_frac,bicubic_sz_largest_area_frac,bicubic_sz_largest_area_frac_mae,cnn_sz_largest_area_frac,cnn_sz_largest_area_frac_mae,gan_sz_largest_area_frac,gan_sz_largest_area_frac_mae,gt_sz_mean_area,bicubic_sz_mean_area,bicubic_sz_mean_area_mae,cnn_sz_mean_area,cnn_sz_mean_area_mae,gan_sz_mean_area,gan_sz_mean_area_mae,gt_sz_median_area,bicubic_sz_median_area,bicubic_sz_median_area_mae,cnn_sz_median_area,cnn_sz_median_area_mae,gan_sz_median_area,gan_sz_median_area_mae,gt_sz_area_entropy,bicubic_sz_area_entropy,bicubic_sz_area_entropy_mae,cnn_sz_area_entropy,cnn_sz_area_entropy_mae,gan_sz_area_entropy,gan_sz_area_entropy_mae,gt_sz_area_gini,bicubic_sz_area_gini,bicubic_sz_area_gini_mae,cnn_sz_area_gini,cnn_sz_area_gini_mae,gan_sz_area_gini,gan_sz_area_gini_mae,bicubic_exceedance_l1,cnn_exceedance_l1,gan_exceedance_l1,gt_branch_count,bicubic_branch_count,bicubic_branch_count_ae,cnn_branch_count,cnn_branch_count_ae,gan_branch_count,gan_branch_count_ae,gt_branch_count_gt_0p5,bicubic_branch_count_gt_0p5,bicubic_branch_count_gt_0p5_ae,cnn_branch_count_gt_0p5,cnn_branch_count_gt_0p5_ae,gan_branch_count_gt_0p5,gan_branch_count_gt_0p5_ae,gt_branch_count_gt_1,bicubic_branch_count_gt_1,bicubic_branch_count_gt_1_ae,cnn_branch_count_gt_1,cnn_branch_count_gt_1_ae,gan_branch_count_gt_1,gan_branch_count_gt_1_ae,gt_branch_count_gt_2,bicubic_branch_count_gt_2,bicubic_branch_count_gt_2_ae,cnn_branch_count_gt_2,cnn_branch_count_gt_2_ae,gan_branch_count_gt_2,gan_branch_count_gt_2_ae,gt_branch_count_gt_5,bicubic_branch_count_gt_5,bicubic_branch_count_gt_5_ae,cnn_branch_count_gt_5,cnn_branch_count_gt_5_ae,gan_branch_count_gt_5,gan_branch_count_gt_5_ae,gt_mean_persistence,bicubic_mean_persistence,bicubic_mean_persistence_ae,cnn_mean_persistence,cnn_mean_persistence_ae,gan_mean_persistence,gan_mean_persistence_ae,gt_median_persistence,bicubic_median_persistence,bicubic_median_persistence_ae,cnn_median_persistence,cnn_median_persistence_ae,gan_median_persistence,gan_median_persistence_ae,gt_max_persistence,bicubic_max_persistence,bicubic_max_persistence_ae,cnn_max_persistence,cnn_max_persistence_ae,gan_max_persistence,gan_max_persistence_ae,gt_total_persistence,bicubic_total_persistence,bicubic_total_persistence_ae,cnn_total_persistence,cnn_total_persistence_ae,gan_total_persistence,gan_total_persistence_ae,gt_top5_persistence_sum,bicubic_top5_persistence_sum,bicubic_top5_persistence_sum_ae,cnn_top5_persistence_sum,cnn_top5_persistence_sum_ae,gan_top5_persistence_sum,gan_top5_persistence_sum_ae,gt_persistence_entropy,bicubic_persistence_entropy,bicubic_persistence_entropy_ae,cnn_persistence_entropy,cnn_persistence_entropy_ae,gan_persistence_entropy,gan_persistence_entropy_ae,branch_count_winner,mean_persistence_winner,max_persistence_winner,total_persistence_winner,top5_persistence_sum_winner,persistence_entropy_winner
0,6273.0,2481.0,1274.0,411.0,168.0,78.0,4746.0,1918.0,899.0,284.0,130.0,72.0,2347.0,851.0,440.0,212.0,136.0,89.0,183.375,26.55,156.825,64.725,118.65,192.65,9.275000000000006,112011.825,115231.5,3219.675000000003,113579.025,1567.199999999997,109490.55,2521.274999999994,0.4480473,0.4609259999999999,0.01287869999999991,0.45431609999999994,0.006268799999999963,0.43796219999999997,0.010085100000000013,3287.030660294661,14634.109680526622,11347.079020231962,7104.465527837482,3817.434867542821,1166.4716643162512,2120.55899597841,4.2625,6224.4375,6220.175,6.6125,2.3499999999999996,2.6125,1.6500000000000004,0.8487047085786197,0.5633745649904822,0.28533014358813746,0.7152319419341087,0.13347276664451102,0.9007986176090791,0.05209390903045941,0.9590939721562804,0.8925228271639121,0.06657114499236838,0.9382410784210193,0.020852893735261113,0.9678531042351113,0.008759132078830834,0.17552399999999957,0.10814399999999971,0.20208000000000007,3552.0,568.0,2984.0,1469.0,2083.0,4074.0,522.0,2411.0,365.0,2046.0,1054.0,1357.0,2657.0,246.0,1155.0,199.0,956.0,578.0,577.0,1015.0,140.0,471.0,85.0,386.0,311.0,160.0,430.0,41.0,87.0,13.0,74.0,75.0,12.0,100.0,13.0,1.1505695965375975,1.1875479756918432,0.03697837915424573,1.482534613699757,0.33196501716215954,1.0737756712935502,0.07679392524404727,0.683615875244139,0.6669871410471391,0.01662873419699995,0.7524511152878404,0.06883524004370134,0.5816583801060915,0.10195749513804753,25.147254943847656,23.303176982328296,1.8440779615193605,30.274074899032712,5.126819955185056,33.056574165821075,7.909319221973419,4086.823206901546,674.5272501929669,3412.295956708579,2177.843347524943,1908.9798593766031,4374.562084849924,287.73887794837765,77.65129556655883,60.4608205310069,17.190475035551927,86.12874890370294,8.477453337144112,108.3145060017705,30.663210435211667,7.755870476595778,5.880885725201553,1.8749847513942246,6.8159892752508,0.9398812013449778,7.84520877839107,0.08933830179529245,gan,bicubic,bicubic,gan,cnn,gan
1,6150.0,2543.0,1315.0,445.0,169.0,72.0,4602.0,1953.0,941.0,256.0,107.0,61.0,2211.0,810.0,414.0,214.0,153.0,81.0,181.4,27.65,153.75,66.6,114.80000000000001,197.475,16.07499999999999,113068.3,114678.075,1609.7749999999942,113099.475,31.17500000000291,112033.675,1034.625,0.45227319999999993,0.4587123,0.006439100000000086,0.4523979000000001,0.00012470000000014414,0.44813470000000005,0.004138499999999878,2041.8567760441044,10577.661633013098,8535.804856968994,5715.622091411044,3673.765315366939,1207.5600561113392,834.2967199327652,4.475,25.375,20.9,6.4625,1.9875000000000007,2.6875,1.7874999999999996,0.8072991521204539,0.5673809478515265,0.2399182042689274,0.7541442106501975,0.053154941470256345,0.8541494303454316,0.04685027822497767,0.9652192646308215,0.9103843326163746,0.05483493201444689,0.9423463086942159,0.022872955936605655,0.9682550063960731,0.003035741765251565,0.1820720000000001,0.10468000000000022,0.1449639999999997,3453.0,545.0,2908.0,1570.0,1883.0,4029.0,576.0,2422.0,384.0,2038.0,1103.0,1319.0,3440.0,1018.0,1216.0,199.0,1017.0,565.0,651.0,1085.0,131.0,490.0,93.0,397.0,295.0,195.0,451.0,39.0,102.0,16.0,86.0,81.0,21.0,118.0,16.0,1.2249846459470761,1.2885379685320741,0.06355332258499802,1.3990357953723758,0.17405114942529964,1.1486790098416386,0.0763056361054375,0.7270243167877197,0.7260102653410279,0.001014051446691866,0.7057973077520714,0.021227009035648337,0.6495922329369961,0.07743208385072364,27.097387313842773,25.098463117145002,1.9989241966977715,29.498265210539103,2.400877896696329,37.61245315242559,10.515065838582814,4229.871982455254,702.2531928499805,3527.6187896052734,2196.48619873463,2033.3857837206237,4628.027730651962,398.1557481967084,83.0027562379837,64.95389279727823,18.048863440705475,88.67865976239554,5.6759035244118365,115.14991812220543,32.14716188422173,7.726156572109623,5.842180541590359,1.883976030519264,6.86043839221939,0.8657181798902336,7.8713152749063315,0.14515870279670828,gan,bicubic,bicubic,gan,cnn,gan
2,6232.0,2704.0,1446.0,477.0,185.0,85.0,4603.0,2041.0,1018.0,279.0,102.0,62.0,2295.0,736.0,382.0,233.0,112.0,66.0,183.675,27.875,155.8,68.6,115.07500000000002,204.3,20.625,111673.825,115309.525,3635.699999999997,116367.75,4693.925000000003,113704.05,2030.2250000000058,0.4466953,0.4612381,0.014542799999999967,0.46547099999999997,0.01877569999999995,0.45481619999999995,0.008120899999999931,2827.4307022409275,15562.779094478863,12735.348392237935,6210.449181287024,3383.018479046096,1191.3583621806247,1636.0723400603028,4.6875,6225.125,6220.4375,6.675,1.9874999999999998,2.65,2.0375,0.8736609439933073,0.5736819531675602,0.2999789908257471,0.6876781906956333,0.185982753297674,0.8294623859641093,0.04419855802919803,0.960007980280914,0.8897481745087379,0.07025980577217616,0.9425387298849481,0.01746925039596592,0.9669704311780201,0.0069624508971060095,0.19860799999999992,0.10998799999999999,0.1711239999999999,3385.0,564.0,2821.0,1515.0,1870.0,4550.0,1165.0,2452.0,379.0,2073.0,1090.0,1362.0,3139.0,687.0,1290.0,214.0,1076.0,608.0,682.0,1080.0,210.0,530.0,103.0,427.0,302.0,228.0,451.0,79.0,102.0,19.0,83.0,81.0,21.0,113.0,11.0,1.2889449853840749,1.3003933594124513,0.011448374028376396,1.4849629623513576,0.19601797696728274,1.0578181953288366,0.23112679005523828,0.7578943967819214,0.7046199616510425,0.05327443513087893,0.7845889530144632,0.0266945562325418,0.5933848037850105,0.16450959299691092,27.256078720092773,24.796550191938877,2.4595285281538963,29.35092044621706,2.0948417261242867,33.70402097888291,6.447942258790135,4363.078775525093,733.4218547086225,3629.6569208164706,2249.718887962307,2113.3598875627863,4813.072788746206,449.99401322111316,84.75418663024902,66.11087271347643,18.6433139167726,88.5405722773634,3.786385647114372,106.99137223465368,22.237185604404658,7.7024256734014145,5.86352425216152,1.8389014212398944,6.836533145283428,0.8658925281179863,7.973504989678472,0.2710793162770573,gan,bicubic,cnn,gan,cnn,gan
3,6031.0,2611.0,1420.0,494.0,217.0,98.0,4412.0,1939.0,989.0,309.0,126.0,86.0,2081.0,650.0,336.0,201.0,105.0,74.0,180.45,29.675,150.77499999999998,70.15,110.29999999999998,212.425,31.975000000000023,113791.275,115617.6,1826.3250000000116,114370.575,579.3000000000029,111390.5,2400.774999999994,0.4551651,0.46247040000000006,0.00730530000000007,0.4574823,0.0023172000000000192,0.44556199999999996,0.009603100000000031,2778.363166961225,24830.810864443505,22052.44769748228,6250.022869864997,3471.659702903772,1207.9069456244476,1570.4562213367774,4.4875,18196.275,18191.787500000002,7.0375,2.55,2.65,1.8375,0.8450285083936722,0.5928616016655597,0.2521669067281125,0.7443847028956112,0.10064380549806096,0.8671037251998339,0.022075216806161757,0.9594812621505364,0.8504600624697227,0.1090211996808137,0.9398214125881384,0.01965984956239797,0.9668716002015051,0.00739033805096867,0.2067039999999998,0.10307200000000008,0.20678800000000036,3399.0,573.0,2826.0,1606.0,1793.0,4731.0,1332.0,2438.0,409.0,2029.0,1090.0,1348.0,3671.0,1233.0,1308.0,236.0,1072.0,606.0,702.0,1155.0,153.0,548.0,99.0,449.0,315.0,233.0,466.0,82.0,130.0,19.0,111.0,86.0,44.0,118.0,12.0,1.3207622900118579,1.3577884625220893,0.037026172510231437,1.4460453190902818,0.12528302907842392,1.0824948095976779,0.23826748041418,0.7847785949707031,0.7437241899548077,0.04105440501589541,0.7342645283322788,0.05051406663842428,0.615973339881748,0.16880525508895516,27.646713256835938,26.557363683357835,1.0893495734781027,28.01972544938326,0.3730121925473213,35.88666718453169,8.239953927695751,4489.271023750305,778.0127890251572,3711.258234725148,2322.3487824589924,2166.9222412913127,5121.282944206614,632.0119204563089,87.97329807281494,66.51784508826677,21.455452984548174,85.96611725846304,2.007180814351898,114.54835450556129,26.57505643274635,7.6972258729457685,5.890001776227992,1.8072240967177766,6.873754307007387,0.8234715659383811,8.020819183990927,0.3235933110451583,gan,bicubic,cnn,gan,cnn,gan
4,6157.0,2660.0,1427.0,499.0,193.0,89.0,4364.0,1854.0,899.0,270.0,108.0,71.0,2028.0,503.0,281.0,238.0,146.0,72.0,184.525,30.6,153.925,75.425,109.10000000000001,229.375,44.849999999999994,110044.1,114526.55,4482.449999999997,111849.725,1805.625,109291.075,753.0250000000087,0.4401764,0.4581062,0.017929799999999996,0.44739889999999993,0.0072224999999999095,0.43716429999999995,0.003012100000000073,1738.6336848228561,15792.367453412322,14053.733768589465,6505.80402364502,4767.170338822163,1675.0867274838142,63.54695733904191,4.3875,6189.6125,6185.225,7.2875,2.8999999999999995,2.6,1.7875,0.8948025665365721,0.6354680079774104,0.25933455855916165,0.8004713406715247,0.09433122586504739,0.9437454737985348,0.04894290726196271,0.9623769434655547,0.8829770695983765,0.07939987386717817,0.9366546850860662,0.025722258379488494,0.9630976757349995,0.0007207322694448015,0.23811199999999988,0.09732400000000056,0.25047200000000003,3449.0,579.0,2870.0,1669.0,1780.0,5355.0,1906.0,2515.0,405.0,2110.0,1141.0,1374.0,3483.0,968.0,1314.0,228.0,1086.0,619.0,695.0,1217.0,97.0,564.0,114.0,450.0,304.0,260.0,478.0,86.0,131.0,21.0,110.0,87.0,44.0,123.0,8.0,1.3227008162287233,1.3642572085953768,0.04155639236665354,1.4166422375182661,0.09394142128954286,1.0164797807160026,0.3062210355127206,0.7652899503707893,0.7796263515017934,0.014336401131004095,0.7447343971580267,0.02055555321276259,0.5713800310622901,0.1939099193084992,27.079069137573242,24.014853067696095,3.0642160698771477,28.293687030673027,1.2146178930997849,32.83167697582394,5.752607838250697,4561.9951151728665,789.9049237767232,3772.0901913961434,2364.3758944179863,2197.61922075488,5443.249225734195,881.2541105613282,82.10748698711396,61.54957566633821,20.55791132077575,86.99523639585823,4.88774940874427,103.91707435128046,21.809587364166504,7.712311870797425,5.899127230609434,1.8131846401879912,6.914332147558618,0.7979797232388073,8.13373869920347,0.4214268284060445,cnn,bicubic,cnn,gan,cnn,gan
5,6414.0,2898.0,1576.0,525.0,219.0,92.0,4546.0,2057.0,1020.0,262.0,115.0,83.0,2115.0,667.0,368.0,192.0,108.0,69.0,194.175,33.825,160.35000000000002,80.525,113.65,239.6,45.42499999999998,109640.6,110531.175,890.5749999999971,109134.275,506.32500000001164,107096.05,2544.550000000003,0.4385624,0.44212470000000004,0.0035623000000000182,0.43653709999999996,0.002025300000000063,0.4283842,0.010178200000000026,2575.7151815807583,17282.541482203276,14706.826300622517,7666.648874284967,5090.933692704209,1308.6755144681615,1267.0396671125968,4.7,6248.75,6244.05,3103.0875,3098.3875000000003,2.3875,2.3125,0.9655151224454924,0.7003938839117618,0.2651212385337306,0.8627572779430659,0.10275784450242653,0.9732886971528545,0.007773574707362063,0.9570615093175094,0.8798882038156572,0.0771733055018522,0.9309916278537941,0.02606988146371536,0.9652627785096634,0.008201269192153915,0.2778200000000003,0.09887600000000002,0.21825200000000033,3381.0,597.0,2784.0,1655.0,1726.0,5787.0,2406.0,2514.0,407.0,2107.0,1130.0,1384.0,3500.0,986.0,1340.0,232.0,1108.0,605.0,735.0,1191.0,149.0,579.0,114.0,465.0,305.0,274.0,464.0,115.0,129.0,21.0,108.0,87.0,42.0,122.0,7.0,1.355582360895523,1.3390656737027262,0.016516687192796864,1.4129217839917445,0.05733942309622142,0.9509462815430487,0.40463607935247436,0.7904342651367173,0.7302332809194922,0.060200984217225084,0.7215199237689376,0.06891434136777974,0.5489707881817623,0.24146347695495507,27.60399627685547,24.525840900838375,3.0781553760170937,28.641415134072304,1.037418857216835,31.393555829301476,3.7895595524460077,4583.223962187763,799.4222072005275,3783.8017549872357,2338.3855525063373,2244.838409681426,5503.126131289623,919.9021691018597,85.10621490478515,62.26395987672731,22.842255028057835,89.30972462147474,4.203509716689595,100.6598259399878,15.55361103520265,7.695110916620937,5.920225449839863,1.7748854667810736,6.900545255000657,0.7945656616202799,8.227034070137575,0.5319231535166384,cnn,bicubic,cnn,gan,cnn,gan
6,6806.0,3157.0,1711.0,611.0,253.0,109.0,4642.0,2199.0,1107.0,375.0,145.0,81.0,2656.0,580.0,304.0,178.0,107.0,87.0,208.4,38.25,170.15,92.35,116.05000000000001,272.25,63.849999999999994,105751.4,107895.325,2143.925000000003,106636.225,884.8250000000116,104876.55,874.8499999999913,0.42300560000000004,0.43158130000000006,0.00857570000000002,0.4265449,0.0035392999999999675,0.4195062,0.0034994000000000414,2127.1139662368882,18587.621623751762,16460.507657514874,4249.278634085194,2122.164667848306,1282.9478643499308,844.1661018869574,5.05,9190.5375,9185.487500000001,7.375,2.325,2.45,2.5999999999999996,1.0270733589603294,0.7624566747534333,0.2646166842068961,0.895133485154408,0.13193987380592131,1.057186474446942,0.03011311548661255,0.9584631052013741,0.8719145177204872,0.0865485874808869,0.9461584938285611,0.012304611372813024,0.964904335567566,0.00644123036619193,0.3078759999999998,0.10162000000000003,0.19044000000000022,3350.0,596.0,2754.0,1723.0,1627.0,6010.0,2660.0,2496.0,398.0,2098.0,1194.0,1302.0,3736.0,1240.0,1276.0,220.0,1056.0,603.0,673.0,1246.0,30.0,550.0,120.0,430.0,282.0,268.0,482.0,68.0,140.0,24.0,116.0,71.0,69.0,122.0,18.0,1.3524855063210677,1.3706368471498929,0.01815134082882519,1.3370503675067993,0.01543513881426839,0.9573595468102818,0.3951259595107859,0.7769989013671879,0.6929664953146126,0.08403240605257523,0.7104713750537499,0.06652752631343795,0.559353571338578,0.21764533002860986,28.0281982421875,24.25295862928033,3.7752396129071712,28.42346002534032,0.3952617831528187,31.35874910838902,3.33055086620152,4530.826446175577,816.8995609013361,3713.9268852742407,2303.737783214215,2227.088662961362,5753.730876329793,1222.9044301542162,83.5059600830078,59.865938359266146,23.64002172374166,83.64889279836788,0.14293271536007524,93.02302812763955,9.517068044631742,7.674751186393552,5.89825863778135,1.776492548612202,6.962304569664493,0.7124466167290588,8.273988796179772,0.5992376097862202,cnn,cnn,cnn,gan,cnn,gan
7,7341.0,3385.0,1845.0,620.0,236.0,97.0,5018.0,2370.0,1198.0,372.0,143.0,73.0,3529.0,733.0,386.0,204.0,165.0,77.0,223.675,40.15,183.525,98.225,125.45000000000002,307.6,83.92500000000001,107760.525,109851.3,2090.7750000000087,108979.75,1219.2250000000058,105753.0,2007.5249999999942,0.4310421,0.43940520000000005,0.008363100000000068,0.435919,0.004876900000000017,0.42301200000000005,0.008030099999999929,1896.859766196238,16679.210046677792,14782.350280481554,5173.276975629605,3276.4172094333667,857.4095302884032,1039.450235907835,4.9375,5951.7125,5946.775,7.6125,2.675,2.3375,2.6,1.0254823165969125,0.7276314424322605,0.29785087416465195,0.8430743487615372,0.18240796783537527,1.0460017950113811,0.02051947841446866,0.9595263354391907,0.8841549004683269,0.07537143497086385,0.9454265714742911,0.014099763964899648,0.9676083191662187,0.008081983727027953,0.32172800000000024,0.18478400000000034,0.2057600000000001,3444.0,601.0,2843.0,1703.0,1741.0,6473.0,3029.0,2542.0,377.0,2165.0,1128.0,1414.0,4106.0,1564.0,1286.0,215.0,1071.0,549.0,737.0,1294.0,8.0,530.0,114.0,416.0,267.0,263.0,479.0,51.0,131.0,23.0,108.0,69.0,62.0,104.0,27.0,1.3103409724368449,1.3178207818373018,0.007479809400456894,1.268706226807319,0.04163474562952585,0.9215645661114511,0.3887764063253938,0.7652472257614136,0.6715369295328841,0.09371029622852944,0.6604477680288259,0.1047994577325877,0.5617281540762633,0.20351907168515027,26.77083396911621,24.31216401234269,2.4586699567735195,27.865339197218418,1.0945052281022072,31.544052232056856,4.773218262940645,4512.814309072493,792.0102898842184,3720.804019188275,2160.6067042528643,2352.207604819629,5965.287436439423,1452.4731273669295,83.55066201686859,60.98503206041641,22.565629956452177,76.47566208560019,7.074999931268394,94.8510931211058,11.30043110423722,7.705185904943283,5.900834551152783,1.8043513537905005,6.943886035404815,0.7612998695384681,8.37966083104424,0.6744749261009577,cnn,bicubic,cnn,gan,cnn,gan
8,8034.0,3881.0,2129.0,746.0,272.0,130.0,5622.0,2764.0,1455.0,447.0,178.0,114.0,3766.0,894.0,645.0,277.0,171.0,106.0,243.6,42.75,200.85,103.05,140.55,335.45,91.85,105380.9,107201.0,1820.1000000000058,104828.05,552.8499999999913,104693.2,687.6999999999971,0.4215236,0.4288040000000001,0.007280400000000076,0.41931219999999997,0.00221140000000003,0.4187728,0.0027507999999999977,2260.2789128616114,17626.10690567387,15365.82799281226,7443.337534561733,5183.058621700122,876.1347887587381,1384.1441241028733,5.25,9001.375,8996.125,3022.175,3016.925,2.325,2.925,1.0563336639984808,0.7552208502075912,0.3011128137908896,0.9095696610443458,0.14676400295413505,1.0797173717570447,0.02338370775856391,0.9586693498710253,0.8812979657658724,0.07737138410515287,0.9369157302649775,0.021753619606047714,0.9686116875694382,0.009942337698412906,0.34555999999999965,0.16393999999999997,0.21487599999999984,3388.0,606.0,2782.0,1709.0,1679.0,7046.0,3658.0,2547.0,387.0,2160.0,1043.0,1504.0,4250.0,1703.0,1318.0,216.0,1102.0,546.0,772.0,1283.0,35.0,540.0,96.0,444.0,253.0,287.0,475.0,65.0,118.0,19.0,99.0,55.0,63.0,103.0,15.0,1.3277337852731588,1.257031281130532,0.0707025041426268,1.1967165612231385,0.13101722405002025,0.8773200229002351,0.45041376237292363,0.7840612978907302,0.6596735201543193,0.12438777773641085,0.6114540554699488,0.1726072424207814,0.5480358001543202,0.23602549773641002,27.655874248594046,23.93563875183463,3.7202354967594147,26.83711737859994,0.8187568699941039,30.756471056491137,3.100596807897091,4498.362064505462,761.7609563651024,3736.6011081403594,2045.1886031303438,2453.1734613751178,6181.596881355057,1683.2348168495955,81.60017253016122,56.232920673070474,25.367251857090743,74.14589320396772,7.4542793261935,88.4117904427927,6.811617912631476,7.705439420408151,5.934427131347585,1.7710122890605664,6.955217372982871,0.7502220474252805,8.483162610746247,0.7777231903380954,cnn,bicubic,cnn,gan,gan,cnn
9,8544.0,4186.0,2327.0,795.0,298.0,116.0,5667.0,2880.0,1496.0,407.0,202.0,109.0,4725.0,809.0,549.0,260.0,195.0,145.0,258.925,45.325,213.60000000000002,117.25,141.675,373.4,114.47499999999997,106770.725,107247.55,476.8249999999971,106948.375,177.64999999999418,104532.75,2237.975000000006,0.4270829,0.4289902,0.0019073000000000007,0.42779350000000005,0.0007106000000000612,0.418131,0.008951900000000013,1740.0360664877076,14887.98956573884,13147.953499251133,6309.611214841213,4569.575148353506,1001.4303025784178,738.6057639092897,5.3125,6115.15,6109.8375,7.4,2.0875000000000004,2.2625,3.05,1.071238611373459,0.7770469569286362,0.29419165444482287,0.9123118680371496,0.15892674333630952,1.1165697880295735,0.045331176656114414,0.960333774388558,0.8895763109511282,0.07075746343742984,0.9407629315774937,0.01957084281106436,0.9668570779767514,0.006523303588193308,0.3043400000000001,0.1773599999999997,0.1241000000000006,3395.0,635.0,2760.0,1675.0,1720.0,7813.0,4418.0,2503.0,418.0,2085.0,1104.0,1399.0,4096.0,1593.0,1298.0,216.0,1082.0,563.0,735.0,1281.0,17.0,528.0,100.0,428.0,243.0,285.0,486.0,42.0,120.0,17.0,103.0,54.0,66.0,101.0,19.0,1.289604726975374,1.188788080013644,0.10081664696172998,1.2256497096831347,0.0639550172922394,0.8223985552929816,0.46720617168239253,0.7721155166625948,0.6634527392685428,0.10866277739405206,0.6655128613347188,0.10660265532787605,0.5116324604488902,0.2604830562137046,26.688430786132812,23.02387100458145,3.664559781551361,27.786378333345056,1.097947547212243,28.20900049433112,1.520569708198309,4378.208048081395,754.880430808664,3623.327617272731,2052.963263719251,2325.244784362144,6425.399912504065,2047.1918644226698,76.9228494644165,53.533318187296395,23.389531277120106,74.3134538948536,2.6093955695629063,84.88297958690673,7.960130122490227,7.715944087156589,6.004231401785086,1.711712685371503,6.960370136419152,0.7555739507374373,8.569691883996697,0.8537477968401079,cnn,cnn,cnn,gan,cnn,cnn
