sample_idx,group_name,pd_winner,mt_winner,direct_error_group_winner,distributional_group_winner,tail_group_winner,configured_physics_group_winner,bicubic_wins,cnn_wins,gan_wins,tie_count,gan_wins_low,gan_wins_high,winner_signature,gan_mean_bias,gan_direction,interpretation_label,phys_bicubic_wins,phys_cnn_wins,phys_gan_wins,phys_winner,groups,question,forced_note
6,all_mt_gan,GAN,GAN,CNN,CNN,CNN,CNN,0,0,6,0,2,4,t5=GAN;t10=GAN;t15=GAN;p90=GAN;p95=GAN;p99=GAN,38.167,over_fragmented,GAN_component_strong,2,8,3,cnn,cnn_three_method_metric_majority;direct_cnn;distributional_cnn;mt_gan_all;mt_gan_diagnostic;pd_gan_all;physics_cnn;psnr_cnn;ssim_cnn;tail_cnn;topology_consensus_gan;topology_consensus_gan_all,"MT favors GAN: is GAN structurally closer to GT, or sharper but misaligned?",
8,all_mt_gan,GAN,GAN,CNN,CNN,GAN,CNN,0,1,5,0,1,4,t5=CNN;t10=GAN;t15=GAN;p90=GAN;p95=GAN;p99=GAN,56.667,over_fragmented,GAN_component_strong,5,5,3,bicubic,cnn_three_method_metric_majority;direct_cnn;distributional_cnn;mt_gan_all;mt_gan_diagnostic;neartie_topology_validator_disagreement;pd_gan_all;physics_cnn;psnr_cnn;ssim_cnn;tail_gan;topology_consensus_gan;topology_consensus_gan_all,"MT favors GAN: is GAN structurally closer to GT, or sharper but misaligned?",
12,all_mt_gan,GAN,GAN,CNN,GAN,GAN,CNN,0,4,2,0,2,0,t5=GAN;t10=GAN;t15=CNN;p90=CNN;p95=CNN;p99=CNN,152.667,over_fragmented,GAN_component_low_threshold_only,3,2,8,gan,adjacent_cluster_10_13;direct_cnn;distributional_gan;forced_qualitative_set;gan_distributional_cases;gan_metric_majority;gan_three_method_metric_majority;mt_gan_all;mt_gan_diagnostic;neartie_topology_validator_disagreement;pd_gan_all;physics_cnn;psnr_cnn;ssim_cnn;tail_gan;topology_consensus_gan;topology_consensus_gan_all,Adjacent transition cluster around sample 12: what visual/topological change makes MT favor GAN?,strong MT-GAN anchor
16,all_mt_gan,GAN,GAN,CNN,GAN,GAN,CNN,2,2,2,0,2,0,t5=GAN;t10=GAN;t15=CNN;p90=BICUBIC;p95=CNN;p99=BICUBIC,144.000,over_fragmented,GAN_component_low_threshold_only,8,2,3,bicubic,bicubic_metric_majority;direct_cnn;distributional_gan;forced_qualitative_set;gan_distributional_cases;mt_gan_all;mt_gan_diagnostic;pd_gan_all;physics_cnn;psnr_cnn;ssim_cnn;tail_gan;topology_consensus_gan;topology_consensus_gan_all,"MT favors GAN: is GAN structurally closer to GT, or sharper but misaligned?",moderate MT-GAN ridge-rich motif
17,all_mt_gan,GAN,GAN,CNN,GAN,GAN,CNN,1,3,2,0,2,0,t5=GAN;t10=GAN;t15=CNN;p90=BICUBIC;p95=CNN;p99=CNN,128.833,over_fragmented,GAN_component_low_threshold_only,6,3,4,bicubic,bicubic_metric_majority;direct_cnn;distributional_gan;forced_qualitative_set;gan_distributional_cases;gan_metric_majority;mt_gan_all;mt_gan_diagnostic;pd_gan_all;physics_cnn;psnr_cnn;ssim_cnn;tail_gan;topology_consensus_gan;topology_consensus_gan_all,Strong MT-GAN candidate: does GAN preserve meaningful multiscale/topological structure?,strong MT-GAN anchor
18,all_mt_gan,GAN,GAN,CNN,GAN,GAN,CNN,1,3,2,0,2,0,t5=GAN;t10=GAN;t15=CNN;p90=BICUBIC;p95=CNN;p99=CNN,156.833,over_fragmented,GAN_component_low_threshold_only,8,2,3,bicubic,bicubic_metric_majority;direct_cnn;distributional_gan;forced_qualitative_set;gan_distributional_cases;mt_gan_all;mt_gan_diagnostic;pd_gan_all;physics_cnn;psnr_cnn;ssim_cnn;tail_gan;topology_consensus_gan;topology_consensus_gan_all,"MT favors GAN: is GAN structurally closer to GT, or sharper but misaligned?",moderate/lower MT-GAN ridge-rich motif
19,all_mt_gan,GAN,GAN,CNN,GAN,GAN,CNN,1,3,2,0,2,0,t5=GAN;t10=GAN;t15=CNN;p90=BICUBIC;p95=CNN;p99=CNN,159.000,over_fragmented,GAN_component_low_threshold_only,8,1,4,bicubic,bicubic_metric_majority;direct_cnn;distributional_gan;forced_qualitative_set;gan_distributional_cases;gan_metric_majority;mt_gan_all;mt_gan_diagnostic;pd_gan_all;physics_cnn;psnr_cnn;ssim_cnn;tail_gan;topology_consensus_gan;topology_consensus_gan_all,Strong MT-GAN candidate: does GAN preserve meaningful multiscale/topological structure?,strong MT-GAN anchor
20,all_mt_gan,GAN,GAN,CNN,GAN,CNN,CNN,0,5,1,0,1,0,t5=CNN;t10=GAN;t15=CNN;p90=CNN;p95=CNN;p99=CNN,178.667,over_fragmented,GAN_component_low_threshold_only,8,2,3,bicubic,bicubic_metric_majority;direct_cnn;distributional_gan;forced_qualitative_set;gan_distributional_cases;mt_gan_all;mt_gan_diagnostic;pd_gan_all;physics_cnn;psnr_cnn;ssim_cnn;tail_cnn;topology_consensus_gan;topology_consensus_gan_all,"MT favors GAN: is GAN structurally closer to GT, or sharper but misaligned?",moderate/lower MT-GAN ridge-rich motif
25,all_mt_gan,GAN,GAN,CNN,GAN,CNN,CNN,0,2,4,0,2,2,t5=GAN;t10=GAN;t15=GAN;p90=CNN;p95=CNN;p99=GAN,100.333,over_fragmented,GAN_component_strong,6,5,2,bicubic,bicubic_metric_majority;direct_cnn;distributional_gan;forced_qualitative_set;gan_distributional_cases;mt_gan_all;mt_gan_diagnostic;neartie_topology_validator_disagreement;pd_gan_all;physics_cnn;psnr_cnn;ssim_cnn;tail_cnn;topology_consensus_gan;topology_consensus_gan_all,"MT favors GAN: is GAN structurally closer to GT, or sharper but misaligned?",lower-confidence MT-GAN limitation case
48,all_mt_gan,GAN,GAN,CNN,GAN,CNN,CNN,0,4,2,0,2,0,t5=GAN;t10=GAN;t15=CNN;p90=CNN;p95=CNN;p99=CNN,98.500,over_fragmented,GAN_component_low_threshold_only,2,9,2,cnn,cnn_three_method_metric_majority;direct_cnn;distributional_gan;gan_distributional_cases;mt_gan_all;mt_gan_diagnostic;pd_gan_all;physics_cnn;psnr_cnn;ssim_cnn;tail_cnn;topology_consensus_gan;topology_consensus_gan_all,"MT favors GAN: is GAN structurally closer to GT, or sharper but misaligned?",
