sample_idx,psnr_cnn,psnr_gan,ssim_cnn,ssim_gan,abs_delta_psnr,abs_delta_ssim,mt_cnn,mt_gan,pd_cnn,pd_gan,delta_mt_cnn_minus_gan,delta_pd_cnn_minus_gan,winner_mt,winner_pd,cnn_lr_mae,gan_lr_mae,cnn_lr_mse,gan_lr_mse,cnn_lr_psnr,gan_lr_psnr,winner_lr_mae,winner_lr_mse,winner_lr_psnr,winner_lr_group,cnn_err_abs_max,gan_err_abs_max,winner_extreme_abs_max,cnn_exceed_err_q90,gan_exceed_err_q90,winner_exceed_q90,cnn_exceed_err_q95,gan_exceed_err_q95,winner_exceed_q95,cnn_tail_mae,gan_tail_mae,winner_tail_mae,winner_extreme_group,cnn_wpd_rmse,gan_wpd_rmse,winner_wpd_rmse,cnn_wpd_mae,gan_wpd_mae,winner_wpd_mae,cnn_psd_log_l2,gan_psd_log_l2,winner_psd_log_l2,cnn_grad_mae,gan_grad_mae,winner_grad_mae,winner_physics_group,agree_mt_winner_lr_mae,agree_mt_winner_lr_mse,agree_mt_winner_lr_psnr,agree_mt_winner_lr_group,agree_mt_winner_extreme_abs_max,agree_mt_winner_extreme_group,agree_mt_winner_tail_mae,agree_mt_winner_physics_group,topology_gap_abs,agreement_score,metric,threshold
27,32.43554725561233,31.004774013425244,0.5455050057267327,0.5158597038414781,1.4307732421870831,0.029645301885254605,6.4783101081848145,19.968429565429688,36.89696946573002,30.945378681968467,-13.490119457244873,5.951590783761549,cnn,gan,0.5691386046622094,0.7696634262762271,0.6882513740714592,1.270978061840245,29.98897944238759,27.325069770323317,cnn,cnn,cnn,cnn,2.5199343383113586,18.942188480721178,cnn,0.0019639999999999935,0.003928000000000001,cnn,0.005804000000000004,0.0009959999999999969,gan,1.2803894641329714,1.3273803139799443,cnn,cnn,1075.806699306839,1542.905918617315,cnn,539.2322537921307,687.0940395503727,cnn,1.0338251268491814,0.5527756599668898,gan,0.502052729104065,0.52770402576532,cnn,cnn,1,1,1,1,1,1,1,1,13.490119457244873,1.0,ssim,0.03
32,33.02557990556471,31.329788764503412,0.6141962458916969,0.5668540061885483,1.6957911410612994,0.04734223970314855,7.461033821105957,19.229158401489258,38.55925876668554,30.547158977309156,-11.7681245803833,8.012099789376382,cnn,gan,0.5051768311565649,0.7202969225533907,0.5825355460393601,1.183302397596829,29.96174193762234,26.884008802293714,cnn,cnn,cnn,cnn,3.840980682829567,18.026115696144636,cnn,0.0048960000000000115,0.023679999999999993,cnn,0.005636000000000002,0.017804,cnn,1.4980921211863236,1.5200446465965913,cnn,cnn,852.2134222710496,1325.6962716925323,cnn,385.69790253652036,527.9534340681104,cnn,1.0390081069692407,0.4673002428402866,gan,0.44980215489013164,0.48704535380406533,cnn,cnn,1,1,1,1,1,1,1,1,,,,
31,32.90329769043908,31.254266946670207,0.5933565142986378,0.560276398804242,1.6490307437688756,0.03308011549439582,6.818642616271973,16.23410415649414,39.104318483733294,31.3053599336416,-9.415461540222168,7.798958550091694,cnn,gan,0.5260471178581105,0.7285619412536761,0.5983450656730244,1.2074898597714494,29.775768665782685,26.726450881637373,cnn,cnn,cnn,cnn,1.9753236737731825,14.84238656004208,cnn,0.0049960000000000004,0.020947999999999994,cnn,0.010148000000000004,0.015191999999999997,cnn,1.5606126269297353,1.566101585693588,cnn,cnn,868.8148701848337,1318.0910782213407,cnn,409.8108667034604,552.2278636914317,cnn,0.9510075024444029,0.4303520102960272,gan,0.4604744525880125,0.49124521467420523,cnn,cnn,1,1,1,1,1,1,1,1,,,,
35,32.523540173374215,31.11427630511267,0.6166792470112487,0.5686363295355614,1.4092638682615437,0.04804291747568723,6.2719197273254395,14.435929298400879,35.95264003005777,28.746843597068697,-8.16400957107544,7.205796432989075,cnn,gan,0.47019063458010424,0.6542641537446675,0.5587044924845437,1.0342992777174815,29.10971506065948,26.43507448153634,cnn,cnn,cnn,cnn,0.04103341514272785,13.012368818289321,cnn,0.00898800000000001,0.021732,cnn,0.006084000000000006,0.014336000000000002,cnn,1.286528219143019,1.2282561324123518,gan,cnn,739.6425837087753,1044.0418570863724,cnn,348.67662963704873,459.76373070908437,cnn,1.2113576942596804,0.5061641133876118,gan,0.43871695783849757,0.4591003013746013,cnn,cnn,1,1,1,1,1,1,0,1,,,,
30,33.05434940011379,31.234617475323553,0.5959090966970294,0.5482640891858299,1.81973192479024,0.04764500751119949,8.127463340759277,14.847400665283203,39.94080457344863,30.82310921065586,-6.719937324523926,9.11769536279277,cnn,gan,0.5447212820326311,0.7629375902023063,0.6299924278558782,1.3150056608266592,29.798965623198196,26.603042694591416,cnn,cnn,cnn,cnn,4.387614622740671,13.023800862749503,cnn,0.008300000000000002,0.019807999999999992,cnn,0.005720000000000003,0.008011999999999998,cnn,1.596626452044923,1.6804025630258002,cnn,cnn,952.1856816491994,1521.714843614323,cnn,438.71927618828465,609.2346044293661,cnn,0.9346884955902305,0.3893695848995645,gan,0.46673511929422323,0.5036384560690615,cnn,cnn,1,1,1,1,1,1,1,1,,,,
29,32.77239492835451,30.970170120853133,0.5706943453302812,0.5242794320512635,1.802224807501375,0.0464149132790177,6.963974952697754,12.864243507385254,38.84347398326436,31.752977463202388,-5.9002685546875,7.090496520061972,cnn,gan,0.5533067355457679,0.7821937631498515,0.6424804503334967,1.3399594795689176,29.8960122956995,26.703694813984495,cnn,cnn,cnn,cnn,2.4859076336176145,10.977287671278575,cnn,0.0028719999999999996,0.021643999999999997,cnn,0.0005400000000000058,0.004615999999999995,cnn,1.2967727697335616,1.4371473786964792,cnn,cnn,957.4354611822343,1495.057118542422,cnn,471.3270377630293,648.439149960014,cnn,0.9228290696278139,0.43052544565748946,gan,0.4766164514857466,0.5177161419290496,cnn,cnn,1,1,1,1,1,1,1,1,,,,
26,32.65715000253616,31.11826647666898,0.5191432035272462,0.5013575155303449,1.5388835258671847,0.017785687996901278,7.043282985687256,11.28821849822998,35.02599363200026,30.779316467464,-4.244935512542725,4.246677164536258,cnn,gan,0.5389947893007421,0.7427494684230916,0.5939519858414717,1.1714913292608915,30.292971476173058,27.343094077899604,cnn,cnn,cnn,cnn,3.478766788044368,9.323899741740405,cnn,0.0010320000000000051,0.000783999999999993,gan,0.012812000000000004,0.006220000000000003,gan,1.227151812922522,1.274358942124062,cnn,tie,982.453358459747,1314.0680365164321,cnn,511.00649161371325,653.3945994431069,cnn,1.2057423546362682,0.6114454373128934,gan,0.4935715500222092,0.5138514016048136,cnn,cnn,1,1,1,1,1,na,1,1,4.244935512542725,1.0,ssim,0.03
37,32.02805100916796,30.631649306952614,0.6192860867311487,0.5818479003631635,1.3964017022153463,0.03743818636798524,6.489102840423584,9.59257698059082,33.456602216246914,27.16364872656993,-3.1034741401672363,6.292953489676982,cnn,gan,0.45236844450580466,0.6391532612562792,0.521155909842631,1.0308068060497622,29.386740262424816,26.42464415837862,cnn,cnn,cnn,cnn,1.8510491287426234,7.838366416040447,cnn,0.007008,0.023548,cnn,0.0020760000000000015,0.014876,cnn,0.9416100382198559,0.904906313020553,gan,cnn,693.7541604228729,985.3873686911853,cnn,324.00262605241386,434.4685619297473,cnn,1.0164917172558812,0.4216846079419272,gan,0.42879817339946263,0.45526888953830535,cnn,cnn,1,1,1,1,1,1,0,1,,,,
39,34.02502286412913,31.874954417371846,0.654329125629252,0.6094039385598059,2.150068446757281,0.04492518706944615,5.873856067657471,8.546488761901855,25.24426875811477,21.358097631209198,-2.6726326942443848,3.886171126905573,cnn,gan,0.35461866488427995,0.5505593550660998,0.31179816775666297,0.7152948622316058,31.128754901246356,27.5226394327067,cnn,cnn,cnn,cnn,0.7029395728792629,9.327445400858615,cnn,0.005068000000000003,0.007879999999999998,cnn,0.001792000000000002,0.015519999999999992,cnn,0.44874528462303975,0.5756083763405841,cnn,cnn,436.0311527364039,706.6171430367378,cnn,206.13997906542718,307.5871143500582,cnn,0.5849220623481176,0.3381169538494764,gan,0.30596376775457684,0.35504806945011624,cnn,cnn,1,1,1,1,1,1,1,1,,,,
11,31.748350858788758,30.248659281772067,0.485865417911638,0.4423450038723768,1.4996915770166908,0.04352041403926121,5.910721302032471,7.831723690032959,28.68732565326105,24.969867761946066,-1.9210023880004883,3.7174578913149823,cnn,gan,0.4161153477875656,0.5588226743440169,0.3857543172397563,0.6635866545927174,30.10691184960089,27.75104336875027,cnn,cnn,cnn,cnn,1.0860579583487997,2.0570523445916535,cnn,0.011148000000000005,0.005535999999999999,gan,0.009196000000000003,0.006176000000000001,gan,0.9432867217407712,1.0973218616449931,cnn,tie,507.8111337650393,622.9386690756429,cnn,270.27078472056496,344.3242148440382,cnn,0.80191130157697,0.6331178339361175,gan,0.3677900042283905,0.39941387185061805,cnn,cnn,1,1,1,1,1,na,1,1,,,,
13,30.30311362025517,28.50381061763696,0.5119176084848193,0.4660629232215931,1.7993030026182097,0.04585468526322617,6.0738348960876465,7.402252674102783,29.273674668484478,24.323688014436637,-1.3284177780151367,4.949986654047841,cnn,gan,0.4210618914991744,0.5739113030763794,0.37054788470316113,0.7024266411861844,30.328449851092245,27.550883486682295,cnn,cnn,cnn,cnn,1.206586972797588,4.617101821933879,cnn,0.008435999999999999,0.0037840000000000096,gan,0.007156000000000003,0.004572,gan,0.545383353828361,0.6457459253714732,cnn,tie,441.0120585542027,568.9208296263631,cnn,259.1313827539367,341.7775550574463,cnn,1.0259421321154742,0.6905564062046129,gan,0.36418067431277734,0.39845126043163803,cnn,cnn,1,1,1,1,1,na,1,1,,,,
25,32.551973374121204,30.997709699649167,0.5231426682354472,0.4964243047923469,1.5542636744720362,0.0267183634431003,11.371563911437988,10.501462936401367,36.58411526021696,30.123491475362258,0.8701009750366211,6.460623784854704,gan,gan,0.5104961473021569,0.7040029065328514,0.5295119509776418,1.0179197439664969,30.885534377659223,28.047156660678294,cnn,cnn,cnn,cnn,9.41711788089902,8.366034476195011,gan,0.005104000000000011,0.00538000000000001,cnn,0.010960000000000004,0.013188000000000005,cnn,1.044041743591007,1.2318740587055572,cnn,cnn,952.8549385654705,1161.5442663567658,cnn,468.59253760146345,599.7379526420689,cnn,1.175332261792815,0.6665166362718813,gan,0.46351786527523126,0.4804834029442555,cnn,cnn,0,0,0,0,1,0,0,0,0.8701009750366211,0.0,ssim,0.03
