sample_idx,psnr_winner,ssim_winner,pd_winner,mt_winner,direct_error_group_winner,direct_error_cnn_votes,direct_error_gan_votes,direct_error_ties,distributional_group_winner,distributional_cnn_votes,distributional_gan_votes,distributional_ties,tail_group_winner,tail_cnn_votes,tail_gan_votes,tail_ties,configured_physics_group_winner,configured_physics_cnn_votes,configured_physics_gan_votes,configured_physics_ties,delta_ssim_cnn_positive,delta_psnr_cnn_positive,delta_pd_cnn_positive,delta_mt_cnn_positive,pd_gan_strength,mt_cnn_strength,mt_gan_strength,ssim_near_tie_0p05,ssim_near_tie_0p075,group_cnn_consensus_core,group_gan_distributional_cases,group_pd_mt_disagreement,group_candidate_structural_hallucination_signature,group_mt_gan_diagnostic,group_topology_consensus_gan,group_topology_consensus_cnn,group_neartie_topology_validator_disagreement,pd_gan_strength_percentile,mt_cnn_strength_percentile,mt_gan_strength_percentile,distributional_gan_vote_fraction,tail_gan_vote_fraction,candidate_hallucination_score,mt_gan_visual_score
92,CNN,CNN,GAN,GAN,CNN,5,0,0,GAN,0,5,0,GAN,0,3,0,CNN,3,1,0,0.16108176180585054,2.5607986487207164,-5.271622610904746,-0.05791521072387695,5.271622610904746,0.0,0.05791521072387695,False,False,False,True,False,False,True,True,False,False,0.2754491017964072,0.10778443113772455,0.8862275449101796,1.0,1.0,0.3532934131736527,0.9431137724550898
12,CNN,CNN,GAN,GAN,CNN,5,0,0,GAN,1,4,0,GAN,0,3,0,CNN,3,1,0,0.024958441031090572,1.6010085611272444,-5.883909078911028,-0.7026548385620117,5.883909078911028,0.0,0.7026548385620117,True,True,False,True,False,False,True,True,False,True,0.31736526946107785,0.011976047904191617,0.9640718562874252,0.8,1.0,0.2917365269461078,0.9220359281437125
17,CNN,CNN,GAN,GAN,CNN,5,0,0,GAN,1,4,0,GAN,0,3,0,CNN,3,1,0,0.15449413504044823,1.9348870927285446,-3.7822890574889776,-0.44097423553466797,3.7822890574889776,0.0,0.44097423553466797,False,False,False,True,False,False,True,True,False,False,0.10179640718562874,0.023952095808383235,0.9520958083832335,0.8,1.0,0.21029940119760482,0.9160479041916167
65,CNN,CNN,GAN,GAN,CNN,5,0,0,GAN,0,5,0,GAN,1,2,0,CNN,3,1,0,0.16039993041722866,2.6838240149412975,-5.909408229536577,-0.2439899444580078,5.909408229536577,0.0,0.2439899444580078,False,False,False,True,False,False,True,True,False,False,0.33532934131736525,0.0718562874251497,0.9281437125748503,1.0,0.6666666666666666,0.36287425149700603,0.8974051896207584
77,CNN,CNN,GAN,GAN,CNN,5,0,0,GAN,0,5,0,GAN,1,2,0,CNN,3,1,0,0.09052617957345221,2.0063691492519027,-9.591326603057613,-0.13201189041137695,9.591326603057613,0.0,0.13201189041137695,False,False,False,True,False,False,True,True,False,False,0.9221556886227545,0.08383233532934131,0.9041916167664671,1.0,0.6666666666666666,0.6023952095808384,0.8854291417165668
63,CNN,CNN,GAN,GAN,CNN,5,0,0,GAN,0,5,0,GAN,1,2,0,CNN,3,1,0,0.1326115049754243,2.4593260393948313,-10.324832073619756,-0.08297109603881836,10.324832073619756,0.0,0.08297109603881836,False,False,False,True,False,False,True,True,False,False,0.9820359281437125,0.0658682634730539,0.8982035928143712,1.0,0.6666666666666666,0.6191616766467065,0.8824351297405189
62,CNN,CNN,GAN,GAN,CNN,5,0,0,GAN,0,5,0,GAN,1,2,0,CNN,3,1,0,0.12212383402419819,2.3471441996583273,-9.469816568827202,-0.07007265090942383,9.469816568827202,0.0,0.07007265090942383,False,False,False,True,False,False,True,True,False,False,0.9041916167664671,0.059880239520958084,0.8922155688622755,1.0,0.6666666666666666,0.5856287425149701,0.879441117764471
19,CNN,CNN,GAN,GAN,CNN,5,0,0,GAN,1,4,0,GAN,1,2,0,CNN,3,1,0,0.1683609477591107,2.081844652650684,-1.9774057392824496,-1.4850749969482422,1.9774057392824496,0.0,1.4850749969482422,False,False,False,True,False,False,True,True,False,False,0.05389221556886228,0.03592814371257485,1.0,0.8,0.6666666666666666,0.1959281437125749,0.8733333333333333
68,CNN,CNN,GAN,GAN,CNN,5,0,0,GAN,1,4,0,GAN,1,2,0,CNN,3,1,0,0.16480046476809662,2.437167049909192,-6.270411491765506,-0.403470516204834,6.270411491765506,0.0,0.403470516204834,False,False,False,True,False,False,True,True,False,False,0.40718562874251496,0.07784431137724551,0.9461077844311377,0.8,0.6666666666666666,0.35401197604790424,0.8463872255489022
82,CNN,CNN,GAN,GAN,CNN,5,0,0,GAN,1,4,0,CNN,2,1,0,CNN,3,1,0,0.09044679747048123,2.2217469986906337,-8.084550648979377,-0.8804688453674316,8.084550648979377,0.0,0.8804688453674316,False,False,False,True,False,False,True,True,False,False,0.7485029940119761,0.10179640718562874,0.9880239520958084,0.8,0.3333333333333333,0.5001197604790419,0.8006786427145709
