sample_idx,psnr_winner,ssim_winner,pd_winner,mt_winner,direct_error_group_winner,direct_error_cnn_votes,direct_error_gan_votes,direct_error_ties,distributional_group_winner,distributional_cnn_votes,distributional_gan_votes,distributional_ties,tail_group_winner,tail_cnn_votes,tail_gan_votes,tail_ties,configured_physics_group_winner,configured_physics_cnn_votes,configured_physics_gan_votes,configured_physics_ties,delta_ssim_cnn_positive,delta_psnr_cnn_positive,delta_pd_cnn_positive,delta_mt_cnn_positive,pd_gan_strength,mt_cnn_strength,mt_gan_strength,ssim_near_tie_0p05,ssim_near_tie_0p075,group_cnn_consensus_core,group_gan_distributional_cases,group_pd_mt_disagreement,group_candidate_structural_hallucination_signature,group_mt_gan_diagnostic,group_topology_consensus_gan,group_topology_consensus_cnn,group_neartie_topology_validator_disagreement,pd_gan_strength_percentile,mt_cnn_strength_percentile,mt_gan_strength_percentile,distributional_gan_vote_fraction,tail_gan_vote_fraction,candidate_hallucination_score,mt_gan_visual_score
0,CNN,CNN,GAN,CNN,CNN,5,0,0,CNN,4,1,0,CNN,3,0,0,CNN,4,0,0,0.08788798620533089,0.8797640876482191,-1.84396352412017,4.696573257446289,1.84396352412017,4.696573257446289,0.0,False,False,True,False,True,True,False,False,False,False,0.041916167664670656,0.8502994011976048,0.0,0.2,0.0,0.3968862275449102,0.06
1,CNN,CNN,GAN,CNN,CNN,5,0,0,CNN,4,1,0,CNN,3,0,0,CNN,4,0,0,0.09409544758709187,0.9598106740758396,-2.223774349776093,7.300331115722656,2.223774349776093,7.300331115722656,0.0,False,False,True,False,True,True,False,False,False,False,0.059880239520958084,0.9461077844311377,0.005988023952095809,0.2,0.0,0.44239520958083833,0.0629940119760479
2,CNN,CNN,GAN,CNN,CNN,5,0,0,CNN,4,1,0,CNN,3,0,0,CNN,4,0,0,0.06442190906153866,0.928963211104346,-2.242198478061649,3.448397159576416,2.242198478061649,3.448397159576416,0.0,False,True,True,False,True,True,False,False,False,False,0.0658682634730539,0.7544910179640718,0.011976047904191617,0.2,0.0,0.36814371257485035,0.06598802395209581
3,CNN,CNN,GAN,CNN,CNN,5,0,0,CNN,4,1,0,CNN,3,0,0,CNN,4,0,0,0.06989645644371223,0.9761671486968346,-1.4806979857800258,4.959354877471924,1.4806979857800258,4.959354877471924,0.0,False,True,True,False,True,True,False,False,False,False,0.023952095808383235,0.8622754491017964,0.017964071856287425,0.2,0.0,0.3944910179640718,0.06898203592814371
4,CNN,CNN,GAN,CNN,CNN,5,0,0,CNN,4,1,0,CNN,3,0,0,CNN,4,0,0,0.08002109644090227,0.9946436471339481,-1.900219978291588,3.17252254486084,1.900219978291588,3.17252254486084,0.0,False,False,True,False,True,True,False,False,False,False,0.04790419161676647,0.7305389221556886,0.023952095808383235,0.2,0.0,0.3513772455089821,0.07197604790419161
5,CNN,CNN,GAN,CNN,CNN,5,0,0,CNN,4,1,0,CNN,3,0,0,CNN,4,0,0,0.07971802263857564,0.7617305514067318,-4.515014821826373,0.7779016494750977,4.515014821826373,0.7779016494750977,0.0,False,False,True,False,True,True,False,False,False,False,0.16766467065868262,0.2694610778443114,0.029940119760479042,0.2,0.0,0.21485029940119763,0.07497005988023953
6,CNN,CNN,GAN,GAN,CNN,5,0,0,CNN,4,1,0,CNN,3,0,0,CNN,4,0,0,0.09526586383242708,1.0711951372530493,-4.0238919902617525,-0.13336706161499023,4.0238919902617525,0.0,0.13336706161499023,False,False,False,False,False,False,True,True,False,False,0.1377245508982036,0.0,0.9101796407185628,0.2,0.0,0.09508982035928146,0.5150898203592814
7,CNN,CNN,GAN,CNN,CNN,5,0,0,CNN,4,1,0,CNN,3,0,0,CNN,4,0,0,0.09851242796992554,1.1254579528723383,-6.715905208801953,1.441418170928955,6.715905208801953,1.441418170928955,0.0,False,False,True,False,True,True,False,False,False,False,0.49700598802395207,0.41916167664670656,0.03592814371257485,0.2,0.0,0.40646706586826353,0.07796407185628743
8,CNN,CNN,GAN,GAN,CNN,5,0,0,CNN,3,2,0,GAN,1,2,0,CNN,4,0,0,0.06015236343286523,0.9552527683503129,-6.35296897375575,-1.4545478820800781,6.35296897375575,0.0,1.4545478820800781,False,True,False,False,False,False,True,True,False,True,0.41916167664670656,0.005988023952095809,0.9940119760479041,0.4,0.6666666666666666,0.25005988023952097,0.7503393213572853
9,CNN,CNN,GAN,CNN,CNN,5,0,0,GAN,2,3,0,GAN,1,2,0,CNN,3,1,0,0.05113279559871359,1.10548923653608,-5.174419222321482,0.5232677459716797,5.174419222321482,0.5232677459716797,0.0,False,True,True,True,True,True,False,False,False,False,0.2634730538922156,0.2155688622754491,0.041916167664670656,0.6,0.6666666666666666,0.3116167664670659,0.3342914171656687
10,CNN,CNN,GAN,CNN,CNN,5,0,0,GAN,1,4,0,GAN,0,3,0,CNN,3,1,0,0.045120022119861325,1.2863590599120478,-4.986953818566491,0.7892866134643555,4.986953818566491,0.7892866134643555,0.0,True,True,True,True,True,True,False,False,False,False,0.2215568862275449,0.2754491017964072,0.04790419161676647,0.8,1.0,0.3588023952095809,0.46395209580838326
11,CNN,CNN,GAN,CNN,CNN,5,0,0,GAN,1,4,0,GAN,0,3,0,CNN,3,1,0,0.04352041403926121,1.4996915770166908,-3.7174578913149823,1.9210023880004883,3.7174578913149823,1.9210023880004883,0.0,True,True,True,True,True,True,False,False,False,False,0.09580838323353294,0.5029940119760479,0.05389221556886228,0.8,1.0,0.39952095808383237,0.46694610778443113
12,CNN,CNN,GAN,GAN,CNN,5,0,0,GAN,1,4,0,GAN,0,3,0,CNN,3,1,0,0.024958441031090572,1.6010085611272444,-5.883909078911028,-0.7026548385620117,5.883909078911028,0.0,0.7026548385620117,True,True,False,True,False,False,True,True,False,True,0.31736526946107785,0.011976047904191617,0.9640718562874252,0.8,1.0,0.2917365269461078,0.9220359281437125
13,CNN,CNN,GAN,CNN,CNN,5,0,0,GAN,1,4,0,GAN,0,3,0,CNN,3,1,0,0.04585468526322617,1.7993030026182097,-4.949986654047841,1.3284177780151367,4.949986654047841,1.3284177780151367,0.0,True,True,True,True,True,True,False,False,False,False,0.2155688622754491,0.38323353293413176,0.059880239520958084,0.8,1.0,0.39952095808383237,0.46994011976047906
14,CNN,CNN,GAN,CNN,CNN,5,0,0,GAN,1,4,0,GAN,0,3,0,CNN,3,1,0,0.048359935282972555,1.8639364721383274,-6.6186547936222055,0.4289054870605469,6.6186547936222055,0.4289054870605469,0.0,True,True,True,True,True,True,False,False,False,False,0.47305389221556887,0.19760479041916168,0.0658682634730539,0.8,1.0,0.42826347305389223,0.47293413173652693
15,CNN,CNN,GAN,CNN,CNN,5,0,0,GAN,1,4,0,GAN,0,3,0,CNN,3,1,0,0.09192105451153582,1.8665661241287133,-7.1743463043269,0.769874095916748,7.1743463043269,0.769874095916748,0.0,False,False,True,True,True,True,False,False,False,False,0.5748502994011976,0.25748502994011974,0.0718562874251497,0.8,1.0,0.492934131736527,0.47592814371257486
16,CNN,CNN,GAN,GAN,CNN,5,0,0,GAN,2,3,0,GAN,1,2,0,CNN,3,1,0,0.11067687600382492,1.798462750063429,-6.43147564886435,-0.2089829444885254,6.43147564886435,0.0,0.2089829444885254,False,False,False,True,False,False,True,True,False,False,0.4311377245508982,0.017964071856287425,0.9221556886227545,0.6,0.6666666666666666,0.2996407185628742,0.7744111776447106
17,CNN,CNN,GAN,GAN,CNN,5,0,0,GAN,1,4,0,GAN,0,3,0,CNN,3,1,0,0.15449413504044823,1.9348870927285446,-3.7822890574889776,-0.44097423553466797,3.7822890574889776,0.0,0.44097423553466797,False,False,False,True,False,False,True,True,False,False,0.10179640718562874,0.023952095808383235,0.9520958083832335,0.8,1.0,0.21029940119760482,0.9160479041916167
18,CNN,CNN,GAN,GAN,CNN,5,0,0,GAN,2,3,0,GAN,1,2,0,CNN,3,1,0,0.17047726392317625,1.8680238199197774,-1.7846641580542837,-0.7042150497436523,1.7846641580542837,0.0,0.7042150497436523,False,False,False,True,False,False,True,True,False,False,0.029940119760479042,0.029940119760479042,0.9700598802395209,0.6,0.6666666666666666,0.14395209580838322,0.7983632734530938
19,CNN,CNN,GAN,GAN,CNN,5,0,0,GAN,1,4,0,GAN,1,2,0,CNN,3,1,0,0.1683609477591107,2.081844652650684,-1.9774057392824496,-1.4850749969482422,1.9774057392824496,0.0,1.4850749969482422,False,False,False,True,False,False,True,True,False,False,0.05389221556886228,0.03592814371257485,1.0,0.8,0.6666666666666666,0.1959281437125749,0.8733333333333333
20,CNN,CNN,GAN,GAN,CNN,5,0,0,GAN,2,3,0,CNN,2,1,0,CNN,3,1,0,0.17728323055323952,1.8760320847404017,-3.7129210916888518,-0.5649247169494629,3.7129210916888518,0.0,0.5649247169494629,False,False,False,True,False,False,True,True,False,False,0.08982035928143713,0.041916167664670656,0.9580838323353293,0.6,0.3333333333333333,0.17269461077844311,0.7257085828343313
21,CNN,CNN,GAN,CNN,CNN,5,0,0,GAN,2,3,0,GAN,1,2,0,CNN,3,1,0,0.1305937115647096,1.8217144573182296,-5.568341285858754,2.6894378662109375,5.568341285858754,2.6894378662109375,0.0,False,False,True,True,True,True,False,False,False,False,0.30538922155688625,0.6766467065868264,0.07784431137724551,0.6,0.6666666666666666,0.5128143712574851,0.3522554890219561
22,CNN,CNN,GAN,CNN,CNN,5,0,0,GAN,1,4,0,CNN,2,1,0,CNN,3,1,0,0.07218253794301349,1.733172598314468,-5.89238054059355,0.2651815414428711,5.89238054059355,0.2651815414428711,0.0,False,True,True,True,True,True,False,False,False,False,0.32335329341317365,0.16766467065868262,0.08383233532934131,0.8,0.3333333333333333,0.3564071856287425,0.3485828343313373
23,CNN,CNN,GAN,CNN,CNN,5,0,0,GAN,1,4,0,GAN,1,2,0,CNN,3,1,0,0.05386804786564575,1.771013094299576,-5.332379081429529,1.5902013778686523,5.332379081429529,1.5902013778686523,0.0,False,True,True,True,True,True,False,False,False,False,0.281437125748503,0.4491017964071856,0.08982035928143713,0.8,0.6666666666666666,0.4522155688622755,0.41824351297405193
24,CNN,CNN,GAN,CNN,CNN,5,0,0,GAN,0,5,0,GAN,1,2,0,CNN,3,1,0,0.0531507651592914,1.648541918516088,-6.104082332594537,4.848442554473877,6.104082332594537,4.848442554473877,0.0,False,True,True,True,True,True,False,False,False,False,0.3712574850299401,0.8562874251497006,0.09580838323353294,1.0,0.6666666666666666,0.6910179640718563,0.48123752495009975
25,CNN,CNN,GAN,GAN,CNN,5,0,0,GAN,1,4,0,CNN,2,1,0,CNN,3,1,0,0.0267183634431003,1.5542636744720362,-6.460623784854704,-0.8701009750366211,6.460623784854704,0.0,0.8701009750366211,True,True,False,True,False,False,True,True,False,True,0.4491017964071856,0.04790419161676647,0.9820359281437125,0.8,0.3333333333333333,0.3588023952095809,0.7976846307385229
26,CNN,CNN,GAN,CNN,CNN,5,0,0,GAN,1,4,0,GAN,0,3,0,CNN,3,1,0,0.017785687996901278,1.5388835258671847,-4.246677164536258,4.244935512542725,4.246677164536258,4.244935512542725,0.0,True,True,True,True,True,True,False,False,False,False,0.1437125748502994,0.8263473053892215,0.10179640718562874,0.8,1.0,0.5480239520958085,0.4908982035928144
27,CNN,CNN,GAN,CNN,CNN,5,0,0,GAN,0,5,0,GAN,1,2,0,CNN,3,1,0,0.029645301885254605,1.4307732421870831,-5.951590783761549,13.490119457244873,5.951590783761549,13.490119457244873,0.0,True,True,True,True,True,True,False,False,False,False,0.3473053892215569,1.0,0.10778443113772455,1.0,0.6666666666666666,0.7389221556886227,0.4872255489021956
28,CNN,CNN,GAN,CNN,CNN,5,0,0,GAN,0,5,0,GAN,1,2,0,CNN,3,1,0,0.05224633325951533,1.5748895800670546,-7.5824311295112174,7.736997127532959,7.5824311295112174,7.736997127532959,0.0,False,True,True,True,True,True,False,False,False,False,0.6107784431137725,0.9520958083832335,0.11377245508982035,1.0,0.6666666666666666,0.8251497005988024,0.4902195608782435
29,CNN,CNN,GAN,CNN,CNN,5,0,0,GAN,2,3,0,CNN,3,0,0,CNN,3,1,0,0.0464149132790177,1.802224807501375,-7.090496520061972,5.9002685546875,7.090496520061972,5.9002685546875,0.0,True,True,True,True,True,True,False,False,False,False,0.5568862275449101,0.9101796407185628,0.11976047904191617,0.6,0.0,0.7068263473053892,0.23988023952095808
30,CNN,CNN,GAN,CNN,CNN,5,0,0,GAN,2,3,0,CNN,3,0,0,CNN,3,1,0,0.04764500751119949,1.81973192479024,-9.11769536279277,6.719937324523926,9.11769536279277,6.719937324523926,0.0,True,True,True,True,True,True,False,False,False,False,0.874251497005988,0.9401197604790419,0.12574850299401197,0.6,0.0,0.845748502994012,0.24287425149700598
31,CNN,CNN,GAN,CNN,CNN,5,0,0,GAN,2,3,0,CNN,3,0,0,CNN,3,1,0,0.03308011549439582,1.6490307437688756,-7.798958550091694,9.415461540222168,7.798958550091694,9.415461540222168,0.0,True,True,True,True,True,True,False,False,False,False,0.6586826347305389,0.9760479041916168,0.1317365269461078,0.6,0.0,0.7738922155688623,0.2458682634730539
32,CNN,CNN,GAN,CNN,CNN,5,0,0,GAN,2,3,0,CNN,3,0,0,CNN,3,1,0,0.04734223970314855,1.6957911410612994,-8.012099789376382,11.7681245803833,8.012099789376382,11.7681245803833,0.0,True,True,True,True,True,True,False,False,False,False,0.7125748502994012,0.9820359281437125,0.1377245508982036,0.6,0.0,0.7978443113772454,0.24886227544910178
33,CNN,CNN,GAN,CNN,CNN,5,0,0,CNN,3,2,0,CNN,3,0,0,CNN,3,1,0,0.05191055661336752,1.8029776369447212,-7.992919330775159,13.23584794998169,7.992919330775159,13.23584794998169,0.0,False,True,True,False,True,True,False,False,False,False,0.7005988023952096,0.9940119760479041,0.1437125748502994,0.4,0.0,0.7578443113772455,0.1918562874251497
34,CNN,CNN,GAN,CNN,CNN,5,0,0,CNN,3,2,0,CNN,3,0,0,CNN,3,1,0,0.05564578953597643,1.7014722416795145,-8.448868502929422,13.12288522720337,8.448868502929422,13.12288522720337,0.0,False,True,True,False,True,True,False,False,False,False,0.8023952095808383,0.9880239520958084,0.1497005988023952,0.4,0.0,0.7961676646706588,0.19485029940119758
35,CNN,CNN,GAN,CNN,CNN,5,0,0,CNN,3,2,0,CNN,3,0,0,CNN,3,1,0,0.04804291747568723,1.4092638682615437,-7.205796432989075,8.16400957107544,7.205796432989075,8.16400957107544,0.0,True,True,True,False,True,True,False,False,False,False,0.5808383233532934,0.9640718562874252,0.15568862275449102,0.4,0.0,0.6979640718562876,0.1978443113772455
36,CNN,CNN,GAN,CNN,CNN,5,0,0,CNN,3,2,0,CNN,3,0,0,CNN,3,1,0,0.05251047448299562,1.4334327230339987,-7.875280567716636,3.1715517044067383,7.875280567716636,3.1715517044067383,0.0,False,True,True,False,True,True,False,False,False,False,0.6706586826347305,0.7245508982035929,0.16167664670658682,0.4,0.0,0.6380838323353295,0.2008383233532934
37,CNN,CNN,GAN,CNN,CNN,5,0,0,CNN,3,2,0,CNN,3,0,0,CNN,3,1,0,0.03743818636798524,1.3964017022153463,-6.292953489676982,3.1034741401672363,6.292953489676982,3.1034741401672363,0.0,True,True,True,False,True,True,False,False,False,False,0.41317365269461076,0.718562874251497,0.16766467065868262,0.4,0.0,0.5326946107784432,0.2038323353293413
38,CNN,CNN,GAN,CNN,CNN,5,0,0,CNN,3,2,0,CNN,3,0,0,CNN,3,1,0,0.05656397510840294,1.6570457034885102,-5.379562854617582,1.3623995780944824,5.379562854617582,1.3623995780944824,0.0,False,True,True,False,True,True,False,False,False,False,0.2874251497005988,0.40119760479041916,0.17365269461077845,0.4,0.0,0.3554491017964072,0.20682634730538924
39,CNN,CNN,GAN,CNN,CNN,5,0,0,GAN,2,3,0,CNN,3,0,0,CNN,3,1,0,0.04492518706944615,2.150068446757281,-3.886171126905573,2.6726326942443848,3.886171126905573,2.6726326942443848,0.0,True,True,True,True,True,True,False,False,False,False,0.12574850299401197,0.6706586826347305,0.17964071856287425,0.6,0.0,0.438562874251497,0.2698203592814371
40,CNN,CNN,GAN,CNN,CNN,5,0,0,GAN,2,3,0,CNN,3,0,0,CNN,3,1,0,0.0908271192528387,2.5177067842436003,-3.8342045414024355,3.35744047164917,3.8342045414024355,3.35744047164917,0.0,False,False,True,True,True,True,False,False,False,False,0.11377245508982035,0.7425149700598802,0.18562874251497005,0.6,0.0,0.46251497005988024,0.27281437125748503
41,CNN,CNN,GAN,CNN,CNN,5,0,0,GAN,2,3,0,CNN,3,0,0,CNN,3,1,0,0.0959139795455678,2.5674400468628846,-6.004470865065727,3.5117835998535156,6.004470865065727,3.5117835998535156,0.0,False,False,True,True,True,True,False,False,False,False,0.3532934131736527,0.7604790419161677,0.19161676646706588,0.6,0.0,0.5655089820359283,0.27580838323353296
42,CNN,CNN,GAN,CNN,CNN,5,0,0,GAN,2,3,0,CNN,3,0,0,CNN,3,1,0,0.12652669973464403,2.7967658265811295,-6.997562038872003,1.6252508163452148,6.997562038872003,1.6252508163452148,0.0,False,False,True,True,True,True,False,False,False,False,0.5389221556886228,0.46107784431137727,0.19760479041916168,0.6,0.0,0.52,0.27880239520958083
43,CNN,CNN,GAN,CNN,CNN,5,0,0,GAN,2,3,0,CNN,3,0,0,CNN,3,1,0,0.15034878856407602,3.0144663065062147,-6.984029617323921,1.2848858833312988,6.984029617323921,1.2848858833312988,0.0,False,False,True,True,True,True,False,False,False,False,0.5329341317365269,0.3652694610778443,0.20359281437125748,0.6,0.0,0.4792814371257485,0.2817964071856287
44,CNN,CNN,GAN,CNN,CNN,5,0,0,GAN,2,3,0,CNN,3,0,0,CNN,3,1,0,0.17851819213788267,2.753980068240061,-5.925737386288752,0.8350815773010254,5.925737386288752,0.8350815773010254,0.0,False,False,True,True,True,True,False,False,False,False,0.3413173652694611,0.281437125748503,0.20958083832335328,0.6,0.0,0.36910179640718566,0.28479041916167663
45,CNN,CNN,GAN,CNN,CNN,5,0,0,GAN,2,3,0,CNN,3,0,0,CNN,3,1,0,0.19206344416956095,2.424514823398095,-6.918646754031586,0.2069711685180664,6.918646754031586,0.2069711685180664,0.0,False,False,True,True,True,True,False,False,False,False,0.5209580838323353,0.1437125748502994,0.2155688622754491,0.6,0.0,0.3858682634730539,0.28778443113772456
46,CNN,CNN,GAN,CNN,CNN,5,0,0,GAN,2,3,0,CNN,3,0,0,CNN,3,1,0,0.1756583031682329,2.282483429034915,-4.406039689451099,0.4070606231689453,4.406039689451099,0.4070606231689453,0.0,False,False,True,True,True,True,False,False,False,False,0.15568862275449102,0.19161676646706588,0.2215568862275449,0.6,0.0,0.25892215568862276,0.29077844311377243
47,CNN,CNN,GAN,CNN,CNN,5,0,0,GAN,2,3,0,CNN,3,0,0,CNN,3,1,0,0.18379564593875647,2.3194659175833614,-9.092857960913102,0.7085165977478027,9.092857960913102,0.7085165977478027,0.0,False,False,True,True,True,True,False,False,False,False,0.8682634730538922,0.23952095808383234,0.2275449101796407,0.6,0.0,0.5631137724550899,0.29377245508982036
48,CNN,CNN,GAN,GAN,CNN,5,0,0,GAN,2,3,0,CNN,3,0,0,CNN,3,1,0,0.16385054112081993,2.2814957557212594,-9.72546950270006,-0.3985104560852051,9.72546950270006,0.0,0.3985104560852051,False,False,False,True,False,False,True,True,False,False,0.9341317365269461,0.05389221556886228,0.9401197604790419,0.6,0.0,0.5152095808383235,0.650059880239521
49,CNN,CNN,GAN,CNN,CNN,5,0,0,GAN,2,3,0,CNN,3,0,0,CNN,3,1,0,0.16409091759339905,2.340697355275882,-8.443118863706923,1.5694875717163086,8.443118863706923,1.5694875717163086,0.0,False,False,True,True,True,True,False,False,False,False,0.7964071856287425,0.4431137724550898,0.23353293413173654,0.6,0.0,0.6158083832335329,0.2967664670658683
50,CNN,CNN,GAN,CNN,CNN,5,0,0,GAN,2,3,0,CNN,3,0,0,CNN,3,1,0,0.16412879820120468,2.4829045502076212,-6.443326104934021,0.3277096748352051,6.443326104934021,0.3277096748352051,0.0,False,False,True,True,True,True,False,False,False,False,0.437125748502994,0.17964071856287425,0.23952095808383234,0.6,0.0,0.3667065868263473,0.29976047904191616
51,CNN,CNN,GAN,CNN,CNN,5,0,0,GAN,2,3,0,CNN,3,0,0,CNN,3,1,0,0.1447297509357181,2.414202352531234,-5.721627117117851,2.0941648483276367,5.721627117117851,2.0941648483276367,0.0,False,False,True,True,True,True,False,False,False,False,0.31137724550898205,0.5209580838323353,0.24550898203592814,0.6,0.0,0.45293413173652697,0.30275449101796403
52,CNN,CNN,GAN,CNN,CNN,5,0,0,GAN,2,3,0,CNN,3,0,0,CNN,3,1,0,0.15238527258827256,2.643264219839864,-4.82901517143803,1.3137683868408203,4.82901517143803,1.3137683868408203,0.0,False,False,True,True,True,True,False,False,False,False,0.20359281437125748,0.3772455089820359,0.25149700598802394,0.6,0.0,0.35233532934131734,0.30574850299401196
53,CNN,CNN,GAN,CNN,CNN,5,0,0,GAN,2,3,0,CNN,3,0,0,CNN,3,1,0,0.18559375867418482,2.578629877462326,-3.846379184150063,2.6572957038879395,3.846379184150063,2.6572957038879395,0.0,False,False,True,True,True,True,False,False,False,False,0.11976047904191617,0.6646706586826348,0.25748502994011974,0.6,0.0,0.4337724550898204,0.3087425149700599
54,CNN,CNN,GAN,CNN,CNN,5,0,0,GAN,1,4,0,CNN,2,1,0,CNN,3,1,0,0.14127698094472035,2.4736481097414362,-4.673824925351717,4.081710338592529,4.673824925351717,4.081710338592529,0.0,False,False,True,True,True,True,False,False,False,False,0.19161676646706588,0.7964071856287425,0.2634730538922156,0.8,0.3333333333333333,0.5552095808383234,0.43840319361277447
55,CNN,CNN,GAN,CNN,CNN,5,0,0,GAN,2,3,0,CNN,3,0,0,CNN,3,1,0,0.14675238184273837,2.5443556584457987,-6.147211496559969,2.5782084465026855,6.147211496559969,2.5782084465026855,0.0,False,False,True,True,True,True,False,False,False,False,0.38323353293413176,0.6227544910179641,0.2694610778443114,0.6,0.0,0.5223952095808384,0.3147305389221557
56,CNN,CNN,GAN,CNN,CNN,5,0,0,GAN,2,3,0,CNN,3,0,0,CNN,3,1,0,0.13874262675541366,2.518582148024997,-6.665396058507866,2.3386168479919434,6.665396058507866,2.3386168479919434,0.0,False,False,True,True,True,True,False,False,False,False,0.49101796407185627,0.5868263473053892,0.2754491017964072,0.6,0.0,0.5511377245508982,0.3177245508982036
57,CNN,CNN,GAN,CNN,CNN,5,0,0,GAN,2,3,0,CNN,3,0,0,CNN,3,1,0,0.1406458771328502,2.403791496344759,-6.582855791990649,1.3418521881103516,6.582855791990649,1.3418521881103516,0.0,False,False,True,True,True,True,False,False,False,False,0.46107784431137727,0.38922155688622756,0.281437125748503,0.6,0.0,0.4601197604790419,0.3207185628742515
58,CNN,CNN,GAN,CNN,CNN,5,0,0,GAN,2,3,0,CNN,3,0,0,CNN,3,1,0,0.13650524090030852,2.404318167603659,-6.798314331975675,2.2602524757385254,6.798314331975675,2.2602524757385254,0.0,False,False,True,True,True,True,False,False,False,False,0.5029940119760479,0.5688622754491018,0.2874251497005988,0.6,0.0,0.5487425149700599,0.32371257485029936
59,CNN,CNN,GAN,CNN,CNN,5,0,0,GAN,1,4,0,CNN,2,1,0,CNN,3,1,0,0.12007655987699517,2.2849636207034614,-7.213367570166167,2.344633102416992,7.213367570166167,2.344633102416992,0.0,False,False,True,True,True,True,False,False,False,False,0.5868263473053892,0.592814371257485,0.2934131736526946,0.8,0.3333333333333333,0.6318562874251498,0.45337325349301394
60,CNN,CNN,GAN,CNN,CNN,5,0,0,GAN,1,4,0,CNN,2,1,0,CNN,3,1,0,0.10185965073828368,2.433705871259434,-7.359820306904695,3.0356502532958984,7.359820306904695,3.0356502532958984,0.0,False,False,True,True,True,True,False,False,False,False,0.6047904191616766,0.6946107784431138,0.2994011976047904,0.8,0.3333333333333333,0.6797604790419162,0.4563672654690618
61,CNN,CNN,GAN,CNN,CNN,5,0,0,GAN,1,4,0,CNN,2,1,0,CNN,3,1,0,0.09660811455706331,2.4739225466764694,-6.214968807870456,2.780329704284668,6.214968807870456,2.780329704284668,0.0,False,False,True,True,True,True,False,False,False,False,0.38922155688622756,0.688622754491018,0.30538922155688625,0.8,0.3333333333333333,0.5911377245508982,0.4593612774451098
62,CNN,CNN,GAN,GAN,CNN,5,0,0,GAN,0,5,0,GAN,1,2,0,CNN,3,1,0,0.12212383402419819,2.3471441996583273,-9.469816568827202,-0.07007265090942383,9.469816568827202,0.0,0.07007265090942383,False,False,False,True,False,False,True,True,False,False,0.9041916167664671,0.059880239520958084,0.8922155688622755,1.0,0.6666666666666666,0.5856287425149701,0.879441117764471
63,CNN,CNN,GAN,GAN,CNN,5,0,0,GAN,0,5,0,GAN,1,2,0,CNN,3,1,0,0.1326115049754243,2.4593260393948313,-10.324832073619756,-0.08297109603881836,10.324832073619756,0.0,0.08297109603881836,False,False,False,True,False,False,True,True,False,False,0.9820359281437125,0.0658682634730539,0.8982035928143712,1.0,0.6666666666666666,0.6191616766467065,0.8824351297405189
64,CNN,CNN,GAN,CNN,CNN,5,0,0,GAN,0,5,0,GAN,1,2,0,CNN,3,1,0,0.15095592854441908,2.579374470563298,-8.009027369164066,1.1932158470153809,8.009027369164066,1.1932158470153809,0.0,False,False,True,True,True,True,False,False,False,False,0.7065868263473054,0.33532934131736525,0.31137724550898205,1.0,0.6666666666666666,0.6167664670658684,0.5890219560878244
65,CNN,CNN,GAN,GAN,CNN,5,0,0,GAN,0,5,0,GAN,1,2,0,CNN,3,1,0,0.16039993041722866,2.6838240149412975,-5.909408229536577,-0.2439899444580078,5.909408229536577,0.0,0.2439899444580078,False,False,False,True,False,False,True,True,False,False,0.33532934131736525,0.0718562874251497,0.9281437125748503,1.0,0.6666666666666666,0.36287425149700603,0.8974051896207584
66,CNN,CNN,GAN,CNN,CNN,5,0,0,GAN,0,5,0,GAN,1,2,0,CNN,3,1,0,0.17420505893100946,2.8245313225385154,-5.0025153963535995,0.7067909240722656,5.0025153963535995,0.7067909240722656,0.0,False,False,True,True,True,True,False,False,False,False,0.2275449101796407,0.23353293413173654,0.31736526946107785,1.0,0.6666666666666666,0.38443113772455095,0.5920159680638722
67,CNN,CNN,GAN,CNN,CNN,5,0,0,GAN,0,5,0,GAN,1,2,0,CNN,3,1,0,0.17505702999513362,2.7861289206532405,-5.906224879848846,1.6130833625793457,5.906224879848846,1.6130833625793457,0.0,False,False,True,True,True,True,False,False,False,False,0.32934131736526945,0.4550898203592814,0.32335329341317365,1.0,0.6666666666666666,0.5137724550898204,0.5950099800399201
68,CNN,CNN,GAN,GAN,CNN,5,0,0,GAN,1,4,0,GAN,1,2,0,CNN,3,1,0,0.16480046476809662,2.437167049909192,-6.270411491765506,-0.403470516204834,6.270411491765506,0.0,0.403470516204834,False,False,False,True,False,False,True,True,False,False,0.40718562874251496,0.07784431137724551,0.9461077844311377,0.8,0.6666666666666666,0.35401197604790424,0.8463872255489022
69,CNN,CNN,GAN,CNN,CNN,5,0,0,GAN,1,4,0,CNN,2,1,0,CNN,3,1,0,0.1624073898716215,2.3878816462052797,-8.055833318467656,1.236095905303955,8.055833318467656,1.236095905303955,0.0,False,False,True,True,True,True,False,False,False,False,0.7425149700598802,0.3532934131736527,0.32934131736526945,0.8,0.3333333333333333,0.5983233532934132,0.4713373253493014
70,CNN,CNN,GAN,CNN,CNN,5,0,0,GAN,2,3,0,CNN,2,1,0,CNN,3,1,0,0.17377647867438145,2.322315902915726,-4.791417175348343,0.46565675735473633,4.791417175348343,0.46565675735473633,0.0,False,False,True,True,True,True,False,False,False,False,0.19760479041916168,0.20359281437125748,0.33532934131736525,0.6,0.3333333333333333,0.2804790419161677,0.41433133732534927
