sample_idx,psnr_winner,ssim_winner,pd_winner,mt_winner,direct_error_group_winner,direct_error_cnn_votes,direct_error_gan_votes,direct_error_ties,distributional_group_winner,distributional_cnn_votes,distributional_gan_votes,distributional_ties,tail_group_winner,tail_cnn_votes,tail_gan_votes,tail_ties,configured_physics_group_winner,configured_physics_cnn_votes,configured_physics_gan_votes,configured_physics_ties,delta_ssim_cnn_positive,delta_psnr_cnn_positive,delta_pd_cnn_positive,delta_mt_cnn_positive,pd_gan_strength,mt_cnn_strength,mt_gan_strength,ssim_near_tie_0p05,ssim_near_tie_0p075,group_cnn_consensus_core,group_gan_distributional_cases,group_pd_mt_disagreement,group_candidate_structural_hallucination_signature,group_mt_gan_diagnostic,group_topology_consensus_gan,group_topology_consensus_cnn,group_neartie_topology_validator_disagreement,pd_gan_strength_percentile,mt_cnn_strength_percentile,mt_gan_strength_percentile,distributional_gan_vote_fraction,tail_gan_vote_fraction,candidate_hallucination_score,mt_gan_visual_score,recommendation_group,recommendation_rank_within_group,reason
86,CNN,CNN,GAN,CNN,CNN,5,0,0,GAN,0,5,0,GAN,1,2,0,CNN,3,1,0,0.0915392681730045,2.3286949813678035,-10.349296367060862,4.18082332611084,10.349296367060862,4.18082332611084,0.0,False,False,True,True,True,True,False,False,False,False,0.9940119760479041,0.8143712574850299,0.40718562874251496,1.0,0.6666666666666666,0.9233532934131736,0.6369261477045908,candidate_structural_hallucination_signature,1,PD favors GAN while MT favors CNN; inspect whether GAN has plausible but spatially/hierarchically misaligned structures.
135,CNN,CNN,GAN,CNN,CNN,5,0,0,GAN,1,4,0,GAN,1,2,0,CNN,3,1,0,0.09205202282596825,2.251684837638834,-9.44148604242849,5.694131374359131,9.44148604242849,5.694131374359131,0.0,False,False,True,True,True,True,False,False,False,False,0.8982035928143712,0.8802395209580839,0.6946107784431138,0.8,0.6666666666666666,0.8713772455089821,0.7206387225548903,candidate_structural_hallucination_signature,2,PD favors GAN while MT favors CNN; inspect whether GAN has plausible but spatially/hierarchically misaligned structures.
140,CNN,CNN,GAN,CNN,CNN,5,0,0,GAN,1,4,0,CNN,2,1,0,CNN,3,1,0,0.10331821313228151,2.2800949818658225,-9.296397381089918,5.7023210525512695,9.296397381089918,5.7023210525512695,0.0,False,False,True,True,True,True,False,False,False,False,0.8802395209580839,0.8862275449101796,0.7245508982035929,0.8,0.3333333333333333,0.8665868263473054,0.6689421157684631,candidate_structural_hallucination_signature,3,PD favors GAN while MT favors CNN; inspect whether GAN has plausible but spatially/hierarchically misaligned structures.
134,CNN,CNN,GAN,CNN,CNN,5,0,0,GAN,2,3,0,CNN,2,1,0,CNN,3,1,0,0.08387814784783032,2.096018304414809,-9.478339292481586,6.135213851928711,9.478339292481586,6.135213851928711,0.0,False,False,True,True,True,True,False,False,False,False,0.9161676646706587,0.9281437125748503,0.688622754491018,0.6,0.3333333333333333,0.8577245508982037,0.5909780439121757,candidate_structural_hallucination_signature,4,PD favors GAN while MT favors CNN; inspect whether GAN has plausible but spatially/hierarchically misaligned structures.
30,CNN,CNN,GAN,CNN,CNN,5,0,0,GAN,2,3,0,CNN,3,0,0,CNN,3,1,0,0.04764500751119949,1.81973192479024,-9.11769536279277,6.719937324523926,9.11769536279277,6.719937324523926,0.0,True,True,True,True,True,True,False,False,False,False,0.874251497005988,0.9401197604790419,0.12574850299401197,0.6,0.0,0.845748502994012,0.24287425149700598,candidate_structural_hallucination_signature,5,PD favors GAN while MT favors CNN; inspect whether GAN has plausible but spatially/hierarchically misaligned structures.
28,CNN,CNN,GAN,CNN,CNN,5,0,0,GAN,0,5,0,GAN,1,2,0,CNN,3,1,0,0.05224633325951533,1.5748895800670546,-7.5824311295112174,7.736997127532959,7.5824311295112174,7.736997127532959,0.0,False,True,True,True,True,True,False,False,False,False,0.6107784431137725,0.9520958083832335,0.11377245508982035,1.0,0.6666666666666666,0.8251497005988024,0.4902195608782435,candidate_structural_hallucination_signature,6,PD favors GAN while MT favors CNN; inspect whether GAN has plausible but spatially/hierarchically misaligned structures.
132,CNN,CNN,GAN,CNN,CNN,5,0,0,GAN,1,4,0,GAN,0,3,0,CNN,3,1,0,0.07923297597374701,1.898048295421983,-8.018594916640794,6.05672025680542,8.018594916640794,6.05672025680542,0.0,False,False,True,True,True,True,False,False,False,False,0.7245508982035929,0.9221556886227545,0.6766467065868264,0.8,1.0,0.818682634730539,0.7783233532934131,candidate_structural_hallucination_signature,7,PD favors GAN while MT favors CNN; inspect whether GAN has plausible but spatially/hierarchically misaligned structures.
137,CNN,CNN,GAN,CNN,CNN,5,0,0,GAN,1,4,0,GAN,1,2,0,CNN,3,1,0,0.12311020188442612,2.094749829701364,-8.34131538768358,4.461348533630371,8.34131538768358,4.461348533630371,0.0,False,False,True,True,True,True,False,False,False,False,0.7904191616766467,0.8383233532934131,0.7065868263473054,0.8,0.6666666666666666,0.811497005988024,0.726626746506986,candidate_structural_hallucination_signature,8,PD favors GAN while MT favors CNN; inspect whether GAN has plausible but spatially/hierarchically misaligned structures.
32,CNN,CNN,GAN,CNN,CNN,5,0,0,GAN,2,3,0,CNN,3,0,0,CNN,3,1,0,0.04734223970314855,1.6957911410612994,-8.012099789376382,11.7681245803833,8.012099789376382,11.7681245803833,0.0,True,True,True,True,True,True,False,False,False,False,0.7125748502994012,0.9820359281437125,0.1377245508982036,0.6,0.0,0.7978443113772454,0.24886227544910178,candidate_structural_hallucination_signature,9,PD favors GAN while MT favors CNN; inspect whether GAN has plausible but spatially/hierarchically misaligned structures.
34,CNN,CNN,GAN,CNN,CNN,5,0,0,CNN,3,2,0,CNN,3,0,0,CNN,3,1,0,0.05564578953597643,1.7014722416795145,-8.448868502929422,13.12288522720337,8.448868502929422,13.12288522720337,0.0,False,True,True,False,True,True,False,False,False,False,0.8023952095808383,0.9880239520958084,0.1497005988023952,0.4,0.0,0.7961676646706588,0.19485029940119758,candidate_structural_hallucination_signature,10,PD favors GAN while MT favors CNN; inspect whether GAN has plausible but spatially/hierarchically misaligned structures.
