sample_idx,appears_in_groups,psnr_winner,ssim_winner,pd_winner,mt_winner,direct_error_group_winner,distributional_group_winner,tail_group_winner,configured_physics_group_winner,candidate_hallucination_score,mt_gan_visual_score
6,mt_gan_diagnostic,CNN,CNN,GAN,GAN,CNN,CNN,CNN,CNN,0.09508982035928146,0.5150898203592814
8,mt_gan_diagnostic;neartie_topology_validator_disagreement,CNN,CNN,GAN,GAN,CNN,CNN,GAN,CNN,0.25005988023952097,0.7503393213572853
12,mt_gan_diagnostic;neartie_topology_validator_disagreement,CNN,CNN,GAN,GAN,CNN,GAN,GAN,CNN,0.2917365269461078,0.9220359281437125
16,mt_gan_diagnostic,CNN,CNN,GAN,GAN,CNN,GAN,GAN,CNN,0.2996407185628742,0.7744111776447106
17,mt_gan_diagnostic,CNN,CNN,GAN,GAN,CNN,GAN,GAN,CNN,0.21029940119760482,0.9160479041916167
18,mt_gan_diagnostic,CNN,CNN,GAN,GAN,CNN,GAN,GAN,CNN,0.14395209580838322,0.7983632734530938
19,mt_gan_diagnostic,CNN,CNN,GAN,GAN,CNN,GAN,GAN,CNN,0.1959281437125749,0.8733333333333333
20,mt_gan_diagnostic,CNN,CNN,GAN,GAN,CNN,GAN,CNN,CNN,0.17269461077844311,0.7257085828343313
24,gan_distributional_cases,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,0.6910179640718563,0.48123752495009975
25,mt_gan_diagnostic;neartie_topology_validator_disagreement,CNN,CNN,GAN,GAN,CNN,GAN,CNN,CNN,0.3588023952095809,0.7976846307385229
27,gan_distributional_cases,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,0.7389221556886227,0.4872255489021956
28,candidate_structural_hallucination_signature;gan_distributional_cases,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,0.8251497005988024,0.4902195608782435
30,candidate_structural_hallucination_signature,CNN,CNN,GAN,CNN,CNN,GAN,CNN,CNN,0.845748502994012,0.24287425149700598
31,candidate_structural_hallucination_signature,CNN,CNN,GAN,CNN,CNN,GAN,CNN,CNN,0.7738922155688623,0.2458682634730539
32,candidate_structural_hallucination_signature,CNN,CNN,GAN,CNN,CNN,GAN,CNN,CNN,0.7978443113772454,0.24886227544910178
33,candidate_structural_hallucination_signature,CNN,CNN,GAN,CNN,CNN,CNN,CNN,CNN,0.7578443113772455,0.1918562874251497
34,candidate_structural_hallucination_signature,CNN,CNN,GAN,CNN,CNN,CNN,CNN,CNN,0.7961676646706588,0.19485029940119758
48,mt_gan_diagnostic,CNN,CNN,GAN,GAN,CNN,GAN,CNN,CNN,0.5152095808383235,0.650059880239521
62,gan_distributional_cases;mt_gan_diagnostic,CNN,CNN,GAN,GAN,CNN,GAN,GAN,CNN,0.5856287425149701,0.879441117764471
63,gan_distributional_cases;mt_gan_diagnostic,CNN,CNN,GAN,GAN,CNN,GAN,GAN,CNN,0.6191616766467065,0.8824351297405189
64,gan_distributional_cases,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,0.6167664670658684,0.5890219560878244
65,gan_distributional_cases;mt_gan_diagnostic,CNN,CNN,GAN,GAN,CNN,GAN,GAN,CNN,0.36287425149700603,0.8974051896207584
66,gan_distributional_cases,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,0.38443113772455095,0.5920159680638722
67,gan_distributional_cases,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,0.5137724550898204,0.5950099800399201
68,mt_gan_diagnostic,CNN,CNN,GAN,GAN,CNN,GAN,GAN,CNN,0.35401197604790424,0.8463872255489022
73,gan_distributional_cases,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,0.5497005988023953,0.6099800399201597
74,gan_distributional_cases,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,0.6263473053892216,0.6129740518962076
75,gan_distributional_cases,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,0.6550898203592814,0.6159680638722554
76,gan_distributional_cases,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,0.7221556886227545,0.6189620758483033
77,gan_distributional_cases;mt_gan_diagnostic,CNN,CNN,GAN,GAN,CNN,GAN,GAN,CNN,0.6023952095808384,0.8854291417165668
79,mt_gan_diagnostic,CNN,CNN,GAN,GAN,CNN,GAN,CNN,CNN,0.5719760479041917,0.7737325349301397
80,mt_gan_diagnostic,CNN,CNN,GAN,GAN,CNN,GAN,CNN,CNN,0.5528143712574851,0.794690618762475
82,mt_gan_diagnostic,CNN,CNN,GAN,GAN,CNN,GAN,CNN,CNN,0.5001197604790419,0.8006786427145709
84,candidate_structural_hallucination_signature,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,0.7492215568862276,0.570938123752495
86,candidate_structural_hallucination_signature;gan_distributional_cases,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,0.9233532934131736,0.6369261477045908
87,gan_distributional_cases,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,0.6910179640718563,0.6399201596806386
88,gan_distributional_cases,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,0.5305389221556887,0.6429141716566866
89,gan_distributional_cases,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,0.48742514970059886,0.6459081836327345
90,gan_distributional_cases,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,0.35808383233532937,0.715568862275449
91,gan_distributional_cases,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,0.3916167664670659,0.7185628742514969
92,mt_gan_diagnostic,CNN,CNN,GAN,GAN,CNN,GAN,GAN,CNN,0.3532934131736527,0.9431137724550898
98,candidate_structural_hallucination_signature,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,0.7451497005988025,0.5498602794411177
102,candidate_structural_hallucination_signature,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,0.7875449101796407,0.688502994011976
104,candidate_structural_hallucination_signature,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,0.7516167664670659,0.6944910179640719
111,candidate_structural_hallucination_signature,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,0.7755688622754492,0.7154491017964071
117,candidate_structural_hallucination_signature,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,0.7451497005988025,0.6734131736526946
131,candidate_structural_hallucination_signature,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,0.7475449101796408,0.6486626746506985
132,candidate_structural_hallucination_signature,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,0.818682634730539,0.7783233532934131
134,candidate_structural_hallucination_signature,CNN,CNN,GAN,CNN,CNN,GAN,CNN,CNN,0.8577245508982037,0.5909780439121757
135,candidate_structural_hallucination_signature,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,0.8713772455089821,0.7206387225548903
137,candidate_structural_hallucination_signature,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,0.811497005988024,0.726626746506986
139,candidate_structural_hallucination_signature,CNN,CNN,GAN,CNN,CNN,GAN,CNN,CNN,0.7923353293413175,0.6659481037924151
140,candidate_structural_hallucination_signature,CNN,CNN,GAN,CNN,CNN,GAN,CNN,CNN,0.8665868263473054,0.6689421157684631
154,mt_gan_diagnostic,CNN,CNN,GAN,GAN,CNN,GAN,CNN,CNN,0.4888622754491018,0.6380838323353293
