sample_a,sample_b,mt_a,mt_b,pd_a,pd_b,gan_metric_wins_a,gan_metric_wins_b,overall_majority_a,overall_majority_b,dist_gan_a,dist_gan_b,tail_gan_a,tail_gan_b,note
5,6,CNN,GAN,GAN,GAN,1,2,CNN,CNN,1,1,0,1,Adjacent timesteps with MT or physics-domain majority transition; inspect visually for threshold/bifurcation behavior.
6,7,GAN,CNN,GAN,GAN,2,1,CNN,CNN,1,1,1,0,Adjacent timesteps with MT or physics-domain majority transition; inspect visually for threshold/bifurcation behavior.
7,8,CNN,GAN,GAN,GAN,1,4,CNN,CNN,1,1,0,3,Adjacent timesteps with MT or physics-domain majority transition; inspect visually for threshold/bifurcation behavior.
8,9,GAN,CNN,GAN,GAN,4,9,CNN,GAN,1,3,3,5,Adjacent timesteps with MT or physics-domain majority transition; inspect visually for threshold/bifurcation behavior.
11,12,CNN,GAN,GAN,GAN,10,9,GAN,GAN,3,3,6,5,Adjacent timesteps with MT or physics-domain majority transition; inspect visually for threshold/bifurcation behavior.
12,13,GAN,CNN,GAN,GAN,9,8,GAN,GAN,3,3,5,4,Adjacent timesteps with MT or physics-domain majority transition; inspect visually for threshold/bifurcation behavior.
15,16,CNN,GAN,GAN,GAN,8,7,GAN,CNN,3,3,4,3,Adjacent timesteps with MT or physics-domain majority transition; inspect visually for threshold/bifurcation behavior.
16,17,GAN,GAN,GAN,GAN,7,8,CNN,GAN,3,4,3,3,Adjacent timesteps with MT or physics-domain majority transition; inspect visually for threshold/bifurcation behavior.
17,18,GAN,GAN,GAN,GAN,8,5,GAN,CNN,4,2,3,2,Adjacent timesteps with MT or physics-domain majority transition; inspect visually for threshold/bifurcation behavior.
18,19,GAN,GAN,GAN,GAN,5,8,CNN,GAN,2,4,2,3,Adjacent timesteps with MT or physics-domain majority transition; inspect visually for threshold/bifurcation behavior.
19,20,GAN,GAN,GAN,GAN,8,5,GAN,CNN,4,3,3,1,Adjacent timesteps with MT or physics-domain majority transition; inspect visually for threshold/bifurcation behavior.
20,21,GAN,CNN,GAN,GAN,5,6,CNN,CNN,3,3,1,2,Adjacent timesteps with MT or physics-domain majority transition; inspect visually for threshold/bifurcation behavior.
24,25,CNN,GAN,GAN,GAN,6,5,CNN,CNN,4,4,2,1,Adjacent timesteps with MT or physics-domain majority transition; inspect visually for threshold/bifurcation behavior.
25,26,GAN,CNN,GAN,GAN,5,6,CNN,CNN,4,3,1,3,Adjacent timesteps with MT or physics-domain majority transition; inspect visually for threshold/bifurcation behavior.
47,48,CNN,GAN,GAN,GAN,4,4,CNN,CNN,4,4,0,0,Adjacent timesteps with MT or physics-domain majority transition; inspect visually for threshold/bifurcation behavior.
48,49,GAN,CNN,GAN,GAN,4,3,CNN,CNN,4,3,0,0,Adjacent timesteps with MT or physics-domain majority transition; inspect visually for threshold/bifurcation behavior.
61,62,CNN,GAN,GAN,GAN,5,6,CNN,CNN,4,4,1,2,Adjacent timesteps with MT or physics-domain majority transition; inspect visually for threshold/bifurcation behavior.
63,64,GAN,CNN,GAN,GAN,6,7,CNN,CNN,4,4,2,3,Adjacent timesteps with MT or physics-domain majority transition; inspect visually for threshold/bifurcation behavior.
64,65,CNN,GAN,GAN,GAN,7,7,CNN,CNN,4,4,3,3,Adjacent timesteps with MT or physics-domain majority transition; inspect visually for threshold/bifurcation behavior.
65,66,GAN,CNN,GAN,GAN,7,6,CNN,CNN,4,3,3,3,Adjacent timesteps with MT or physics-domain majority transition; inspect visually for threshold/bifurcation behavior.
67,68,CNN,GAN,GAN,GAN,7,7,CNN,CNN,4,4,3,3,Adjacent timesteps with MT or physics-domain majority transition; inspect visually for threshold/bifurcation behavior.
68,69,GAN,CNN,GAN,GAN,7,7,CNN,CNN,4,4,3,3,Adjacent timesteps with MT or physics-domain majority transition; inspect visually for threshold/bifurcation behavior.
73,74,CNN,CNN,GAN,GAN,6,8,CNN,GAN,3,4,3,4,Adjacent timesteps with MT or physics-domain majority transition; inspect visually for threshold/bifurcation behavior.
74,75,CNN,CNN,GAN,GAN,8,7,GAN,CNN,4,3,4,4,Adjacent timesteps with MT or physics-domain majority transition; inspect visually for threshold/bifurcation behavior.
76,77,CNN,GAN,GAN,GAN,7,8,CNN,GAN,3,4,4,4,Adjacent timesteps with MT or physics-domain majority transition; inspect visually for threshold/bifurcation behavior.
77,78,GAN,CNN,GAN,GAN,8,6,GAN,CNN,4,4,4,2,Adjacent timesteps with MT or physics-domain majority transition; inspect visually for threshold/bifurcation behavior.
