sample_idx,psnr_cnn,psnr_gan,psnr_delta_cnn_minus_gan,psnr_winner,ssim_cnn,ssim_gan,ssim_delta_cnn_minus_gan,ssim_winner,mt_distance_cnn,mt_distance_gan,mt_distance_delta_cnn_minus_gan,mt_distance_winner,pd_distance_cnn,pd_distance_gan,pd_distance_delta_cnn_minus_gan,pd_distance_winner,wpd_bias_cnn,wpd_bias_gan,wpd_bias_delta_cnn_minus_gan,wpd_bias_winner,wpd_mae_cnn,wpd_mae_gan,wpd_mae_delta_cnn_minus_gan,wpd_mae_winner,wpd_rmse_cnn,wpd_rmse_gan,wpd_rmse_delta_cnn_minus_gan,wpd_rmse_winner,wpd_w1_cnn,wpd_w1_gan,wpd_w1_delta_cnn_minus_gan,wpd_w1_winner,psd_log_l2_cnn,psd_log_l2_gan,psd_log_l2_delta_cnn_minus_gan,psd_log_l2_winner,psd_slope_delta_cnn,psd_slope_delta_gan,psd_slope_delta_delta_cnn_minus_gan,psd_slope_delta_winner,psd_slope_abs_delta_cnn,psd_slope_abs_delta_gan,psd_slope_abs_delta_delta_cnn_minus_gan,psd_slope_abs_delta_winner,grad_mae_cnn,grad_mae_gan,grad_mae_delta_cnn_minus_gan,grad_mae_winner,grad_w1_cnn,grad_w1_gan,grad_w1_delta_cnn_minus_gan,grad_w1_winner,grad_kurtosis_delta_cnn,grad_kurtosis_delta_gan,grad_kurtosis_delta_delta_cnn_minus_gan,grad_kurtosis_delta_winner,grad_kurtosis_abs_delta_cnn,grad_kurtosis_abs_delta_gan,grad_kurtosis_abs_delta_delta_cnn_minus_gan,grad_kurtosis_abs_delta_winner,exceed_frac_delta_t5_cnn,exceed_frac_delta_t5_gan,exceed_frac_delta_t5_delta_cnn_minus_gan,exceed_frac_delta_t5_winner,exceed_frac_abs_delta_t5_cnn,exceed_frac_abs_delta_t5_gan,exceed_frac_abs_delta_t5_delta_cnn_minus_gan,exceed_frac_abs_delta_t5_winner,exceed_frac_delta_t10_cnn,exceed_frac_delta_t10_gan,exceed_frac_delta_t10_delta_cnn_minus_gan,exceed_frac_delta_t10_winner,exceed_frac_abs_delta_t10_cnn,exceed_frac_abs_delta_t10_gan,exceed_frac_abs_delta_t10_delta_cnn_minus_gan,exceed_frac_abs_delta_t10_winner,exceed_frac_delta_t15_cnn,exceed_frac_delta_t15_gan,exceed_frac_delta_t15_delta_cnn_minus_gan,exceed_frac_delta_t15_winner,exceed_frac_abs_delta_t15_cnn,exceed_frac_abs_delta_t15_gan,exceed_frac_abs_delta_t15_delta_cnn_minus_gan,exceed_frac_abs_delta_t15_winner,exceed_frac_delta_p90_cnn,exceed_frac_delta_p90_gan,exceed_frac_delta_p90_delta_cnn_minus_gan,exceed_frac_delta_p90_winner,exceed_frac_abs_delta_p90_cnn,exceed_frac_abs_delta_p90_gan,exceed_frac_abs_delta_p90_delta_cnn_minus_gan,exceed_frac_abs_delta_p90_winner,exceed_frac_delta_p95_cnn,exceed_frac_delta_p95_gan,exceed_frac_delta_p95_delta_cnn_minus_gan,exceed_frac_delta_p95_winner,exceed_frac_abs_delta_p95_cnn,exceed_frac_abs_delta_p95_gan,exceed_frac_abs_delta_p95_delta_cnn_minus_gan,exceed_frac_abs_delta_p95_winner,exceed_frac_delta_p99_cnn,exceed_frac_delta_p99_gan,exceed_frac_delta_p99_delta_cnn_minus_gan,exceed_frac_delta_p99_winner,exceed_frac_abs_delta_p99_cnn,exceed_frac_abs_delta_p99_gan,exceed_frac_abs_delta_p99_delta_cnn_minus_gan,exceed_frac_abs_delta_p99_winner
0,31.44863091961014,30.56886683196192,0.8797640876482191,cnn,0.6335844954540828,0.5456965092487519,0.08788798620533089,cnn,5.051645278930664,9.748218536376953,-4.696573257446289,cnn,24.384505325565424,22.540541801445254,1.84396352412017,gan,3.322278106063319,-23.929900432316913,27.25217853838023,cnn,221.5959260435228,232.8712609066182,-11.275334863095395,cnn,631.3353259921904,635.3590529294918,-4.023726937301376,cnn,12.176706260719543,33.49329048225263,-21.31658422153309,cnn,0.5255543702425648,0.5591371070775545,-0.03358273683498969,cnn,-1.2455570835722232,-1.6967354598732793,0.45117837630105617,cnn,1.2455570835722232,1.6967354598732793,-0.45117837630105617,cnn,0.35707416951186594,0.3674814157891237,-0.010407246277257753,cnn,0.14188089210899743,0.06734089176309455,0.07454000034590288,gan,-3.7140525761627714,-2.6359346171655034,-1.078117958997268,gan,3.7140525761627714,2.6359346171655034,1.078117958997268,gan,-0.0032079999999999886,-0.0050800000000000844,0.0018720000000000958,cnn,0.0032079999999999886,0.0050800000000000844,-0.0018720000000000958,cnn,-0.003712000000000021,0.005307999999999979,-0.00902,cnn,0.003712000000000021,0.005307999999999979,-0.0015959999999999586,cnn,0.0010360000000000022,-0.0047719999999999985,0.005808000000000001,cnn,0.0010360000000000022,0.0047719999999999985,-0.0037359999999999963,cnn,-0.0019559999999999994,-0.00958400000000001,0.00762800000000001,cnn,0.0019559999999999994,0.00958400000000001,-0.00762800000000001,cnn,0.0015399999999999997,-0.006048000000000005,0.0075880000000000045,cnn,0.0015399999999999997,0.006048000000000005,-0.004508000000000005,cnn,0.0001399999999999995,-0.0015399999999999997,0.0016799999999999992,cnn,0.0001399999999999995,0.0015399999999999997,-0.0014000000000000002,cnn
1,31.692299766082456,30.732489092006617,0.9598106740758396,cnn,0.6378450016412086,0.5437495540541167,0.09409544758709187,cnn,4.678010940551758,11.978342056274414,-7.300331115722656,cnn,24.612518312283534,22.38874396250744,2.223774349776093,gan,-10.048282138120044,-30.235911695222605,20.18762955710256,cnn,243.81812028203902,263.18362877473606,-19.365508492697046,cnn,675.4263819296079,728.2230661646629,-52.796684235054954,cnn,15.54843536779524,38.417057420888895,-22.868622053093656,cnn,0.5512168481123898,0.5773172237469754,-0.02610037563458556,cnn,-1.3965497627966277,-1.7842033787943516,0.38765361599772397,cnn,1.3965497627966277,1.7842033787943516,-0.38765361599772397,cnn,0.365122821373616,0.3811750065568441,-0.016052185183228096,cnn,0.15998756825210722,0.06529310671377664,0.09469446153833058,gan,-3.7279624384997483,-2.276064014374999,-1.4518984241247495,gan,3.7279624384997483,2.276064014374999,1.4518984241247495,gan,0.0018759999999999888,-0.006167999999999951,0.00804399999999994,cnn,0.0018759999999999888,0.006167999999999951,-0.0042919999999999625,cnn,-0.00015599999999998948,-0.00037599999999998746,0.00021999999999999797,cnn,0.00015599999999998948,0.00037599999999998746,-0.00021999999999999797,cnn,-0.0011919999999999986,-0.0062399999999999956,0.005047999999999997,cnn,0.0011919999999999986,0.0062399999999999956,-0.005047999999999997,cnn,-0.003392000000000006,-0.009916000000000008,0.006524000000000002,cnn,0.003392000000000006,0.009916000000000008,-0.006524000000000002,cnn,-0.0013360000000000039,-0.0066840000000000024,0.005347999999999999,cnn,0.0013360000000000039,0.0066840000000000024,-0.005347999999999999,cnn,-0.0009239999999999995,-0.0015840000000000003,0.0006600000000000009,cnn,0.0009239999999999995,0.0015840000000000003,-0.0006600000000000009,cnn
2,31.54699072539859,30.618027514294244,0.928963211104346,cnn,0.6223940258968236,0.5579721168352849,0.06442190906153866,cnn,4.894824504852295,8.343221664428711,-3.448397159576416,cnn,25.200926367648954,22.958727889587305,2.242198478061649,gan,-13.715405071461689,-43.28645877798159,29.571053706519905,cnn,271.04069176081435,286.5523436257065,-15.511651864892144,cnn,727.5703606765762,747.5867387535233,-20.016378076947035,cnn,19.60719507954446,49.493286268792005,-29.886091189247544,cnn,0.543724831697504,0.5980671879874826,-0.05434235628997863,cnn,-1.370600809507899,-1.8085429850820773,0.43794217557417836,cnn,1.370600809507899,1.8085429850820773,-0.43794217557417836,cnn,0.37335805477379874,0.3867739779970362,-0.01341592322323748,cnn,0.1699299385733475,0.0710205696522468,0.09890936892110071,gan,-3.4573040439728793,-4.016448589532054,0.5591445455591746,cnn,3.4573040439728793,4.016448589532054,-0.5591445455591746,cnn,0.00016799999999994597,-0.005952000000000068,0.006120000000000014,cnn,0.00016799999999994597,0.005952000000000068,-0.005784000000000122,cnn,0.0006360000000000254,-0.0010359999999999814,0.0016720000000000068,cnn,0.0006360000000000254,0.0010359999999999814,-0.00039999999999995595,cnn,-0.00136,-0.008292,0.006932000000000001,cnn,0.00136,0.008292,-0.006932000000000001,cnn,-0.0017320000000000113,-0.011363999999999999,0.009631999999999988,cnn,0.0017320000000000113,0.011363999999999999,-0.009631999999999988,cnn,-0.0013120000000000007,-0.007428000000000004,0.006116000000000003,cnn,0.0013120000000000007,0.007428000000000004,-0.006116000000000003,cnn,-0.00132,-0.0022440000000000003,0.0009240000000000003,cnn,0.00132,0.0022440000000000003,-0.0009240000000000003,cnn
3,31.5904468469398,30.614279698242964,0.9761671486968346,cnn,0.6252808362395419,0.5553843797958297,0.06989645644371223,cnn,4.794641017913818,9.753995895385742,-4.959354877471924,cnn,24.87627415927669,23.395576173496664,1.4806979857800258,gan,-22.106081627235685,-48.93606897109874,26.829987343863056,cnn,296.56161909193986,324.32988176693783,-27.76826267499797,cnn,779.768079017902,848.3126493226509,-68.54457030474896,cnn,26.5938643061863,58.444802018615,-31.8509377124287,cnn,0.5686630178775349,0.6146002659840847,-0.045937248106549755,cnn,-1.417414605894416,-1.8698118968651232,0.45239729097070724,cnn,1.417414605894416,1.8698118968651232,-0.45239729097070724,cnn,0.38173743666645943,0.3989180145547985,-0.017180577888339044,cnn,0.18302102901570666,0.06886266396582046,0.1141583650498862,gan,-3.0507590999386878,-2.124976446471571,-0.9257826534671167,gan,3.0507590999386878,2.124976446471571,0.9257826534671167,gan,0.00037599999999993194,-0.0048759999999999915,0.005251999999999923,cnn,0.00037599999999993194,0.0048759999999999915,-0.0045000000000000595,cnn,0.0011079999999999979,-0.0009520000000000084,0.0020600000000000063,gan,0.0011079999999999979,0.0009520000000000084,0.00015599999999998948,gan,-0.0026439999999999936,-0.00884399999999999,0.006199999999999997,cnn,0.0026439999999999936,0.00884399999999999,-0.006199999999999997,cnn,-0.0026440000000000075,-0.009928000000000006,0.007283999999999999,cnn,0.0026440000000000075,0.009928000000000006,-0.007283999999999999,cnn,-0.0030039999999999997,-0.007464000000000005,0.004460000000000006,cnn,0.0030039999999999997,0.007464000000000005,-0.004460000000000006,cnn,-0.0017400000000000002,-0.00232,0.0005799999999999998,cnn,0.0017400000000000002,0.00232,-0.0005799999999999998,cnn
4,31.16854735228141,30.173903705147463,0.9946436471339481,cnn,0.6188264630640096,0.5388053666231073,0.08002109644090227,cnn,4.892229080200195,8.064751625061035,-3.17252254486084,cnn,24.810879874900778,22.91065989660919,1.900219978291588,gan,-27.076085278503694,-56.26445677817653,29.188371499672837,cnn,312.23008605350753,346.14502480255044,-33.9149387490429,cnn,795.3393481668863,861.0364561856394,-65.69710801875306,cnn,33.36635429998364,61.96990299695135,-28.603548696967707,cnn,0.5436400529361233,0.6312109785871217,-0.08757092565099844,cnn,-1.263610883406788,-1.8472599809915717,0.5836490975847837,cnn,1.263610883406788,1.8472599809915717,-0.5836490975847837,cnn,0.3920347216306909,0.41031573627191736,-0.018281014641226445,cnn,0.18725240635725657,0.07460440784103267,0.1126479985162239,gan,-2.9199319974397397,-3.875584179080013,0.9556521816402732,cnn,2.9199319974397397,3.875584179080013,-0.9556521816402732,cnn,-0.00026799999999993496,-0.009391999999999956,0.009124000000000021,cnn,0.00026799999999993496,0.009391999999999956,-0.009124000000000021,cnn,0.0014680000000000248,-0.0044319999999999915,0.005900000000000016,cnn,0.0014680000000000248,0.0044319999999999915,-0.0029639999999999667,cnn,-0.003379999999999994,-0.008611999999999995,0.0052320000000000005,cnn,0.003379999999999994,0.008611999999999995,-0.0052320000000000005,cnn,-0.005544000000000007,-0.01056,0.005015999999999993,cnn,0.005544000000000007,0.01056,-0.005015999999999993,cnn,-0.0041120000000000045,-0.007272000000000001,0.003159999999999996,cnn,0.0041120000000000045,0.007272000000000001,-0.003159999999999996,cnn,-0.00136,-0.0019120000000000005,0.0005520000000000004,cnn,0.00136,0.0019120000000000005,-0.0005520000000000004,cnn
5,31.066356029873372,30.30462547846664,0.7617305514067318,cnn,0.5860435401093661,0.5063255174707905,0.07971802263857564,cnn,5.628478050231934,6.406379699707031,-0.7779016494750977,cnn,27.01852197077857,22.503507148952195,4.515014821826373,gan,-29.871797415116948,-56.37363310167396,26.501835686557012,cnn,331.20302392786385,357.4089246474877,-26.205900719623855,cnn,814.1251512794533,842.2411274859652,-28.115976206511846,cnn,35.32829511630865,58.58750500476885,-23.259209888460198,cnn,0.5583519999584546,0.6249307968423689,-0.06657879688391422,cnn,-1.2251321780777247,-1.857432688594948,0.6323005105172232,cnn,1.2251321780777247,1.857432688594948,-0.6323005105172232,cnn,0.40084965022376245,0.4148898891982404,-0.014040238974477925,cnn,0.19427018172256152,0.07866338792677946,0.11560679379578206,gan,-2.616764454458778,-4.577044820978596,1.960280366519818,cnn,2.616764454458778,4.577044820978596,-1.960280366519818,cnn,-0.0020520000000000538,-0.009912000000000032,0.007859999999999978,cnn,0.0020520000000000538,0.009912000000000032,-0.007859999999999978,cnn,0.00044800000000000395,-0.0008039999999999714,0.0012519999999999754,cnn,0.00044800000000000395,0.0008039999999999714,-0.00035599999999996745,cnn,-0.006924,-0.009852,0.002928,cnn,0.006924,0.009852,-0.002928,cnn,-0.007680000000000006,-0.010419999999999999,0.0027399999999999924,cnn,0.007680000000000006,0.010419999999999999,-0.0027399999999999924,cnn,-0.005352000000000003,-0.008508000000000002,0.003155999999999999,cnn,0.005352000000000003,0.008508000000000002,-0.003155999999999999,cnn,-0.001340000000000001,-0.002576,0.0012359999999999993,cnn,0.001340000000000001,0.002576,-0.0012359999999999993,cnn
6,31.338762401290875,30.267567264037826,1.0711951372530493,cnn,0.6104470927526627,0.5151812289202357,0.09526586383242708,cnn,6.144000053405762,6.0106329917907715,0.13336706161499023,gan,28.068979766562435,24.045087776300683,4.0238919902617525,gan,-38.64744441680193,-52.468732234176585,13.821287817374653,cnn,326.5449725055528,367.99679737620306,-41.451824870650285,cnn,773.1061532402149,833.148606472782,-60.04245323256714,cnn,44.35720204250285,54.64918118897073,-10.291979146467881,cnn,0.5657284148063008,0.6341319725591277,-0.06840355775282692,cnn,-1.2219022827874617,-1.7815166521292298,0.5596143693417681,cnn,1.2219022827874617,1.7815166521292298,-0.5596143693417681,cnn,0.3975062725174918,0.416806374265241,-0.019300101747749154,cnn,0.19936101988821434,0.06722489976624592,0.1321361201219684,gan,-2.3009946186528083,-5.053408067221136,2.752413448568328,cnn,2.3009946186528083,5.053408067221136,-2.752413448568328,cnn,-0.0030839999999999756,-0.011324,0.008240000000000025,cnn,0.0030839999999999756,0.011324,-0.008240000000000025,cnn,0.0016079999999999983,0.00011200000000000099,0.0014959999999999973,gan,0.0016079999999999983,0.00011200000000000099,0.0014959999999999973,gan,-0.007164000000000004,-0.007791999999999993,0.0006279999999999897,cnn,0.007164000000000004,0.007791999999999993,-0.0006279999999999897,cnn,-0.00766,-0.00848800000000001,0.0008280000000000093,cnn,0.00766,0.00848800000000001,-0.0008280000000000093,cnn,-0.007400000000000004,-0.009192000000000006,0.001792000000000002,cnn,0.007400000000000004,0.009192000000000006,-0.001792000000000002,cnn,-0.0022720000000000006,-0.0030560000000000006,0.000784,cnn,0.0022720000000000006,0.0030560000000000006,-0.000784,cnn
7,31.13074607942621,30.00528812655387,1.1254579528723383,cnn,0.5788093320390605,0.48029690406913494,0.09851242796992554,cnn,5.672351837158203,7.113770008087158,-1.441418170928955,cnn,29.26973016135952,22.553824952557566,6.715905208801953,gan,-48.34723932355751,-52.68439176781751,4.337152444259999,cnn,307.73585041558454,362.09628774014067,-54.36043732455613,cnn,705.9303574253695,790.9926744038224,-85.06231697845294,cnn,60.2050185397248,63.22167358250804,-3.016655042783242,cnn,0.6147404703544644,0.6541259987583254,-0.039385528403861,cnn,-1.219517599508219,-1.7924594031857284,0.5729418036775094,cnn,1.219517599508219,1.7924594031857284,-0.5729418036775094,cnn,0.39094158124414563,0.4095720239951377,-0.01863044275099207,cnn,0.2231354271334698,0.07129465895060019,0.1518407681828696,gan,-3.304822203781285,-4.503949882224074,1.199127678442789,cnn,3.304822203781285,4.503949882224074,-1.199127678442789,cnn,0.0029000000000000137,-0.00651999999999997,0.009419999999999984,cnn,0.0029000000000000137,0.00651999999999997,-0.0036199999999999566,cnn,0.0040160000000000196,0.0049200000000000355,-0.0009040000000000159,cnn,0.0040160000000000196,0.0049200000000000355,-0.0009040000000000159,cnn,-0.009071999999999997,-0.010148000000000004,0.0010760000000000075,cnn,0.009071999999999997,0.010148000000000004,-0.0010760000000000075,cnn,-0.009420000000000012,-0.010160000000000002,0.0007399999999999907,cnn,0.009420000000000012,0.010160000000000002,-0.0007399999999999907,cnn,-0.007640000000000001,-0.008872000000000005,0.001232000000000004,cnn,0.007640000000000001,0.008872000000000005,-0.001232000000000004,cnn,-0.003528,-0.0036120000000000006,8.400000000000074e-05,cnn,0.003528,0.0036120000000000006,-8.400000000000074e-05,cnn
8,31.360491209352674,30.40523844100236,0.9552527683503129,cnn,0.5424755769298811,0.4823232134970159,0.06015236343286523,cnn,7.50956392288208,6.055016040802002,1.4545478820800781,gan,29.63505050414828,23.282081530392528,6.35296897375575,gan,-45.390068791902266,-48.610859797738236,3.22079100583597,cnn,300.281470491702,349.530122594766,-49.24865210306399,cnn,660.5428584979636,736.3017482962775,-75.75888979831393,cnn,52.582040677078965,58.0041568976074,-5.422116220528437,cnn,0.6523686836173482,0.67391478655319,-0.021546102935841804,cnn,-1.1272149257162074,-1.8136359819517347,0.6864210562355273,cnn,1.1272149257162074,1.8136359819517347,-0.6864210562355273,cnn,0.38899178180769256,0.4007881598446069,-0.011796378036914357,cnn,0.2296630141518205,0.07466408814876796,0.15499892600305254,gan,-2.165396305801817,-4.961782774917566,2.796386469115749,cnn,2.165396305801817,4.961782774917566,-2.796386469115749,cnn,0.0042920000000000735,-0.006371999999999933,0.010664000000000007,cnn,0.0042920000000000735,0.006371999999999933,-0.0020799999999998597,cnn,-0.00036399999999997545,0.003736000000000017,-0.0040999999999999925,cnn,0.00036399999999997545,0.003736000000000017,-0.0033720000000000416,cnn,-0.012244000000000005,-0.011387999999999995,-0.0008560000000000095,gan,0.012244000000000005,0.011387999999999995,0.0008560000000000095,gan,-0.01223600000000001,-0.011412000000000005,-0.0008240000000000053,gan,0.01223600000000001,0.011412000000000005,0.0008240000000000053,gan,-0.009792000000000002,-0.009832,3.999999999999837e-05,cnn,0.009792000000000002,0.009832,-3.999999999999837e-05,cnn,-0.003112,-0.003092,-2.0000000000000052e-05,gan,0.003112,0.003092,2.0000000000000052e-05,gan
9,31.371026408537652,30.265537172001572,1.10548923653608,cnn,0.5305875142485871,0.4794547186498735,0.05113279559871359,cnn,5.768454551696777,6.291722297668457,-0.5232677459716797,cnn,28.65602837253281,23.481609150211327,5.174419222321482,gan,-41.44450152923926,-33.56576704341278,-7.8787344858264845,gan,288.2607483740837,344.42788096174087,-56.16713258765719,cnn,599.4648989499779,679.1343220547698,-79.66942310479192,cnn,49.16999316437071,40.02471878068424,9.14527438368647,gan,0.681537462074852,0.6767633293744656,0.004774132700386402,gan,-1.1074398494686122,-1.746215916249759,0.6387760667811468,cnn,1.1074398494686122,1.746215916249759,-0.6387760667811468,cnn,0.3796610425240004,0.39398853464369327,-0.014327492119692864,cnn,0.21678010257301614,0.052094475952956285,0.16468562662005987,gan,-2.6306813929109545,-4.448680020766325,1.8179986278553706,cnn,2.6306813929109545,4.448680020766325,-1.8179986278553706,cnn,0.0045039999999999525,-0.0026960000000000317,0.007199999999999984,gan,0.0045039999999999525,0.0026960000000000317,0.0018079999999999208,gan,-0.003924000000000039,0.00033600000000000296,-0.0042600000000000415,gan,0.003924000000000039,0.00033600000000000296,0.0035880000000000356,gan,-0.010396000000000002,-0.008043999999999996,-0.002352000000000007,gan,0.010396000000000002,0.008043999999999996,0.002352000000000007,gan,-0.011807999999999999,-0.009660000000000002,-0.002147999999999997,gan,0.011807999999999999,0.009660000000000002,0.002147999999999997,gan,-0.011324,-0.008168000000000002,-0.003155999999999999,gan,0.011324,0.008168000000000002,0.003155999999999999,gan,-0.003288,-0.003404,0.00011599999999999978,cnn,0.003288,0.003404,-0.00011599999999999978,cnn
