method,sample_idx,metric_column,value
cnn,0,psnr,31.44863091961014
cnn,0,wpd_bias,3.322278106063319
cnn,0,wpd_mae,221.5959260435228
cnn,0,wpd_rmse,631.3353259921904
cnn,0,wpd_w1,12.176706260719543
cnn,0,psd_log_l2,0.5255543702425648
cnn,0,psd_slope_gt,2.6422928096341036
cnn,0,psd_slope_sr,1.3967357260618805
cnn,0,psd_slope_delta,-1.2455570835722232
cnn,0,psd_slope_abs_delta,1.2455570835722232
cnn,0,grad_mae,0.35707416951186594
cnn,0,grad_w1,0.14188089210899743
cnn,0,grad_kurtosis_gt,22.02973963265129
cnn,0,grad_kurtosis_sr,18.315687056488517
cnn,0,grad_kurtosis_delta,-3.7140525761627714
cnn,0,grad_kurtosis_abs_delta,3.7140525761627714
cnn,0,exceed_frac_gt_t5,0.606616
cnn,0,exceed_frac_sr_t5,0.603408
cnn,0,exceed_frac_delta_t5,-0.0032079999999999886
cnn,0,exceed_frac_abs_delta_t5,0.0032079999999999886
cnn,0,exceed_frac_gt_t10,0.220788
cnn,0,exceed_frac_sr_t10,0.217076
cnn,0,exceed_frac_delta_t10,-0.003712000000000021
cnn,0,exceed_frac_abs_delta_t10,0.003712000000000021
cnn,0,exceed_frac_gt_t15,0.036864
cnn,0,exceed_frac_sr_t15,0.0379
cnn,0,exceed_frac_delta_t15,0.0010360000000000022
cnn,0,exceed_frac_abs_delta_t15,0.0010360000000000022
cnn,0,exceed_frac_gt_p90,0.1
cnn,0,exceed_frac_sr_p90,0.098044
cnn,0,exceed_frac_delta_p90,-0.0019559999999999994
cnn,0,exceed_frac_abs_delta_p90,0.0019559999999999994
cnn,0,exceed_frac_gt_p95,0.05
cnn,0,exceed_frac_sr_p95,0.05154
cnn,0,exceed_frac_delta_p95,0.0015399999999999997
cnn,0,exceed_frac_abs_delta_p95,0.0015399999999999997
cnn,0,exceed_frac_gt_p99,0.01
cnn,0,exceed_frac_sr_p99,0.01014
cnn,0,exceed_frac_delta_p99,0.0001399999999999995
cnn,0,exceed_frac_abs_delta_p99,0.0001399999999999995
cnn,0,pd_distance,24.384505325565424
cnn,0,mt_distance,5.051645278930664
cnn,0,ssim,0.6335844954540828
cnn,1,psnr,31.692299766082456
cnn,1,wpd_bias,-10.048282138120044
cnn,1,wpd_mae,243.81812028203902
cnn,1,wpd_rmse,675.4263819296079
cnn,1,wpd_w1,15.54843536779524
cnn,1,psd_log_l2,0.5512168481123898
cnn,1,psd_slope_gt,2.7129186069163524
cnn,1,psd_slope_sr,1.3163688441197248
cnn,1,psd_slope_delta,-1.3965497627966277
cnn,1,psd_slope_abs_delta,1.3965497627966277
cnn,1,grad_mae,0.365122821373616
cnn,1,grad_w1,0.15998756825210722
