source_column,reason_not_ranked
psd_slope_gt,GT/SR/reference value or duplicate raw component; use corresponding error or abs_delta column for winner comparisons
psd_slope_sr,GT/SR/reference value or duplicate raw component; use corresponding error or abs_delta column for winner comparisons
grad_kurtosis_gt,GT/SR/reference value or duplicate raw component; use corresponding error or abs_delta column for winner comparisons
grad_kurtosis_sr,GT/SR/reference value or duplicate raw component; use corresponding error or abs_delta column for winner comparisons
exceed_frac_gt_t5,GT/SR/reference value or duplicate raw component; use corresponding error or abs_delta column for winner comparisons
exceed_frac_sr_t5,GT/SR/reference value or duplicate raw component; use corresponding error or abs_delta column for winner comparisons
exceed_frac_gt_t10,GT/SR/reference value or duplicate raw component; use corresponding error or abs_delta column for winner comparisons
exceed_frac_sr_t10,GT/SR/reference value or duplicate raw component; use corresponding error or abs_delta column for winner comparisons
exceed_frac_gt_t15,GT/SR/reference value or duplicate raw component; use corresponding error or abs_delta column for winner comparisons
exceed_frac_sr_t15,GT/SR/reference value or duplicate raw component; use corresponding error or abs_delta column for winner comparisons
exceed_frac_gt_p90,GT/SR/reference value or duplicate raw component; use corresponding error or abs_delta column for winner comparisons
exceed_frac_sr_p90,GT/SR/reference value or duplicate raw component; use corresponding error or abs_delta column for winner comparisons
exceed_frac_gt_p95,GT/SR/reference value or duplicate raw component; use corresponding error or abs_delta column for winner comparisons
exceed_frac_sr_p95,GT/SR/reference value or duplicate raw component; use corresponding error or abs_delta column for winner comparisons
exceed_frac_gt_p99,GT/SR/reference value or duplicate raw component; use corresponding error or abs_delta column for winner comparisons
exceed_frac_sr_p99,GT/SR/reference value or duplicate raw component; use corresponding error or abs_delta column for winner comparisons
