sample_idx,ssim_cnn,ssim_gan,ssim_abs_gap,mt_distance_cnn,mt_distance_gan,pd_distance_cnn,pd_distance_gan,mt_winner,pd_winner,physics_group_winner,consensus_topology_winner,mt_pd_disagree,wpd_rmse_winner,wpd_mae_winner,psd_log_l2_winner,grad_mae_winner
10,0.5321626280645544,0.48704260594469306,0.045120022119861325,6.634506702423096,7.423793315887451,29.696969860459554,24.710016041893063,cnn,gan,cnn,abstain,1,cnn,cnn,gan,cnn
11,0.485865417911638,0.4423450038723768,0.04352041403926121,5.910721302032471,7.831723690032959,28.68732565326105,24.969867761946066,cnn,gan,cnn,abstain,1,cnn,cnn,gan,cnn
12,0.5071715707128571,0.48221312968176655,0.024958441031090572,6.61636209487915,5.913707256317139,30.104522332856273,24.220613253945245,gan,gan,cnn,gan,0,cnn,cnn,gan,cnn
13,0.5119176084848193,0.4660629232215931,0.04585468526322617,6.0738348960876465,7.402252674102783,29.273674668484478,24.323688014436637,cnn,gan,cnn,abstain,1,cnn,cnn,gan,cnn
14,0.5264626109673549,0.47810267568438236,0.048359935282972555,5.448930263519287,5.877835750579834,28.13047371417262,21.511818920550414,cnn,gan,cnn,abstain,1,cnn,cnn,gan,cnn
25,0.5231426682354472,0.4964243047923469,0.0267183634431003,11.371563911437988,10.501462936401367,36.58411526021696,30.123491475362258,gan,gan,cnn,gan,0,cnn,cnn,gan,cnn
26,0.5191432035272462,0.5013575155303449,0.017785687996901278,7.043282985687256,11.28821849822998,35.02599363200026,30.779316467464,cnn,gan,cnn,abstain,1,cnn,cnn,gan,cnn
27,0.5455050057267327,0.5158597038414781,0.029645301885254605,6.4783101081848145,19.968429565429688,36.89696946573002,30.945378681968467,cnn,gan,cnn,abstain,1,cnn,cnn,gan,cnn
29,0.5706943453302812,0.5242794320512635,0.0464149132790177,6.963974952697754,12.864243507385254,38.84347398326436,31.752977463202388,cnn,gan,cnn,abstain,1,cnn,cnn,gan,cnn
30,0.5959090966970294,0.5482640891858299,0.04764500751119949,8.127463340759277,14.847400665283203,39.94080457344863,30.82310921065586,cnn,gan,cnn,abstain,1,cnn,cnn,gan,cnn
31,0.5933565142986378,0.560276398804242,0.03308011549439582,6.818642616271973,16.23410415649414,39.104318483733294,31.3053599336416,cnn,gan,cnn,abstain,1,cnn,cnn,gan,cnn
32,0.6141962458916969,0.5668540061885483,0.04734223970314855,7.461033821105957,19.229158401489258,38.55925876668554,30.547158977309156,cnn,gan,cnn,abstain,1,cnn,cnn,gan,cnn
35,0.6166792470112487,0.5686363295355614,0.04804291747568723,6.2719197273254395,14.435929298400879,35.95264003005777,28.746843597068697,cnn,gan,cnn,abstain,1,cnn,cnn,gan,cnn
37,0.6192860867311487,0.5818479003631635,0.03743818636798524,6.489102840423584,9.59257698059082,33.456602216246914,27.16364872656993,cnn,gan,cnn,abstain,1,cnn,cnn,gan,cnn
39,0.654329125629252,0.6094039385598059,0.04492518706944615,5.873856067657471,8.546488761901855,25.24426875811477,21.358097631209198,cnn,gan,cnn,abstain,1,cnn,cnn,gan,cnn
