sample_idx,training_size,delta_c_minus_uv_ssim_speed,delta_c_minus_uv_ssim_uv_mean,c_speed_ssim_gt_uv,c_uv_ssim_gt_uv
0,168,0.011273187807836482,-0.0014237614385892439,True,False
1,168,-0.000586197880996786,-0.0042805791756392875,False,False
2,168,0.006007020752896941,-0.0023386885926701684,True,False
3,168,0.0010517144103153742,-0.0033056260479982225,True,False
4,168,0.00042508374086247525,-0.003235530481502713,True,False
5,168,0.0008235937170955054,-0.002030391236514939,True,False
6,168,0.00037909692542925644,-0.003399045917618859,True,False
7,168,0.00100546763571574,-0.002529434242776407,True,False
8,168,0.0013693899230874385,-0.002168774596423617,True,False
9,168,0.00391156885782451,-0.001384434395036882,True,False
10,168,0.009795839572738552,0.0006998812814207334,True,True
11,168,-0.000987021156318102,-0.004067736429215207,False,False
12,168,0.0008693127905927689,-0.0029304428424392626,True,False
13,168,0.0006483340478050659,-0.00110772116528568,True,False
14,168,0.0003405273900595196,-0.0038961663854135686,True,False
15,168,0.0005605854721917325,-0.003299431192958502,True,False
16,168,-0.0003671330277371654,-0.003378397134254918,False,False
17,168,-0.0014117356521893276,-0.0019436327219048977,False,False
18,168,0.005182453874208126,-0.0017169136092551884,True,False
19,168,0.006867162169686192,-0.0012457362367842562,True,False
20,168,0.010608297181606385,-7.718416474367107e-05,True,False
21,168,0.0015689273857919517,-0.003263522440417055,True,False
22,168,0.003112231365264506,-0.0019638482654574796,True,False
23,168,0.0031276712008297958,-0.0019499917469479877,True,False
24,168,0.0026281133214011154,-0.0019407990263611286,True,False
25,168,0.008592442660320665,0.002231021555332058,True,True
26,168,0.024396421100910226,0.0024098716596725467,True,True
27,168,0.003736342986396579,-0.0019874152794806532,True,False
28,168,0.0009740758571499253,-0.0019539324470749797,True,False
29,168,0.006890580381180289,-0.002710697851174282,True,False
30,168,0.005122937709816644,-0.0024929565246036844,True,False
31,168,0.00032304107807823446,-0.0012142541157356135,True,False
32,168,0.0009632281619490479,-0.00043298538500913253,True,False
33,168,0.0031109019222004264,0.0024438616327346896,True,True
34,168,0.0027515902278362203,0.0005677651460054278,True,True
35,168,0.0033582346760753223,0.0005467655104927083,True,True
36,168,0.0030939353689084514,0.00026683323211740273,True,True
37,168,0.004855671616357027,-0.0009758558893534497,True,False
38,168,0.0015115889623503742,-0.0012544463326875643,True,False
39,168,0.0007255631102383031,-0.0018315058647081495,True,False
40,168,0.0011259505339848985,-0.0012081523387770243,True,False
41,168,-4.895971086860129e-05,-0.0014571560203114897,False,False
42,168,-0.000745728243706667,-0.0017555293257054405,False,False
43,168,-0.0012699077430831096,-0.001846113167779606,False,False
44,168,-0.0015920989070008496,-0.0019327722189245167,False,False
45,168,-0.0010561112061363565,-0.0019520738550395933,False,False
46,168,0.0031066263989054654,-0.0019964575529135553,True,False
47,168,0.0024222218478552326,-0.002248860644926909,True,False
48,168,0.00039566307218596997,-0.002108464063591442,True,False
49,168,-0.00024388114606122002,-0.0025029964378981973,False,False
50,168,-0.0009216192583048066,-0.0026883227582436,False,False
51,168,-0.0011241813556088776,-0.003064248415345361,False,False
52,168,-0.0010347684858282857,-0.002857021505316082,False,False
53,168,-0.0014141169532251308,-0.0033525443914820263,False,False
54,168,-0.0008713468390310064,-0.003409102412218701,False,False
55,168,-0.0010711842290891394,-0.0034337895731455514,False,False
56,168,-0.0006748846449595725,-0.002983369869149821,False,False
57,168,0.00040270253060470385,-0.0023701598952603486,True,False
58,168,0.0008587884043561589,-0.002613254870412751,True,False
59,168,0.000765443495949647,-0.0022108977625188153,True,False
60,168,0.0015965769842881672,-0.0015422478431468267,True,False
61,168,0.002319744691873571,-0.0007920250253211636,True,False
