sample_idx,method,training_size,family,delta_ssim_speed_vs_cnn,delta_ssim_uv_mean_vs_cnn,speed_ssim_gt_cnn,uv_ssim_gt_cnn
0,candidateC_1344,1344,candidateC,0.03693928492538323,0.05650417392007534,True,True
1,candidateC_1344,1344,candidateC,0.04941567206640851,0.05777788315256793,True,True
2,candidateC_1344,1344,candidateC,0.04831763498262642,0.05445155756102438,True,True
3,candidateC_1344,1344,candidateC,0.05867010395841987,0.059488656641021875,True,True
4,candidateC_1344,1344,candidateC,0.051897538958801004,0.05215870747414375,True,True
5,candidateC_1344,1344,candidateC,0.05788705359131341,0.060471007538177135,True,True
6,candidateC_1344,1344,candidateC,0.06290476823174429,0.06949626811029597,True,True
7,candidateC_1344,1344,candidateC,0.056882493301112946,0.06202968896860506,True,True
8,candidateC_1344,1344,candidateC,0.061466173849072936,0.06535292468073406,True,True
9,candidateC_1344,1344,candidateC,0.05803107755735948,0.06383551833342072,True,True
10,candidateC_1344,1344,candidateC,0.0580380225542384,0.06561460430824695,True,True
11,candidateC_1344,1344,candidateC,0.06548245518340612,0.07218471966722095,True,True
12,candidateC_1344,1344,candidateC,0.06549150949885163,0.06655500580062723,True,True
13,candidateC_1344,1344,candidateC,0.05812123220410459,0.07216077253018827,True,True
14,candidateC_1344,1344,candidateC,0.06537443732203174,0.07494123716735013,True,True
15,candidateC_1344,1344,candidateC,0.06341445161352655,0.07689615720858312,True,True
16,candidateC_1344,1344,candidateC,0.06181429034991881,0.0734302429519309,True,True
17,candidateC_1344,1344,candidateC,0.06103050556681078,0.069206955550561,True,True
18,candidateC_1344,1344,candidateC,0.06800709205156885,0.07298263563660767,True,True
19,candidateC_1344,1344,candidateC,0.08411339485334668,0.08274737996235815,True,True
20,candidateC_1344,1344,candidateC,0.07806270614234734,0.07775604322159912,True,True
21,candidateC_1344,1344,candidateC,0.07883462305604194,0.08178640669095527,True,True
22,candidateC_1344,1344,candidateC,0.07933373469195082,0.08699058041782481,True,True
23,candidateC_1344,1344,candidateC,0.06997342152808972,0.07487778969555925,True,True
24,candidateC_1344,1344,candidateC,0.046358602860001596,0.07104487049392583,True,True
25,candidateC_1344,1344,candidateC,0.0206912609158576,0.05726317561946059,True,True
26,candidateC_1344,1344,candidateC,0.06674494215008508,0.0724914608563727,True,True
27,candidateC_1344,1344,candidateC,0.07718160566772458,0.07560234930389886,True,True
28,candidateC_1344,1344,candidateC,0.07107860984887238,0.06818643146960157,True,True
29,candidateC_1344,1344,candidateC,0.0589450520181628,0.05994635750182553,True,True
30,candidateC_1344,1344,candidateC,0.041613095508376885,0.053908641093610266,True,True
31,candidateC_1344,1344,candidateC,0.0551531635544229,0.05540018771751354,True,True
32,candidateC_1344,1344,candidateC,0.042309491275992483,0.04881882718821351,True,True
33,candidateC_1344,1344,candidateC,0.04323645412992794,0.04416998214199985,True,True
34,candidateC_1344,1344,candidateC,0.04632829402409211,0.04862749708970282,True,True
35,candidateC_1344,1344,candidateC,0.05656555004533037,0.05149542640403837,True,True
36,candidateC_1344,1344,candidateC,0.04862850861060852,0.050202673058165614,True,True
37,candidateC_1344,1344,candidateC,0.04896536814690311,0.05417561092777157,True,True
38,candidateC_1344,1344,candidateC,0.054151719565491696,0.05019899650146997,True,True
39,candidateC_1344,1344,candidateC,0.05040273642648441,0.05118257047065722,True,True
