sample_idx,method,family,training_size,ssim_u,ssim_v,ssim_uv_mean,ssim_speed
0,cnn,baseline,baseline,0.7790310937448952,0.8079932910060217,0.7935121923754584,0.7916389408031873
1,cnn,baseline,baseline,0.7799276069141614,0.8007647029278047,0.790346154920983,0.7821705534942578
2,cnn,baseline,baseline,0.7798387474602034,0.8018807292933029,0.7908597383767532,0.7800572037978283
3,cnn,baseline,baseline,0.7802518884884886,0.7957284340275044,0.7879901612579965,0.7704735556867575
4,cnn,baseline,baseline,0.7999553150140974,0.7978809150661381,0.7989181150401178,0.7695059844175365
5,cnn,baseline,baseline,0.7887063480183659,0.7910010071886201,0.789853677603493,0.7615162584590522
6,cnn,baseline,baseline,0.7828835810923598,0.792213935228361,0.7875487581603604,0.7562050413916123
7,cnn,baseline,baseline,0.7890410862703816,0.7932742598553151,0.7911576730628483,0.7524765532121072
8,cnn,baseline,baseline,0.7707894977706687,0.8038065547463724,0.7872980262585205,0.7464459220249704
9,cnn,baseline,baseline,0.7778094513056419,0.7954410752001492,0.7866252632528956,0.7446819513462573
10,cnn,baseline,baseline,0.7746184147487891,0.7955361966313839,0.7850773056900865,0.7434170492808365
11,cnn,baseline,baseline,0.7549348789239498,0.7870602777300875,0.7709975783270187,0.7303690267404125
12,cnn,baseline,baseline,0.7740850831758536,0.779946370210079,0.7770157266929663,0.7210435595932435
13,cnn,baseline,baseline,0.7559569201797449,0.7683738244063917,0.7621653722930684,0.7121872561447178
14,cnn,baseline,baseline,0.7463153876681244,0.7709495594109884,0.7586324735395564,0.7050239967532888
15,cnn,baseline,baseline,0.7415805026275732,0.7772470033293398,0.7594137529784566,0.7166329137549897
16,cnn,baseline,baseline,0.7603797400178625,0.7880708982964383,0.7742253191571504,0.7412991975082776
17,cnn,baseline,baseline,0.76775649663248,0.8038171470319175,0.7857868218321988,0.7557758233957509
18,cnn,baseline,baseline,0.7742067468673487,0.8052235361264573,0.789715141496903,0.7575816319938387
19,cnn,baseline,baseline,0.7637268048475475,0.7999311913547155,0.7818289981011315,0.7515524815148595
20,cnn,baseline,baseline,0.7706449433800566,0.8002620995290536,0.785453521454555,0.7443441306491471
21,cnn,baseline,baseline,0.7409806648942127,0.7967385769374129,0.7688596209158127,0.706519374683036
22,cnn,baseline,baseline,0.7271878254512391,0.7957899196469722,0.7614888725491056,0.6860384971037816
23,cnn,baseline,baseline,0.7380603914185316,0.8203206799625822,0.7791905356905569,0.7106341391646878
24,cnn,baseline,baseline,0.7240548733212381,0.8322138198519422,0.7781343465865902,0.7329689709850471
25,cnn,baseline,baseline,0.7362852619971766,0.8470567749703969,0.7916710184837867,0.7640945314453051
26,cnn,baseline,baseline,0.7270601210133164,0.8275223697591934,0.7772912453862548,0.7245868443212059
27,cnn,baseline,baseline,0.7331494339486423,0.8193205903765176,0.77623501216258,0.7141142182742949
28,cnn,baseline,baseline,0.7431662840316096,0.8352313498145251,0.7891988169230673,0.7235488571543222
29,cnn,baseline,baseline,0.7668144517423492,0.8369400169228037,0.8018772343325764,0.746825360665417
30,cnn,baseline,baseline,0.7805057753330821,0.845715825045515,0.8131108001892986,0.7650970901551513
31,cnn,baseline,baseline,0.7831594232347977,0.8399273561944776,0.8115433897146376,0.7542112017080653
32,cnn,baseline,baseline,0.7970556447317896,0.8439984463825877,0.8205270455571887,0.7704752067631346
33,cnn,baseline,baseline,0.8076708321151268,0.8363097665957603,0.8219902993554435,0.7783134129071354
34,cnn,baseline,baseline,0.7987297986537071,0.8199621156863106,0.8093459571700088,0.7746333319717673
35,cnn,baseline,baseline,0.7883427476789492,0.8168975892393331,0.8026201684591412,0.7637770901860501
36,cnn,baseline,baseline,0.7953848059527426,0.8128779457065102,0.8041313758296265,0.7685429694005846
37,cnn,baseline,baseline,0.7912923224563208,0.8042321281570457,0.7977622253066832,0.7696454017892032
38,cnn,baseline,baseline,0.8078330073768661,0.8166957358205706,0.8122643715987183,0.777886418985788
39,cnn,baseline,baseline,0.8281806533431144,0.8252584270489945,0.8267195401960545,0.7962138749394732
40,cnn,baseline,baseline,0.8447482588012328,0.8314169959350389,0.8380826273681359,0.8104420486251115
41,cnn,baseline,baseline,0.8511362131743374,0.8163354913946932,0.8337358522845153,0.8175458903580742
42,cnn,baseline,baseline,0.8582285389903928,0.8163789431499475,0.8373037410701701,0.8294459296259401
43,cnn,baseline,baseline,0.8602732236602917,0.8124229896239228,0.8363481066421072,0.8279761851321061
44,cnn,baseline,baseline,0.854680709574339,0.810441023260198,0.8325608664172685,0.826771873086117
45,cnn,baseline,baseline,0.8279416287283868,0.7935069451324454,0.8107242869304161,0.8109234688437186
46,cnn,baseline,baseline,0.8027075254650875,0.7783166139457458,0.7905120697054167,0.7871115066212219
47,cnn,baseline,baseline,0.8079093665181626,0.7854970870675461,0.7967032267928543,0.7923837166932193
48,cnn,baseline,baseline,0.818548164161576,0.7882800514395425,0.8034141078005592,0.7961258975061917
49,cnn,baseline,baseline,0.8124689674301634,0.7916230838699069,0.8020460256500351,0.7945546853702835
50,cnn,baseline,baseline,0.8188922441314748,0.7846556766725399,0.8017739604020073,0.7841627173660404
51,cnn,baseline,baseline,0.8244294583672201,0.7880417757235205,0.8062356170453704,0.77911098613535
52,cnn,baseline,baseline,0.827258913468795,0.7926474162534269,0.8099531648611109,0.7881925893319995
53,cnn,baseline,baseline,0.8292870422389598,0.7899050885076869,0.8095960653733234,0.7960084793050487
54,cnn,baseline,baseline,0.8261293506636654,0.7875243147851568,0.8068268327244111,0.7972146881326493
55,cnn,baseline,baseline,0.8213419903658971,0.7820207171401506,0.8016813537530239,0.7928614637730145
56,cnn,baseline,baseline,0.8125044199187765,0.7782284291752862,0.7953664245470313,0.7807878079009908
57,cnn,baseline,baseline,0.7985313590181266,0.765166178794046,0.7818487689060862,0.7698782473346513
58,cnn,baseline,baseline,0.7982443585905792,0.7553218385902175,0.7767830985903983,0.7634636549770054
59,cnn,baseline,baseline,0.7954037731055034,0.7507014616372262,0.7730526173713648,0.7638881485909927
60,cnn,baseline,baseline,0.7952869392202855,0.7426237112547205,0.768955325237503,0.752170123692001
61,cnn,baseline,baseline,0.7926202333399516,0.7312883787167495,0.7619543060283505,0.7327916105110879
62,cnn,baseline,baseline,0.7795109817646703,0.727626804855225,0.7535688933099476,0.7231788280147898
