method,family,training_size,n,ssim_speed_mean,ssim_speed_std,ssim_speed_median,ssim_speed_min,ssim_speed_max,ssim_uv_mean_mean,ssim_uv_mean_std,ssim_uv_mean_median,ssim_uv_mean_min,ssim_uv_mean_max,ssim_u_mean,ssim_u_std,ssim_u_median,ssim_u_min,ssim_u_max,ssim_v_mean,ssim_v_std,ssim_v_median,ssim_v_min,ssim_v_max
cnn,baseline,baseline,168,0.7411751591056414,0.043350937862908466,0.7303129272301059,0.6617771533464998,0.868469672398966,0.7710305983016696,0.038565888271408236,0.7699764517822608,0.708791998720485,0.8770382773202725,0.7747432628938921,0.03896600714048632,0.7713376597186905,0.7002799724755981,0.873212674608412,0.7673179337094472,0.04673877294199259,0.7674412175614429,0.6948656591670753,0.880863880032133
gan,baseline,baseline,168,0.6774182925982097,0.05548729278964677,0.6661636311130971,0.5783915582151319,0.8324454637316425,0.6988331290659359,0.04940623906199945,0.6954735145151121,0.5887735244762107,0.8013765717737114,0.711543867194676,0.046067335906334106,0.7136185303856515,0.5958962529133461,0.8123916179734749,0.6861223909371956,0.06508831826464198,0.6760864855469608,0.5769398534919098,0.8200823962359413
candidateC_168,candidateC,168,168,0.7777433221530381,0.034547631608156874,0.7710489060727672,0.7126344022963133,0.888332018710612,0.8096819089242412,0.030811084884399143,0.8114754569851153,0.7633710852077774,0.8999436694505654,0.8146833184838665,0.029622310573189144,0.8135708448197123,0.7544313237505803,0.8980587702036031,0.8046804993646162,0.040988443859836916,0.8035012671815513,0.7400215261044688,0.9023022900406515
candidateC_672,candidateC,672,168,0.7948615753164997,0.03496045751842684,0.7888079529070615,0.7312862809697025,0.908653678943012,0.8304813900647507,0.03179984593571812,0.8313924828218331,0.7779848760748872,0.925783611081779,0.8349759982588306,0.029901524941702003,0.8343874443690817,0.7696731572879092,0.9225267675016439,0.8259867818706711,0.04251487349314435,0.8302110409667774,0.755981579553891,0.9290404546619142
candidateC_1344,candidateC,1344,168,0.8043858622379219,0.03409742274410578,0.7972823369625948,0.7440206274197338,0.9144384049265872,0.8401382099197925,0.030955533762951463,0.841359931463697,0.7893980719462125,0.9313060464286302,0.8421149130836085,0.029338803631644424,0.8413648597599008,0.7780300091526797,0.9274609693580582,0.8381615067559762,0.04136285777360597,0.840679109292095,0.7668129440775947,0.9354239112738859
candidateC_2688,candidateC,2688,168,0.8126221010004238,0.03362253720441745,0.8068510980996562,0.754769484810916,0.9209205716833216,0.8481104464597216,0.03031472608142589,0.8493232146424945,0.7963761633170938,0.9361041729196576,0.8506688015036229,0.028491845918677473,0.8509792934601251,0.7865260801648497,0.9325563962027905,0.8455520914158204,0.04102094634037819,0.8500584692210487,0.7731886208622396,0.9410361029879555
candidateUV_168,candidateUV,168,168,0.7751799741924609,0.03592651421032235,0.7691790942840591,0.7059364909498992,0.8827914101839355,0.8111892007557241,0.03177250627150818,0.8136816859109554,0.7615219385141367,0.9049265354565657,0.8166146553836613,0.03043971260682141,0.8168885857893698,0.7499791586646485,0.9012925464664525,0.8057637461277869,0.04226665715748353,0.8057493404157443,0.7376209534248187,0.9086557852758556
candidateUV_672,candidateUV,672,168,0.7952356219435598,0.03611874959103152,0.7875237048367723,0.7286760505665018,0.9046785906309437,0.8350954036490238,0.031950353268490675,0.8361905476335775,0.7827029291385986,0.9302035515635979,0.8390779368415695,0.030266324786639005,0.838945176341632,0.7683830256775345,0.9263457800317418,0.8311128704564784,0.042722089958850434,0.8348094293887574,0.7594814156365411,0.934061323095454
candidateUV_1344,candidateUV,1344,168,0.80551104573901,0.034734982426968375,0.7986992768349785,0.7410458375727165,0.9123311742745501,0.8454476448416858,0.03099497480201503,0.846140313468316,0.7933855970562589,0.9351861832106371,0.8474212209808515,0.02942919181325381,0.8475088357488774,0.7792942682363655,0.9312681571334782,0.8434740687025204,0.041686266312253126,0.8464727735848091,0.7718817941593378,0.9391042092877959
candidateUV_2688,candidateUV,2688,168,0.8134428279163576,0.03370252778686751,0.809291903154094,0.7516952354208251,0.9167629104832818,0.8535505147968051,0.030141751697840953,0.8560353732673678,0.7997506091157449,0.9397115730477862,0.8555901979262256,0.028586705732580403,0.8565301860927709,0.7886402158346437,0.9354468177160395,0.8515108316673848,0.041148588176858056,0.8546731978573149,0.7784224875111894,0.9439763283795328
