key,method,mt_distance
candidateB_expanded2688_s0_speed_p160_x0_y0,candidateB_expanded2688,5.581960678100586
candidateB_expanded2688_s100_speed_p160_x0_y0,candidateB_expanded2688,7.046594142913818
candidateB_expanded2688_s101_speed_p160_x0_y0,candidateB_expanded2688,6.639455318450928
candidateB_expanded2688_s102_speed_p160_x0_y0,candidateB_expanded2688,6.607070446014404
candidateB_expanded2688_s103_speed_p160_x0_y0,candidateB_expanded2688,6.033105850219727
candidateB_expanded2688_s104_speed_p160_x0_y0,candidateB_expanded2688,5.426681041717529
candidateB_expanded2688_s105_speed_p160_x0_y0,candidateB_expanded2688,5.568109035491943
candidateB_expanded2688_s106_speed_p160_x0_y0,candidateB_expanded2688,5.882505893707275
candidateB_expanded2688_s107_speed_p160_x0_y0,candidateB_expanded2688,5.411886692047119
candidateB_expanded2688_s108_speed_p160_x0_y0,candidateB_expanded2688,6.75749397277832
candidateB_expanded2688_s109_speed_p160_x0_y0,candidateB_expanded2688,5.2513885498046875
candidateB_expanded2688_s10_speed_p160_x0_y0,candidateB_expanded2688,6.206335544586182
candidateB_expanded2688_s110_speed_p160_x0_y0,candidateB_expanded2688,6.755455017089844
candidateB_expanded2688_s111_speed_p160_x0_y0,candidateB_expanded2688,7.3753814697265625
candidateB_expanded2688_s112_speed_p160_x0_y0,candidateB_expanded2688,6.932098865509033
candidateB_expanded2688_s113_speed_p160_x0_y0,candidateB_expanded2688,6.199470520019531
candidateB_expanded2688_s114_speed_p160_x0_y0,candidateB_expanded2688,6.232865810394287
candidateB_expanded2688_s115_speed_p160_x0_y0,candidateB_expanded2688,6.14846134185791
candidateB_expanded2688_s116_speed_p160_x0_y0,candidateB_expanded2688,6.270855903625488
candidateB_expanded2688_s117_speed_p160_x0_y0,candidateB_expanded2688,6.685479640960693
candidateB_expanded2688_s118_speed_p160_x0_y0,candidateB_expanded2688,6.890813827514648
candidateB_expanded2688_s119_speed_p160_x0_y0,candidateB_expanded2688,7.433663368225098
candidateB_expanded2688_s11_speed_p160_x0_y0,candidateB_expanded2688,6.385826110839844
candidateB_expanded2688_s120_speed_p160_x0_y0,candidateB_expanded2688,7.079914093017578
candidateB_expanded2688_s121_speed_p160_x0_y0,candidateB_expanded2688,5.743302822113037
candidateB_expanded2688_s122_speed_p160_x0_y0,candidateB_expanded2688,5.5450568199157715
candidateB_expanded2688_s123_speed_p160_x0_y0,candidateB_expanded2688,5.728773593902588
candidateB_expanded2688_s124_speed_p160_x0_y0,candidateB_expanded2688,6.296786308288574
candidateB_expanded2688_s125_speed_p160_x0_y0,candidateB_expanded2688,5.964684009552002
candidateB_expanded2688_s126_speed_p160_x0_y0,candidateB_expanded2688,5.5537800788879395
candidateB_expanded2688_s127_speed_p160_x0_y0,candidateB_expanded2688,6.250616073608398
candidateB_expanded2688_s128_speed_p160_x0_y0,candidateB_expanded2688,6.230897426605225
candidateB_expanded2688_s129_speed_p160_x0_y0,candidateB_expanded2688,6.2470245361328125
candidateB_expanded2688_s12_speed_p160_x0_y0,candidateB_expanded2688,6.107650279998779
candidateB_expanded2688_s130_speed_p160_x0_y0,candidateB_expanded2688,6.585582733154297
candidateB_expanded2688_s131_speed_p160_x0_y0,candidateB_expanded2688,6.318841457366943
candidateB_expanded2688_s132_speed_p160_x0_y0,candidateB_expanded2688,6.752293586730957
candidateB_expanded2688_s133_speed_p160_x0_y0,candidateB_expanded2688,5.905575275421143
candidateB_expanded2688_s134_speed_p160_x0_y0,candidateB_expanded2688,5.78902006149292
