key,method,pd_distance
candidateB_expanded2688_s0_speed_p160_x0_y0,candidateB_expanded2688,22.844383952249093
candidateB_expanded2688_s100_speed_p160_x0_y0,candidateB_expanded2688,24.441131910446018
candidateB_expanded2688_s101_speed_p160_x0_y0,candidateB_expanded2688,23.993984469810563
candidateB_expanded2688_s102_speed_p160_x0_y0,candidateB_expanded2688,23.209393128527875
candidateB_expanded2688_s103_speed_p160_x0_y0,candidateB_expanded2688,23.637942325545463
candidateB_expanded2688_s104_speed_p160_x0_y0,candidateB_expanded2688,22.743728905895885
candidateB_expanded2688_s105_speed_p160_x0_y0,candidateB_expanded2688,22.548378056786408
candidateB_expanded2688_s106_speed_p160_x0_y0,candidateB_expanded2688,22.2987098448152
candidateB_expanded2688_s107_speed_p160_x0_y0,candidateB_expanded2688,21.78685602690406
candidateB_expanded2688_s108_speed_p160_x0_y0,candidateB_expanded2688,22.637930305923025
candidateB_expanded2688_s109_speed_p160_x0_y0,candidateB_expanded2688,22.352784332083274
candidateB_expanded2688_s10_speed_p160_x0_y0,candidateB_expanded2688,24.403168912091672
candidateB_expanded2688_s110_speed_p160_x0_y0,candidateB_expanded2688,23.009681598355563
candidateB_expanded2688_s111_speed_p160_x0_y0,candidateB_expanded2688,21.890454233420304
candidateB_expanded2688_s112_speed_p160_x0_y0,candidateB_expanded2688,21.00420278288629
candidateB_expanded2688_s113_speed_p160_x0_y0,candidateB_expanded2688,20.00313765035655
candidateB_expanded2688_s114_speed_p160_x0_y0,candidateB_expanded2688,19.331740763711245
candidateB_expanded2688_s115_speed_p160_x0_y0,candidateB_expanded2688,19.888360371157507
candidateB_expanded2688_s116_speed_p160_x0_y0,candidateB_expanded2688,20.503463089915652
candidateB_expanded2688_s117_speed_p160_x0_y0,candidateB_expanded2688,22.126110794660548
candidateB_expanded2688_s118_speed_p160_x0_y0,candidateB_expanded2688,24.133407559769317
candidateB_expanded2688_s119_speed_p160_x0_y0,candidateB_expanded2688,23.649493290605715
candidateB_expanded2688_s11_speed_p160_x0_y0,candidateB_expanded2688,25.080623898932007
candidateB_expanded2688_s120_speed_p160_x0_y0,candidateB_expanded2688,24.157263746111397
candidateB_expanded2688_s121_speed_p160_x0_y0,candidateB_expanded2688,24.042363970444804
candidateB_expanded2688_s122_speed_p160_x0_y0,candidateB_expanded2688,24.267571945019643
candidateB_expanded2688_s123_speed_p160_x0_y0,candidateB_expanded2688,24.05079267173382
candidateB_expanded2688_s124_speed_p160_x0_y0,candidateB_expanded2688,23.568484286630667
candidateB_expanded2688_s125_speed_p160_x0_y0,candidateB_expanded2688,22.921377138728804
candidateB_expanded2688_s126_speed_p160_x0_y0,candidateB_expanded2688,22.167334108344388
candidateB_expanded2688_s127_speed_p160_x0_y0,candidateB_expanded2688,23.486554289372442
candidateB_expanded2688_s128_speed_p160_x0_y0,candidateB_expanded2688,22.797056081910174
candidateB_expanded2688_s129_speed_p160_x0_y0,candidateB_expanded2688,24.001243818746513
candidateB_expanded2688_s12_speed_p160_x0_y0,candidateB_expanded2688,25.209715866930164
candidateB_expanded2688_s130_speed_p160_x0_y0,candidateB_expanded2688,24.72397825075314
candidateB_expanded2688_s131_speed_p160_x0_y0,candidateB_expanded2688,26.633322440356025
candidateB_expanded2688_s132_speed_p160_x0_y0,candidateB_expanded2688,28.319494030595376
candidateB_expanded2688_s133_speed_p160_x0_y0,candidateB_expanded2688,28.699744047161612
candidateB_expanded2688_s134_speed_p160_x0_y0,candidateB_expanded2688,26.423794099090124
candidateB_expanded2688_s135_speed_p160_x0_y0,candidateB_expanded2688,25.285955076619295
candidateB_expanded2688_s136_speed_p160_x0_y0,candidateB_expanded2688,24.333426504436922
candidateB_expanded2688_s137_speed_p160_x0_y0,candidateB_expanded2688,23.172092087740577
candidateB_expanded2688_s138_speed_p160_x0_y0,candidateB_expanded2688,22.861127658541374
candidateB_expanded2688_s139_speed_p160_x0_y0,candidateB_expanded2688,21.995438494871866
candidateB_expanded2688_s13_speed_p160_x0_y0,candidateB_expanded2688,24.617297518745602
candidateB_expanded2688_s140_speed_p160_x0_y0,candidateB_expanded2688,23.643572184943412
