key,method,pd_distance
candidateC_expanded2688_s0_speed_p160_x0_y0,candidateC_expanded2688,22.07634893478405
candidateC_expanded2688_s100_speed_p160_x0_y0,candidateC_expanded2688,24.311061195298628
candidateC_expanded2688_s101_speed_p160_x0_y0,candidateC_expanded2688,23.769370385547635
candidateC_expanded2688_s102_speed_p160_x0_y0,candidateC_expanded2688,23.05934468998177
candidateC_expanded2688_s103_speed_p160_x0_y0,candidateC_expanded2688,23.188113098888273
candidateC_expanded2688_s104_speed_p160_x0_y0,candidateC_expanded2688,22.631398518338436
candidateC_expanded2688_s105_speed_p160_x0_y0,candidateC_expanded2688,22.94328353283818
candidateC_expanded2688_s106_speed_p160_x0_y0,candidateC_expanded2688,22.63810691264538
candidateC_expanded2688_s107_speed_p160_x0_y0,candidateC_expanded2688,21.911571308721246
candidateC_expanded2688_s108_speed_p160_x0_y0,candidateC_expanded2688,22.6761611531554
candidateC_expanded2688_s109_speed_p160_x0_y0,candidateC_expanded2688,22.553265392443883
candidateC_expanded2688_s10_speed_p160_x0_y0,candidateC_expanded2688,24.12504463313079
candidateC_expanded2688_s110_speed_p160_x0_y0,candidateC_expanded2688,23.073234564445713
candidateC_expanded2688_s111_speed_p160_x0_y0,candidateC_expanded2688,21.666021618194275
candidateC_expanded2688_s112_speed_p160_x0_y0,candidateC_expanded2688,21.222679479460705
candidateC_expanded2688_s113_speed_p160_x0_y0,candidateC_expanded2688,20.004721103179328
candidateC_expanded2688_s114_speed_p160_x0_y0,candidateC_expanded2688,18.65660692349496
candidateC_expanded2688_s115_speed_p160_x0_y0,candidateC_expanded2688,19.639069818325193
candidateC_expanded2688_s116_speed_p160_x0_y0,candidateC_expanded2688,20.100931173939276
candidateC_expanded2688_s117_speed_p160_x0_y0,candidateC_expanded2688,21.808113970788664
candidateC_expanded2688_s118_speed_p160_x0_y0,candidateC_expanded2688,23.396681270503237
candidateC_expanded2688_s119_speed_p160_x0_y0,candidateC_expanded2688,22.78615125778564
candidateC_expanded2688_s11_speed_p160_x0_y0,candidateC_expanded2688,24.034861602154407
candidateC_expanded2688_s120_speed_p160_x0_y0,candidateC_expanded2688,23.064005999492974
candidateC_expanded2688_s121_speed_p160_x0_y0,candidateC_expanded2688,23.514217520058732
candidateC_expanded2688_s122_speed_p160_x0_y0,candidateC_expanded2688,23.4528257652313
candidateC_expanded2688_s123_speed_p160_x0_y0,candidateC_expanded2688,23.131519159063874
candidateC_expanded2688_s124_speed_p160_x0_y0,candidateC_expanded2688,22.94383709099765
candidateC_expanded2688_s125_speed_p160_x0_y0,candidateC_expanded2688,21.819194947439293
candidateC_expanded2688_s126_speed_p160_x0_y0,candidateC_expanded2688,21.923801530396087
