key,method,pd_distance
candidateUV_expanded2688_s0_speed_p160_x0_y0,candidateUV_expanded2688,29.081549266805364
candidateUV_expanded2688_s100_speed_p160_x0_y0,candidateUV_expanded2688,34.112481669638115
candidateUV_expanded2688_s101_speed_p160_x0_y0,candidateUV_expanded2688,33.267083888648145
candidateUV_expanded2688_s102_speed_p160_x0_y0,candidateUV_expanded2688,32.36497510927633
candidateUV_expanded2688_s103_speed_p160_x0_y0,candidateUV_expanded2688,32.96008638635174
candidateUV_expanded2688_s104_speed_p160_x0_y0,candidateUV_expanded2688,32.23326306363157
candidateUV_expanded2688_s105_speed_p160_x0_y0,candidateUV_expanded2688,32.05098826952434
candidateUV_expanded2688_s106_speed_p160_x0_y0,candidateUV_expanded2688,32.12046395582687
candidateUV_expanded2688_s107_speed_p160_x0_y0,candidateUV_expanded2688,31.79810289079005
candidateUV_expanded2688_s108_speed_p160_x0_y0,candidateUV_expanded2688,31.547251260811358
candidateUV_expanded2688_s109_speed_p160_x0_y0,candidateUV_expanded2688,31.374500810825342
candidateUV_expanded2688_s10_speed_p160_x0_y0,candidateUV_expanded2688,30.91912707945054
candidateUV_expanded2688_s110_speed_p160_x0_y0,candidateUV_expanded2688,31.898503112326864
candidateUV_expanded2688_s111_speed_p160_x0_y0,candidateUV_expanded2688,30.82263650521881
candidateUV_expanded2688_s112_speed_p160_x0_y0,candidateUV_expanded2688,30.11989844721977
candidateUV_expanded2688_s113_speed_p160_x0_y0,candidateUV_expanded2688,28.832229829742747
candidateUV_expanded2688_s114_speed_p160_x0_y0,candidateUV_expanded2688,27.61601729587204
candidateUV_expanded2688_s115_speed_p160_x0_y0,candidateUV_expanded2688,27.950153659943773
candidateUV_expanded2688_s116_speed_p160_x0_y0,candidateUV_expanded2688,28.713439569046038
candidateUV_expanded2688_s117_speed_p160_x0_y0,candidateUV_expanded2688,30.138736628636593
candidateUV_expanded2688_s118_speed_p160_x0_y0,candidateUV_expanded2688,32.03632477936077
candidateUV_expanded2688_s119_speed_p160_x0_y0,candidateUV_expanded2688,31.561390564229434
candidateUV_expanded2688_s11_speed_p160_x0_y0,candidateUV_expanded2688,30.767637612878474
candidateUV_expanded2688_s120_speed_p160_x0_y0,candidateUV_expanded2688,31.185193440089783
candidateUV_expanded2688_s121_speed_p160_x0_y0,candidateUV_expanded2688,32.21349329972035
candidateUV_expanded2688_s122_speed_p160_x0_y0,candidateUV_expanded2688,31.59579110463592
candidateUV_expanded2688_s123_speed_p160_x0_y0,candidateUV_expanded2688,31.261162475562752
candidateUV_expanded2688_s124_speed_p160_x0_y0,candidateUV_expanded2688,31.11120222501236
candidateUV_expanded2688_s125_speed_p160_x0_y0,candidateUV_expanded2688,30.438355576556948
candidateUV_expanded2688_s126_speed_p160_x0_y0,candidateUV_expanded2688,29.81822815135971
candidateUV_expanded2688_s127_speed_p160_x0_y0,candidateUV_expanded2688,31.471218004300955
candidateUV_expanded2688_s128_speed_p160_x0_y0,candidateUV_expanded2688,30.884601220144088
candidateUV_expanded2688_s129_speed_p160_x0_y0,candidateUV_expanded2688,31.938331096834805
candidateUV_expanded2688_s12_speed_p160_x0_y0,candidateUV_expanded2688,31.238197333895258
candidateUV_expanded2688_s130_speed_p160_x0_y0,candidateUV_expanded2688,31.993568944793555
candidateUV_expanded2688_s131_speed_p160_x0_y0,candidateUV_expanded2688,34.36309429254976
candidateUV_expanded2688_s132_speed_p160_x0_y0,candidateUV_expanded2688,35.76288425935037
candidateUV_expanded2688_s133_speed_p160_x0_y0,candidateUV_expanded2688,36.032013241213264
candidateUV_expanded2688_s134_speed_p160_x0_y0,candidateUV_expanded2688,33.46011487268062
candidateUV_expanded2688_s135_speed_p160_x0_y0,candidateUV_expanded2688,31.008782053231815
candidateUV_expanded2688_s136_speed_p160_x0_y0,candidateUV_expanded2688,28.998648393767734
candidateUV_expanded2688_s137_speed_p160_x0_y0,candidateUV_expanded2688,27.73644994171503
candidateUV_expanded2688_s138_speed_p160_x0_y0,candidateUV_expanded2688,26.83457754322956
candidateUV_expanded2688_s139_speed_p160_x0_y0,candidateUV_expanded2688,26.163373983710752
candidateUV_expanded2688_s13_speed_p160_x0_y0,candidateUV_expanded2688,30.122080567196537
candidateUV_expanded2688_s140_speed_p160_x0_y0,candidateUV_expanded2688,27.835582441245503
candidateUV_expanded2688_s141_speed_p160_x0_y0,candidateUV_expanded2688,31.948377371534242
candidateUV_expanded2688_s142_speed_p160_x0_y0,candidateUV_expanded2688,35.389559421472065
candidateUV_expanded2688_s143_speed_p160_x0_y0,candidateUV_expanded2688,33.92343847457748
candidateUV_expanded2688_s144_speed_p160_x0_y0,candidateUV_expanded2688,33.70863796233623
candidateUV_expanded2688_s145_speed_p160_x0_y0,candidateUV_expanded2688,33.33806912890716
candidateUV_expanded2688_s146_speed_p160_x0_y0,candidateUV_expanded2688,32.271540870316734
candidateUV_expanded2688_s147_speed_p160_x0_y0,candidateUV_expanded2688,30.536526914574054
candidateUV_expanded2688_s148_speed_p160_x0_y0,candidateUV_expanded2688,29.468264176693918
candidateUV_expanded2688_s149_speed_p160_x0_y0,candidateUV_expanded2688,28.49618191880712
candidateUV_expanded2688_s14_speed_p160_x0_y0,candidateUV_expanded2688,29.387324284510047
candidateUV_expanded2688_s150_speed_p160_x0_y0,candidateUV_expanded2688,26.710828567841606
candidateUV_expanded2688_s151_speed_p160_x0_y0,candidateUV_expanded2688,25.83650407233569
candidateUV_expanded2688_s152_speed_p160_x0_y0,candidateUV_expanded2688,25.715319885561893
candidateUV_expanded2688_s153_speed_p160_x0_y0,candidateUV_expanded2688,25.493216141121046
candidateUV_expanded2688_s154_speed_p160_x0_y0,candidateUV_expanded2688,24.87323885472003
candidateUV_expanded2688_s155_speed_p160_x0_y0,candidateUV_expanded2688,25.113516080078043
candidateUV_expanded2688_s156_speed_p160_x0_y0,candidateUV_expanded2688,26.059907152820017
candidateUV_expanded2688_s157_speed_p160_x0_y0,candidateUV_expanded2688,27.443447870972623
candidateUV_expanded2688_s158_speed_p160_x0_y0,candidateUV_expanded2688,29.97159067829497
candidateUV_expanded2688_s159_speed_p160_x0_y0,candidateUV_expanded2688,27.23468969751398
candidateUV_expanded2688_s15_speed_p160_x0_y0,candidateUV_expanded2688,27.48997367281859
candidateUV_expanded2688_s160_speed_p160_x0_y0,candidateUV_expanded2688,24.965441614547142
candidateUV_expanded2688_s161_speed_p160_x0_y0,candidateUV_expanded2688,23.542869695500826
candidateUV_expanded2688_s162_speed_p160_x0_y0,candidateUV_expanded2688,23.5246367879069
candidateUV_expanded2688_s163_speed_p160_x0_y0,candidateUV_expanded2688,24.677026350557238
candidateUV_expanded2688_s164_speed_p160_x0_y0,candidateUV_expanded2688,26.091248569861765
candidateUV_expanded2688_s165_speed_p160_x0_y0,candidateUV_expanded2688,27.94999197491335
candidateUV_expanded2688_s166_speed_p160_x0_y0,candidateUV_expanded2688,29.44193503298755
candidateUV_expanded2688_s167_speed_p160_x0_y0,candidateUV_expanded2688,29.329617289399195
candidateUV_expanded2688_s16_speed_p160_x0_y0,candidateUV_expanded2688,24.690258289135276
candidateUV_expanded2688_s17_speed_p160_x0_y0,candidateUV_expanded2688,22.4515374632863
candidateUV_expanded2688_s18_speed_p160_x0_y0,candidateUV_expanded2688,21.87873761985479
candidateUV_expanded2688_s19_speed_p160_x0_y0,candidateUV_expanded2688,21.50744499013621
candidateUV_expanded2688_s1_speed_p160_x0_y0,candidateUV_expanded2688,29.663402130653395
candidateUV_expanded2688_s20_speed_p160_x0_y0,candidateUV_expanded2688,22.789475066915504
candidateUV_expanded2688_s21_speed_p160_x0_y0,candidateUV_expanded2688,28.291028934254953
candidateUV_expanded2688_s22_speed_p160_x0_y0,candidateUV_expanded2688,35.34736989819478
candidateUV_expanded2688_s23_speed_p160_x0_y0,candidateUV_expanded2688,36.556988621110555
candidateUV_expanded2688_s24_speed_p160_x0_y0,candidateUV_expanded2688,37.51997157326217
candidateUV_expanded2688_s25_speed_p160_x0_y0,candidateUV_expanded2688,38.68588428543018
candidateUV_expanded2688_s26_speed_p160_x0_y0,candidateUV_expanded2688,39.45001474922624
candidateUV_expanded2688_s27_speed_p160_x0_y0,candidateUV_expanded2688,40.92198022503764
candidateUV_expanded2688_s28_speed_p160_x0_y0,candidateUV_expanded2688,41.964270192473684
candidateUV_expanded2688_s29_speed_p160_x0_y0,candidateUV_expanded2688,42.62372472229959
candidateUV_expanded2688_s2_speed_p160_x0_y0,candidateUV_expanded2688,30.176996938958347
candidateUV_expanded2688_s30_speed_p160_x0_y0,candidateUV_expanded2688,42.43366704226463
candidateUV_expanded2688_s31_speed_p160_x0_y0,candidateUV_expanded2688,42.14538228768671
candidateUV_expanded2688_s32_speed_p160_x0_y0,candidateUV_expanded2688,41.28438072872303
candidateUV_expanded2688_s33_speed_p160_x0_y0,candidateUV_expanded2688,40.72374015883796
candidateUV_expanded2688_s34_speed_p160_x0_y0,candidateUV_expanded2688,39.90798182584014
candidateUV_expanded2688_s35_speed_p160_x0_y0,candidateUV_expanded2688,39.31119090445886
candidateUV_expanded2688_s36_speed_p160_x0_y0,candidateUV_expanded2688,38.86291654888346
candidateUV_expanded2688_s37_speed_p160_x0_y0,candidateUV_expanded2688,36.82956414572722
candidateUV_expanded2688_s38_speed_p160_x0_y0,candidateUV_expanded2688,33.23457140740784
candidateUV_expanded2688_s39_speed_p160_x0_y0,candidateUV_expanded2688,28.699234912142074
candidateUV_expanded2688_s3_speed_p160_x0_y0,candidateUV_expanded2688,30.21359653924298
candidateUV_expanded2688_s40_speed_p160_x0_y0,candidateUV_expanded2688,26.325158683617367
candidateUV_expanded2688_s41_speed_p160_x0_y0,candidateUV_expanded2688,24.612086096163008
candidateUV_expanded2688_s42_speed_p160_x0_y0,candidateUV_expanded2688,22.623553086103115
candidateUV_expanded2688_s43_speed_p160_x0_y0,candidateUV_expanded2688,21.00957254528505
candidateUV_expanded2688_s44_speed_p160_x0_y0,candidateUV_expanded2688,19.713074497664024
candidateUV_expanded2688_s45_speed_p160_x0_y0,candidateUV_expanded2688,20.546944371492007
candidateUV_expanded2688_s46_speed_p160_x0_y0,candidateUV_expanded2688,19.935945173792724
candidateUV_expanded2688_s47_speed_p160_x0_y0,candidateUV_expanded2688,20.98329944801188
candidateUV_expanded2688_s48_speed_p160_x0_y0,candidateUV_expanded2688,21.880269755061487
candidateUV_expanded2688_s49_speed_p160_x0_y0,candidateUV_expanded2688,21.910980071869325
candidateUV_expanded2688_s4_speed_p160_x0_y0,candidateUV_expanded2688,30.632014870336125
candidateUV_expanded2688_s50_speed_p160_x0_y0,candidateUV_expanded2688,21.59273865408293
candidateUV_expanded2688_s51_speed_p160_x0_y0,candidateUV_expanded2688,21.857270787699203
candidateUV_expanded2688_s52_speed_p160_x0_y0,candidateUV_expanded2688,22.651589244044963
candidateUV_expanded2688_s53_speed_p160_x0_y0,candidateUV_expanded2688,23.0392856000503
candidateUV_expanded2688_s54_speed_p160_x0_y0,candidateUV_expanded2688,24.057600068474038
candidateUV_expanded2688_s55_speed_p160_x0_y0,candidateUV_expanded2688,24.910070476383456
candidateUV_expanded2688_s56_speed_p160_x0_y0,candidateUV_expanded2688,25.63370772756651
candidateUV_expanded2688_s57_speed_p160_x0_y0,candidateUV_expanded2688,25.920456446616534
candidateUV_expanded2688_s58_speed_p160_x0_y0,candidateUV_expanded2688,26.623998350280573
candidateUV_expanded2688_s59_speed_p160_x0_y0,candidateUV_expanded2688,27.00365619034434
candidateUV_expanded2688_s5_speed_p160_x0_y0,candidateUV_expanded2688,31.408971018275594
candidateUV_expanded2688_s60_speed_p160_x0_y0,candidateUV_expanded2688,27.49205177515583
candidateUV_expanded2688_s61_speed_p160_x0_y0,candidateUV_expanded2688,27.59962014937176
