key,method,mt_distance
candidateUV_plus_E2_tf_lowlambda_expanded2688_s0_speed_p160_x0_y0,candidateUV_plus_E2_tf_lowlambda_expanded2688,4.658649444580078
candidateUV_plus_E2_tf_lowlambda_expanded2688_s100_speed_p160_x0_y0,candidateUV_plus_E2_tf_lowlambda_expanded2688,5.534897804260254
candidateUV_plus_E2_tf_lowlambda_expanded2688_s101_speed_p160_x0_y0,candidateUV_plus_E2_tf_lowlambda_expanded2688,5.178794860839844
candidateUV_plus_E2_tf_lowlambda_expanded2688_s102_speed_p160_x0_y0,candidateUV_plus_E2_tf_lowlambda_expanded2688,5.766694068908691
candidateUV_plus_E2_tf_lowlambda_expanded2688_s103_speed_p160_x0_y0,candidateUV_plus_E2_tf_lowlambda_expanded2688,5.3717546463012695
candidateUV_plus_E2_tf_lowlambda_expanded2688_s104_speed_p160_x0_y0,candidateUV_plus_E2_tf_lowlambda_expanded2688,5.547503471374512
candidateUV_plus_E2_tf_lowlambda_expanded2688_s105_speed_p160_x0_y0,candidateUV_plus_E2_tf_lowlambda_expanded2688,4.8521294593811035
candidateUV_plus_E2_tf_lowlambda_expanded2688_s106_speed_p160_x0_y0,candidateUV_plus_E2_tf_lowlambda_expanded2688,5.365975379943848
candidateUV_plus_E2_tf_lowlambda_expanded2688_s107_speed_p160_x0_y0,candidateUV_plus_E2_tf_lowlambda_expanded2688,5.496224403381348
candidateUV_plus_E2_tf_lowlambda_expanded2688_s108_speed_p160_x0_y0,candidateUV_plus_E2_tf_lowlambda_expanded2688,5.777649879455566
candidateUV_plus_E2_tf_lowlambda_expanded2688_s109_speed_p160_x0_y0,candidateUV_plus_E2_tf_lowlambda_expanded2688,5.91840934753418
candidateUV_plus_E2_tf_lowlambda_expanded2688_s10_speed_p160_x0_y0,candidateUV_plus_E2_tf_lowlambda_expanded2688,5.856513023376465
candidateUV_plus_E2_tf_lowlambda_expanded2688_s110_speed_p160_x0_y0,candidateUV_plus_E2_tf_lowlambda_expanded2688,5.155005931854248
candidateUV_plus_E2_tf_lowlambda_expanded2688_s111_speed_p160_x0_y0,candidateUV_plus_E2_tf_lowlambda_expanded2688,5.530526161193848
candidateUV_plus_E2_tf_lowlambda_expanded2688_s112_speed_p160_x0_y0,candidateUV_plus_E2_tf_lowlambda_expanded2688,5.61930513381958
candidateUV_plus_E2_tf_lowlambda_expanded2688_s113_speed_p160_x0_y0,candidateUV_plus_E2_tf_lowlambda_expanded2688,5.491955280303955
candidateUV_plus_E2_tf_lowlambda_expanded2688_s114_speed_p160_x0_y0,candidateUV_plus_E2_tf_lowlambda_expanded2688,5.1948676109313965
candidateUV_plus_E2_tf_lowlambda_expanded2688_s115_speed_p160_x0_y0,candidateUV_plus_E2_tf_lowlambda_expanded2688,5.760406017303467
candidateUV_plus_E2_tf_lowlambda_expanded2688_s116_speed_p160_x0_y0,candidateUV_plus_E2_tf_lowlambda_expanded2688,5.976273536682129
candidateUV_plus_E2_tf_lowlambda_expanded2688_s117_speed_p160_x0_y0,candidateUV_plus_E2_tf_lowlambda_expanded2688,5.794461250305176
candidateUV_plus_E2_tf_lowlambda_expanded2688_s118_speed_p160_x0_y0,candidateUV_plus_E2_tf_lowlambda_expanded2688,5.766697883605957
candidateUV_plus_E2_tf_lowlambda_expanded2688_s119_speed_p160_x0_y0,candidateUV_plus_E2_tf_lowlambda_expanded2688,6.017614364624023
candidateUV_plus_E2_tf_lowlambda_expanded2688_s11_speed_p160_x0_y0,candidateUV_plus_E2_tf_lowlambda_expanded2688,6.048043251037598
candidateUV_plus_E2_tf_lowlambda_expanded2688_s120_speed_p160_x0_y0,candidateUV_plus_E2_tf_lowlambda_expanded2688,5.76509428024292
candidateUV_plus_E2_tf_lowlambda_expanded2688_s121_speed_p160_x0_y0,candidateUV_plus_E2_tf_lowlambda_expanded2688,4.981169700622559
candidateUV_plus_E2_tf_lowlambda_expanded2688_s122_speed_p160_x0_y0,candidateUV_plus_E2_tf_lowlambda_expanded2688,5.047743320465088
candidateUV_plus_E2_tf_lowlambda_expanded2688_s123_speed_p160_x0_y0,candidateUV_plus_E2_tf_lowlambda_expanded2688,4.947822093963623
candidateUV_plus_E2_tf_lowlambda_expanded2688_s124_speed_p160_x0_y0,candidateUV_plus_E2_tf_lowlambda_expanded2688,5.193713665008545
candidateUV_plus_E2_tf_lowlambda_expanded2688_s125_speed_p160_x0_y0,candidateUV_plus_E2_tf_lowlambda_expanded2688,5.362099647521973
candidateUV_plus_E2_tf_lowlambda_expanded2688_s126_speed_p160_x0_y0,candidateUV_plus_E2_tf_lowlambda_expanded2688,5.227357387542725
candidateUV_plus_E2_tf_lowlambda_expanded2688_s127_speed_p160_x0_y0,candidateUV_plus_E2_tf_lowlambda_expanded2688,5.342385768890381
candidateUV_plus_E2_tf_lowlambda_expanded2688_s128_speed_p160_x0_y0,candidateUV_plus_E2_tf_lowlambda_expanded2688,5.5759429931640625
candidateUV_plus_E2_tf_lowlambda_expanded2688_s129_speed_p160_x0_y0,candidateUV_plus_E2_tf_lowlambda_expanded2688,5.777096271514893
candidateUV_plus_E2_tf_lowlambda_expanded2688_s12_speed_p160_x0_y0,candidateUV_plus_E2_tf_lowlambda_expanded2688,4.799325942993164
candidateUV_plus_E2_tf_lowlambda_expanded2688_s130_speed_p160_x0_y0,candidateUV_plus_E2_tf_lowlambda_expanded2688,6.919495105743408
candidateUV_plus_E2_tf_lowlambda_expanded2688_s131_speed_p160_x0_y0,candidateUV_plus_E2_tf_lowlambda_expanded2688,5.960140228271484
candidateUV_plus_E2_tf_lowlambda_expanded2688_s132_speed_p160_x0_y0,candidateUV_plus_E2_tf_lowlambda_expanded2688,4.856873512268066
candidateUV_plus_E2_tf_lowlambda_expanded2688_s133_speed_p160_x0_y0,candidateUV_plus_E2_tf_lowlambda_expanded2688,5.399690628051758
candidateUV_plus_E2_tf_lowlambda_expanded2688_s134_speed_p160_x0_y0,candidateUV_plus_E2_tf_lowlambda_expanded2688,4.685944557189941
candidateUV_plus_E2_tf_lowlambda_expanded2688_s135_speed_p160_x0_y0,candidateUV_plus_E2_tf_lowlambda_expanded2688,4.129832744598389
candidateUV_plus_E2_tf_lowlambda_expanded2688_s136_speed_p160_x0_y0,candidateUV_plus_E2_tf_lowlambda_expanded2688,4.3273797035217285
candidateUV_plus_E2_tf_lowlambda_expanded2688_s137_speed_p160_x0_y0,candidateUV_plus_E2_tf_lowlambda_expanded2688,3.97765851020813
candidateUV_plus_E2_tf_lowlambda_expanded2688_s138_speed_p160_x0_y0,candidateUV_plus_E2_tf_lowlambda_expanded2688,4.040774822235107
candidateUV_plus_E2_tf_lowlambda_expanded2688_s139_speed_p160_x0_y0,candidateUV_plus_E2_tf_lowlambda_expanded2688,4.02901554107666
candidateUV_plus_E2_tf_lowlambda_expanded2688_s13_speed_p160_x0_y0,candidateUV_plus_E2_tf_lowlambda_expanded2688,5.322068691253662
candidateUV_plus_E2_tf_lowlambda_expanded2688_s140_speed_p160_x0_y0,candidateUV_plus_E2_tf_lowlambda_expanded2688,4.254804611206055
candidateUV_plus_E2_tf_lowlambda_expanded2688_s141_speed_p160_x0_y0,candidateUV_plus_E2_tf_lowlambda_expanded2688,5.006461143493652
candidateUV_plus_E2_tf_lowlambda_expanded2688_s142_speed_p160_x0_y0,candidateUV_plus_E2_tf_lowlambda_expanded2688,5.145903587341309
candidateUV_plus_E2_tf_lowlambda_expanded2688_s143_speed_p160_x0_y0,candidateUV_plus_E2_tf_lowlambda_expanded2688,5.179233074188232
candidateUV_plus_E2_tf_lowlambda_expanded2688_s144_speed_p160_x0_y0,candidateUV_plus_E2_tf_lowlambda_expanded2688,5.705430030822754
candidateUV_plus_E2_tf_lowlambda_expanded2688_s145_speed_p160_x0_y0,candidateUV_plus_E2_tf_lowlambda_expanded2688,5.206714153289795
candidateUV_plus_E2_tf_lowlambda_expanded2688_s146_speed_p160_x0_y0,candidateUV_plus_E2_tf_lowlambda_expanded2688,5.142242908477783
candidateUV_plus_E2_tf_lowlambda_expanded2688_s147_speed_p160_x0_y0,candidateUV_plus_E2_tf_lowlambda_expanded2688,5.258753776550293
