key,method,mt_distance
candidateUV_plus_crit_expanded2688_s0_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,4.38884162902832
candidateUV_plus_crit_expanded2688_s100_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,5.940283298492432
candidateUV_plus_crit_expanded2688_s101_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,5.782731533050537
candidateUV_plus_crit_expanded2688_s102_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,6.176698684692383
candidateUV_plus_crit_expanded2688_s103_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,6.358299732208252
candidateUV_plus_crit_expanded2688_s104_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,5.082434177398682
candidateUV_plus_crit_expanded2688_s105_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,5.163030624389648
candidateUV_plus_crit_expanded2688_s106_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,5.390985012054443
candidateUV_plus_crit_expanded2688_s107_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,5.276034355163574
candidateUV_plus_crit_expanded2688_s108_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,5.858572959899902
candidateUV_plus_crit_expanded2688_s109_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,5.138594627380371
candidateUV_plus_crit_expanded2688_s10_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,5.1899542808532715
candidateUV_plus_crit_expanded2688_s110_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,4.987950325012207
candidateUV_plus_crit_expanded2688_s111_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,5.562653541564941
candidateUV_plus_crit_expanded2688_s112_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,5.939664840698242
candidateUV_plus_crit_expanded2688_s113_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,5.497918128967285
candidateUV_plus_crit_expanded2688_s114_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,5.194068908691406
candidateUV_plus_crit_expanded2688_s115_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,5.729349136352539
candidateUV_plus_crit_expanded2688_s116_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,5.275815963745117
candidateUV_plus_crit_expanded2688_s117_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,5.138458251953125
candidateUV_plus_crit_expanded2688_s118_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,5.678450107574463
candidateUV_plus_crit_expanded2688_s119_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,6.276996612548828
candidateUV_plus_crit_expanded2688_s11_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,5.396185398101807
candidateUV_plus_crit_expanded2688_s120_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,5.682240962982178
candidateUV_plus_crit_expanded2688_s121_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,5.109481334686279
candidateUV_plus_crit_expanded2688_s122_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,5.435542583465576
candidateUV_plus_crit_expanded2688_s123_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,5.359990119934082
candidateUV_plus_crit_expanded2688_s124_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,5.320713043212891
candidateUV_plus_crit_expanded2688_s125_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,5.262046813964844
candidateUV_plus_crit_expanded2688_s126_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,5.481229782104492
candidateUV_plus_crit_expanded2688_s127_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,5.460638046264648
candidateUV_plus_crit_expanded2688_s128_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,5.613723278045654
candidateUV_plus_crit_expanded2688_s129_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,5.577445983886719
candidateUV_plus_crit_expanded2688_s12_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,4.85081148147583
candidateUV_plus_crit_expanded2688_s130_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,5.767115592956543
candidateUV_plus_crit_expanded2688_s131_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,5.961183071136475
candidateUV_plus_crit_expanded2688_s132_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,5.82425594329834
candidateUV_plus_crit_expanded2688_s133_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,4.932988166809082
candidateUV_plus_crit_expanded2688_s134_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,4.5880818367004395
candidateUV_plus_crit_expanded2688_s135_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,4.257596015930176
candidateUV_plus_crit_expanded2688_s136_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,5.05914306640625
