key,method,pd_distance
candidateUV_plus_crit_expanded2688_s0_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,28.305402440763327
candidateUV_plus_crit_expanded2688_s100_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,33.23080815340807
candidateUV_plus_crit_expanded2688_s101_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,32.605064409174446
candidateUV_plus_crit_expanded2688_s102_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,31.5818310532165
candidateUV_plus_crit_expanded2688_s103_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,32.10777192956174
candidateUV_plus_crit_expanded2688_s104_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,31.552823415444436
candidateUV_plus_crit_expanded2688_s105_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,31.331705619336123
candidateUV_plus_crit_expanded2688_s106_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,31.427861350011703
candidateUV_plus_crit_expanded2688_s107_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,30.992449552090452
candidateUV_plus_crit_expanded2688_s108_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,30.821652395425033
candidateUV_plus_crit_expanded2688_s109_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,30.775099054391998
candidateUV_plus_crit_expanded2688_s10_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,30.481792502564726
candidateUV_plus_crit_expanded2688_s110_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,31.253920728282747
candidateUV_plus_crit_expanded2688_s111_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,30.147426707358715
candidateUV_plus_crit_expanded2688_s112_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,29.536782613927983
candidateUV_plus_crit_expanded2688_s113_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,28.405514938356166
candidateUV_plus_crit_expanded2688_s114_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,26.992242186511977
candidateUV_plus_crit_expanded2688_s115_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,27.290251062694878
candidateUV_plus_crit_expanded2688_s116_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,28.054464519775642
candidateUV_plus_crit_expanded2688_s117_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,29.338607179251017
candidateUV_plus_crit_expanded2688_s118_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,31.1278409226534
candidateUV_plus_crit_expanded2688_s119_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,30.662328743617472
candidateUV_plus_crit_expanded2688_s11_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,30.07764187089303
candidateUV_plus_crit_expanded2688_s120_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,30.23430229925878
candidateUV_plus_crit_expanded2688_s121_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,31.31525611786826
candidateUV_plus_crit_expanded2688_s122_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,30.799006986032055
candidateUV_plus_crit_expanded2688_s123_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,30.472956919658678
candidateUV_plus_crit_expanded2688_s124_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,30.404751827770628
candidateUV_plus_crit_expanded2688_s125_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,29.756753927357913
candidateUV_plus_crit_expanded2688_s126_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,29.166154051170288
candidateUV_plus_crit_expanded2688_s127_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,30.957979469203778
candidateUV_plus_crit_expanded2688_s128_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,30.304148183351376
candidateUV_plus_crit_expanded2688_s129_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,31.31976068601003
candidateUV_plus_crit_expanded2688_s12_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,30.65406893638758
candidateUV_plus_crit_expanded2688_s130_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,31.400751936828005
candidateUV_plus_crit_expanded2688_s131_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,33.701340224877185
candidateUV_plus_crit_expanded2688_s132_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,35.09244122545331
candidateUV_plus_crit_expanded2688_s133_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,35.12545126844231
candidateUV_plus_crit_expanded2688_s134_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,32.634877153727594
candidateUV_plus_crit_expanded2688_s135_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,30.365863446944097
candidateUV_plus_crit_expanded2688_s136_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,28.249503516479944
candidateUV_plus_crit_expanded2688_s137_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,27.049064516615868
candidateUV_plus_crit_expanded2688_s138_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,26.256488933988592
candidateUV_plus_crit_expanded2688_s139_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,25.79577920176936
candidateUV_plus_crit_expanded2688_s13_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,29.72750206172535
candidateUV_plus_crit_expanded2688_s140_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,27.27925593530416
candidateUV_plus_crit_expanded2688_s141_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,31.439767404461552
candidateUV_plus_crit_expanded2688_s142_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,34.78773612305957
candidateUV_plus_crit_expanded2688_s143_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,33.40435078267048
candidateUV_plus_crit_expanded2688_s144_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,33.18074461474862
candidateUV_plus_crit_expanded2688_s145_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,32.86949871562666
candidateUV_plus_crit_expanded2688_s146_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,31.82923596951299
candidateUV_plus_crit_expanded2688_s147_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,29.947413507285027
candidateUV_plus_crit_expanded2688_s148_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,28.980986649551966
candidateUV_plus_crit_expanded2688_s149_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,28.03047008154437
candidateUV_plus_crit_expanded2688_s14_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,28.846013170519473
candidateUV_plus_crit_expanded2688_s150_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,26.312786926618017
candidateUV_plus_crit_expanded2688_s151_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,25.479847375589863
candidateUV_plus_crit_expanded2688_s152_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,25.393751344906768
candidateUV_plus_crit_expanded2688_s153_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,25.369268177451904
candidateUV_plus_crit_expanded2688_s154_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,24.7377882628652
candidateUV_plus_crit_expanded2688_s155_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,24.927540337004352
candidateUV_plus_crit_expanded2688_s156_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,25.79650994546684
candidateUV_plus_crit_expanded2688_s157_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,27.088725998820816
candidateUV_plus_crit_expanded2688_s158_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,29.393397493661677
candidateUV_plus_crit_expanded2688_s159_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,26.729273963561358
candidateUV_plus_crit_expanded2688_s15_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,26.96877672930145
candidateUV_plus_crit_expanded2688_s160_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,24.524730258902338
candidateUV_plus_crit_expanded2688_s161_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,22.928443681578294
candidateUV_plus_crit_expanded2688_s162_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,22.94403842531537
candidateUV_plus_crit_expanded2688_s163_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,24.216098723025386
candidateUV_plus_crit_expanded2688_s164_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,25.470230717399478
candidateUV_plus_crit_expanded2688_s165_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,27.337101940911197
candidateUV_plus_crit_expanded2688_s166_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,28.641466228393483
candidateUV_plus_crit_expanded2688_s167_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,28.458458047950003
candidateUV_plus_crit_expanded2688_s16_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,24.277589247676627
candidateUV_plus_crit_expanded2688_s17_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,21.95447904868154
candidateUV_plus_crit_expanded2688_s18_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,21.4626894534873
candidateUV_plus_crit_expanded2688_s19_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,20.921682541442514
candidateUV_plus_crit_expanded2688_s1_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,28.839295574403597
candidateUV_plus_crit_expanded2688_s20_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,22.304082589835122
candidateUV_plus_crit_expanded2688_s21_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,27.76388146778383
candidateUV_plus_crit_expanded2688_s22_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,34.7626422967067
candidateUV_plus_crit_expanded2688_s23_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,35.92248802018595
candidateUV_plus_crit_expanded2688_s24_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,36.78645214382868
candidateUV_plus_crit_expanded2688_s25_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,37.87811984707843
candidateUV_plus_crit_expanded2688_s26_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,38.60791574027924
candidateUV_plus_crit_expanded2688_s27_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,40.24591033038719
candidateUV_plus_crit_expanded2688_s28_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,40.9316565353827
candidateUV_plus_crit_expanded2688_s29_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,41.81855714924487
candidateUV_plus_crit_expanded2688_s2_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,29.560469180214266
candidateUV_plus_crit_expanded2688_s30_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,41.576546987864425
candidateUV_plus_crit_expanded2688_s31_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,41.51373208562867
candidateUV_plus_crit_expanded2688_s32_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,40.46626331128688
candidateUV_plus_crit_expanded2688_s33_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,40.05412179387073
candidateUV_plus_crit_expanded2688_s34_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,39.0926791614929
candidateUV_plus_crit_expanded2688_s35_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,38.28845251199882
candidateUV_plus_crit_expanded2688_s36_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,37.9996458695358
candidateUV_plus_crit_expanded2688_s37_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,35.99134896095669
candidateUV_plus_crit_expanded2688_s38_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,32.60102226268046
candidateUV_plus_crit_expanded2688_s39_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,27.97477793907165
candidateUV_plus_crit_expanded2688_s3_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,29.58518675922032
candidateUV_plus_crit_expanded2688_s40_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,25.859680584694637
candidateUV_plus_crit_expanded2688_s41_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,24.35422884263296
candidateUV_plus_crit_expanded2688_s42_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,22.355562924760175
candidateUV_plus_crit_expanded2688_s43_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,20.78707618512857
candidateUV_plus_crit_expanded2688_s44_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,19.460831939215836
candidateUV_plus_crit_expanded2688_s45_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,20.359042818862036
candidateUV_plus_crit_expanded2688_s46_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,19.70930367069606
candidateUV_plus_crit_expanded2688_s47_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,20.88362393354309
candidateUV_plus_crit_expanded2688_s48_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,21.800629368175837
candidateUV_plus_crit_expanded2688_s49_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,21.75534947843217
candidateUV_plus_crit_expanded2688_s4_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,30.01750274638743
candidateUV_plus_crit_expanded2688_s50_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,21.521423974751873
candidateUV_plus_crit_expanded2688_s51_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,21.68256695308935
candidateUV_plus_crit_expanded2688_s52_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,22.3429945696303
candidateUV_plus_crit_expanded2688_s53_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,22.682389475507048
candidateUV_plus_crit_expanded2688_s54_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,23.644897966313287
candidateUV_plus_crit_expanded2688_s55_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,24.418832805283163
candidateUV_plus_crit_expanded2688_s56_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,25.139473168535496
candidateUV_plus_crit_expanded2688_s57_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,25.474336256633705
candidateUV_plus_crit_expanded2688_s58_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,26.16201043342167
candidateUV_plus_crit_expanded2688_s59_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,26.496762478085596
candidateUV_plus_crit_expanded2688_s5_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,30.606239369719205
candidateUV_plus_crit_expanded2688_s60_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,27.02902051717389
candidateUV_plus_crit_expanded2688_s61_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,27.19167146520347
candidateUV_plus_crit_expanded2688_s62_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,28.574191097841805
candidateUV_plus_crit_expanded2688_s63_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,29.55761873034702
candidateUV_plus_crit_expanded2688_s64_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,25.0133984079922
candidateUV_plus_crit_expanded2688_s65_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,23.158805484112786
candidateUV_plus_crit_expanded2688_s66_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,21.656963284944133
candidateUV_plus_crit_expanded2688_s67_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,21.021729647032654
candidateUV_plus_crit_expanded2688_s68_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,22.002637571697065
candidateUV_plus_crit_expanded2688_s69_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,25.249593275146122
candidateUV_plus_crit_expanded2688_s6_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,31.224151483066063
candidateUV_plus_crit_expanded2688_s70_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,25.629401683913727
candidateUV_plus_crit_expanded2688_s71_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,26.513936514829652
candidateUV_plus_crit_expanded2688_s72_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,27.695828028724936
candidateUV_plus_crit_expanded2688_s73_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,28.872186467847754
candidateUV_plus_crit_expanded2688_s74_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,29.916867730006185
candidateUV_plus_crit_expanded2688_s75_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,30.41236916915155
candidateUV_plus_crit_expanded2688_s76_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,31.136867412305566
candidateUV_plus_crit_expanded2688_s77_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,31.052486698191103
candidateUV_plus_crit_expanded2688_s78_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,30.812970756847218
candidateUV_plus_crit_expanded2688_s79_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,30.704987113800772
candidateUV_plus_crit_expanded2688_s7_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,30.957326137188357
candidateUV_plus_crit_expanded2688_s80_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,30.637514876409597
candidateUV_plus_crit_expanded2688_s81_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,30.768852055248978
candidateUV_plus_crit_expanded2688_s82_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,30.361850164553697
candidateUV_plus_crit_expanded2688_s83_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,29.931112720639096
candidateUV_plus_crit_expanded2688_s84_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,30.365523397957276
candidateUV_plus_crit_expanded2688_s85_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,30.027115699323748
candidateUV_plus_crit_expanded2688_s86_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,30.570178094024573
candidateUV_plus_crit_expanded2688_s87_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,31.485771060065193
candidateUV_plus_crit_expanded2688_s88_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,28.09274685693523
candidateUV_plus_crit_expanded2688_s89_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,25.3309569429403
candidateUV_plus_crit_expanded2688_s8_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,30.789750692520183
candidateUV_plus_crit_expanded2688_s90_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,23.601266051134083
candidateUV_plus_crit_expanded2688_s91_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,23.80694531528641
candidateUV_plus_crit_expanded2688_s92_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,24.638263763866373
candidateUV_plus_crit_expanded2688_s93_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,27.85836513918065
candidateUV_plus_crit_expanded2688_s94_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,29.294299581328314
candidateUV_plus_crit_expanded2688_s95_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,30.752663003056313
candidateUV_plus_crit_expanded2688_s96_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,32.401842034021165
candidateUV_plus_crit_expanded2688_s97_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,32.98282325093888
candidateUV_plus_crit_expanded2688_s98_speed_p160_x0_y0,candidateUV_plus_crit_expanded2688,33.469556125431936
