key,method,mt_distance
cnn_s0_speed_p160_x0_y0,cnn,4.500688076019287
cnn_s100_speed_p160_x0_y0,cnn,6.346127033233643
cnn_s101_speed_p160_x0_y0,cnn,5.56087589263916
cnn_s102_speed_p160_x0_y0,cnn,6.400581359863281
cnn_s103_speed_p160_x0_y0,cnn,6.120683193206787
cnn_s104_speed_p160_x0_y0,cnn,5.065499782562256
cnn_s105_speed_p160_x0_y0,cnn,4.783941745758057
cnn_s106_speed_p160_x0_y0,cnn,5.462008476257324
cnn_s107_speed_p160_x0_y0,cnn,5.639422416687012
cnn_s108_speed_p160_x0_y0,cnn,5.461521148681641
cnn_s109_speed_p160_x0_y0,cnn,4.977870464324951
cnn_s10_speed_p160_x0_y0,cnn,6.312417984008789
cnn_s110_speed_p160_x0_y0,cnn,5.5560455322265625
cnn_s111_speed_p160_x0_y0,cnn,5.999242305755615
cnn_s112_speed_p160_x0_y0,cnn,5.921085357666016
cnn_s113_speed_p160_x0_y0,cnn,5.3297553062438965
cnn_s114_speed_p160_x0_y0,cnn,5.1392130851745605
cnn_s115_speed_p160_x0_y0,cnn,5.200671672821045
cnn_s116_speed_p160_x0_y0,cnn,5.348538398742676
cnn_s117_speed_p160_x0_y0,cnn,4.841246604919434
cnn_s118_speed_p160_x0_y0,cnn,5.698904037475586
cnn_s119_speed_p160_x0_y0,cnn,5.831080436706543
cnn_s11_speed_p160_x0_y0,cnn,5.111840724945068
cnn_s120_speed_p160_x0_y0,cnn,6.057933330535889
cnn_s121_speed_p160_x0_y0,cnn,5.6243414878845215
cnn_s122_speed_p160_x0_y0,cnn,5.916131019592285
cnn_s123_speed_p160_x0_y0,cnn,6.660204887390137
cnn_s124_speed_p160_x0_y0,cnn,6.108985424041748
cnn_s125_speed_p160_x0_y0,cnn,6.072235107421875
cnn_s126_speed_p160_x0_y0,cnn,5.55911922454834
cnn_s127_speed_p160_x0_y0,cnn,6.085465908050537
cnn_s128_speed_p160_x0_y0,cnn,6.083070278167725
cnn_s129_speed_p160_x0_y0,cnn,6.214920997619629
cnn_s12_speed_p160_x0_y0,cnn,5.680602073669434
cnn_s130_speed_p160_x0_y0,cnn,5.871283054351807
cnn_s131_speed_p160_x0_y0,cnn,5.347846508026123
cnn_s132_speed_p160_x0_y0,cnn,5.262984752655029
cnn_s133_speed_p160_x0_y0,cnn,6.0316972732543945
cnn_s134_speed_p160_x0_y0,cnn,5.084630966186523
cnn_s135_speed_p160_x0_y0,cnn,5.829825401306152
cnn_s136_speed_p160_x0_y0,cnn,6.024452209472656
cnn_s137_speed_p160_x0_y0,cnn,4.89294958114624
