key,method,pd_distance
cnn_s0_speed_p160_x0_y0,cnn,24.79355077622094
cnn_s100_speed_p160_x0_y0,cnn,31.359421835128956
cnn_s101_speed_p160_x0_y0,cnn,30.46057643362595
cnn_s102_speed_p160_x0_y0,cnn,29.404846150030778
cnn_s103_speed_p160_x0_y0,cnn,29.746911127848072
cnn_s104_speed_p160_x0_y0,cnn,29.28434690323313
cnn_s105_speed_p160_x0_y0,cnn,29.336489016320154
cnn_s106_speed_p160_x0_y0,cnn,30.115554502098366
cnn_s107_speed_p160_x0_y0,cnn,29.776231943093048
cnn_s108_speed_p160_x0_y0,cnn,28.860552176670257
cnn_s109_speed_p160_x0_y0,cnn,28.93523956892959
cnn_s10_speed_p160_x0_y0,cnn,29.548542866206322
cnn_s110_speed_p160_x0_y0,cnn,29.449293837742456
cnn_s111_speed_p160_x0_y0,cnn,28.2493837682247
cnn_s112_speed_p160_x0_y0,cnn,27.4840930264169
cnn_s113_speed_p160_x0_y0,cnn,26.093535172390585
cnn_s114_speed_p160_x0_y0,cnn,24.636586114235445
cnn_s115_speed_p160_x0_y0,cnn,25.376825119855194
cnn_s116_speed_p160_x0_y0,cnn,24.9815444010932
cnn_s117_speed_p160_x0_y0,cnn,26.93557354233111
cnn_s118_speed_p160_x0_y0,cnn,27.671753049205503
cnn_s119_speed_p160_x0_y0,cnn,27.017702077903305
cnn_s11_speed_p160_x0_y0,cnn,28.576420168024566
cnn_s120_speed_p160_x0_y0,cnn,27.97554380032366
cnn_s121_speed_p160_x0_y0,cnn,29.192632664237525
cnn_s122_speed_p160_x0_y0,cnn,28.219322167632132
cnn_s123_speed_p160_x0_y0,cnn,29.333700956829226
cnn_s124_speed_p160_x0_y0,cnn,28.434995555943047
cnn_s125_speed_p160_x0_y0,cnn,28.58994385816654
cnn_s126_speed_p160_x0_y0,cnn,27.971387977463827
cnn_s127_speed_p160_x0_y0,cnn,29.828950508163775
cnn_s128_speed_p160_x0_y0,cnn,28.482197163242517
cnn_s129_speed_p160_x0_y0,cnn,29.701695846032177
cnn_s12_speed_p160_x0_y0,cnn,30.165604259209587
cnn_s130_speed_p160_x0_y0,cnn,30.469649202665412
cnn_s131_speed_p160_x0_y0,cnn,33.02905140084965
cnn_s132_speed_p160_x0_y0,cnn,33.89675820617805
cnn_s133_speed_p160_x0_y0,cnn,34.359259511314974
cnn_s134_speed_p160_x0_y0,cnn,32.45802191927426
cnn_s135_speed_p160_x0_y0,cnn,30.1490425058401
cnn_s136_speed_p160_x0_y0,cnn,28.249360228830472
cnn_s137_speed_p160_x0_y0,cnn,26.975984760261106
cnn_s138_speed_p160_x0_y0,cnn,26.527026098731668
cnn_s139_speed_p160_x0_y0,cnn,26.014673250849693
cnn_s13_speed_p160_x0_y0,cnn,29.2705298839883
cnn_s140_speed_p160_x0_y0,cnn,27.202182321530934
cnn_s141_speed_p160_x0_y0,cnn,30.2130198075651
cnn_s142_speed_p160_x0_y0,cnn,31.48382213261602
