key,method,pd_distance
gan_s0_speed_p160_x0_y0,gan,22.288016266014466
gan_s100_speed_p160_x0_y0,gan,20.9388545033604
gan_s101_speed_p160_x0_y0,gan,20.943785434752343
gan_s102_speed_p160_x0_y0,gan,19.965955224629884
gan_s103_speed_p160_x0_y0,gan,20.439024454906793
gan_s104_speed_p160_x0_y0,gan,19.93985152663235
gan_s105_speed_p160_x0_y0,gan,19.31211275217393
gan_s106_speed_p160_x0_y0,gan,20.11546637136013
gan_s107_speed_p160_x0_y0,gan,20.45175835290609
gan_s108_speed_p160_x0_y0,gan,21.047557274458313
gan_s109_speed_p160_x0_y0,gan,20.844533858227013
gan_s10_speed_p160_x0_y0,gan,24.66888895370661
gan_s110_speed_p160_x0_y0,gan,19.893826189952073
gan_s111_speed_p160_x0_y0,gan,18.719175355390934
gan_s112_speed_p160_x0_y0,gan,19.264004916590082
gan_s113_speed_p160_x0_y0,gan,18.215152028038283
gan_s114_speed_p160_x0_y0,gan,16.89273780187763
gan_s115_speed_p160_x0_y0,gan,17.406553700610846
gan_s116_speed_p160_x0_y0,gan,17.126351810002387
gan_s117_speed_p160_x0_y0,gan,18.427884650599268
gan_s118_speed_p160_x0_y0,gan,19.67054115157516
gan_s119_speed_p160_x0_y0,gan,20.330006431905108
gan_s11_speed_p160_x0_y0,gan,24.596313638436325
gan_s120_speed_p160_x0_y0,gan,21.231015235809156
gan_s121_speed_p160_x0_y0,gan,20.893789234903853
gan_s122_speed_p160_x0_y0,gan,21.99184324440618
gan_s123_speed_p160_x0_y0,gan,21.687511833398844
gan_s124_speed_p160_x0_y0,gan,21.503548462433606
gan_s125_speed_p160_x0_y0,gan,21.287284062158893
gan_s126_speed_p160_x0_y0,gan,22.533430407931583
gan_s127_speed_p160_x0_y0,gan,24.304166609024843
gan_s128_speed_p160_x0_y0,gan,23.00679052436478
gan_s129_speed_p160_x0_y0,gan,24.188190804463424
gan_s12_speed_p160_x0_y0,gan,23.927529440512
gan_s130_speed_p160_x0_y0,gan,23.63904854537034
gan_s131_speed_p160_x0_y0,gan,24.706756148509502
gan_s132_speed_p160_x0_y0,gan,25.439712555036817
gan_s133_speed_p160_x0_y0,gan,25.089283251364957
gan_s134_speed_p160_x0_y0,gan,22.552156801240404
gan_s135_speed_p160_x0_y0,gan,20.324077717490436
gan_s136_speed_p160_x0_y0,gan,19.953061540856538
gan_s137_speed_p160_x0_y0,gan,18.45580671553841
gan_s138_speed_p160_x0_y0,gan,18.886992182053667
gan_s139_speed_p160_x0_y0,gan,17.23350237140068
gan_s13_speed_p160_x0_y0,gan,24.173370705384635
gan_s140_speed_p160_x0_y0,gan,17.724285841849305
gan_s141_speed_p160_x0_y0,gan,22.338062865553336
gan_s142_speed_p160_x0_y0,gan,25.23445157284371
gan_s143_speed_p160_x0_y0,gan,25.34111655846611
gan_s144_speed_p160_x0_y0,gan,24.634264126943584
gan_s145_speed_p160_x0_y0,gan,25.09654687148775
gan_s146_speed_p160_x0_y0,gan,23.421851354070533
gan_s147_speed_p160_x0_y0,gan,21.89884068118087
gan_s148_speed_p160_x0_y0,gan,20.966256023303643
gan_s149_speed_p160_x0_y0,gan,21.305501927186082
gan_s14_speed_p160_x0_y0,gan,21.388823038040837
gan_s150_speed_p160_x0_y0,gan,20.036167232881027
gan_s151_speed_p160_x0_y0,gan,19.2409708568235
gan_s152_speed_p160_x0_y0,gan,17.328547772720807
gan_s153_speed_p160_x0_y0,gan,16.082999799482597
gan_s154_speed_p160_x0_y0,gan,16.761271999479128
gan_s155_speed_p160_x0_y0,gan,16.92113657267666
