key,method,pd_distance,mt_distance,error
gan_s0_speed_p160_x0_y0,gan,22.288016266014466,9.347217559814453,
gan_s100_speed_p160_x0_y0,gan,20.9388545033604,7.236527442932129,
gan_s101_speed_p160_x0_y0,gan,20.943785434752343,7.597802639007568,
gan_s102_speed_p160_x0_y0,gan,19.965955224629884,9.355390548706055,
gan_s103_speed_p160_x0_y0,gan,20.439024454906793,6.654118537902832,
gan_s104_speed_p160_x0_y0,gan,19.93985152663235,5.652035713195801,
gan_s105_speed_p160_x0_y0,gan,19.31211275217393,7.927539825439453,
gan_s106_speed_p160_x0_y0,gan,20.11546637136013,6.796080589294434,
gan_s107_speed_p160_x0_y0,gan,20.45175835290609,8.043596267700195,
gan_s108_speed_p160_x0_y0,gan,21.047557274458313,7.597536563873291,
gan_s109_speed_p160_x0_y0,gan,20.844533858227013,6.981718063354492,
gan_s10_speed_p160_x0_y0,gan,24.66888895370661,7.931606769561768,
gan_s110_speed_p160_x0_y0,gan,19.893826189952073,6.582939147949219,
gan_s111_speed_p160_x0_y0,gan,18.719175355390934,8.458576202392578,
gan_s112_speed_p160_x0_y0,gan,19.264004916590082,7.436024188995361,
gan_s113_speed_p160_x0_y0,gan,18.215152028038283,6.952975273132324,
gan_s114_speed_p160_x0_y0,gan,16.89273780187763,6.403028964996338,
gan_s115_speed_p160_x0_y0,gan,17.406553700610846,7.712385177612305,
gan_s116_speed_p160_x0_y0,gan,17.126351810002387,7.335310935974121,
gan_s117_speed_p160_x0_y0,gan,18.427884650599268,8.248092651367188,
gan_s118_speed_p160_x0_y0,gan,19.67054115157516,8.906266212463379,
gan_s119_speed_p160_x0_y0,gan,20.330006431905108,6.936931133270264,
gan_s11_speed_p160_x0_y0,gan,24.596313638436325,7.607590198516846,
gan_s120_speed_p160_x0_y0,gan,21.231015235809156,6.737845420837402,
gan_s121_speed_p160_x0_y0,gan,20.893789234903853,7.704796314239502,
gan_s122_speed_p160_x0_y0,gan,21.99184324440618,5.732169151306152,
gan_s123_speed_p160_x0_y0,gan,21.687511833398844,7.719212055206299,
gan_s124_speed_p160_x0_y0,gan,21.503548462433606,6.728967189788818,
gan_s125_speed_p160_x0_y0,gan,21.287284062158893,10.271801948547363,
gan_s126_speed_p160_x0_y0,gan,22.533430407931583,8.91951847076416,
gan_s127_speed_p160_x0_y0,gan,24.304166609024843,13.764628410339355,
gan_s128_speed_p160_x0_y0,gan,23.00679052436478,8.112007141113281,
gan_s129_speed_p160_x0_y0,gan,24.188190804463424,10.0375394821167,
gan_s12_speed_p160_x0_y0,gan,23.927529440512,6.128832817077637,
gan_s130_speed_p160_x0_y0,gan,23.63904854537034,11.663192749023438,
gan_s131_speed_p160_x0_y0,gan,24.706756148509502,11.86368179321289,
gan_s132_speed_p160_x0_y0,gan,25.439712555036817,12.02804183959961,
gan_s133_speed_p160_x0_y0,gan,25.089283251364957,6.506525039672852,
gan_s134_speed_p160_x0_y0,gan,22.552156801240404,13.07216739654541,
gan_s135_speed_p160_x0_y0,gan,20.324077717490436,11.773219108581543,
gan_s136_speed_p160_x0_y0,gan,19.953061540856538,6.228053569793701,
gan_s137_speed_p160_x0_y0,gan,18.45580671553841,9.2832612991333,
gan_s138_speed_p160_x0_y0,gan,18.886992182053667,8.17695426940918,
gan_s139_speed_p160_x0_y0,gan,17.23350237140068,9.872173309326172,
gan_s13_speed_p160_x0_y0,gan,24.173370705384635,6.0647759437561035,
gan_s140_speed_p160_x0_y0,gan,17.724285841849305,10.772743225097656,
gan_s141_speed_p160_x0_y0,gan,22.338062865553336,7.904610633850098,
gan_s142_speed_p160_x0_y0,gan,25.23445157284371,7.867961883544922,
gan_s143_speed_p160_x0_y0,gan,25.34111655846611,8.616194725036621,
gan_s144_speed_p160_x0_y0,gan,24.634264126943584,9.380752563476562,
gan_s145_speed_p160_x0_y0,gan,25.09654687148775,7.935492992401123,
gan_s146_speed_p160_x0_y0,gan,23.421851354070533,6.557245254516602,
gan_s147_speed_p160_x0_y0,gan,21.89884068118087,6.406132221221924,
gan_s148_speed_p160_x0_y0,gan,20.966256023303643,8.585411071777344,
gan_s149_speed_p160_x0_y0,gan,21.305501927186082,7.772426605224609,
gan_s14_speed_p160_x0_y0,gan,21.388823038040837,5.452693939208984,
gan_s150_speed_p160_x0_y0,gan,20.036167232881027,8.245586395263672,
gan_s151_speed_p160_x0_y0,gan,19.2409708568235,6.394593715667725,
gan_s152_speed_p160_x0_y0,gan,17.328547772720807,7.792191505432129,
gan_s153_speed_p160_x0_y0,gan,16.082999799482597,4.921143054962158,
gan_s154_speed_p160_x0_y0,gan,16.761271999479128,5.680659770965576,
gan_s155_speed_p160_x0_y0,gan,16.92113657267666,5.33245325088501,
gan_s156_speed_p160_x0_y0,gan,17.489532812967507,8.445601463317871,
gan_s157_speed_p160_x0_y0,gan,18.47151276842339,8.387686729431152,
gan_s158_speed_p160_x0_y0,gan,22.364138516926676,8.417777061462402,
gan_s159_speed_p160_x0_y0,gan,19.46672681233398,9.1699857711792,
gan_s15_speed_p160_x0_y0,gan,19.055511883058013,5.555622100830078,
gan_s160_speed_p160_x0_y0,gan,19.66682274759984,13.244651794433594,
gan_s161_speed_p160_x0_y0,gan,19.074032424317572,11.371320724487305,
gan_s162_speed_p160_x0_y0,gan,19.093792101413985,9.365604400634766,
gan_s163_speed_p160_x0_y0,gan,20.328624700515515,6.431057453155518,
gan_s164_speed_p160_x0_y0,gan,18.604807156689922,10.899961471557617,
gan_s165_speed_p160_x0_y0,gan,20.216103652845796,10.88679027557373,
gan_s166_speed_p160_x0_y0,gan,20.46014887125161,9.83503532409668,
gan_s167_speed_p160_x0_y0,gan,21.717890551681354,7.037282943725586,
gan_s16_speed_p160_x0_y0,gan,17.186234647423923,5.203305244445801,
