sample_idx,pos_idx,pd_winner_superlevel,mt_winner_superlevel,was_mt_gan_win_superlevel_baseline
0,0,candidateC_expanded2688,candidateUV_plus_crit_expanded2688,0
1,1,gan,cnn,0
2,2,gan,candidateUV_plus_crit_expanded2688,0
3,3,gan,candidateUV_plus_crit_expanded2688,0
4,4,gan,cnn,0
5,5,gan,candidateUV_plus_crit_expanded2688,0
6,6,gan,candidateE2_tf_lowlambda_expanded2688,1
7,7,gan,candidateUV_plus_crit_expanded2688,0
8,8,gan,candidateE2_tf_lowlambda_expanded2688,1
9,9,gan,candidateUV_plus_crit_expanded2688,0
10,10,candidateC_expanded2688,candidateUV_plus_crit_expanded2688,0
11,11,candidateC_expanded2688,cnn,0
12,12,gan,candidateUV_plus_E2_tf_lowlambda_expanded2688,0
13,13,candidateC_expanded2688,cnn,0
14,14,gan,candidateE2_tf_lowlambda_expanded2688,0
15,15,gan,cnn,0
16,16,gan,candidateE2_tf_lowlambda_expanded2688,1
17,17,gan,candidateUV_plus_E2_tf_lowlambda_expanded2688,1
18,18,candidateC_expanded2688,candidateB_plus_E2_tf_lowlambda_expanded2688,1
19,19,candidateC_expanded2688,candidateUV_plus_E2_tf_lowlambda_expanded2688,1
20,20,candidateC_expanded2688,candidateE2_tf_lowlambda_expanded2688,1
21,21,gan,candidateB_plus_E2_tf_lowlambda_expanded2688,0
22,22,gan,candidateE2_tf_lowlambda_expanded2688,1
23,23,candidateC_expanded2688,candidateUV_plus_E2_tf_lowlambda_expanded2688,0
24,24,gan,candidateB_plus_E2_tf_lowlambda_expanded2688,0
25,25,gan,candidateUV_plus_crit_expanded2688,1
26,26,gan,candidateUV_plus_crit_expanded2688,0
27,27,gan,candidateUV_plus_crit_expanded2688,0
28,28,gan,cnn,0
29,29,gan,candidateUV_plus_crit_expanded2688,0
30,30,gan,candidateUV_plus_crit_expanded2688,0
31,31,gan,candidateE2_tf_lowlambda_expanded2688,0
32,32,gan,candidateB_plus_E2_tf_lowlambda_expanded2688,0
33,33,gan,candidateE2_tf_lowlambda_expanded2688,0
34,34,gan,candidateE2_tf_lowlambda_expanded2688,0
35,35,gan,candidateE2_tf_lowlambda_expanded2688,0
36,36,gan,candidateE2_tf_lowlambda_expanded2688,0
37,37,gan,candidateE2_tf_lowlambda_expanded2688,0
38,38,gan,candidateE2_tf_lowlambda_expanded2688,0
39,39,gan,candidateUV_plus_E2_tf_lowlambda_expanded2688,0
40,40,gan,candidateUV_plus_E2_tf_lowlambda_expanded2688,0
41,41,gan,candidateUV_plus_E2_tf_lowlambda_expanded2688,0
42,42,gan,candidateB_plus_E2_tf_lowlambda_expanded2688,0
43,43,gan,candidateUV_plus_E2_tf_lowlambda_expanded2688,0
44,44,gan,candidateUV_plus_E2_tf_lowlambda_expanded2688,0
45,45,gan,candidateUV_plus_crit_expanded2688,0
46,46,candidateC_expanded2688,candidateUV_plus_crit_expanded2688,0
47,47,gan,candidateE2_tf_lowlambda_expanded2688,0
48,48,gan,candidateUV_plus_E2_tf_lowlambda_expanded2688,0
49,49,gan,candidateUV_plus_E2_tf_lowlambda_expanded2688,0
50,50,gan,candidateC_expanded2688,0
51,51,gan,candidateUV_plus_crit_expanded2688,0
52,52,gan,candidateUV_plus_crit_expanded2688,0
53,53,candidateC_expanded2688,cnn,0
54,54,candidateC_expanded2688,candidateE2_tf_lowlambda_expanded2688,0
55,55,gan,candidateUV_plus_E2_tf_lowlambda_expanded2688,0
56,56,gan,candidateUV_plus_E2_tf_lowlambda_expanded2688,0
57,57,gan,candidateB_plus_E2_tf_lowlambda_expanded2688,0
58,58,gan,candidateUV_plus_E2_tf_lowlambda_expanded2688,0
59,59,gan,candidateB_plus_E2_tf_lowlambda_expanded2688,0
60,60,gan,candidateB_plus_E2_tf_lowlambda_expanded2688,0
61,61,gan,candidateE2_tf_lowlambda_expanded2688,0
62,62,gan,candidateB_plus_E2_tf_lowlambda_expanded2688,1
63,63,gan,candidateE2_tf_lowlambda_expanded2688,1
64,64,gan,candidateE2_tf_lowlambda_expanded2688,0
65,65,gan,candidateUV_plus_E2_tf_lowlambda_expanded2688,1
66,66,gan,candidateB_plus_E2_tf_lowlambda_expanded2688,1
67,67,gan,candidateUV_plus_E2_tf_lowlambda_expanded2688,0
68,68,gan,candidateE2_tf_lowlambda_expanded2688,0
69,69,gan,candidateUV_plus_E2_tf_lowlambda_expanded2688,0
