sample_idx,pos_idx,pd_distance_cnn,pd_distance_gan,pd_distance_candidateB_expanded2688,mt_distance_cnn,mt_distance_gan,mt_distance_candidateB_expanded2688,pd_winner_before,pd_winner_after_candidateB_expanded2688,mt_winner_before,mt_winner_after_candidateB_expanded2688,was_mt_gan_win_before
0,0,24.384505325565424,22.540541801445254,22.65506814510137,5.051645278930664,9.748218536376953,5.588486671447754,gan,gan,cnn,cnn,0
1,1,24.612518312283534,22.38874396250744,22.805805116884628,4.678010940551758,11.978342056274414,5.184975624084473,gan,gan,cnn,cnn,0
2,2,25.200926367648954,22.958727889587305,23.920364962003568,4.894824504852295,8.343221664428711,6.042936325073242,gan,gan,cnn,cnn,0
3,3,24.87627415927669,23.395576173496664,24.692812514704407,4.794641017913818,9.753995895385742,5.115992069244385,gan,gan,cnn,cnn,0
4,4,24.810879874900778,22.91065989660919,24.021628630798382,4.892229080200195,8.064751625061035,5.662230968475342,gan,gan,cnn,cnn,0
5,5,27.01852197077857,22.503507148952195,23.546332014976826,5.628478050231934,6.406379699707031,5.317068099975586,gan,gan,cnn,candidateB_expanded2688,0
6,6,28.068979766562435,24.045087776300683,23.49188780303103,6.144000053405762,6.0106329917907715,6.014493465423584,gan,candidateB_expanded2688,gan,gan,1
7,7,29.26973016135952,22.553824952557566,23.59829303075691,5.672351837158203,7.113770008087158,5.960908889770508,gan,gan,cnn,cnn,0
8,8,29.63505050414828,23.282081530392528,23.516611340060088,7.50956392288208,6.055016040802002,6.111813545227051,gan,gan,gan,gan,1
9,9,28.65602837253281,23.481609150211327,23.64406336118688,5.768454551696777,6.291722297668457,6.197192192077637,gan,gan,cnn,cnn,0
10,10,29.696969860459554,24.710016041893063,24.49074110217364,6.634506702423096,7.423793315887451,5.938961029052734,gan,candidateB_expanded2688,cnn,candidateB_expanded2688,0
11,11,28.68732565326105,24.969867761946066,25.292966902254292,5.910721302032471,7.831723690032959,6.67572546005249,gan,gan,cnn,cnn,0
12,12,30.104522332856273,24.220613253945245,25.205091948516852,6.61636209487915,5.913707256317139,6.346365451812744,gan,gan,gan,gan,1
13,13,29.273674668484478,24.323688014436637,24.70972036169917,6.0738348960876465,7.402252674102783,6.653001308441162,gan,gan,cnn,cnn,0
14,14,28.13047371417262,21.511818920550414,23.075723791109493,5.448930263519287,5.877835750579834,5.686150550842285,gan,gan,cnn,cnn,0
15,15,26.322356943691645,19.148010639364745,21.159486913721977,5.097294807434082,5.86716890335083,5.697201728820801,gan,gan,cnn,cnn,0
16,16,23.755960973590362,17.324485324726012,19.066085799664105,5.464188098907471,5.255205154418945,5.935688018798828,gan,gan,gan,gan,1
17,17,20.900376556174706,17.11808749868573,17.607906993211444,5.2896833419799805,4.8487091064453125,5.307806968688965,gan,gan,gan,gan,1
18,18,20.394905033940507,18.610240875886223,17.07561999904169,6.258571624755859,5.554356575012207,5.465007305145264,gan,candidateB_expanded2688,gan,candidateB_expanded2688,1
19,19,21.064082150885508,19.086676411603058,17.81830836123981,6.927988529205322,5.44291353225708,5.57263708114624,gan,candidateB_expanded2688,gan,gan,1
20,20,21.97923655969375,18.266315468004898,20.197158596438335,6.254051208496094,5.689126491546631,6.485576629638672,gan,gan,gan,gan,1
21,21,27.30086406645334,21.732522780594586,25.104213833453162,8.127616882324219,10.817054748535156,8.869986534118652,gan,gan,cnn,cnn,0
22,22,32.693467082501115,26.801086541907566,30.54893695160359,8.081520080566406,8.346701622009277,6.940990447998047,gan,gan,cnn,candidateB_expanded2688,0
23,23,34.476953302920876,29.144574221491347,31.05703348583326,6.907674789428711,8.497876167297363,8.136382102966309,gan,gan,cnn,cnn,0
24,24,35.75728371567695,29.65320138308241,31.43751655603912,7.21915864944458,12.067601203918457,7.680383682250977,gan,gan,cnn,cnn,0
25,25,36.58411526021696,30.123491475362258,32.57350981710439,11.371563911437988,10.501462936401367,7.12235689163208,gan,gan,gan,candidateB_expanded2688,1
