key,method,mt_distance
candidateB_expanded2688_s0_speed_p160_x0_y0,candidateB_expanded2688,5.588486671447754
candidateB_expanded2688_s100_speed_p160_x0_y0,candidateB_expanded2688,5.927227973937988
candidateB_expanded2688_s101_speed_p160_x0_y0,candidateB_expanded2688,5.92567777633667
candidateB_expanded2688_s102_speed_p160_x0_y0,candidateB_expanded2688,5.73776388168335
candidateB_expanded2688_s103_speed_p160_x0_y0,candidateB_expanded2688,5.393003463745117
candidateB_expanded2688_s104_speed_p160_x0_y0,candidateB_expanded2688,5.443514823913574
candidateB_expanded2688_s105_speed_p160_x0_y0,candidateB_expanded2688,5.928822994232178
candidateB_expanded2688_s106_speed_p160_x0_y0,candidateB_expanded2688,5.79906702041626
candidateB_expanded2688_s107_speed_p160_x0_y0,candidateB_expanded2688,5.727750778198242
candidateB_expanded2688_s108_speed_p160_x0_y0,candidateB_expanded2688,5.9108452796936035
candidateB_expanded2688_s109_speed_p160_x0_y0,candidateB_expanded2688,5.37967586517334
candidateB_expanded2688_s10_speed_p160_x0_y0,candidateB_expanded2688,5.938961029052734
candidateB_expanded2688_s110_speed_p160_x0_y0,candidateB_expanded2688,5.707650184631348
candidateB_expanded2688_s111_speed_p160_x0_y0,candidateB_expanded2688,6.296468257904053
candidateB_expanded2688_s112_speed_p160_x0_y0,candidateB_expanded2688,5.9680495262146
candidateB_expanded2688_s113_speed_p160_x0_y0,candidateB_expanded2688,5.945497512817383
candidateB_expanded2688_s114_speed_p160_x0_y0,candidateB_expanded2688,5.951423168182373
candidateB_expanded2688_s115_speed_p160_x0_y0,candidateB_expanded2688,5.439905643463135
candidateB_expanded2688_s116_speed_p160_x0_y0,candidateB_expanded2688,5.376692771911621
candidateB_expanded2688_s117_speed_p160_x0_y0,candidateB_expanded2688,6.100687026977539
candidateB_expanded2688_s118_speed_p160_x0_y0,candidateB_expanded2688,7.009876251220703
candidateB_expanded2688_s119_speed_p160_x0_y0,candidateB_expanded2688,5.826643943786621
candidateB_expanded2688_s11_speed_p160_x0_y0,candidateB_expanded2688,6.67572546005249
candidateB_expanded2688_s120_speed_p160_x0_y0,candidateB_expanded2688,5.840210914611816
candidateB_expanded2688_s121_speed_p160_x0_y0,candidateB_expanded2688,5.277688503265381
candidateB_expanded2688_s122_speed_p160_x0_y0,candidateB_expanded2688,5.613208770751953
candidateB_expanded2688_s123_speed_p160_x0_y0,candidateB_expanded2688,6.275181770324707
candidateB_expanded2688_s124_speed_p160_x0_y0,candidateB_expanded2688,6.198737621307373
candidateB_expanded2688_s125_speed_p160_x0_y0,candidateB_expanded2688,5.448888301849365
candidateB_expanded2688_s126_speed_p160_x0_y0,candidateB_expanded2688,5.046749114990234
candidateB_expanded2688_s127_speed_p160_x0_y0,candidateB_expanded2688,5.41109561920166
candidateB_expanded2688_s128_speed_p160_x0_y0,candidateB_expanded2688,5.128028392791748
candidateB_expanded2688_s129_speed_p160_x0_y0,candidateB_expanded2688,6.2623372077941895
candidateB_expanded2688_s12_speed_p160_x0_y0,candidateB_expanded2688,6.346365451812744
candidateB_expanded2688_s130_speed_p160_x0_y0,candidateB_expanded2688,5.270695209503174
candidateB_expanded2688_s131_speed_p160_x0_y0,candidateB_expanded2688,6.559534549713135
candidateB_expanded2688_s132_speed_p160_x0_y0,candidateB_expanded2688,6.728977203369141
candidateB_expanded2688_s133_speed_p160_x0_y0,candidateB_expanded2688,6.266441345214844
candidateB_expanded2688_s134_speed_p160_x0_y0,candidateB_expanded2688,5.604438304901123
candidateB_expanded2688_s135_speed_p160_x0_y0,candidateB_expanded2688,5.814341068267822
candidateB_expanded2688_s136_speed_p160_x0_y0,candidateB_expanded2688,6.334447383880615
candidateB_expanded2688_s137_speed_p160_x0_y0,candidateB_expanded2688,4.798069477081299
candidateB_expanded2688_s138_speed_p160_x0_y0,candidateB_expanded2688,5.047177314758301
candidateB_expanded2688_s139_speed_p160_x0_y0,candidateB_expanded2688,4.905564308166504
candidateB_expanded2688_s13_speed_p160_x0_y0,candidateB_expanded2688,6.653001308441162
candidateB_expanded2688_s140_speed_p160_x0_y0,candidateB_expanded2688,5.241246700286865
candidateB_expanded2688_s141_speed_p160_x0_y0,candidateB_expanded2688,7.082003593444824
candidateB_expanded2688_s142_speed_p160_x0_y0,candidateB_expanded2688,7.403757572174072
candidateB_expanded2688_s143_speed_p160_x0_y0,candidateB_expanded2688,6.151178359985352
candidateB_expanded2688_s144_speed_p160_x0_y0,candidateB_expanded2688,5.852355003356934
candidateB_expanded2688_s145_speed_p160_x0_y0,candidateB_expanded2688,6.031980991363525
candidateB_expanded2688_s146_speed_p160_x0_y0,candidateB_expanded2688,6.8269362449646
candidateB_expanded2688_s147_speed_p160_x0_y0,candidateB_expanded2688,6.698649883270264
candidateB_expanded2688_s148_speed_p160_x0_y0,candidateB_expanded2688,6.350427150726318
candidateB_expanded2688_s149_speed_p160_x0_y0,candidateB_expanded2688,6.8335700035095215
candidateB_expanded2688_s14_speed_p160_x0_y0,candidateB_expanded2688,5.686150550842285
candidateB_expanded2688_s150_speed_p160_x0_y0,candidateB_expanded2688,5.842928409576416
candidateB_expanded2688_s151_speed_p160_x0_y0,candidateB_expanded2688,6.519160270690918
candidateB_expanded2688_s152_speed_p160_x0_y0,candidateB_expanded2688,6.658609390258789
candidateB_expanded2688_s153_speed_p160_x0_y0,candidateB_expanded2688,6.60235071182251
candidateB_expanded2688_s154_speed_p160_x0_y0,candidateB_expanded2688,6.213982105255127
candidateB_expanded2688_s155_speed_p160_x0_y0,candidateB_expanded2688,6.188361167907715
candidateB_expanded2688_s156_speed_p160_x0_y0,candidateB_expanded2688,4.935438632965088
candidateB_expanded2688_s157_speed_p160_x0_y0,candidateB_expanded2688,5.0117621421813965
candidateB_expanded2688_s158_speed_p160_x0_y0,candidateB_expanded2688,5.495445728302002
candidateB_expanded2688_s159_speed_p160_x0_y0,candidateB_expanded2688,5.256216049194336
candidateB_expanded2688_s15_speed_p160_x0_y0,candidateB_expanded2688,5.697201728820801
candidateB_expanded2688_s160_speed_p160_x0_y0,candidateB_expanded2688,6.557303428649902
candidateB_expanded2688_s161_speed_p160_x0_y0,candidateB_expanded2688,5.893233776092529
candidateB_expanded2688_s162_speed_p160_x0_y0,candidateB_expanded2688,5.966322898864746
candidateB_expanded2688_s163_speed_p160_x0_y0,candidateB_expanded2688,6.091559886932373
candidateB_expanded2688_s164_speed_p160_x0_y0,candidateB_expanded2688,6.05609655380249
candidateB_expanded2688_s165_speed_p160_x0_y0,candidateB_expanded2688,5.760110855102539
candidateB_expanded2688_s166_speed_p160_x0_y0,candidateB_expanded2688,7.552186965942383
candidateB_expanded2688_s167_speed_p160_x0_y0,candidateB_expanded2688,7.286831855773926
candidateB_expanded2688_s16_speed_p160_x0_y0,candidateB_expanded2688,5.935688018798828
candidateB_expanded2688_s17_speed_p160_x0_y0,candidateB_expanded2688,5.307806968688965
candidateB_expanded2688_s18_speed_p160_x0_y0,candidateB_expanded2688,5.465007305145264
candidateB_expanded2688_s19_speed_p160_x0_y0,candidateB_expanded2688,5.57263708114624
candidateB_expanded2688_s1_speed_p160_x0_y0,candidateB_expanded2688,5.184975624084473
candidateB_expanded2688_s20_speed_p160_x0_y0,candidateB_expanded2688,6.485576629638672
candidateB_expanded2688_s21_speed_p160_x0_y0,candidateB_expanded2688,8.869986534118652
candidateB_expanded2688_s22_speed_p160_x0_y0,candidateB_expanded2688,6.940990447998047
candidateB_expanded2688_s23_speed_p160_x0_y0,candidateB_expanded2688,8.136382102966309
candidateB_expanded2688_s24_speed_p160_x0_y0,candidateB_expanded2688,7.680383682250977
candidateB_expanded2688_s25_speed_p160_x0_y0,candidateB_expanded2688,7.12235689163208
candidateB_expanded2688_s26_speed_p160_x0_y0,candidateB_expanded2688,7.124111175537109
candidateB_expanded2688_s27_speed_p160_x0_y0,candidateB_expanded2688,6.809812068939209
candidateB_expanded2688_s28_speed_p160_x0_y0,candidateB_expanded2688,8.065983772277832
candidateB_expanded2688_s29_speed_p160_x0_y0,candidateB_expanded2688,6.99596643447876
candidateB_expanded2688_s2_speed_p160_x0_y0,candidateB_expanded2688,6.042936325073242
candidateB_expanded2688_s30_speed_p160_x0_y0,candidateB_expanded2688,7.677793502807617
candidateB_expanded2688_s31_speed_p160_x0_y0,candidateB_expanded2688,7.541640758514404
candidateB_expanded2688_s32_speed_p160_x0_y0,candidateB_expanded2688,7.516430377960205
candidateB_expanded2688_s33_speed_p160_x0_y0,candidateB_expanded2688,7.535371780395508
candidateB_expanded2688_s34_speed_p160_x0_y0,candidateB_expanded2688,6.973734378814697
candidateB_expanded2688_s35_speed_p160_x0_y0,candidateB_expanded2688,7.069982051849365
candidateB_expanded2688_s36_speed_p160_x0_y0,candidateB_expanded2688,6.1503496170043945
candidateB_expanded2688_s37_speed_p160_x0_y0,candidateB_expanded2688,6.40215539932251
candidateB_expanded2688_s38_speed_p160_x0_y0,candidateB_expanded2688,7.488003253936768
candidateB_expanded2688_s39_speed_p160_x0_y0,candidateB_expanded2688,6.791373252868652
candidateB_expanded2688_s3_speed_p160_x0_y0,candidateB_expanded2688,5.115992069244385
candidateB_expanded2688_s40_speed_p160_x0_y0,candidateB_expanded2688,7.0698323249816895
candidateB_expanded2688_s41_speed_p160_x0_y0,candidateB_expanded2688,6.286910533905029
candidateB_expanded2688_s42_speed_p160_x0_y0,candidateB_expanded2688,5.998338222503662
candidateB_expanded2688_s43_speed_p160_x0_y0,candidateB_expanded2688,6.360998153686523
candidateB_expanded2688_s44_speed_p160_x0_y0,candidateB_expanded2688,6.342366695404053
candidateB_expanded2688_s45_speed_p160_x0_y0,candidateB_expanded2688,6.159806728363037
candidateB_expanded2688_s46_speed_p160_x0_y0,candidateB_expanded2688,6.035902976989746
candidateB_expanded2688_s47_speed_p160_x0_y0,candidateB_expanded2688,7.19523811340332
candidateB_expanded2688_s48_speed_p160_x0_y0,candidateB_expanded2688,7.181704044342041
candidateB_expanded2688_s49_speed_p160_x0_y0,candidateB_expanded2688,6.516399383544922
candidateB_expanded2688_s4_speed_p160_x0_y0,candidateB_expanded2688,5.662230968475342
candidateB_expanded2688_s50_speed_p160_x0_y0,candidateB_expanded2688,6.243317127227783
candidateB_expanded2688_s51_speed_p160_x0_y0,candidateB_expanded2688,6.209292411804199
candidateB_expanded2688_s52_speed_p160_x0_y0,candidateB_expanded2688,6.3014068603515625
candidateB_expanded2688_s53_speed_p160_x0_y0,candidateB_expanded2688,6.1021599769592285
candidateB_expanded2688_s54_speed_p160_x0_y0,candidateB_expanded2688,5.902393817901611
candidateB_expanded2688_s55_speed_p160_x0_y0,candidateB_expanded2688,5.861842155456543
