key,method,pd_distance
candidateB_expanded2688_s0_speed_p160_x0_y0,candidateB_expanded2688,22.65506814510137
candidateB_expanded2688_s100_speed_p160_x0_y0,candidateB_expanded2688,24.422701989990326
candidateB_expanded2688_s101_speed_p160_x0_y0,candidateB_expanded2688,23.991352620547428
candidateB_expanded2688_s102_speed_p160_x0_y0,candidateB_expanded2688,22.947481530381086
candidateB_expanded2688_s103_speed_p160_x0_y0,candidateB_expanded2688,23.339674382481128
candidateB_expanded2688_s104_speed_p160_x0_y0,candidateB_expanded2688,22.6239332812524
candidateB_expanded2688_s105_speed_p160_x0_y0,candidateB_expanded2688,22.59566141788465
candidateB_expanded2688_s106_speed_p160_x0_y0,candidateB_expanded2688,22.242114271305088
candidateB_expanded2688_s107_speed_p160_x0_y0,candidateB_expanded2688,21.76645738448515
candidateB_expanded2688_s108_speed_p160_x0_y0,candidateB_expanded2688,22.870525333752937
candidateB_expanded2688_s109_speed_p160_x0_y0,candidateB_expanded2688,22.58483882853083
candidateB_expanded2688_s10_speed_p160_x0_y0,candidateB_expanded2688,24.49074110217364
candidateB_expanded2688_s110_speed_p160_x0_y0,candidateB_expanded2688,23.1328353325794
candidateB_expanded2688_s111_speed_p160_x0_y0,candidateB_expanded2688,22.103856931674112
candidateB_expanded2688_s112_speed_p160_x0_y0,candidateB_expanded2688,21.021427127672034
candidateB_expanded2688_s113_speed_p160_x0_y0,candidateB_expanded2688,19.91084280982146
candidateB_expanded2688_s114_speed_p160_x0_y0,candidateB_expanded2688,19.28877820168263
candidateB_expanded2688_s115_speed_p160_x0_y0,candidateB_expanded2688,19.88077789833173
candidateB_expanded2688_s116_speed_p160_x0_y0,candidateB_expanded2688,20.83079706521209
candidateB_expanded2688_s117_speed_p160_x0_y0,candidateB_expanded2688,22.273304964605625
candidateB_expanded2688_s118_speed_p160_x0_y0,candidateB_expanded2688,24.237124535843115
candidateB_expanded2688_s119_speed_p160_x0_y0,candidateB_expanded2688,23.913350067148894
candidateB_expanded2688_s11_speed_p160_x0_y0,candidateB_expanded2688,25.292966902254292
candidateB_expanded2688_s120_speed_p160_x0_y0,candidateB_expanded2688,24.100979697418573
candidateB_expanded2688_s121_speed_p160_x0_y0,candidateB_expanded2688,23.951539137932837
candidateB_expanded2688_s122_speed_p160_x0_y0,candidateB_expanded2688,23.96390099489704
candidateB_expanded2688_s123_speed_p160_x0_y0,candidateB_expanded2688,23.812347673339268
candidateB_expanded2688_s124_speed_p160_x0_y0,candidateB_expanded2688,23.338523029255136
candidateB_expanded2688_s125_speed_p160_x0_y0,candidateB_expanded2688,22.768686258743482
candidateB_expanded2688_s126_speed_p160_x0_y0,candidateB_expanded2688,22.184376778367113
candidateB_expanded2688_s127_speed_p160_x0_y0,candidateB_expanded2688,23.53554015225496
candidateB_expanded2688_s128_speed_p160_x0_y0,candidateB_expanded2688,22.89778343308571
candidateB_expanded2688_s129_speed_p160_x0_y0,candidateB_expanded2688,23.993605306152578
candidateB_expanded2688_s12_speed_p160_x0_y0,candidateB_expanded2688,25.205091948516852
candidateB_expanded2688_s130_speed_p160_x0_y0,candidateB_expanded2688,24.686957774138214
candidateB_expanded2688_s131_speed_p160_x0_y0,candidateB_expanded2688,26.584117554144772
candidateB_expanded2688_s132_speed_p160_x0_y0,candidateB_expanded2688,28.43065475610899
candidateB_expanded2688_s133_speed_p160_x0_y0,candidateB_expanded2688,28.942835518405186
candidateB_expanded2688_s134_speed_p160_x0_y0,candidateB_expanded2688,26.592755582482003
candidateB_expanded2688_s135_speed_p160_x0_y0,candidateB_expanded2688,25.31647564824448
candidateB_expanded2688_s136_speed_p160_x0_y0,candidateB_expanded2688,24.330946285898815
candidateB_expanded2688_s137_speed_p160_x0_y0,candidateB_expanded2688,23.073447211173498
candidateB_expanded2688_s138_speed_p160_x0_y0,candidateB_expanded2688,22.86285987205128
candidateB_expanded2688_s139_speed_p160_x0_y0,candidateB_expanded2688,22.056594352477834
candidateB_expanded2688_s13_speed_p160_x0_y0,candidateB_expanded2688,24.70972036169917
candidateB_expanded2688_s140_speed_p160_x0_y0,candidateB_expanded2688,23.62340367469442
candidateB_expanded2688_s141_speed_p160_x0_y0,candidateB_expanded2688,26.791737349701222
candidateB_expanded2688_s142_speed_p160_x0_y0,candidateB_expanded2688,29.885013414881662
candidateB_expanded2688_s143_speed_p160_x0_y0,candidateB_expanded2688,28.465677744163372
candidateB_expanded2688_s144_speed_p160_x0_y0,candidateB_expanded2688,28.679649285863306
candidateB_expanded2688_s145_speed_p160_x0_y0,candidateB_expanded2688,28.97713302807393
candidateB_expanded2688_s146_speed_p160_x0_y0,candidateB_expanded2688,27.085425164852094
candidateB_expanded2688_s147_speed_p160_x0_y0,candidateB_expanded2688,25.71204481265658
candidateB_expanded2688_s148_speed_p160_x0_y0,candidateB_expanded2688,24.791844683632085
candidateB_expanded2688_s149_speed_p160_x0_y0,candidateB_expanded2688,22.450533357478715
candidateB_expanded2688_s14_speed_p160_x0_y0,candidateB_expanded2688,23.075723791109493
candidateB_expanded2688_s150_speed_p160_x0_y0,candidateB_expanded2688,21.13442837556952
candidateB_expanded2688_s151_speed_p160_x0_y0,candidateB_expanded2688,20.080866499638216
candidateB_expanded2688_s152_speed_p160_x0_y0,candidateB_expanded2688,19.46383236267693
candidateB_expanded2688_s153_speed_p160_x0_y0,candidateB_expanded2688,18.846339788799884
candidateB_expanded2688_s154_speed_p160_x0_y0,candidateB_expanded2688,18.733956256890412
candidateB_expanded2688_s155_speed_p160_x0_y0,candidateB_expanded2688,18.65076868789481
candidateB_expanded2688_s156_speed_p160_x0_y0,candidateB_expanded2688,19.169860928351913
candidateB_expanded2688_s157_speed_p160_x0_y0,candidateB_expanded2688,20.88290534427906
candidateB_expanded2688_s158_speed_p160_x0_y0,candidateB_expanded2688,22.598987795667085
candidateB_expanded2688_s159_speed_p160_x0_y0,candidateB_expanded2688,20.097282288416
candidateB_expanded2688_s15_speed_p160_x0_y0,candidateB_expanded2688,21.159486913721977
candidateB_expanded2688_s160_speed_p160_x0_y0,candidateB_expanded2688,18.580371473737454
candidateB_expanded2688_s161_speed_p160_x0_y0,candidateB_expanded2688,19.424784995075697
candidateB_expanded2688_s162_speed_p160_x0_y0,candidateB_expanded2688,18.569178026298
candidateB_expanded2688_s163_speed_p160_x0_y0,candidateB_expanded2688,19.946162426546508
candidateB_expanded2688_s164_speed_p160_x0_y0,candidateB_expanded2688,21.28444766331505
candidateB_expanded2688_s165_speed_p160_x0_y0,candidateB_expanded2688,21.76258004269011
candidateB_expanded2688_s166_speed_p160_x0_y0,candidateB_expanded2688,22.60025879494406
candidateB_expanded2688_s167_speed_p160_x0_y0,candidateB_expanded2688,22.392058187156596
candidateB_expanded2688_s16_speed_p160_x0_y0,candidateB_expanded2688,19.066085799664105
candidateB_expanded2688_s17_speed_p160_x0_y0,candidateB_expanded2688,17.607906993211444
candidateB_expanded2688_s18_speed_p160_x0_y0,candidateB_expanded2688,17.07561999904169
candidateB_expanded2688_s19_speed_p160_x0_y0,candidateB_expanded2688,17.81830836123981
candidateB_expanded2688_s1_speed_p160_x0_y0,candidateB_expanded2688,22.805805116884628
candidateB_expanded2688_s20_speed_p160_x0_y0,candidateB_expanded2688,20.197158596438335
candidateB_expanded2688_s21_speed_p160_x0_y0,candidateB_expanded2688,25.104213833453162
candidateB_expanded2688_s22_speed_p160_x0_y0,candidateB_expanded2688,30.54893695160359
candidateB_expanded2688_s23_speed_p160_x0_y0,candidateB_expanded2688,31.05703348583326
candidateB_expanded2688_s24_speed_p160_x0_y0,candidateB_expanded2688,31.43751655603912
candidateB_expanded2688_s25_speed_p160_x0_y0,candidateB_expanded2688,32.57350981710439
candidateB_expanded2688_s26_speed_p160_x0_y0,candidateB_expanded2688,33.49451936766618
candidateB_expanded2688_s27_speed_p160_x0_y0,candidateB_expanded2688,33.48539228235178
candidateB_expanded2688_s28_speed_p160_x0_y0,candidateB_expanded2688,33.1563740815121
candidateB_expanded2688_s29_speed_p160_x0_y0,candidateB_expanded2688,33.35015832040427
candidateB_expanded2688_s2_speed_p160_x0_y0,candidateB_expanded2688,23.920364962003568
candidateB_expanded2688_s30_speed_p160_x0_y0,candidateB_expanded2688,32.13602128026209
candidateB_expanded2688_s31_speed_p160_x0_y0,candidateB_expanded2688,31.91556852706621
candidateB_expanded2688_s32_speed_p160_x0_y0,candidateB_expanded2688,31.53301147692555
candidateB_expanded2688_s33_speed_p160_x0_y0,candidateB_expanded2688,31.06695442023493
candidateB_expanded2688_s34_speed_p160_x0_y0,candidateB_expanded2688,30.611824236284896
candidateB_expanded2688_s35_speed_p160_x0_y0,candidateB_expanded2688,29.77063940935311
candidateB_expanded2688_s36_speed_p160_x0_y0,candidateB_expanded2688,29.6512775011753
candidateB_expanded2688_s37_speed_p160_x0_y0,candidateB_expanded2688,28.364440338857225
candidateB_expanded2688_s38_speed_p160_x0_y0,candidateB_expanded2688,24.910772200369106
candidateB_expanded2688_s39_speed_p160_x0_y0,candidateB_expanded2688,22.874294469889097
candidateB_expanded2688_s3_speed_p160_x0_y0,candidateB_expanded2688,24.692812514704407
candidateB_expanded2688_s40_speed_p160_x0_y0,candidateB_expanded2688,20.981356007587515
candidateB_expanded2688_s41_speed_p160_x0_y0,candidateB_expanded2688,18.858041673040525
candidateB_expanded2688_s42_speed_p160_x0_y0,candidateB_expanded2688,16.73840566448791
candidateB_expanded2688_s43_speed_p160_x0_y0,candidateB_expanded2688,16.060580904290077
candidateB_expanded2688_s44_speed_p160_x0_y0,candidateB_expanded2688,15.408172539596501
candidateB_expanded2688_s45_speed_p160_x0_y0,candidateB_expanded2688,15.88828761959271
candidateB_expanded2688_s46_speed_p160_x0_y0,candidateB_expanded2688,15.120040127603037
candidateB_expanded2688_s47_speed_p160_x0_y0,candidateB_expanded2688,15.496479050346421
candidateB_expanded2688_s48_speed_p160_x0_y0,candidateB_expanded2688,16.242101901966524
candidateB_expanded2688_s49_speed_p160_x0_y0,candidateB_expanded2688,16.408410081414104
candidateB_expanded2688_s4_speed_p160_x0_y0,candidateB_expanded2688,24.021628630798382
candidateB_expanded2688_s50_speed_p160_x0_y0,candidateB_expanded2688,15.925832908769928
candidateB_expanded2688_s51_speed_p160_x0_y0,candidateB_expanded2688,16.035280811416353
candidateB_expanded2688_s52_speed_p160_x0_y0,candidateB_expanded2688,16.516761746226614
candidateB_expanded2688_s53_speed_p160_x0_y0,candidateB_expanded2688,17.046797921702055
candidateB_expanded2688_s54_speed_p160_x0_y0,candidateB_expanded2688,17.576800927650456
candidateB_expanded2688_s55_speed_p160_x0_y0,candidateB_expanded2688,18.48354181098124
candidateB_expanded2688_s56_speed_p160_x0_y0,candidateB_expanded2688,19.03622573753464
candidateB_expanded2688_s57_speed_p160_x0_y0,candidateB_expanded2688,18.871953508403582
candidateB_expanded2688_s58_speed_p160_x0_y0,candidateB_expanded2688,19.54538178380503
candidateB_expanded2688_s59_speed_p160_x0_y0,candidateB_expanded2688,20.21881706802013
candidateB_expanded2688_s5_speed_p160_x0_y0,candidateB_expanded2688,23.546332014976826
candidateB_expanded2688_s60_speed_p160_x0_y0,candidateB_expanded2688,20.336113821741943
candidateB_expanded2688_s61_speed_p160_x0_y0,candidateB_expanded2688,20.649833748477683
candidateB_expanded2688_s62_speed_p160_x0_y0,candidateB_expanded2688,21.5241114711918
candidateB_expanded2688_s63_speed_p160_x0_y0,candidateB_expanded2688,22.14400622130441
candidateB_expanded2688_s64_speed_p160_x0_y0,candidateB_expanded2688,19.496481383502267
candidateB_expanded2688_s65_speed_p160_x0_y0,candidateB_expanded2688,17.472552445397326
candidateB_expanded2688_s66_speed_p160_x0_y0,candidateB_expanded2688,16.190504527186196
candidateB_expanded2688_s67_speed_p160_x0_y0,candidateB_expanded2688,15.216715601312716
candidateB_expanded2688_s68_speed_p160_x0_y0,candidateB_expanded2688,16.075115635196866
candidateB_expanded2688_s69_speed_p160_x0_y0,candidateB_expanded2688,18.29010059226351
candidateB_expanded2688_s6_speed_p160_x0_y0,candidateB_expanded2688,23.49188780303103
