key,method,mt_distance
candidateB_factorial_grad_expanded2688_s0_speed_p160_x0_y0,candidateB_factorial_grad_expanded2688,5.957550048828125
candidateB_factorial_grad_expanded2688_s100_speed_p160_x0_y0,candidateB_factorial_grad_expanded2688,5.8939690589904785
candidateB_factorial_grad_expanded2688_s101_speed_p160_x0_y0,candidateB_factorial_grad_expanded2688,5.354520320892334
candidateB_factorial_grad_expanded2688_s102_speed_p160_x0_y0,candidateB_factorial_grad_expanded2688,5.276848793029785
candidateB_factorial_grad_expanded2688_s103_speed_p160_x0_y0,candidateB_factorial_grad_expanded2688,5.467442989349365
candidateB_factorial_grad_expanded2688_s104_speed_p160_x0_y0,candidateB_factorial_grad_expanded2688,4.983005046844482
candidateB_factorial_grad_expanded2688_s105_speed_p160_x0_y0,candidateB_factorial_grad_expanded2688,5.3433837890625
candidateB_factorial_grad_expanded2688_s106_speed_p160_x0_y0,candidateB_factorial_grad_expanded2688,5.245047569274902
candidateB_factorial_grad_expanded2688_s107_speed_p160_x0_y0,candidateB_factorial_grad_expanded2688,5.504298210144043
candidateB_factorial_grad_expanded2688_s108_speed_p160_x0_y0,candidateB_factorial_grad_expanded2688,5.363439559936523
candidateB_factorial_grad_expanded2688_s109_speed_p160_x0_y0,candidateB_factorial_grad_expanded2688,5.642833709716797
candidateB_factorial_grad_expanded2688_s10_speed_p160_x0_y0,candidateB_factorial_grad_expanded2688,5.991668701171875
candidateB_factorial_grad_expanded2688_s110_speed_p160_x0_y0,candidateB_factorial_grad_expanded2688,5.232348442077637
candidateB_factorial_grad_expanded2688_s111_speed_p160_x0_y0,candidateB_factorial_grad_expanded2688,5.779996871948242
candidateB_factorial_grad_expanded2688_s112_speed_p160_x0_y0,candidateB_factorial_grad_expanded2688,5.948563098907471
candidateB_factorial_grad_expanded2688_s113_speed_p160_x0_y0,candidateB_factorial_grad_expanded2688,5.609986782073975
candidateB_factorial_grad_expanded2688_s114_speed_p160_x0_y0,candidateB_factorial_grad_expanded2688,5.361511707305908
candidateB_factorial_grad_expanded2688_s115_speed_p160_x0_y0,candidateB_factorial_grad_expanded2688,5.575875759124756
candidateB_factorial_grad_expanded2688_s116_speed_p160_x0_y0,candidateB_factorial_grad_expanded2688,7.016522407531738
candidateB_factorial_grad_expanded2688_s117_speed_p160_x0_y0,candidateB_factorial_grad_expanded2688,6.215367794036865
candidateB_factorial_grad_expanded2688_s118_speed_p160_x0_y0,candidateB_factorial_grad_expanded2688,6.711981773376465
candidateB_factorial_grad_expanded2688_s119_speed_p160_x0_y0,candidateB_factorial_grad_expanded2688,5.819300174713135
candidateB_factorial_grad_expanded2688_s11_speed_p160_x0_y0,candidateB_factorial_grad_expanded2688,6.881893157958984
candidateB_factorial_grad_expanded2688_s120_speed_p160_x0_y0,candidateB_factorial_grad_expanded2688,5.723999977111816
candidateB_factorial_grad_expanded2688_s121_speed_p160_x0_y0,candidateB_factorial_grad_expanded2688,5.286341667175293
candidateB_factorial_grad_expanded2688_s122_speed_p160_x0_y0,candidateB_factorial_grad_expanded2688,5.538252830505371
candidateB_factorial_grad_expanded2688_s123_speed_p160_x0_y0,candidateB_factorial_grad_expanded2688,5.663602352142334
