sample_idx,pos_idx,pd_distance_cnn,pd_distance_gan,pd_distance_candidateB_factorial_grad_levelset_expanded2688,mt_distance_cnn,mt_distance_gan,mt_distance_candidateB_factorial_grad_levelset_expanded2688,pd_winner_before,pd_winner_after_candidateB_factorial_grad_levelset_expanded2688,mt_winner_before,mt_winner_after_candidateB_factorial_grad_levelset_expanded2688,was_mt_gan_win_before
0,0,24.384505325565424,22.540541801445254,22.844612993553156,5.051645278930664,9.748218536376953,5.447721481323242,gan,gan,cnn,cnn,0
1,1,24.612518312283534,22.38874396250744,22.963623296558538,4.678010940551758,11.978342056274414,5.0634565353393555,gan,gan,cnn,cnn,0
2,2,25.200926367648954,22.958727889587305,24.149508939070724,4.894824504852295,8.343221664428711,5.808832168579102,gan,gan,cnn,cnn,0
3,3,24.87627415927669,23.395576173496664,24.97583625466317,4.794641017913818,9.753995895385742,5.113016605377197,gan,gan,cnn,cnn,0
4,4,24.810879874900778,22.91065989660919,24.097061946226194,4.892229080200195,8.064751625061035,5.481220245361328,gan,gan,cnn,cnn,0
5,5,27.01852197077857,22.503507148952195,23.3608103657412,5.628478050231934,6.406379699707031,5.631610870361328,gan,gan,cnn,cnn,0
6,6,28.068979766562435,24.045087776300683,23.16175901786994,6.144000053405762,6.0106329917907715,5.933834552764893,gan,candidateB_factorial_grad_levelset_expanded2688,gan,candidateB_factorial_grad_levelset_expanded2688,1
7,7,29.26973016135952,22.553824952557566,23.382269802294456,5.672351837158203,7.113770008087158,5.96998929977417,gan,gan,cnn,cnn,0
8,8,29.63505050414828,23.282081530392528,23.421078067970985,7.50956392288208,6.055016040802002,6.154544830322266,gan,gan,gan,gan,1
9,9,28.65602837253281,23.481609150211327,23.60727043082755,5.768454551696777,6.291722297668457,6.227619171142578,gan,gan,cnn,cnn,0
10,10,29.696969860459554,24.710016041893063,24.471454961915445,6.634506702423096,7.423793315887451,6.041162014007568,gan,candidateB_factorial_grad_levelset_expanded2688,cnn,candidateB_factorial_grad_levelset_expanded2688,0
11,11,28.68732565326105,24.969867761946066,25.32484765107303,5.910721302032471,7.831723690032959,6.794475078582764,gan,gan,cnn,cnn,0
12,12,30.104522332856273,24.220613253945245,25.512395558449484,6.61636209487915,5.913707256317139,6.299301624298096,gan,gan,gan,gan,1
13,13,29.273674668484478,24.323688014436637,24.767431292314377,6.0738348960876465,7.402252674102783,6.882763862609863,gan,gan,cnn,cnn,0
14,14,28.13047371417262,21.511818920550414,23.16072569053881,5.448930263519287,5.877835750579834,5.746088027954102,gan,gan,cnn,cnn,0
15,15,26.322356943691645,19.148010639364745,21.188138253144558,5.097294807434082,5.86716890335083,5.863873481750488,gan,gan,cnn,cnn,0
16,16,23.755960973590362,17.324485324726012,19.303689593184163,5.464188098907471,5.255205154418945,5.669372081756592,gan,gan,gan,gan,1
17,17,20.900376556174706,17.11808749868573,17.822601510827198,5.2896833419799805,4.8487091064453125,5.385493278503418,gan,gan,gan,gan,1
18,18,20.394905033940507,18.610240875886223,17.527493182866127,6.258571624755859,5.554356575012207,5.5411458015441895,gan,candidateB_factorial_grad_levelset_expanded2688,gan,candidateB_factorial_grad_levelset_expanded2688,1
19,19,21.064082150885508,19.086676411603058,18.18368453683515,6.927988529205322,5.44291353225708,5.671173572540283,gan,candidateB_factorial_grad_levelset_expanded2688,gan,gan,1
20,20,21.97923655969375,18.266315468004898,20.464915668749942,6.254051208496094,5.689126491546631,6.437204360961914,gan,gan,gan,gan,1
21,21,27.30086406645334,21.732522780594586,25.46424130526114,8.127616882324219,10.817054748535156,8.922538757324219,gan,gan,cnn,cnn,0
22,22,32.693467082501115,26.801086541907566,30.72087376926842,8.081520080566406,8.346701622009277,7.168732166290283,gan,gan,cnn,candidateB_factorial_grad_levelset_expanded2688,0
23,23,34.476953302920876,29.144574221491347,30.842357357034857,6.907674789428711,8.497876167297363,8.08032512664795,gan,gan,cnn,cnn,0
24,24,35.75728371567695,29.65320138308241,31.36549528968762,7.21915864944458,12.067601203918457,7.760510444641113,gan,gan,cnn,cnn,0
25,25,36.58411526021696,30.123491475362258,32.45791317847149,11.371563911437988,10.501462936401367,7.294753551483154,gan,gan,gan,candidateB_factorial_grad_levelset_expanded2688,1
26,26,35.02599363200026,30.779316467464,33.33050605233134,7.043282985687256,11.28821849822998,7.201005935668945,gan,gan,cnn,cnn,0
27,27,36.89696946573002,30.945378681968467,33.43937415292748,6.4783101081848145,19.968429565429688,6.718914031982422,gan,gan,cnn,cnn,0
28,28,38.33189346230645,30.74946233279523,33.175979332148266,7.210402011871338,14.947399139404297,8.386425971984863,gan,gan,cnn,cnn,0
29,29,38.84347398326436,31.752977463202388,33.052147820975044,6.963974952697754,12.864243507385254,7.157012462615967,gan,gan,cnn,cnn,0
30,30,39.94080457344863,30.82310921065586,31.55668984219554,8.127463340759277,14.847400665283203,7.7170939445495605,gan,gan,cnn,candidateB_factorial_grad_levelset_expanded2688,0
31,31,39.104318483733294,31.3053599336416,31.662109443757025,6.818642616271973,16.23410415649414,7.631629943847656,gan,gan,cnn,cnn,0
32,32,38.55925876668554,30.547158977309156,31.257350588895044,7.461033821105957,19.229158401489258,7.589086532592773,gan,gan,cnn,cnn,0
33,33,38.39305861348763,30.400139282712473,30.858715332501408,6.76971960067749,20.00556755065918,7.3272881507873535,gan,gan,cnn,cnn,0
34,34,37.356416104450325,28.907547601520903,30.298070114904164,6.323113918304443,19.445999145507812,7.107634544372559,gan,gan,cnn,cnn,0
35,35,35.95264003005777,28.746843597068697,29.4026207696997,6.2719197273254395,14.435929298400879,6.889281749725342,gan,gan,cnn,cnn,0
36,36,35.61901723291445,27.743736665197815,29.345740211942342,6.097905158996582,9.26945686340332,6.686577320098877,gan,gan,cnn,cnn,0
37,37,33.456602216246914,27.16364872656993,27.986335388776006,6.489102840423584,9.59257698059082,6.3658928871154785,gan,gan,cnn,candidateB_factorial_grad_levelset_expanded2688,0
38,38,29.159912858159764,23.780350003542182,24.762762990877473,6.054014682769775,7.416414260864258,7.349580764770508,gan,gan,cnn,cnn,0
39,39,25.24426875811477,21.358097631209198,22.66290315611466,5.873856067657471,8.546488761901855,6.269974708557129,gan,gan,cnn,cnn,0
40,40,24.281572165890662,20.447367624488226,20.95773266209798,5.6310811042785645,8.988521575927734,6.918882846832275,gan,gan,cnn,cnn,0
41,41,23.457166445963043,17.452695580897316,19.052107831561404,5.389686584472656,8.901470184326172,6.3424882888793945,gan,gan,cnn,cnn,0
42,42,21.63035540369367,14.632793364821667,16.908314916035806,5.757840156555176,7.383090972900391,5.96277379989624,gan,gan,cnn,cnn,0
43,43,20.76816702008209,13.784137402758168,16.016840234373877,5.7682366371154785,7.053122520446777,6.378430366516113,gan,gan,cnn,cnn,0
44,44,19.781150575177055,13.855413188888303,15.43690631925832,6.20600700378418,7.041088581085205,6.179868698120117,gan,gan,cnn,candidateB_factorial_grad_levelset_expanded2688,0
45,45,20.528037851461004,13.609391097429418,15.806111346556849,6.566225528717041,6.773196697235107,6.152648448944092,gan,gan,cnn,candidateB_factorial_grad_levelset_expanded2688,0
46,46,20.678325640697178,16.27228595124608,15.21835291118115,6.243154048919678,6.650214672088623,5.631546974182129,gan,candidateB_factorial_grad_levelset_expanded2688,cnn,candidateB_factorial_grad_levelset_expanded2688,0
47,47,22.201753073772625,13.108895112859523,15.55133365374602,6.789880752563477,7.498397350311279,7.395363807678223,gan,gan,cnn,cnn,0
